	GTEX.Y114.1126.SM.4TT7V	GTEX.XGQ4.1626.SM.4AT6J	GTEX.13O61.1226.SM.5KM21	GTEX.X5EB.1026.SM.46MVU	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1122O.1826.SM.5EGIP	GTEX.P4QT.0626.SM.3NMCP	GTEX.ZT9W.1226.SM.57WE4	GTEX.ZVT2.1226.SM.5GU5H	GTEX.UJMC.1026.SM.4IHKN	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.HF.7133.01A.11R.2055.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13
AATF	748.61	854.13	928.3	915.51	1088.92	825.0	669.92	1135.2	954.43	785.88	0.77	961.07	1295.13	1143.1	921.88	1407.55	1359.57	1508.65	1268.46	1819.35	1191.69	1183.45	1844.76	902.89	1008.9	1583.71
BLOC1S2	412.0	397.93	454.09	346.29	325.29	490.14	1143.1	379.04	318.57	371.22	0.54	896.64	444.72	723.08	713.11	514.56	954.43	591.22	830.75	802.41	947.83	555.41	1225.22	387.02	571.05	486.75
BOLA3	591.22	563.18	656.11	473.41	392.44	486.75	555.41	389.72	457.25	536.45	0.28	1088.92	1277.29	1199.98	928.3	1159.07	915.51	1340.84	1397.83	1457.23	1639.59	1143.1	1407.55	651.58	866.07	1963.57
C1QBP	1605.83	1467.37	1662.49	1519.15	1340.84	1628.26	2627.46	1304.15	1697.45	1407.55	0.35	3060.45	2875.3	2133.97	3614.55	3372.43	2271.4	2956.17	2104.58	2758.13	5517.27	2796.65	2816.11	1674.06	1883.54	2555.58
CCL3	4.1	13.83	16.51	94.67	5.41	12.93	27.64	9.06	2.48	3.44	0.0	120.1	872.1	74.58	132.44	80.01	738.29	529.06	343.89	161.02	571.05	62.56	1407.55	128.79	46.5	100.13
CCL3L1	0.0	8.85	5.68	1.23	1.62	1.14	4.35	1.23	0.0	4.86	0.0	35.0	279.14	0.0	1.83	8.65	133.36	224.97	84.63	28.24	78.89	12.83	379.04	0.0	6.21	14.14
CCL4L1	3.82	0.0	11.21	12.93	0.0	8.19	21.32	12.0	9.93	3.2	0.0	13.03	473.41	31.0	40.64	101.54	403.5	255.0	441.64	11.91	454.09	40.07	229.72	27.44	74.58	217.27
CCNE2	36.53	35.0	36.79	34.02	42.11	38.4	57.89	46.84	51.71	44.25	0.53	113.56	197.09	27.64	90.77	150.17	72.52	95.34	258.57	75.64	285.03	88.26	130.6	26.86	90.14	56.68
CCNI2	82.29	104.42	69.03	162.14	52.82	165.57	121.79	98.04	109.66	88.26	0.36	239.52	121.79	164.42	204.07	191.67	110.43	547.75	281.09	133.36	438.59	346.29	486.75	64.8	182.55	122.64
CCT3	2502.97	2163.77	2502.97	3124.78	2240.11	2148.82	2935.74	2537.92	2701.35	2287.2	0.55	2384.37	3716.2	4543.8	4066.71	4836.35	7695.57	4066.71	7230.1	5147.73	11992.79	4123.49	5517.27	2739.08	2468.49	2502.97
CCT7	2816.11	2895.31	3419.52	3515.68	3060.45	2835.7	2591.27	3235.01	2997.45	2915.45	0.61	2555.58	3665.02	3124.78	3467.27	5329.3	4358.66	5041.77	5006.93	6561.36	4869.99	4769.75	4903.87	3349.13	3168.41	3190.46
CDC25A	7.75	8.65	10.47	10.71	7.4	12.18	38.4	2.46	13.52	6.94	0.02	49.56	58.3	32.36	117.6	169.07	51.35	82.29	265.87	135.24	122.64	73.03	206.94	13.83	42.41	45.53
CNPY2	1268.46	1605.83	1639.59	1151.06	1199.98	1561.89	2018.8	934.76	1023.0	1605.83	0.53	3039.3	2468.49	2758.13	3257.52	3235.01	3955.48	3467.27	3742.05	4038.61	4836.35	2997.45	3768.09	1844.76	2502.97	3467.27
DUSP4	21.94	76.71	167.9	14.89	30.12	55.89	571.05	7.34	7.88	7.94	75.11	836.53	2163.77	389.72	921.88	1832.01	4769.75	3614.55	1051.79	1909.85	3018.3	2739.08	3419.52	420.68	3168.41	2468.49
EFNA1	314.17	518.15	802.41	902.89	872.1	395.18	1397.83	775.05	387.02	728.11	0.79	878.17	8901.53	2104.58	1757.34	896.64	8247.98	2777.33	3982.99	2400.97	3847.29	1745.2	4152.18	1037.29	1322.37	1259.69
EFNA4	19.11	67.12	71.5	57.08	34.51	55.89	301.33	51.71	31.22	50.63	0.55	157.68	703.28	392.44	241.19	189.02	218.79	316.37	297.17	420.68	518.15	275.28	483.38	158.79	211.31	224.97
ERAL1	587.13	728.11	620.67	629.35	480.04	629.35	693.58	511.0	642.59	629.35	0.34	928.3	1104.13	1111.82	1709.26	1806.78	967.76	981.29	1059.11	1950.0	1457.23	1159.07	1794.29	848.22	1088.92	1369.04
FKBP4	414.87	1199.98	1135.2	1167.14	1111.82	708.18	1883.54	1350.18	796.86	890.44	0.27	1175.27	2451.44	1674.06	3018.3	2816.11	3212.66	2520.38	2855.44	4038.61	6699.25	5517.27	5555.65	1806.78	2240.11	2351.53
FLAD1	414.87	547.75	525.39	651.58	351.14	470.14	651.58	426.57	483.38	536.45	0.82	693.58	1397.83	860.08	941.27	961.07	860.08	1044.52	1313.23	1286.18	1216.75	825.0	1242.34	595.34	656.11	620.67
GPR84	5.59	0.0	2.41	2.16	0.8	3.26	3.76	2.51	4.7	1.33	0.09	22.1	65.72	16.63	10.63	9.56	110.43	35.76	103.69	26.67	83.45	6.16	65.26	7.06	9.78	11.82
GPRIN1	3.23	11.04	9.41	5.73	6.06	8.99	26.86	4.31	5.15	3.89	0.28	17.13	63.45	24.63	127.89	67.12	79.45	28.65	119.26	81.71	81.71	76.17	204.07	16.27	21.01	8.71
IL1B	5.77	0.0	24.63	32.59	5.82	0.0	62.56	0.0	3.96	3.69	438.59	177.53	5633.22	43.94	1037.29	1015.93	2591.27	1551.09	571.05	470.14	1769.57	4210.15	4736.79	363.56	2555.58	507.46
ITPR3	133.36	476.71	323.03	239.52	301.33	441.64	1051.79	249.73	182.55	361.04	0.79	1233.75	1104.13	473.41	2664.15	2271.4	2627.46	483.38	2047.0	1388.16	1832.01	1923.14	3589.58	728.11	1540.37	1250.98
KIF4A	2.29	3.03	3.66	4.17	6.62	4.35	31.22	3.76	18.7	3.03	0.0	47.5	59.13	8.06	82.87	132.44	90.77	52.82	323.03	199.85	325.29	161.02	320.8	11.82	49.21	49.56
KIF4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.39	0.36	1.17	0.34	0.0	0.65	1.08	0.71	0.39	0.93	0.37	0.47	0.54
KPNA2	299.25	218.79	255.0	435.55	269.6	285.03	769.69	305.55	483.38	281.09	0.54	988.12	1183.45	532.74	2335.28	2061.24	1350.18	1225.22	4736.79	2090.03	4010.71	1417.35	5329.3	426.57	633.73	1008.9
METTL1	264.03	218.79	248.0	267.73	166.73	336.79	571.05	110.43	271.48	283.05	0.0	603.67	595.34	470.14	571.05	669.92	860.08	974.5	693.58	660.68	995.0	3395.89	813.63	279.14	329.84	327.56
METTL13	256.78	293.07	312.0	287.01	291.04	291.04	267.73	281.09	348.71	320.8	0.0	366.09	389.72	426.57	376.41	579.04	660.68	642.59	878.17	896.64	890.44	500.46	988.12	323.03	483.38	325.29
