	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
ADNP2	164.42	136.19	157.68	120.1	212.78	95.34	65.72	87.65	106.63	195.72	154.42	181.28	193.01	105.15	62.56	193.01	146.03	102.25	83.45	68.07	97.36	155.5	96.68	171.45	202.66	98.73	116.78	129.69	88.26	125.24	206.94	249.73	177.53	94.01	119.26	109.66	128.79
ANAPC1	172.65	172.65	186.4	148.09	234.57	124.37	125.24	111.99	142.01	206.94	156.59	170.25	194.36	142.01	116.78	223.41	124.37	121.79	122.64	122.64	130.6	172.65	85.82	181.28	226.54	127.89	159.9	154.42	142.01	154.42	215.77	215.77	217.27	125.24	161.02	152.28	147.06
ANKRD50	100.83	117.6	135.24	101.54	201.25	69.52	43.94	55.1	79.45	206.94	83.45	136.19	194.36	69.03	56.68	165.57	88.26	72.01	80.57	60.39	80.57	147.06	76.17	133.36	220.32	96.68	111.99	127.89	75.11	131.51	191.67	170.25	147.06	75.11	107.38	99.43	113.56
AP1G1	684.02	629.35	579.04	563.18	1008.9	353.59	301.33	387.02	521.76	961.07	854.13	728.11	679.29	457.25	314.17	988.12	684.02	476.71	368.65	332.14	454.09	620.67	473.41	656.11	928.3	543.96	656.11	587.13	371.22	743.43	967.76	753.83	780.44	486.75	525.39	603.67	599.49
APC	91.41	77.25	96.01	72.52	147.06	40.07	29.27	33.78	69.03	128.79	102.25	92.7	93.35	46.18	32.36	96.68	90.14	52.45	49.21	36.53	57.89	73.54	112.77	90.14	127.89	60.39	58.3	90.14	44.57	120.1	119.26	105.15	109.66	43.02	58.3	56.68	52.45
APOOL	81.71	56.68	81.14	59.13	130.6	35.0	25.35	33.3	33.3	110.43	89.51	92.7	92.7	25.91	26.86	105.89	103.69	50.27	22.43	29.06	45.53	61.68	87.03	91.41	151.22	34.26	65.26	65.72	29.91	69.52	124.37	110.43	102.97	27.64	54.33	66.18	48.87
APPBP2	224.97	193.01	208.38	161.02	305.55	135.24	100.13	121.79	190.34	305.55	327.56	241.19	256.78	150.17	115.97	287.01	246.28	166.73	141.02	103.69	180.02	223.41	241.19	264.03	299.25	159.9	191.67	199.85	132.44	285.03	305.55	287.01	271.48	142.01	199.85	146.03	195.72
ARHGEF12	941.27	954.43	1143.1	830.75	1388.16	629.35	559.28	642.59	748.61	1313.23	896.64	1233.75	1250.98	693.58	473.41	1313.23	1059.11	688.78	703.28	703.28	785.88	1295.13	866.07	1135.2	1639.59	860.08	1001.93	928.3	638.15	915.51	1378.57	1295.13	1233.75	684.02	854.13	813.63	769.69
ASXL2	163.28	138.1	146.03	126.12	251.48	63.89	59.97	55.89	93.35	234.57	123.5	193.01	175.07	72.52	57.89	205.5	134.3	77.79	71.5	66.65	97.36	150.17	70.51	155.5	234.57	104.42	138.1	127.89	76.17	155.5	231.32	190.34	183.82	72.52	105.89	102.25	102.25
ATE1	303.44	223.41	221.86	205.5	332.14	158.79	126.12	145.02	239.52	356.05	312.0	303.44	295.11	198.47	115.97	312.0	285.03	242.88	155.5	131.51	183.82	267.73	226.54	309.83	339.14	190.34	232.94	239.52	146.03	309.83	346.29	314.17	318.57	130.6	205.5	224.97	194.36
ATF7IP	368.65	303.44	334.46	305.55	575.03	231.32	193.01	218.79	220.32	511.0	217.27	376.41	441.64	204.07	145.02	532.74	314.17	175.07	218.79	229.72	249.73	381.68	182.55	363.56	612.11	221.86	299.25	301.33	212.78	348.71	571.05	387.02	463.65	223.41	237.86	316.37	265.87
ATG2B	183.82	175.07	151.22	138.1	231.32	82.29	60.82	105.15	142.01	221.86	171.45	133.36	177.53	100.83	69.52	215.77	161.02	107.38	112.77	75.11	104.42	195.72	217.27	144.01	285.03	129.69	137.14	142.01	105.89	178.77	256.78	195.72	198.47	78.89	133.36	99.43	128.79
