	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
AC093157.1	0.37	2.76	2.2	0.91	2.18	0.89	0.91	8.19	3.08	0.0	3.56	19.39	3.66	17.51	2.76	23.59	20.56	40.07	37.85	14.56	26.1	39.5	26.28	36.53	16.27	15.22	38.95	56.68	55.1	31.67	33.3	12.27	32.36	58.71	54.72	37.05	30.12	49.91	41.52	12.36	21.32	50.27	0.0	4.1	5.36	18.16	6.21	2.48	3.69	0.0	3.35	0.29	1.16
AC138969.4	2777.33	1651.0	1551.09	1709.26	1605.83	2193.99	2335.28	2835.7	2537.92	718.08	5147.73	4328.55	5711.87	6983.79	6983.79	5403.7	5292.48	3928.15	5751.61	3491.39	5292.48	4972.34	7642.41	6294.04	2855.44	3665.02	8363.13	8778.97	4704.07	4095.0	5292.48	3614.55	5292.48	5292.48	7331.05	7749.1	4239.45	4181.07	6471.02	3874.05	3515.68	4095.0	1304.15	1963.57	2032.85	3443.31	4095.0	2645.74	2417.67	1733.13	2133.97	1832.01	2271.4
ACIN1	1378.57	1216.75	1259.69	1407.55	1407.55	1111.82	1508.65	2018.8	2104.58	1781.89	2163.77	3589.58	2351.53	2855.44	1883.54	2573.36	2609.3	3395.89	3419.52	2555.58	2758.13	2956.17	2555.58	3639.7	2163.77	1963.57	3081.75	3874.05	3443.31	2520.38	2875.3	1697.45	2915.45	3901.01	3665.02	3395.89	2018.8	2997.45	3589.58	2061.24	2434.5	3820.7	603.67	1030.12	2018.8	2240.11	1467.37	1498.22	1674.06	954.43	1023.0	848.22	1059.11
ADCY6	194.36	133.36	258.57	256.78	264.03	244.57	305.55	559.28	665.29	529.06	329.84	358.54	329.84	669.92	438.59	642.59	934.76	1417.35	1583.71	785.88	947.83	1359.57	698.41	1350.18	703.28	638.15	1059.11	1295.13	1407.55	825.0	1030.12	483.38	1208.34	1397.83	1397.83	1096.5	693.58	1208.34	1605.83	540.19	733.19	1745.2	447.82	358.54	848.22	423.61	332.14	423.61	579.04	151.22	193.01	122.64	205.5
AGAP6	138.1	120.94	55.1	76.71	77.25	80.01	79.45	220.32	256.78	133.36	217.27	327.56	329.84	423.61	190.34	397.93	575.03	934.76	1066.48	356.05	718.08	674.59	733.19	1313.23	525.39	703.28	753.83	1119.56	1051.79	540.19	785.88	201.25	866.07	896.64	1127.35	698.41	607.87	860.08	738.29	432.53	723.08	723.08	64.34	72.01	177.53	275.28	172.65	140.04	128.79	27.84	77.79	36.79	56.68
AMY2B	316.37	84.04	61.25	67.12	118.43	47.84	114.36	130.6	226.54	177.53	260.38	264.03	275.28	536.45	234.57	476.71	1127.35	1639.59	2163.77	587.13	1104.13	909.17	1628.26	2915.45	1081.39	1350.18	1662.49	2163.77	1709.26	791.35	1388.16	217.27	1896.65	1745.2	1628.26	2367.9	1540.37	1340.84	2004.85	607.87	1111.82	1427.22	151.22	161.02	242.88	312.0	138.1	122.64	169.07	44.89	34.75	28.86	44.57
ANKZF1	305.55	242.88	202.66	239.52	368.65	120.94	269.6	688.78	616.37	551.56	638.15	1477.58	669.92	909.17	334.46	954.43	1378.57	2816.11	1781.89	921.88	1081.39	1350.18	1457.23	1950.0	1216.75	941.27	1769.57	1844.76	2090.03	954.43	1331.57	412.0	1819.35	1685.71	1487.87	2240.11	1883.54	1427.22	1857.6	1216.75	819.3	1628.26	521.76	264.03	368.65	921.88	447.82	371.22	642.59	275.28	169.07	181.28	314.17
ARHGEF11	346.29	358.54	412.0	457.25	460.44	332.14	409.15	376.41	503.95	381.68	454.09	532.74	480.04	518.15	507.46	525.39	575.03	698.41	656.11	503.95	525.39	638.15	536.45	728.11	483.38	525.39	665.29	674.59	718.08	497.0	633.73	463.65	656.11	728.11	708.18	656.11	753.83	698.41	723.08	483.38	591.22	718.08	281.09	275.28	559.28	438.59	473.41	366.09	518.15	346.29	269.6	303.44	361.04
ATG4B	738.29	785.88	571.05	825.0	738.29	775.05	830.75	1044.52	1340.84	1159.07	928.3	1896.65	1127.35	1457.23	1477.58	1662.49	1991.0	3443.31	2367.9	1208.34	1721.16	2224.63	2816.11	2417.67	1963.57	1259.69	2682.69	2520.38	2502.97	1572.76	2451.44	1208.34	2796.65	2400.97	2796.65	2148.82	2976.74	2163.77	2537.92	1350.18	1487.87	2875.3	1199.98	915.51	1519.15	1286.18	961.07	1250.98	1059.11	587.13	878.17	633.73	620.67
ATXN2L	1340.84	825.0	921.88	1143.1	1051.79	884.29	1001.93	1806.78	1769.57	1268.46	1721.16	2682.69	2224.63	1870.53	1498.22	2163.77	2664.15	3235.01	3190.46	1844.76	2104.58	2758.13	2796.65	3540.14	2335.28	2163.77	2796.65	3325.99	3039.3	1909.85	2758.13	1378.57	3235.01	2935.74	3419.52	2835.7	2875.3	3081.75	2816.11	2384.37	2061.24	3491.39	1008.9	1081.39	1662.49	2047.0	1991.0	1268.46	1388.16	872.1	1208.34	915.51	1096.5
