	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE
ABL1	1015.93	1167.14	432.53	890.44	1572.76	684.02	785.88	928.3	1159.07	802.41	842.36	854.13	1295.13	878.17	1030.12	1051.79	967.76	848.22	848.22	733.19	785.88	769.69	490.14	860.08	1104.13	567.1	525.39	1051.79	836.53	796.86	1059.11	529.06	536.45	819.3	518.15	1096.5	698.41	1030.12	665.29	688.78	1350.18	825.0	981.29	961.07	1127.35	947.83	1216.75	796.86	1233.75	1037.29	1378.57	896.64	547.75	921.88	1104.13	651.58	1044.52	1073.91	728.11	909.17	1081.39	497.0	928.3	718.08	679.29	1191.69	1417.35	981.29	988.12	703.28	1457.23	1030.12	928.3	1143.1	1216.75	684.02	1119.56	1066.48	1088.92
AC103801.2	129.69	126.12	0.0	127.89	177.53	69.52	95.34	54.33	74.06	0.0	90.77	67.59	234.57	67.12	68.55	128.79	119.26	64.34	49.56	42.41	73.03	65.26	12.64	33.78	85.22	53.57	34.51	149.12	101.54	0.0	37.59	0.0	44.57	87.65	0.0	55.1	84.63	49.21	122.64	25.35	175.07	74.58	39.79	102.97	154.42	131.51	123.5	31.67	143.01	69.52	220.32	165.57	55.1	96.68	117.6	23.08	47.84	170.25	17.13	75.11	85.82	44.89	16.88	52.82	63.89	155.5	76.71	136.19	100.83	71.0	73.03	148.09	136.19	130.6	176.29	24.28	31.22	126.12	189.02
ADAM23	29.48	11.73	5.32	37.59	9.78	1.57	7.57	6.94	15.8	128.79	4.86	14.45	27.44	19.25	24.63	13.42	6.01	10.16	7.63	8.51	13.62	2.51	8.32	6.31	10.39	12.83	7.22	11.21	5.19	9.48	6.11	1.31	11.21	17.9	6.11	38.4	21.16	19.68	7.51	10.47	16.39	9.27	11.21	10.47	6.36	12.55	6.01	6.46	31.9	5.11	28.04	12.45	4.06	10.96	14.35	2.12	23.93	16.03	9.85	19.68	1.48	12.55	4.78	5.92	4.58	30.12	32.82	27.84	25.17	34.26	46.18	26.1	13.62	31.22	53.19	18.43	30.56	52.82	80.01
AKTIP	703.28	503.95	525.39	802.41	679.29	483.38	312.0	473.41	348.71	902.89	733.19	551.56	571.05	738.29	500.46	579.04	599.49	476.71	279.14	395.18	532.74	521.76	403.5	454.09	441.64	361.04	674.59	624.99	497.0	638.15	616.37	417.77	381.68	647.07	532.74	836.53	599.49	486.75	525.39	470.14	748.61	642.59	607.87	638.15	412.0	403.5	743.43	432.53	674.59	450.94	723.08	457.25	543.96	447.82	633.73	708.18	713.11	954.43	595.34	551.56	728.11	616.37	400.71	403.5	503.95	802.41	866.07	595.34	860.08	612.11	954.43	638.15	791.35	713.11	995.0	603.67	854.13	769.69	1477.58
AMBRA1	400.71	341.51	161.02	299.25	532.74	224.97	265.87	343.89	312.0	373.81	366.09	323.03	426.57	381.68	314.17	314.17	305.55	318.57	285.03	312.0	318.57	309.83	246.28	309.83	320.8	258.57	251.48	447.82	267.73	285.03	368.65	260.38	275.28	358.54	163.28	353.59	387.02	341.51	256.78	267.73	409.15	299.25	387.02	318.57	305.55	312.0	473.41	297.17	447.82	346.29	507.46	320.8	177.53	295.11	323.03	241.19	341.51	480.04	249.73	356.05	334.46	244.57	256.78	236.21	262.2	460.44	438.59	373.81	412.0	361.04	480.04	381.68	406.31	426.57	480.04	297.17	389.72	429.54	518.15
AMOTL1	674.59	518.15	267.73	583.07	1685.71	45.85	312.0	312.0	332.14	872.1	155.5	503.95	1175.27	361.04	647.07	547.75	967.76	587.13	217.27	76.71	571.05	185.11	239.52	579.04	169.07	205.5	356.05	780.44	262.2	395.18	603.67	226.54	202.66	872.1	211.31	1030.12	753.83	1191.69	575.03	285.03	575.03	429.54	708.18	703.28	305.55	277.2	1388.16	356.05	571.05	642.59	872.1	314.17	629.35	265.87	607.87	665.29	836.53	1191.69	348.71	454.09	607.87	171.45	163.28	397.93	698.41	759.08	836.53	941.27	915.51	819.3	1037.29	896.64	872.1	813.63	902.89	536.45	718.08	941.27	738.29
ANO5	67.59	17.64	1.68	76.17	53.57	0.66	0.72	24.28	33.54	234.57	11.21	34.26	37.59	14.45	36.79	35.0	23.08	10.39	6.36	6.21	76.71	12.83	4.5	12.09	11.73	15.34	39.22	27.44	15.56	43.63	49.56	0.0	14.24	32.13	28.04	44.25	6.16	13.03	9.78	28.45	45.21	29.91	22.26	38.67	26.67	15.91	20.56	29.7	72.01	5.82	59.55	23.42	4.94	6.78	45.53	4.74	98.04	20.11	7.69	11.04	5.82	21.47	11.04	14.14	13.03	122.64	120.94	136.19	120.94	78.34	183.82	39.79	60.82	87.03	120.94	40.07	81.14	104.42	258.57
AP3S2	703.28	454.09	368.65	551.56	507.46	293.07	521.76	483.38	400.71	848.22	358.54	703.28	603.67	400.71	651.58	693.58	447.82	656.11	305.55	599.49	633.73	305.55	325.29	551.56	599.49	629.35	299.25	529.06	718.08	620.67	808.0	241.19	414.87	748.61	291.04	896.64	503.95	583.07	420.68	559.28	551.56	366.09	540.19	503.95	521.76	316.37	536.45	438.59	616.37	397.93	466.88	460.44	351.14	470.14	555.41	420.68	642.59	896.64	346.29	432.53	616.37	312.0	351.14	363.56	358.54	633.73	563.18	612.11	591.22	521.76	629.35	591.22	748.61	748.61	743.43	379.04	525.39	808.0	633.73
ARF3	2701.35	2777.33	1685.71	2915.45	2451.44	1733.13	2434.5	1977.24	2319.15	2777.33	1651.0	2351.53	3124.78	2163.77	2178.83	2627.46	2367.9	2573.36	1769.57	2591.27	2434.5	2047.0	1991.0	2609.3	2739.08	2119.22	1322.37	3372.43	2537.92	2417.67	2935.74	1437.15	1697.45	2485.67	1457.23	2777.33	2417.67	2627.46	2758.13	1844.76	3564.78	1697.45	2664.15	2400.97	2090.03	1950.0	2758.13	2061.24	3124.78	2240.11	2895.31	2335.28	2209.26	2209.26	2739.08	2047.0	2739.08	2537.92	2367.9	1781.89	2591.27	1857.6	1794.29	1594.73	2018.8	2573.36	2758.13	2555.58	2573.36	2104.58	2645.74	2682.69	2816.11	2895.31	2997.45	2178.83	2502.97	2591.27	3515.68
ARHGAP19-SLIT1	32.36	6.01	5.36	18.7	13.72	7.4	3.82	4.58	6.31	7.57	10.08	11.91	24.63	2.18	30.56	7.46	23.93	5.82	10.16	13.42	15.22	4.98	8.65	20.41	26.86	16.51	8.58	28.04	30.34	39.5	19.68	1.73	10.16	11.21	3.56	16.27	15.45	23.25	26.1	20.71	14.24	29.48	13.83	53.57	24.11	7.17	57.49	2.41	43.02	9.41	16.03	28.45	1.2	17.38	29.91	6.11	37.85	51.35	1.19	8.58	15.22	4.86	19.68	17.25	11.64	15.0	31.45	24.11	44.25	24.11	23.93	26.67	16.75	30.12	33.78	0.71	46.18	25.35	73.54
