	TCGA.E9.A245.01A.22R.A16F.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.D8.A1XG.01A.11R.A14D.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07
ADAM9	450.94	3768.09	1662.49	271.48	1015.93	414.87	791.35	988.12	170.25	80.01	221.86	108.9
ADAMTSL1	42.71	92.05	34.26	15.0	52.08	31.45	35.25	42.71	12.18	6.46	31.45	12.36
AIFM3	94.01	127.89	53.95	21.16	143.01	28.65	41.52	68.07	25.91	11.73	32.59	16.75
AL132989.1	3.96	7.06	5.92	0.0	9.41	1.89	2.23	6.26	3.32	0.0	1.53	0.0
ARAP3	140.04	137.14	102.25	34.02	204.07	91.41	108.14	152.28	74.58	41.81	93.35	67.12
ARHGAP27	119.26	555.41	241.19	45.85	358.54	124.37	166.73	248.0	105.89	65.72	131.51	57.89
ATXN3	214.27	480.04	275.28	194.36	514.56	346.29	361.04	470.14	115.97	79.45	158.79	145.02
AZIN1	1457.23	2895.31	2255.7	780.44	3146.52	1551.09	1896.65	1183.45	647.07	514.56	825.0	848.22
BFAR	738.29	1304.15	1437.15	708.18	1397.83	981.29	780.44	902.89	521.76	414.87	684.02	361.04
BRAF	209.84	830.75	275.28	212.78	693.58	248.0	299.25	603.67	128.79	73.03	137.14	98.04
BRD1	379.04	579.04	366.09	217.27	525.39	253.23	503.95	438.59	242.88	161.02	223.41	181.28
BRPF3	412.0	860.08	551.56	400.71	775.05	563.18	802.41	854.13	194.36	208.38	323.03	189.02
C12orf68	10.0	54.33	43.02	1.68	25.72	6.78	34.51	25.91	6.01	4.35	5.28	7.28
C1orf174	351.14	400.71	432.53	242.88	466.88	358.54	320.8	392.44	332.14	177.53	336.79	258.57
C4orf46	42.11	189.02	155.5	32.59	137.14	76.17	86.43	105.89	11.73	11.91	15.8	12.36
C9orf47	4.98	34.51	17.13	1.33	37.32	2.2	6.89	41.81	1.77	0.93	0.82	1.03
CCDC40	251.48	281.09	329.84	114.36	483.38	249.73	123.5	343.89	32.36	10.96	24.81	24.81
CDKL1	54.72	135.24	84.04	25.17	121.79	52.82	44.25	43.32	17.25	18.43	31.9	21.47
CDKL5	10.71	167.9	98.73	3.76	92.7	18.97	36.01	117.6	1.07	4.94	2.71	1.13
CDX1	2.53	8.85	4.78	0.0	9.78	4.03	2.92	5.68	1.2	0.0	0.0	0.0
CKLF-CMTM1	17.25	59.55	73.03	11.73	57.89	31.9	39.79	44.89	14.03	4.21	0.0	7.34
CLEC16A	242.88	567.1	438.59	204.07	389.72	273.37	327.56	420.68	120.94	169.07	157.68	131.51
CLIP3	132.44	251.48	244.57	13.52	251.48	96.68	111.21	218.79	23.42	36.53	57.89	25.91
CLOCK	153.34	454.09	327.56	157.68	336.79	273.37	228.13	144.01	47.84	14.67	53.19	59.97
COG3	325.29	435.55	426.57	255.0	612.11	332.14	571.05	466.88	403.5	231.32	366.09	406.31
COL24A1	8.45	36.01	22.1	6.16	35.0	13.22	15.56	14.45	0.0	0.0	0.53	0.0
CPB1	1578364.61	906531.99	397.93	1026995.62	1535204.12	1108362.75	565825.41	2.291835145E7	18.56	31.0	9.2	7.34
CRAMP1L	305.55	769.69	339.14	110.43	599.49	171.45	236.21	665.29	41.52	23.93	40.93	23.42
CRKL	555.41	1030.12	684.02	420.68	872.1	575.03	947.83	521.76	332.14	409.15	441.64	316.37
DCX	4.1	61.68	0.28	0.0	66.18	0.28	5.5	36.53	0.0	0.0	0.0	0.0
DEPDC5	255.0	314.17	269.6	141.02	293.07	205.5	305.55	334.46	198.47	231.32	214.27	139.07
DGCR8	343.89	470.14	454.09	175.07	409.15	236.21	406.31	460.44	125.24	166.73	314.17	182.55
DGKH	11.64	96.68	52.45	4.82	128.79	22.26	42.11	69.03	6.21	1.99	3.53	3.5
DIP2C	195.72	297.17	343.89	114.36	258.57	150.17	166.73	208.38	98.73	153.34	85.82	107.38
DNAJB14	208.38	514.56	397.93	164.42	447.82	314.17	301.33	239.52	92.7	26.47	95.34	88.26
DNMBP	127.89	718.08	325.29	63.89	466.88	281.09	279.14	387.02	136.19	84.04	125.24	84.63
DNMT3B	23.08	46.84	56.68	5.96	67.12	15.56	24.28	52.82	6.06	4.5	9.06	7.69
DOCK9	836.53	2287.2	896.64	490.14	1806.78	995.0	1757.34	764.36	169.07	177.53	202.66	199.85
DZIP3	171.45	314.17	166.73	152.28	381.68	95.34	182.55	249.73	29.91	12.64	38.12	35.0
E2F5	142.01	334.46	231.32	167.9	400.71	291.04	135.24	241.19	40.64	25.91	55.49	46.5
EDNRA	146.03	514.56	599.49	24.46	426.57	165.57	199.85	236.21	18.7	10.71	16.51	24.99
EVI5	92.7	133.36	163.28	54.72	152.28	112.77	108.14	102.97	98.73	43.32	108.9	99.43
EWSR1	3372.43	3955.48	3303.0	2956.17	4512.4	3018.3	3874.05	4010.71	2835.7	2148.82	3060.45	2271.4
FAM115A	708.18	1259.69	988.12	392.44	836.53	511.0	748.61	656.11	314.17	112.77	414.87	343.89
FCF1	612.11	921.88	1037.29	389.72	928.3	571.05	743.43	1023.0	239.52	271.48	389.72	305.55
FLG	3.47	10.16	13.42	0.36	3.99	0.75	3.17	5.36	0.0	0.0	0.0	0.0
FRYL	351.14	753.83	525.39	199.85	954.43	329.84	329.84	547.75	106.63	46.18	154.42	100.83
GNL3L	138.1	332.14	258.57	81.14	265.87	198.47	255.0	297.17	32.82	36.27	87.03	22.92
GNPDA1	698.41	1350.18	1135.2	341.51	1081.39	624.99	896.64	665.29	197.09	242.88	379.04	195.72
