	GTEX.QDVN.0826.SM.48TZ2	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.12KS4.1326.SM.5LUB3	GTEX.Q734.0326.SM.48U15	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.139TT.0726.SM.5K7XW	GTEX.148VI.0226.SM.5RQKA	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.ZYY3.0926.SM.5E454	GTEX.OOBJ.0526.SM.48TDK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.147F4.0926.SM.5Q5EO	GTEX.V1D1.0826.SM.3P5ZA	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.YB5E.0726.SM.4VDSH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.N7MT.0126.SM.2D7VT	GTEX.11GSP.0726.SM.5986L	GTEX.139T6.0426.SM.5IJEM	GTEX.12696.1026.SM.5FQUV	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.PX3G.0526.SM.2I3EM	GTEX.13FLV.0426.SM.5KLZA	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.OXRP.0526.SM.2I3EW	GTEX.Q734.0626.SM.2I3EF	GTEX.N7MS.0926.SM.2HMIZ	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.145MO.1326.SM.5Q5EF	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.WK11.0526.SM.3NB3O	GTEX.SIU8.0926.SM.5SI87	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OIZG.0526.SM.2HMLF	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q	GTEX.11OF3.1126.SM.5986C	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.11NUK.2426.SM.5BC4U	TCGA.AX.A2HD.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.RWS6.1326.SM.47JXB
A2M	275175.93	226632.25	209994.66	197294.7	355624.68	236256.4	130165.62	242898.5	234624.45	190574.09	207103.59	146444.06	146444.06	56657.31	37639.55	148488.36	20170.07	49666.0	126606.21	65990.84	39237.98	119776.72	17197.56	267651.2	233003.78	101420.22	52497.92	128373.58	58250.19	58250.19	129266.49	161367.56	277089.94	242898.5	211455.3	103551.29	129266.49	78476.96	282912.21	102836.01	190574.09	201440.3	54727.32	109455.64	152662.96	126606.21	170568.48	112532.89	114897.47	65990.84	155870.75	417089.23	127486.83	87075.75	150561.19	148488.36	124863.17	91404.92	123144.13	214407.12	229795.93	156954.93	61571.56	114103.8	208544.12	149521.18	30785.28	76861.91	5594.3	15824.9	7642.41	4671.57
ALKBH4	127.0	123.5	81.71	143.01	101.54	137.14	146.03	115.97	112.77	116.78	212.78	193.01	123.5	102.25	271.48	180.02	70.01	51.71	167.9	273.37	239.52	75.64	343.89	86.43	123.5	66.65	271.48	186.4	283.05	264.03	180.02	170.25	111.21	100.83	217.27	87.65	265.87	251.48	143.01	229.72	157.68	85.22	312.0	65.26	156.59	182.55	153.34	260.38	100.83	269.6	205.5	91.41	101.54	94.67	72.01	73.03	145.02	264.03	68.07	197.09	130.6	124.37	269.6	221.86	156.59	143.01	73.54	85.82	28.86	454.09	432.53	432.53
ARIH2OS	28.04	7.46	15.45	10.96	5.87	11.73	15.0	5.63	9.78	15.45	24.11	31.45	3.26	5.36	44.25	50.27	11.21	3.38	34.75	42.11	52.08	13.12	63.0	20.41	33.06	9.85	50.63	26.28	51.71	39.22	22.43	24.99	39.79	23.59	44.57	12.18	45.53	48.52	36.53	33.06	34.75	20.86	45.21	9.78	24.63	34.51	9.56	24.63	7.34	53.95	48.18	29.7	18.16	28.45	9.48	13.42	18.16	42.71	24.28	29.27	28.86	40.64	42.71	30.34	61.68	44.25	4.46	5.92	6.26	67.12	113.56	63.45
BTBD6	423.61	435.55	353.59	567.1	698.41	583.07	325.29	1081.39	567.1	379.04	1151.06	414.87	698.41	460.44	1369.04	1159.07	361.04	476.71	708.18	1388.16	1167.14	429.54	1519.15	785.88	995.0	320.8	1175.27	1268.46	1651.0	1059.11	1313.23	1167.14	1051.79	1135.2	718.08	860.08	896.64	1295.13	620.67	1369.04	780.44	802.41	1651.0	559.28	651.58	1572.76	769.69	1081.39	759.08	2224.63	1340.84	974.5	547.75	525.39	529.06	743.43	1191.69	1709.26	665.29	748.61	921.88	1037.29	1023.0	1167.14	1044.52	583.07	392.44	551.56	587.13	988.12	967.76	974.5
C12orf10	1059.11	836.53	665.29	819.3	733.19	915.51	1037.29	921.88	764.36	1175.27	1104.13	878.17	412.0	444.72	1277.29	1088.92	447.82	279.14	941.27	1417.35	1378.57	775.05	1216.75	473.41	490.14	329.84	1662.49	860.08	1594.73	1295.13	967.76	848.22	995.0	1044.52	854.13	457.25	1225.22	1369.04	1167.14	1685.71	1322.37	813.63	1617.0	438.59	836.53	1233.75	1001.93	954.43	551.56	1572.76	764.36	1427.22	547.75	708.18	563.18	334.46	825.0	1259.69	802.41	1044.52	780.44	921.88	1191.69	1073.91	1277.29	1487.87	356.05	583.07	318.57	2384.37	2664.15	2835.7
C14orf93	66.18	52.45	64.8	80.57	32.13	98.04	44.25	145.02	114.36	71.5	111.21	71.5	50.98	56.28	187.71	223.41	61.25	81.14	173.85	209.84	269.6	73.54	246.28	91.41	149.12	68.07	256.78	137.14	220.32	232.94	127.0	171.45	220.32	118.43	215.77	67.59	185.11	214.27	187.71	183.82	158.79	123.5	244.57	63.89	118.43	189.02	112.77	241.19	87.65	212.78	189.02	197.09	93.35	89.51	127.0	54.72	132.44	211.31	112.77	209.84	113.56	178.77	220.32	137.14	283.05	236.21	56.28	105.15	100.13	406.31	429.54	323.03
C19orf25	325.29	177.53	204.07	343.89	167.9	395.18	307.69	389.72	536.45	262.2	373.81	318.57	273.37	220.32	555.41	525.39	144.01	135.24	444.72	753.83	769.69	336.79	825.0	363.56	514.56	123.5	836.53	620.67	759.08	921.88	728.11	529.06	595.34	366.09	500.46	353.59	713.11	603.67	332.14	563.18	454.09	444.72	988.12	228.13	536.45	647.07	603.67	791.35	231.32	743.43	497.0	432.53	271.48	275.28	343.89	299.25	460.44	928.3	237.86	429.54	612.11	928.3	603.67	490.14	532.74	674.59	138.1	226.54	181.28	785.88	860.08	860.08
C19orf47	163.28	75.64	159.9	97.36	246.28	162.14	167.9	253.23	118.43	141.02	208.38	186.4	242.88	132.44	490.14	314.17	90.14	90.14	339.14	379.04	236.21	116.78	454.09	80.57	159.9	82.29	341.51	295.11	376.41	251.48	320.8	264.03	202.66	193.01	190.34	199.85	287.01	463.65	201.25	285.03	265.87	87.03	409.15	182.55	221.86	332.14	283.05	318.57	130.6	351.14	373.81	208.38	151.22	178.77	108.14	164.42	265.87	412.0	99.43	346.29	226.54	198.47	327.56	356.05	253.23	271.48	105.89	142.01	100.83	264.03	301.33	214.27
C1orf229	6.41	3.26	0.53	8.58	0.42	1.55	1.81	0.0	2.61	2.34	3.82	4.39	0.04	0.84	14.35	6.62	0.91	1.75	12.45	12.55	5.73	2.03	6.73	0.0	1.97	3.03	13.22	14.03	3.38	8.32	5.5	4.35	4.98	6.26	1.6	1.57	8.65	7.11	10.24	12.27	10.88	3.5	16.63	0.0	3.72	7.17	2.56	5.41	4.82	11.73	9.2	0.27	3.17	5.73	4.98	0.29	0.52	9.48	0.57	7.17	6.46	12.64	6.46	14.03	0.0	10.47	0.0	2.41	0.91	30.56	22.1	30.12
C22orf29	75.64	70.51	34.26	98.73	44.89	59.55	51.71	86.43	90.77	45.85	133.36	81.14	49.91	87.65	217.27	255.0	55.1	92.05	54.72	336.79	305.55	128.79	341.51	132.44	137.14	41.81	214.27	202.66	265.87	379.04	285.03	256.78	112.77	127.89	153.34	41.52	218.79	163.28	111.21	329.84	167.9	145.02	503.95	92.05	129.69	246.28	161.02	403.5	147.06	473.41	248.0	47.5	137.14	158.79	92.05	117.6	135.24	197.09	139.07	157.68	126.12	251.48	444.72	185.11	119.26	120.94	74.58	108.14	31.45	854.13	511.0	543.96
