	TCGA.CW.5591.01A.01R.1541.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.5894.01A.11R.1592.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC
ACLY	4298.64	3039.3	1870.53	4038.61	3103.19	2004.85	2303.12	3280.18	3589.58	2032.85	3018.3	4419.52	2739.08	3124.78	2875.3	3039.3	2434.5	954.43	152.28	366.09	825.0	264.03	454.09	420.68	185.11	343.89	563.18	287.01	255.0	237.86	303.44	414.87	289.02	450.94	332.14	287.01	297.17	323.03	231.32	438.59	387.02
ACSL4	2609.3	967.76	1963.57	4512.4	2935.74	583.07	376.41	414.87	878.17	1111.82	521.76	2004.85	909.17	651.58	521.76	723.08	3325.99	381.68	71.0	143.01	1250.98	75.64	1104.13	78.89	13.72	547.75	4388.98	55.89	26.1	34.26	102.25	50.98	78.89	738.29	164.42	53.19	84.63	120.1	37.32	147.06	69.52
ACTR3	4802.93	4450.27	2855.44	4903.87	4328.55	4066.71	2664.15	3168.41	2895.31	5255.91	2855.44	3928.15	4239.45	4181.07	3018.3	4095.0	3639.7	1529.73	612.11	1605.83	1651.0	995.0	1794.29	2148.82	518.15	1551.09	1896.65	1651.0	1183.45	748.61	1417.35	1304.15	1295.13	1135.2	1447.15	1304.15	1519.15	1359.57	693.58	1167.14	1551.09
AGRN	4066.71	8840.04	8598.28	18304.63	8479.89	6164.49	5594.3	6121.9	8247.98	8778.97	5711.87	8363.13	5403.7	4239.45	3103.19	7857.29	9409.14	1594.73	384.34	909.17	669.92	332.14	251.48	195.72	318.57	480.04	171.45	1242.34	759.08	346.29	379.04	435.55	463.65	395.18	536.45	299.25	414.87	480.04	896.64	435.55	351.14
APOH	128.79	2.94	10.47	0.0	0.0	23.25	2.53	17.38	0.0	7.22	16.88	29.91	3.47	1.58	23.08	0.66	9.41	108699.57	220434.95	817012.28	1578364.61	606436.73	7456151.83	2247670.86	932018.1	731246.37	1212874.47	3359929.59	1055868.42	811368.76	2442622.37	762299.34	1221310.69	1246973.04	998912.34	1393227.06	2904784.09	2039804.27	800198.39	951601.81	1929772.37
ARHGAP1	2104.58	2537.92	2451.44	3443.31	2400.97	2163.77	1697.45	1991.0	2193.99	2627.46	2178.83	1870.53	1709.26	2018.8	2303.12	2004.85	2287.2	1477.58	559.28	1023.0	536.45	651.58	406.31	579.04	660.68	708.18	420.68	733.19	796.86	323.03	595.34	532.74	842.36	842.36	642.59	532.74	642.59	579.04	389.72	579.04	334.46
ARHGAP29	1104.13	4298.64	1457.23	3280.18	1662.49	1950.0	1617.0	2148.82	2018.8	1857.6	1909.85	1685.71	1628.26	1594.73	1322.37	2875.3	2075.59	334.46	155.5	441.64	246.28	332.14	444.72	215.77	248.0	307.69	713.11	389.72	351.14	269.6	265.87	169.07	301.33	275.28	223.41	373.81	236.21	521.76	366.09	223.41	120.94
ARSB	547.75	249.73	312.0	275.28	197.09	366.09	293.07	334.46	163.28	232.94	339.14	356.05	575.03	285.03	353.59	267.73	348.71	204.07	60.39	106.63	241.19	73.03	72.01	157.68	88.26	197.09	234.57	48.87	43.63	75.64	155.5	87.65	40.93	68.07	127.0	98.04	109.66	96.68	353.59	71.5	112.77
ASAP2	454.09	358.54	195.72	583.07	607.87	283.05	191.67	483.38	420.68	656.11	297.17	358.54	346.29	417.77	312.0	325.29	559.28	151.22	11.73	81.71	23.59	12.0	50.27	42.41	27.25	40.93	27.44	81.71	36.79	8.19	91.41	24.11	52.08	42.11	40.93	10.79	53.95	21.16	11.91	17.77	88.88
ATP11A	1369.04	1066.48	353.59	1651.0	1183.45	1662.49	723.08	1313.23	915.51	759.08	638.15	633.73	830.75	1369.04	728.11	1159.07	995.0	283.05	87.65	234.57	131.51	84.63	141.02	323.03	50.98	154.42	299.25	193.01	75.64	80.57	180.02	97.36	177.53	221.86	242.88	201.25	96.01	358.54	49.56	133.36	194.36
