	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.D6.6824.01A.11R.1915.07	TCGA.D6.A6EO.01A.11R.A31N.07	TCGA.BA.6869.01A.11R.1873.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.49.4486.01A.01R.1206.07	GTEX.XGQ4.2626.SM.4AT6B	GTEX.11NV4.1926.SM.5N9D4	GTEX.13VXT.1726.SM.5IFF5	GTEX.13113.1526.SM.5EGHV	GTEX.14B4R.1426.SM.5Q5CG	GTEX.13OVL.2926.SM.5IFG3	GTEX.X15G.2126.SM.4PQZR	TCGA.EY.A1GL.01A.11R.A13S.07
ADCY9	248.0	258.57	251.48	387.02	341.51	1286.18	187.71	234.57	109.66	110.43	189.02	70.01	172.65	141.02	170.25	289.02	132.44	115.16	221.86	23.93
AKAP11	400.71	460.44	473.41	698.41	312.0	603.67	217.27	283.05	80.01	66.65	165.57	80.57	242.88	138.1	130.6	241.19	182.55	131.51	204.07	89.51
AKT3	417.77	536.45	624.99	543.96	320.8	244.57	205.5	181.28	32.36	76.17	55.89	29.7	77.25	15.56	10.16	153.34	38.12	14.24	77.79	61.68
AL358333.1	173.85	307.69	309.83	153.34	0.0	769.69	215.77	118.43	57.49	10.79	104.42	106.63	104.42	0.0	3.38	368.65	89.51	0.0	50.27	34.02
ANGEL2	647.07	728.11	693.58	540.19	514.56	536.45	353.59	273.37	217.27	165.57	277.2	441.64	260.38	231.32	214.27	356.05	239.52	165.57	249.73	154.42
ANKDD1A	86.43	90.77	127.89	150.17	116.78	44.89	72.52	61.25	27.44	25.54	60.82	14.03	53.57	41.52	20.41	87.03	63.0	40.36	65.26	34.02
ANKRD28	651.58	669.92	607.87	679.29	791.35	457.25	325.29	493.56	214.27	141.02	379.04	147.06	269.6	195.72	281.09	575.03	339.14	111.21	277.2	220.32
ANKRD44	170.25	172.65	228.13	320.8	159.9	95.34	128.79	221.86	15.34	20.86	35.25	29.27	180.02	44.25	40.07	218.79	94.01	46.18	131.51	8.58
ANTXR2	764.36	1397.83	1529.73	1909.85	1001.93	1143.1	1030.12	808.0	80.01	27.64	260.38	167.9	202.66	66.65	76.17	860.08	115.16	39.22	223.41	314.17
AP000783.1	3.72	4.7	6.67	1.69	6.46	19.68	7.94	10.96	0.61	1.31	9.2	2.94	0.0	1.17	1.16	7.63	3.41	1.45	6.31	1.48
ARFGEF2	688.78	633.73	660.68	759.08	229.72	289.02	332.14	403.5	248.0	139.07	211.31	98.04	283.05	183.82	211.31	351.14	287.01	163.28	212.78	171.45
ARHGEF6	813.63	688.78	669.92	1709.26	139.07	167.9	109.66	231.32	21.01	23.93	128.79	24.99	141.02	84.63	37.85	201.25	69.03	44.25	122.64	21.78
