	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.131XF.1026.SM.5BC6A	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	TCGA.AJ.A3TW.01A.11R.A22K.07
ABCC8	0.0	12.09	7.63	7.22	0.91	0.0	0.0	0.0	4.7	0.0	0.0	0.67	110.43	45.21	35.5	7.69	125.24	165.57	4.35	198.47	58.71	105.15	20.41	42.11	175.07	242.88	17.25	34.51	59.13	836.53	229.72	253.23	17.38	40.07	9.48	24.28	29.91	218.79	3.0	248.0	206.94	52.82	53.57	4.06	172.65	67.59	23.25	229.72	49.91	4.31	44.89	32.59	135.24	470.14	384.34	1.07
ADIPOR2	366.09	866.07	638.15	567.1	616.37	872.1	1001.93	656.11	223.41	616.37	0.0	0.34	2417.67	1066.48	1111.82	802.41	1662.49	2271.4	503.95	2537.92	1167.14	1277.29	819.3	1044.52	1639.59	1819.35	848.22	1551.09	1277.29	3665.02	2271.4	1950.0	842.36	1467.37	540.19	1733.13	928.3	1844.76	507.46	1551.09	1540.37	669.92	1259.69	612.11	1233.75	1322.37	967.76	1991.0	1457.23	819.3	1073.91	532.74	1781.89	1733.13	2319.15	563.18
AFF2	0.31	0.0	0.0	0.56	0.0	0.0	0.0	0.53	0.0	0.45	0.0	0.39	193.01	36.79	35.5	5.02	128.79	98.73	6.46	141.02	15.0	100.13	21.47	35.25	19.39	63.0	0.16	78.34	66.18	271.48	153.34	83.45	47.17	48.18	4.31	39.79	72.01	185.11	0.46	42.41	81.71	5.96	15.8	10.88	12.18	106.63	17.13	31.22	101.54	2.16	25.17	22.59	124.37	37.05	146.03	0.0
AKT3	59.13	30.12	36.01	48.87	15.8	22.75	11.82	35.25	8.0	6.41	0.0	0.59	748.61	186.4	145.02	63.89	373.81	660.68	65.72	638.15	500.46	341.51	189.02	267.73	164.42	185.11	101.54	371.22	157.68	738.29	995.0	507.46	228.13	320.8	90.77	381.68	159.9	665.29	141.02	503.95	483.38	167.9	356.05	303.44	305.55	189.02	103.69	314.17	403.5	77.25	169.07	158.79	450.94	297.17	647.07	47.5
AP5B1	52.08	58.71	50.98	37.85	116.78	96.01	72.01	48.87	89.51	27.25	0.0	0.09	303.44	343.89	218.79	265.87	246.28	316.37	154.42	318.57	353.59	242.88	334.46	271.48	273.37	403.5	191.67	253.23	332.14	363.56	379.04	271.48	273.37	195.72	193.01	435.55	215.77	381.68	143.01	312.0	269.6	211.31	309.83	114.36	368.65	406.31	146.03	241.19	343.89	185.11	376.41	363.56	387.02	426.57	309.83	102.97
ARHGAP6	6.11	17.38	20.56	39.79	11.91	23.93	2.05	12.64	2.71	6.31	0.0	0.49	295.11	159.9	191.67	80.01	395.18	435.55	68.07	500.46	231.32	255.0	155.5	182.55	248.0	325.29	56.28	173.85	223.41	480.04	327.56	361.04	185.11	220.32	46.5	490.14	153.34	400.71	82.87	426.57	346.29	122.64	195.72	99.43	115.16	265.87	120.1	215.77	253.23	126.12	187.71	131.51	346.29	379.04	353.59	6.57
ATOH8	915.51	12.18	105.15	466.88	269.6	34.51	7.82	255.0	9.78	37.05	0.0	0.44	14765.09	1794.29	3303.0	995.0	8598.28	11035.54	616.37	11189.6	3103.19	5751.61	3395.89	4328.55	12415.75	8778.97	536.45	4512.4	4543.8	11424.74	9876.98	6471.02	1963.57	1369.04	624.99	1417.35	718.08	5791.62	80.57	16045.82	8421.31	780.44	3901.01	493.56	2133.97	3190.46	2451.44	6607.01	9151.82	1143.1	5954.47	1295.13	5872.48	5183.54	6207.38	444.72
BRD1	295.11	273.37	172.65	177.53	155.5	119.26	220.32	305.55	107.38	107.38	0.0	0.83	242.88	603.67	384.34	279.14	447.82	444.72	318.57	607.87	423.61	679.29	423.61	432.53	748.61	466.88	221.86	368.65	289.02	785.88	493.56	575.03	392.44	289.02	299.25	559.28	314.17	555.41	244.57	503.95	547.75	281.09	612.11	341.51	647.07	429.54	242.88	441.64	379.04	194.36	447.82	305.55	723.08	616.37	529.06	116.78
BTNL9	81.71	52.08	78.34	215.77	92.05	38.95	76.17	66.18	4.54	57.49	0.0	0.78	1268.46	813.63	1950.0	176.29	5292.48	1883.54	253.23	3874.05	2119.22	2400.97	674.59	1350.18	2520.38	2664.15	19.53	1936.53	1313.23	2163.77	3146.52	1844.76	947.83	967.76	77.79	1733.13	264.03	3018.3	71.5	2178.83	1909.85	223.41	1397.83	191.67	1781.89	1923.14	486.75	2451.44	2682.69	181.28	878.17	684.02	2502.97	3018.3	3235.01	1.45
C10orf54	525.39	406.31	397.93	642.59	420.68	406.31	1143.1	353.59	181.28	117.6	0.0	0.8	3928.15	2701.35	2148.82	2956.17	4903.87	5041.77	854.13	4181.07	3257.52	2400.97	2645.74	2032.85	2609.3	6121.9	1977.24	1832.01	3794.3	6935.54	2271.4	1991.0	2090.03	1923.14	2384.37	1268.46	1594.73	4869.99	2997.45	2209.26	4123.49	1127.35	3235.01	1819.35	4388.98	5633.22	2520.38	3325.99	4210.15	4358.66	3467.27	1963.57	5441.3	9740.98	4543.8	476.71
