	GTEX.U8XE.1326.SM.4E3JK	GTEX.U8XE.1826.SM.4E3HV	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.XQ3S.2526.SM.4BOOG	GTEX.YJ8A.1126.SM.5IFJU	GTEX.144GM.0826.SM.5O98R	GTEX.11WQK.2726.SM.5EQMU	GTEX.ZUA1.2826.SM.59HLE	GTEX.132NY.2826.SM.5P9G2	GTEX.11TUW.2126.SM.5GU7B
ABCE1	813.63	848.22	688.78	361.04	483.38	728.11	555.41	476.71	603.67	629.35	470.14	547.75	273.37	536.45	603.67	447.82	500.46	559.28	743.43	316.37	307.69	629.35	466.88	420.68	511.0	785.88	457.25	708.18	620.67	376.41	327.56	332.14	435.55	728.11	457.25	351.14	368.65	406.31	376.41	417.77	305.55	679.29	796.86	1030.12	285.03	256.78	624.99
ABCF2	1572.76	1551.09	796.86	518.15	595.34	902.89	511.0	518.15	825.0	642.59	748.61	521.76	470.14	669.92	603.67	457.25	381.68	454.09	587.13	536.45	532.74	642.59	660.68	511.0	329.84	708.18	620.67	563.18	813.63	483.38	518.15	463.65	466.88	713.11	486.75	490.14	583.07	486.75	525.39	497.0	460.44	884.29	974.5	1259.69	441.64	403.5	780.44
ABCG1	400.71	336.79	703.28	595.34	244.57	775.05	536.45	147.06	669.92	406.31	447.82	426.57	202.66	366.09	299.25	532.74	417.77	525.39	525.39	244.57	279.14	656.11	397.93	299.25	307.69	599.49	438.59	435.55	718.08	273.37	392.44	267.73	387.02	698.41	693.58	283.05	753.83	224.97	111.99	147.06	108.14	470.14	1322.37	567.1	144.01	297.17	551.56
ABL2	299.25	293.07	101.54	32.59	76.17	85.82	73.54	81.14	115.16	79.45	96.01	98.73	64.8	74.06	113.56	67.12	61.68	123.5	82.29	48.87	53.57	96.01	77.79	90.14	77.79	138.1	95.34	135.24	139.07	56.68	67.12	64.34	66.65	98.04	77.25	53.57	75.64	70.51	64.8	50.27	62.56	127.89	144.01	182.55	45.85	63.89	92.7
ADAMTS4	3419.52	2451.44	220.32	10.63	60.82	159.9	20.86	34.75	366.09	146.03	872.1	26.47	15.11	21.78	836.53	17.64	4.03	150.17	38.12	22.59	15.91	244.57	31.22	66.18	395.18	463.65	195.72	674.59	595.34	21.63	12.36	11.13	55.49	199.85	68.07	28.45	182.55	18.29	11.3	11.13	3.92	1159.07	1151.06	759.08	1.79	9.63	332.14
ARID5A	7695.57	4388.98	1781.89	120.1	265.87	1447.15	101.54	291.04	1745.2	808.0	1111.82	100.13	260.38	130.6	928.3	199.85	97.36	291.04	275.28	336.79	239.52	753.83	249.73	743.43	713.11	447.82	1066.48	1540.37	1639.59	195.72	258.57	193.01	231.32	954.43	190.34	229.72	540.19	381.68	295.11	228.13	305.55	3564.78	2178.83	866.07	55.1	303.44	764.36
ATP13A3	1313.23	1540.37	753.83	414.87	647.07	830.75	728.11	547.75	759.08	813.63	674.59	785.88	470.14	656.11	769.69	708.18	579.04	769.69	1008.9	358.54	400.71	921.88	587.13	441.64	612.11	1651.0	723.08	1135.2	753.83	480.04	429.54	532.74	616.37	854.13	819.3	473.41	703.28	551.56	529.06	529.06	435.55	1378.57	954.43	1295.13	420.68	361.04	848.22
BATF3	525.39	551.56	361.04	30.56	28.45	99.43	7.88	34.75	476.71	25.17	44.89	15.8	16.39	23.08	58.71	28.24	8.71	49.56	26.47	38.67	18.43	57.08	16.63	83.45	17.25	139.07	128.79	49.56	521.76	22.92	44.57	14.78	12.36	170.25	15.11	20.56	39.79	18.29	31.67	6.89	15.91	102.97	206.94	155.5	7.75	30.78	112.77
BAZ1A	483.38	486.75	511.0	156.59	307.69	718.08	281.09	351.14	633.73	361.04	406.31	339.14	172.65	279.14	376.41	293.07	343.89	303.44	295.11	320.8	303.44	366.09	299.25	287.01	356.05	406.31	514.56	353.59	599.49	185.11	325.29	251.48	417.77	400.71	249.73	194.36	271.48	258.57	189.02	205.5	186.4	316.37	825.0	423.61	157.68	197.09	438.59
BCL3	8305.36	6745.86	4903.87	607.87	1350.18	3443.31	1023.0	934.76	5479.15	620.67	3280.18	638.15	620.67	785.88	3018.3	769.69	607.87	2148.82	368.65	1617.0	684.02	2018.8	511.0	2047.0	1359.57	1806.78	4903.87	4066.71	4543.8	866.07	1417.35	616.37	836.53	6426.31	647.07	723.08	2335.28	511.0	543.96	1008.9	693.58	4038.61	4038.61	5633.22	543.96	733.19	4607.24
