	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CJ.4908.01A.01R.1426.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.A3.A8CQ.01A.11R.A37O.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.BP.4164.01A.02R.1325.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.BP.4961.01A.01R.1334.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4344.01A.01R.1289.07	TCGA.B2.5636.01A.02R.1541.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.A3.3335.01A.01R.0864.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4965.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B0.5080.01A.01R.1503.07	TCGA.B0.4693.01A.01R.1277.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZPU1.2326.SM.57WEP
APLNR	503.95	21.01	1733.13	490.14	1313.23	1008.9	656.11	1832.01	2777.33	1806.78	285.03	836.53	486.75	186.4	1088.92	713.11	171.45	457.25	3081.75	878.17	214.27	2537.92	232.94	128.79	353.59	3280.18	1909.85	1037.29	1008.9	3325.99	1781.89	497.0	131.51	291.04	1745.2	1467.37	1628.26	205.5	318.57	88.26	97.36	5219.6	567.1	2816.11	454.09	3589.58	3690.52	454.09	902.89	30.12	406.31	283.05	1936.53	251.48	624.99	616.37	336.79	947.83	616.37	312.0	1199.98	444.72	470.14	497.0	111.99	341.51	860.08	1605.83	215.77	320.8	312.0	1313.23	111.21	607.87	466.88	2417.67	287.01	830.75	698.41	361.04	368.65	120.1	647.07	0.0	114.36
ARHGAP31	18.84	25.35	314.17	122.64	293.07	153.34	287.01	540.19	368.65	441.64	100.83	423.61	212.78	117.6	343.89	231.32	68.07	134.3	332.14	155.5	62.12	483.38	111.99	172.65	123.5	470.14	497.0	267.73	187.71	718.08	201.25	152.28	157.68	287.01	314.17	429.54	293.07	166.73	195.72	80.01	127.0	866.07	423.61	607.87	178.77	426.57	647.07	139.07	255.0	73.54	291.04	125.24	426.57	122.64	164.42	208.38	231.32	202.66	305.55	75.64	283.05	114.36	187.71	163.28	161.02	151.22	191.67	348.71	134.3	150.17	165.57	327.56	91.41	202.66	108.9	414.87	265.87	269.6	195.72	172.65	133.36	41.22	195.72	0.0	51.35
ARHGEF15	66.65	24.99	1277.29	249.73	785.88	143.01	848.22	1437.15	532.74	1127.35	92.05	1119.56	525.39	152.28	620.67	579.04	87.65	346.29	1037.29	371.22	62.56	1286.18	182.55	177.53	162.14	1151.06	743.43	575.03	253.23	2255.7	607.87	371.22	198.47	403.5	928.3	1191.69	660.68	226.54	571.05	146.03	217.27	1883.54	221.86	1175.27	409.15	1175.27	1697.45	271.48	503.95	124.37	848.22	264.03	872.1	164.42	435.55	320.8	525.39	426.57	559.28	118.43	476.71	251.48	532.74	368.65	384.34	693.58	503.95	1008.9	221.86	476.71	368.65	703.28	39.79	267.73	289.02	1183.45	438.59	638.15	503.95	327.56	387.02	49.21	341.51	0.0	33.3
ARRB1	212.78	30.12	791.35	194.36	583.07	273.37	473.41	819.3	791.35	651.58	177.53	708.18	323.03	182.55	551.56	486.75	136.19	297.17	713.11	283.05	199.85	902.89	228.13	320.8	139.07	802.41	753.83	406.31	341.51	1030.12	356.05	341.51	149.12	323.03	674.59	575.03	583.07	281.09	397.93	242.88	212.78	1313.23	381.68	684.02	343.89	1208.34	1008.9	251.48	540.19	211.31	389.72	277.2	693.58	260.38	327.56	241.19	470.14	395.18	414.87	218.79	346.29	215.77	348.71	239.52	334.46	397.93	460.44	555.41	318.57	267.73	336.79	660.68	132.44	441.64	387.02	884.29	412.0	444.72	351.14	221.86	246.28	102.25	450.94	0.0	103.69
BCL6B	100.83	47.5	2032.85	281.09	928.3	275.28	1175.27	1870.53	665.29	1015.93	193.01	728.11	435.55	208.38	571.05	780.44	316.37	334.46	1277.29	460.44	67.59	1819.35	175.07	295.11	220.32	1508.65	819.3	802.41	309.83	3060.45	1832.01	532.74	211.31	703.28	1183.45	1529.73	791.35	403.5	571.05	293.07	218.79	2004.85	441.64	1733.13	476.71	981.29	1388.16	400.71	551.56	269.6	743.43	327.56	1044.52	226.54	486.75	708.18	559.28	669.92	567.1	258.57	728.11	348.71	713.11	518.15	379.04	563.18	665.29	1175.27	251.48	642.59	269.6	536.45	55.1	258.57	309.83	2209.26	738.29	490.14	616.37	312.0	358.54	90.77	486.75	0.0	35.76
C18orf54	18.43	25.35	38.95	14.03	46.5	33.54	43.94	62.56	34.02	67.12	41.22	62.56	34.02	23.59	38.95	44.25	12.93	25.35	35.76	24.63	10.08	87.65	22.1	26.67	18.97	71.0	94.01	31.67	23.93	59.55	32.13	39.79	32.13	62.56	74.58	39.5	47.84	25.72	35.76	45.21	23.76	85.82	147.06	62.12	52.45	61.25	80.01	28.04	40.07	15.34	34.75	32.13	98.73	12.0	30.78	24.11	43.32	52.82	34.75	25.91	38.67	16.51	29.27	60.82	25.91	38.67	34.75	63.0	24.81	29.91	22.26	40.64	20.11	23.42	61.25	50.98	27.25	35.0	31.9	38.4	18.97	19.25	65.72	0.0	7.46
C3orf70	2.68	11.13	137.14	46.18	85.22	52.08	69.52	166.73	101.54	120.94	15.45	120.94	52.82	21.32	78.34	109.66	18.7	45.21	64.8	38.4	12.74	183.82	13.83	19.11	24.99	139.07	164.42	70.01	69.03	234.57	60.39	94.67	40.93	66.65	139.07	81.71	90.77	43.63	48.52	19.39	14.45	178.77	50.27	163.28	21.94	165.57	145.02	34.75	142.01	14.67	88.26	64.34	107.38	29.48	40.93	66.65	85.82	87.03	74.06	33.54	108.14	38.4	66.65	65.26	48.18	58.3	57.08	153.34	73.54	73.54	42.41	108.9	2.48	38.4	51.35	105.15	63.89	111.21	68.55	35.76	60.39	37.59	59.13	0.0	0.34
CASKIN2	172.65	180.02	642.59	281.09	915.51	127.0	529.06	642.59	507.46	872.1	318.57	902.89	575.03	234.57	444.72	500.46	239.52	262.2	1037.29	486.75	88.26	679.29	325.29	332.14	244.57	591.22	748.61	599.49	279.14	1259.69	587.13	426.57	279.14	540.19	607.87	1023.0	825.0	291.04	511.0	255.0	234.57	1268.46	287.01	830.75	490.14	791.35	1832.01	267.73	543.96	126.12	571.05	281.09	775.05	307.69	543.96	376.41	285.03	291.04	426.57	186.4	376.41	299.25	629.35	358.54	368.65	358.54	591.22	429.54	234.57	339.14	363.56	532.74	130.6	444.72	376.41	463.65	376.41	497.0	389.72	199.85	295.11	197.09	295.11	0.0	172.65
CHRM3	1.79	33.54	37.05	9.78	111.21	11.04	28.04	108.14	65.26	148.09	5.68	86.43	27.25	5.54	26.1	24.46	5.41	22.1	158.79	21.94	1.57	159.9	10.55	5.32	10.16	52.45	65.72	43.02	19.25	103.69	75.64	8.38	5.15	68.07	115.97	223.41	88.88	11.64	4.98	3.63	2.84	320.8	3.11	234.57	39.5	181.28	256.78	4.21	15.11	2.66	54.72	10.71	140.04	12.45	48.52	3.82	4.94	18.16	27.44	8.78	41.81	4.58	40.36	30.56	11.47	14.67	58.3	27.25	8.71	13.42	2.56	95.34	4.17	21.01	14.24	60.39	12.93	58.3	19.11	18.43	19.68	3.82	17.0	0.0	0.0
CYYR1	34.51	26.28	915.51	507.46	769.69	318.57	819.3	1457.23	909.17	1225.22	241.19	1757.34	1183.45	165.57	1225.22	738.29	116.78	902.89	866.07	693.58	141.02	1508.65	329.84	351.14	329.84	1605.83	1268.46	1167.14	366.09	1806.78	693.58	547.75	314.17	780.44	988.12	1286.18	819.3	426.57	575.03	167.9	237.86	1561.89	713.11	1697.45	511.0	1617.0	1733.13	325.29	848.22	175.07	848.22	379.04	1350.18	356.05	409.15	660.68	665.29	769.69	785.88	267.73	848.22	529.06	743.43	547.75	551.56	579.04	842.36	769.69	271.48	470.14	575.03	941.27	58.3	325.29	361.04	1175.27	764.36	1073.91	500.46	536.45	409.15	59.55	587.13	0.0	67.12
