	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A0TN.01A.21R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.A3A5.01A.11R.A22L.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
ABI1	674.59	698.41	1388.16	753.83	575.03	713.11	981.29	738.29	647.07	414.87	1088.92	476.71	884.29	450.94	1143.1	4704.07	872.1	450.94	629.35	438.59	429.54	1183.45	1183.45	457.25	381.68	928.3	836.53	1051.79	1427.22	1769.57	1313.23	995.0	1225.22	1008.9	1540.37	802.41	1709.26	1119.56	1427.22	1540.37	1583.71	1745.2	1313.23	1216.75	2018.8	1457.23	854.13	1073.91	1508.65	1322.37	1519.15	1359.57	1407.55	1467.37	454.09	1286.18	1350.18	2061.24	1733.13	1340.84	1081.39	1617.0	1572.76	616.37	738.29	896.64	733.19	1651.0	1709.26	1208.34	1685.71	656.11	2367.9	1685.71	928.3	718.08	1757.34	1159.07	669.92	954.43	2133.97	1819.35	1781.89	2133.97	1199.98	1437.15	830.75	674.59	1769.57	1561.89	1277.29	1529.73	748.61	1757.34	693.58	775.05	1923.14	995.0	988.12	1073.91	1819.35	1135.2	723.08	1066.48	1467.37	2255.7	1857.6	1350.18	579.04	341.51	2835.7	1819.35	303.44	409.15	258.57
AFF4	161.02	127.89	420.68	132.44	220.32	161.02	249.73	123.5	241.19	105.89	603.67	135.24	173.85	202.66	299.25	915.51	221.86	145.02	191.67	142.01	223.41	205.5	148.09	211.31	108.14	392.44	327.56	202.66	379.04	209.84	543.96	132.44	414.87	312.0	432.53	189.02	432.53	332.14	423.61	497.0	603.67	486.75	432.53	181.28	529.06	384.34	172.65	400.71	525.39	460.44	237.86	409.15	642.59	429.54	220.32	559.28	409.15	591.22	884.29	486.75	334.46	376.41	281.09	135.24	217.27	275.28	463.65	830.75	500.46	351.14	559.28	217.27	647.07	444.72	242.88	171.45	571.05	309.83	217.27	136.19	283.05	1008.9	412.0	406.31	348.71	616.37	217.27	244.57	559.28	309.83	271.48	387.02	211.31	260.38	163.28	432.53	521.76	403.5	325.29	144.01	435.55	536.45	463.65	285.03	381.68	713.11	579.04	214.27	105.89	223.41	872.1	1096.5	119.26	83.45	146.03
ARSJ	2.36	10.31	255.0	14.89	17.25	29.48	2.34	8.19	22.75	5.92	84.04	14.67	5.96	104.42	134.3	183.82	145.02	53.95	36.01	81.14	66.18	8.13	38.67	39.22	115.16	305.55	94.01	6.57	183.82	175.07	171.45	103.69	119.26	251.48	392.44	144.01	84.04	83.45	172.65	161.02	260.38	25.54	248.0	183.82	607.87	226.54	217.27	728.11	72.52	122.64	54.72	52.82	75.11	267.73	61.68	325.29	223.41	1277.29	32.82	234.57	91.41	165.57	248.0	60.82	312.0	209.84	299.25	121.79	155.5	212.78	182.55	144.01	441.64	161.02	139.07	80.57	157.68	194.36	125.24	104.42	295.11	249.73	111.21	209.84	133.36	91.41	85.82	133.36	708.18	234.57	92.05	316.37	105.15	173.85	30.12	253.23	395.18	312.0	279.14	75.11	181.28	153.34	220.32	134.3	251.48	211.31	72.01	25.91	11.3	5.68	92.05	131.51	6.11	38.12	85.82
ASXL2	60.82	59.97	100.13	57.08	59.13	77.79	64.8	38.67	41.81	30.78	183.82	43.02	64.34	56.68	128.79	199.85	137.14	69.52	59.55	46.5	44.89	85.82	81.14	87.65	62.56	131.51	140.04	81.14	127.89	94.67	165.57	78.34	92.05	63.89	148.09	50.63	122.64	99.43	127.89	131.51	205.5	129.69	156.59	71.0	161.02	206.94	66.18	151.22	123.5	140.04	76.17	70.01	108.9	115.16	69.03	166.73	177.53	299.25	264.03	209.84	81.14	307.69	120.1	51.35	59.97	75.64	98.04	264.03	144.01	93.35	201.25	48.18	152.28	151.22	65.26	57.89	156.59	84.63	60.82	64.34	122.64	251.48	147.06	185.11	106.63	217.27	73.54	63.45	150.17	133.36	64.34	64.34	84.04	316.37	30.12	123.5	141.02	205.5	51.35	57.08	108.14	164.42	155.5	100.83	111.21	248.0	241.19	71.0	56.28	20.86	133.36	145.02	38.4	48.87	37.32
BACH1	97.36	119.26	432.53	221.86	256.78	400.71	215.77	99.43	169.07	46.18	403.5	285.03	400.71	185.11	295.11	866.07	171.45	246.28	204.07	148.09	397.93	567.1	236.21	346.29	476.71	507.46	332.14	329.84	305.55	341.51	603.67	185.11	1199.98	318.57	813.63	265.87	381.68	379.04	229.72	656.11	389.72	1096.5	389.72	277.2	684.02	733.19	148.09	693.58	454.09	293.07	432.53	1023.0	669.92	759.08	111.99	733.19	555.41	450.94	808.0	575.03	356.05	248.0	540.19	165.57	162.14	447.82	547.75	674.59	674.59	624.99	688.78	301.33	723.08	571.05	435.55	234.57	476.71	490.14	358.54	341.51	249.73	1051.79	351.14	607.87	366.09	2915.45	332.14	521.76	591.22	395.18	356.05	624.99	409.15	283.05	175.07	547.75	688.78	339.14	248.0	163.28	384.34	579.04	954.43	490.14	583.07	954.43	599.49	387.02	77.25	127.0	684.02	753.83	108.14	121.79	84.63
C10orf118	42.41	62.56	176.29	48.52	90.14	53.95	87.03	43.94	90.77	36.27	122.64	40.07	169.07	80.01	101.54	325.29	97.36	65.72	87.65	53.19	49.91	108.14	141.02	94.67	57.49	166.73	94.01	116.78	87.03	80.57	218.79	81.14	264.03	125.24	218.79	82.87	181.28	241.19	182.55	228.13	153.34	226.54	194.36	78.89	161.02	120.94	90.77	155.5	199.85	265.87	199.85	329.84	209.84	151.22	89.51	182.55	148.09	148.09	305.55	214.27	115.16	171.45	183.82	75.11	72.01	105.89	135.24	255.0	214.27	167.9	187.71	81.14	176.29	173.85	98.73	90.77	231.32	103.69	88.88	59.97	190.34	258.57	158.79	140.04	175.07	260.38	100.83	88.26	111.99	205.5	112.77	181.28	99.43	175.07	89.51	182.55	224.97	139.07	46.5	70.51	201.25	189.02	197.09	102.97	194.36	312.0	341.51	153.34	47.5	34.75	241.19	285.03	52.45	28.04	50.98
CAMK2D	13.83	130.6	928.3	157.68	166.73	154.42	255.0	23.93	84.63	90.77	376.41	151.22	181.28	629.35	314.17	232.94	258.57	116.78	226.54	214.27	82.87	74.58	193.01	54.72	187.71	511.0	218.79	71.0	454.09	295.11	503.95	195.72	928.3	417.77	698.41	260.38	540.19	473.41	358.54	688.78	1008.9	435.55	651.58	258.57	1651.0	775.05	454.09	660.68	540.19	444.72	559.28	802.41	273.37	521.76	151.22	341.51	587.13	890.44	500.46	830.75	532.74	540.19	723.08	166.73	563.18	417.77	665.29	759.08	532.74	642.59	860.08	476.71	1175.27	543.96	301.33	139.07	679.29	665.29	214.27	346.29	842.36	842.36	423.61	551.56	466.88	603.67	244.57	234.57	915.51	819.3	551.56	738.29	255.0	441.64	301.33	595.34	674.59	514.56	318.57	208.38	514.56	373.81	679.29	334.46	575.03	896.64	521.76	503.95	371.22	78.89	1447.15	366.09	76.17	183.82	137.14
CCRN4L	120.94	162.14	269.6	93.35	105.89	20.71	81.14	43.02	62.56	59.97	258.57	111.99	229.72	159.9	119.26	186.4	62.12	100.13	100.83	124.37	136.19	85.82	52.45	44.89	56.68	325.29	102.25	58.3	134.3	26.47	400.71	92.7	281.09	156.59	500.46	186.4	154.42	397.93	201.25	708.18	483.38	291.04	392.44	603.67	1044.52	343.89	161.02	295.11	194.36	332.14	293.07	486.75	198.47	264.03	55.1	379.04	381.68	118.43	381.68	265.87	373.81	351.14	186.4	141.02	348.71	323.03	1199.98	480.04	438.59	371.22	500.46	327.56	928.3	332.14	226.54	125.24	612.11	348.71	112.77	156.59	249.73	486.75	190.34	395.18	295.11	438.59	273.37	54.33	161.02	351.14	269.6	620.67	186.4	395.18	151.22	529.06	379.04	356.05	220.32	105.15	486.75	525.39	293.07	175.07	426.57	872.1	444.72	236.21	12.45	58.3	1340.84	490.14	23.25	60.39	39.5
CCSER2	109.66	182.55	493.56	170.25	339.14	195.72	198.47	81.71	150.17	148.09	228.13	218.79	237.86	173.85	423.61	529.06	312.0	157.68	141.02	93.35	108.14	126.12	239.52	176.29	125.24	307.69	241.19	193.01	242.88	253.23	470.14	183.82	395.18	312.0	305.55	190.34	379.04	281.09	325.29	466.88	327.56	297.17	287.01	237.86	438.59	343.89	214.27	307.69	397.93	381.68	202.66	395.18	236.21	287.01	275.28	429.54	348.71	271.48	395.18	435.55	260.38	343.89	281.09	123.5	186.4	395.18	305.55	457.25	343.89	239.52	366.09	251.48	346.29	384.34	201.25	190.34	316.37	255.0	201.25	220.32	470.14	521.76	269.6	305.55	320.8	426.57	180.02	127.0	368.65	316.37	187.71	368.65	271.48	406.31	220.32	329.84	454.09	429.54	241.19	269.6	441.64	277.2	293.07	255.0	295.11	775.05	547.75	267.73	152.28	115.97	318.57	444.72	87.65	72.01	112.77
CDCP1	647.07	543.96	660.68	698.41	624.99	878.17	147.06	444.72	693.58	177.53	1104.13	836.53	341.51	412.0	591.22	1037.29	669.92	603.67	400.71	633.73	954.43	878.17	387.02	1151.06	309.83	547.75	947.83	698.41	6840.04	163.28	1015.93	387.02	435.55	587.13	1216.75	567.1	890.44	500.46	808.0	1151.06	1794.29	780.44	1104.13	791.35	1397.83	967.76	387.02	1639.59	860.08	532.74	432.53	836.53	703.28	1143.1	204.07	1447.15	1208.34	848.22	1225.22	703.28	1008.9	698.41	708.18	417.77	915.51	595.34	775.05	1322.37	1378.57	1059.11	941.27	470.14	1388.16	2148.82	532.74	748.61	909.17	866.07	802.41	941.27	587.13	1977.24	1015.93	684.02	718.08	1697.45	334.46	629.35	2193.99	896.64	483.38	579.04	1477.58	780.44	371.22	780.44	1437.15	1175.27	961.07	796.86	1277.29	1044.52	1044.52	1081.39	1127.35	579.04	1081.39	493.56	3.23	0.8	2935.74	1991.0	133.36	119.26	102.25
