	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4627.11A.01R.1758.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ABI3BP	2384.37	1417.35	587.13	173.85	99.43	2.58	134.3	153.34	22.43	98.73	2.43	22.59	78.34	46.84	17.13	12.18	1.36	7.51	6.84	43.02	44.89	8.51	40.93	7.63	21.47	11.64	102.97	5.36	8.85	6.16	5.96	8.19	4.17	218.79	3.14	27.05	0.85	224.97	15.34	48.52	56.68	38.4	171.45	13.22	113.56	226.54	1143.1	102.97	1322.37	656.11	1322.37	1008.9	2777.33	178.77	872.1	157.68	236.21	1286.18	4181.07	1081.39	18689.27	1923.14	796.86	2915.45	1225.22	665.29	1127.35	3372.43	1199.98
AC096677.1	26.1	10.16	14.89	4.46	1.46	3.41	1.83	9.93	1.91	0.0	0.0	0.0	0.0	1.14	0.0	5.77	1.1	2.14	0.0	1.23	0.0	1.19	3.11	1.46	2.01	0.0	11.47	3.66	1.71	0.0	0.0	1.08	0.67	4.46	0.0	0.0	0.0	20.26	0.0	3.44	1.93	0.0	0.0	2.61	1.57	0.0	28.86	9.13	12.45	5.59	11.47	11.55	27.84	18.29	45.53	24.63	5.77	65.26	42.41	22.26	40.07	21.47	17.0	21.47	8.25	8.85	11.3	27.64	22.59
ADAMTS1	3081.75	1096.5	579.04	301.33	429.54	79.45	341.51	253.23	50.98	120.1	43.63	98.73	26.28	104.42	43.32	111.99	44.57	43.32	90.77	92.7	159.9	96.01	119.26	35.0	70.01	135.24	500.46	57.89	98.73	27.64	65.72	57.49	74.06	457.25	60.82	138.1	20.71	384.34	217.27	435.55	137.14	138.1	208.38	109.66	105.15	88.26	486.75	211.31	1662.49	521.76	3168.41	1331.57	6699.25	1617.0	5041.77	256.78	532.74	2018.8	2133.97	1662.49	5006.93	2133.97	1037.29	1617.0	825.0	587.13	1259.69	718.08	1088.92
ADAMTS12	30.78	12.55	43.94	20.41	24.28	3.11	23.08	33.78	18.7	25.17	9.78	22.75	3.72	8.25	5.5	2.53	1.69	4.17	7.75	24.11	35.0	8.06	20.41	2.12	20.56	3.44	18.56	10.08	12.45	5.36	4.03	11.38	10.47	35.25	5.96	14.89	2.16	48.52	16.75	4.94	14.78	14.03	7.28	4.7	6.52	3.23	77.79	58.3	132.44	55.89	63.89	26.67	183.82	220.32	132.44	124.37	33.3	100.13	438.59	69.03	103.69	22.92	80.01	202.66	8.45	42.41	56.68	202.66	134.3
ADAMTS15	91.41	42.71	71.0	128.79	228.13	0.92	7.63	8.19	5.02	6.46	6.01	12.36	3.41	5.28	1.35	5.45	1.25	2.63	8.65	7.22	8.45	3.63	7.34	0.88	6.78	1.45	22.75	2.36	3.53	1.97	0.83	1.58	1.14	12.0	6.94	2.94	1.06	24.63	3.06	1.36	18.03	2.92	4.7	1.81	19.53	3.69	59.55	7.75	97.36	59.97	212.78	98.73	54.72	59.13	119.26	80.57	206.94	125.24	346.29	102.25	48.18	87.65	189.02	92.05	172.65	244.57	157.68	70.51	125.24
ADAMTS2	624.99	47.84	358.54	41.81	109.66	6.16	139.07	211.31	52.45	157.68	16.63	16.75	12.45	95.34	23.08	21.47	7.69	17.0	49.21	155.5	199.85	10.08	94.67	8.58	110.43	16.63	99.43	32.36	56.68	30.78	9.34	29.91	18.29	164.42	11.55	70.01	7.63	368.65	29.7	83.45	323.03	80.01	50.63	105.15	120.1	37.59	209.84	187.71	351.14	112.77	743.43	215.77	1950.0	656.11	332.14	555.41	157.68	466.88	954.43	587.13	198.47	406.31	279.14	255.0	67.59	480.04	150.17	182.55	226.54
ADCY4	171.45	69.03	178.77	44.25	143.01	31.22	190.34	236.21	42.71	84.04	60.82	59.13	90.77	126.12	28.04	55.89	40.64	79.45	35.5	130.6	142.01	38.95	156.59	33.06	128.79	58.71	291.04	73.03	108.14	16.75	47.17	100.13	44.57	426.57	48.52	194.36	32.13	267.73	68.07	57.49	189.02	34.26	72.01	59.55	41.22	36.01	674.59	124.37	409.15	221.86	190.34	518.15	172.65	314.17	397.93	490.14	563.18	155.5	423.61	279.14	353.59	305.55	312.0	769.69	134.3	341.51	178.77	1151.06	329.84
ANTXR1	595.34	332.14	1081.39	473.41	264.03	6.21	157.68	186.4	47.84	131.51	19.53	24.11	10.88	60.82	25.72	27.84	6.31	13.52	22.92	149.12	205.5	13.93	123.5	11.91	90.14	17.77	161.02	27.64	78.89	19.97	18.03	24.81	21.01	389.72	12.55	56.68	13.03	438.59	38.95	93.35	12.45	46.18	149.12	23.59	59.97	27.05	571.05	312.0	1322.37	599.49	555.41	1023.0	2855.44	1259.69	2796.65	854.13	497.0	563.18	1832.01	1561.89	3257.52	603.67	258.57	1909.85	303.44	532.74	1015.93	2537.92	909.17
ARHGAP6	57.08	75.64	88.26	75.64	59.55	4.58	29.7	39.22	6.26	18.56	16.03	7.46	7.51	10.96	6.01	6.78	2.78	6.26	7.34	16.39	22.75	7.22	17.0	5.96	23.93	6.52	44.89	10.71	15.34	2.71	7.82	6.26	5.77	60.39	6.31	9.48	6.89	53.57	1.45	21.47	8.0	3.32	10.88	1.25	8.13	3.38	100.13	16.39	171.45	84.63	99.43	142.01	126.12	29.48	140.04	108.9	185.11	38.4	151.22	139.07	457.25	199.85	21.01	162.14	221.86	187.71	379.04	115.97	120.94
ARL15	289.02	275.28	457.25	242.88	239.52	140.04	356.05	366.09	122.64	239.52	155.5	88.26	186.4	159.9	199.85	172.65	152.28	107.38	271.48	181.28	221.86	204.07	181.28	110.43	153.34	264.03	473.41	193.01	157.68	131.51	138.1	211.31	136.19	429.54	161.02	212.78	161.02	507.46	102.25	231.32	178.77	248.0	181.28	91.41	209.84	295.11	325.29	110.43	351.14	334.46	229.72	301.33	633.73	392.44	371.22	353.59	323.03	173.85	368.65	457.25	688.78	218.79	228.13	249.73	309.83	368.65	480.04	316.37	348.71
