	GTEX.SE5C.1026.SM.4BRUG	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.YF7O.0826.SM.4W21F	GTEX.S95S.0326.SM.4B66U	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13O61.1126.SM.5L3FI
AC010336.1	1.08	0.0	3.17	1.81	1.81	0.0	0.0	0.0	10.96	31.9	8.45	9.78	3.23	4.98	7.63	1.27	18.84	3.69	18.16	9.2	16.39	4.58	0.4	0.38	6.41	2.03	4.24	3.56	0.0
ADCY6	133.36	361.04	147.06	624.99	775.05	463.65	395.18	718.08	733.19	909.17	629.35	476.71	633.73	651.58	718.08	395.18	497.0	551.56	1044.52	854.13	1081.39	1066.48	423.61	638.15	559.28	320.8	387.02	269.6	153.34
ALG8	435.55	376.41	674.59	303.44	211.31	287.01	371.22	423.61	854.13	1529.73	1437.15	928.3	669.92	743.43	674.59	1001.93	1540.37	1427.22	1104.13	693.58	1015.93	896.64	339.14	432.53	674.59	902.89	723.08	743.43	371.22
AMMECR1	40.93	47.17	28.24	38.67	30.56	23.76	33.54	31.67	353.59	224.97	212.78	147.06	171.45	181.28	167.9	112.77	145.02	113.56	253.23	198.47	111.99	194.36	23.25	63.89	132.44	98.73	157.68	96.01	38.67
ARFGEF2	119.26	170.25	86.43	329.84	620.67	178.77	260.38	318.57	693.58	1066.48	909.17	500.46	497.0	521.76	400.71	295.11	486.75	305.55	638.15	830.75	796.86	371.22	176.29	301.33	441.64	305.55	295.11	231.32	182.55
ARHGEF11	358.54	242.88	204.07	532.74	579.04	563.18	438.59	525.39	679.29	1081.39	708.18	454.09	543.96	599.49	532.74	444.72	575.03	361.04	988.12	559.28	587.13	555.41	366.09	571.05	473.41	303.44	371.22	291.04	320.8
ARHGEF39	81.71	68.55	63.45	151.22	142.01	143.01	114.36	89.51	223.41	567.1	503.95	156.59	258.57	341.51	376.41	80.01	260.38	441.64	447.82	234.57	872.1	316.37	88.26	111.21	156.59	135.24	183.82	170.25	74.06
ASB7	78.89	129.69	48.52	108.14	139.07	91.41	97.36	118.43	189.02	171.45	150.17	143.01	111.21	108.9	112.77	105.15	112.77	88.26	183.82	244.57	295.11	173.85	87.65	109.66	123.5	104.42	101.54	107.38	133.36
ATP13A3	277.2	283.05	285.03	612.11	1119.56	493.56	679.29	995.0	1277.29	2739.08	2133.97	1769.57	1073.91	1950.0	1081.39	688.78	1977.24	775.05	1721.16	2133.97	1359.57	1909.85	389.72	595.34	1066.48	693.58	624.99	603.67	341.51
ATP2A2	4769.75	1709.26	1216.75	2119.22	3039.3	2682.69	2573.36	2573.36	3467.27	4639.29	3190.46	2384.37	2935.74	3589.58	3716.2	2224.63	3212.66	3103.19	3515.68	3491.39	4328.55	2855.44	1304.15	1437.15	1950.0	1059.11	1388.16	915.51	1286.18
B3GNT2	123.5	244.57	149.12	166.73	201.25	127.0	187.71	141.02	500.46	518.15	438.59	493.56	563.18	346.29	356.05	473.41	376.41	563.18	536.45	612.11	293.07	441.64	108.9	242.88	518.15	432.53	361.04	438.59	255.0
BCR	500.46	571.05	591.22	738.29	435.55	457.25	656.11	629.35	954.43	848.22	915.51	547.75	684.02	1023.0	995.0	612.11	651.58	728.11	1225.22	603.67	947.83	748.61	633.73	713.11	665.29	591.22	603.67	441.64	429.54
C10orf111	1.28	0.0	1.25	7.11	2.07	0.0	1.69	2.89	6.84	18.43	5.41	8.0	4.86	6.73	5.06	3.86	8.32	6.46	11.3	5.32	10.79	5.5	2.81	2.58	9.34	4.03	0.0	8.19	1.91
C11orf42	0.0	1.06	0.0	1.95	1.95	1.6	1.99	4.31	17.38	5.82	11.38	10.16	6.57	15.68	2.05	0.6	7.82	1.89	11.21	17.13	14.56	12.45	1.62	1.04	1.33	2.23	2.2	1.62	1.01
C20orf195	3.35	2.07	4.82	8.78	3.0	4.1	0.65	0.65	12.0	78.89	36.79	13.22	12.27	17.9	11.55	9.2	10.55	11.13	10.39	50.98	15.8	25.72	8.13	6.36	2.86	5.06	0.0	12.18	0.13
C2CD3	163.28	148.09	115.16	271.48	314.17	178.77	209.84	208.38	441.64	679.29	403.5	486.75	356.05	212.78	384.34	232.94	314.17	138.1	470.14	426.57	307.69	283.05	248.0	309.83	242.88	277.2	140.04	325.29	169.07
C3orf65	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	7.69	23.59	6.11	10.55	1.01	3.5	1.62	3.29	18.7	0.41	11.38	15.56	10.63	1.48	0.32	0.65	0.4	0.0	2.39	0.0	0.0
CAMSAP3	12.93	52.82	28.04	78.89	23.93	3.08	4.54	52.08	2032.85	2104.58	1143.1	297.17	764.36	961.07	1378.57	244.57	426.57	1088.92	1286.18	1127.35	848.22	1015.93	0.64	361.04	1233.75	307.69	669.92	249.73	20.41
CANX	3280.18	3443.31	2075.59	3018.3	4010.71	2451.44	3018.3	3901.01	6079.61	10084.54	7280.4	5831.91	6561.36	7382.04	6294.04	4575.41	5112.16	7642.41	9740.98	7857.29	9808.75	9606.86	3794.3	4937.99	5441.3	3124.78	3614.55	3303.0	3443.31
CAPN5	180.02	490.14	135.24	198.47	76.71	123.5	81.14	156.59	1447.15	3372.43	785.88	1199.98	2255.7	2240.11	2895.31	890.44	525.39	1167.14	3847.29	4066.71	3467.27	1015.93	309.83	1088.92	1991.0	651.58	1806.78	595.34	251.48
CBLB	163.28	120.1	116.78	397.93	291.04	336.79	327.56	323.03	547.75	733.19	454.09	802.41	450.94	603.67	341.51	463.65	483.38	403.5	748.61	497.0	486.75	540.19	176.29	301.33	547.75	341.51	312.0	320.8	171.45
CCDC24	92.7	126.12	197.09	236.21	122.64	180.02	217.27	224.97	325.29	915.51	295.11	186.4	156.59	525.39	269.6	148.09	265.87	341.51	376.41	376.41	409.15	351.14	241.19	256.78	171.45	279.14	346.29	316.37	195.72
