	GTEX.YJ8O.0326.SM.5RQJW	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13G51.1026.SM.5K7YQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.139TU.1326.SM.5LZXW	GTEX.WZTO.1526.SM.4PQYQ	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.UJHI.0726.SM.3DB92	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.T8EM.0326.SM.3DB7F	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T
AAED1	220.32	194.36	170.25	217.27	208.38	173.85	255.0	205.5	217.27	281.09	186.4	860.08	669.92	287.01	575.03	688.78	785.88	629.35	348.71	297.17	429.54	403.5	312.0	540.19	361.04	651.58	825.0	660.68	403.5	595.34	688.78	371.22	221.86	339.14	432.53	503.95	297.17	713.11	426.57	267.73	414.87	802.41
ABHD13	146.03	134.3	136.19	116.78	79.45	100.83	139.07	115.16	116.78	137.14	152.28	231.32	249.73	150.17	144.01	339.14	228.13	171.45	191.67	204.07	127.89	108.9	169.07	152.28	314.17	297.17	454.09	356.05	186.4	264.03	281.09	136.19	118.43	127.0	189.02	158.79	88.88	480.04	158.79	108.9	185.11	361.04
ACBD3	339.14	293.07	316.37	229.72	346.29	283.05	327.56	291.04	289.02	277.2	323.03	954.43	921.88	460.44	836.53	1096.5	830.75	497.0	759.08	591.22	473.41	457.25	836.53	503.95	860.08	915.51	1529.73	1111.82	753.83	733.19	642.59	583.07	642.59	454.09	500.46	679.29	679.29	1081.39	454.09	514.56	679.29	738.29
ACTR2	708.18	738.29	718.08	651.58	738.29	665.29	728.11	748.61	684.02	733.19	759.08	3349.13	3257.52	2032.85	1963.57	2835.7	2163.77	1529.73	2468.49	2209.26	1844.76	2303.12	3060.45	2004.85	3955.48	3257.52	5183.54	4972.34	2133.97	4095.0	2434.5	1519.15	2133.97	848.22	2061.24	3257.52	1167.14	4419.52	1674.06	1561.89	2133.97	3928.15
AMD1	503.95	830.75	607.87	497.0	521.76	403.5	688.78	669.92	480.04	733.19	603.67	2502.97	1674.06	738.29	1119.56	2384.37	1498.22	1088.92	988.12	708.18	961.07	921.88	1369.04	890.44	1023.0	1529.73	2367.9	1950.0	1059.11	1572.76	1295.13	808.0	909.17	748.61	836.53	1304.15	909.17	2739.08	688.78	878.17	1250.98	1322.37
API5	579.04	660.68	624.99	603.67	612.11	579.04	579.04	698.41	624.99	536.45	660.68	1268.46	1331.57	802.41	995.0	1216.75	909.17	909.17	1015.93	866.07	961.07	896.64	1277.29	1096.5	1286.18	1268.46	1540.37	1909.85	941.27	974.5	1605.83	934.76	808.0	884.29	1073.91	1081.39	708.18	2061.24	819.3	842.36	1127.35	1467.37
ARL13B	115.97	78.89	124.37	121.79	98.04	102.25	110.43	95.34	100.13	111.99	127.89	603.67	301.33	138.1	373.81	301.33	423.61	211.31	209.84	189.02	258.57	140.04	223.41	197.09	466.88	376.41	974.5	447.82	289.02	444.72	387.02	241.19	208.38	157.68	264.03	242.88	117.6	438.59	182.55	137.14	336.79	356.05
ATP1A1	1662.49	2451.44	1572.76	1519.15	2075.59	1388.16	2816.11	1832.01	1923.14	3589.58	2061.24	21026.65	10659.59	5441.3	17927.91	22225.61	13872.08	12853.63	10014.87	12244.81	10084.54	14561.8	16269.83	18052.61	16496.96	17197.56	24660.96	14461.21	12853.63	16383.0	11992.79	12589.08	16045.82	7857.29	8778.97	16843.62	16611.71	13123.73	12589.08	10154.69	13586.57	15715.58
BCAP29	417.77	624.99	555.41	460.44	409.15	441.64	447.82	607.87	397.93	470.14	497.0	1388.16	1487.87	1127.35	1572.76	1313.23	1529.73	1322.37	1191.69	890.44	1304.15	1037.29	2193.99	1111.82	2047.0	2148.82	2997.45	2537.92	1477.58	1674.06	3146.52	830.75	808.0	583.07	1096.5	1059.11	1286.18	3212.66	819.3	775.05	1208.34	2178.83
BZW1	708.18	872.1	575.03	669.92	896.64	693.58	974.5	878.17	775.05	1081.39	878.17	3874.05	2895.31	1119.56	2485.67	7130.55	2816.11	1857.6	1498.22	1487.87	1259.69	1923.14	2287.2	2224.63	4268.94	2777.33	6079.61	3257.52	3235.01	2835.7	2682.69	1628.26	1529.73	1073.91	1832.01	2537.92	1378.57	6426.31	1437.15	1605.83	2090.03	2664.15
