	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A4S2.01A.12R.A266.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.EW.A1P5.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.PL.A8LZ.01A.31R.A36F.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.T2IS.1526.SM.32QPR	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W
APOBEC3A	2.63	87.65	58.3	8.51	44.57	17.77	152.28	0.0	47.84	2.43	2.63	14.56	260.38	23.76	4.43	166.73	5.87	518.15	1.2	1.11	44.25	323.03	11.13	80.57	27.25	4.43	603.67	2.34	244.57	19.68	93.35	16.39	4.03	11.38	6.41	0.0	74.06	2.23	53.57	10.39
APOL2	163.28	915.51	567.1	303.44	450.94	583.07	974.5	98.73	1685.71	285.03	163.28	591.22	2335.28	314.17	194.36	1561.89	612.11	1745.2	490.14	220.32	665.29	2018.8	293.07	836.53	738.29	483.38	1721.16	195.72	1037.29	563.18	902.89	366.09	426.57	307.69	258.57	226.54	262.2	423.61	303.44	444.72
BATF2	1.95	195.72	113.56	8.32	181.28	95.34	1745.2	4.24	92.05	45.53	1.95	29.27	518.15	32.36	7.22	429.54	72.01	688.78	30.34	41.22	389.72	688.78	182.55	89.51	59.97	78.89	1304.15	8.99	830.75	194.36	432.53	239.52	59.55	41.22	66.18	5.45	141.02	32.82	176.29	85.82
BTN3A2	125.24	1417.35	981.29	353.59	346.29	718.08	1950.0	109.66	796.86	323.03	125.24	651.58	1259.69	305.55	218.79	1757.34	738.29	571.05	460.44	258.57	1143.1	1250.98	540.19	1096.5	1073.91	275.28	2075.59	325.29	1551.09	669.92	748.61	723.08	669.92	579.04	674.59	293.07	579.04	551.56	1437.15	457.25
C19orf66	150.17	660.68	860.08	301.33	379.04	373.81	567.1	147.06	1088.92	170.25	150.17	366.09	2875.3	231.32	217.27	1295.13	503.95	1151.06	320.8	87.65	738.29	1508.65	460.44	759.08	551.56	547.75	3060.45	346.29	967.76	1023.0	1617.0	480.04	412.0	571.05	536.45	536.45	466.88	265.87	1651.0	358.54
CD274	13.52	120.94	70.51	16.15	17.9	50.27	158.79	9.63	69.03	14.24	13.52	28.65	157.68	29.06	24.46	63.0	22.75	195.72	9.34	26.1	86.43	173.85	17.0	71.0	44.25	23.59	260.38	23.59	94.01	25.91	201.25	20.11	50.98	43.94	41.22	12.09	29.48	67.59	95.34	11.21
CMPK2	16.51	703.28	368.65	109.66	314.17	432.53	902.89	22.26	323.03	60.82	16.51	119.26	1977.24	120.94	48.87	1277.29	194.36	1359.57	53.19	38.67	373.81	2271.4	181.28	361.04	384.34	69.03	4512.4	100.83	490.14	314.17	1286.18	366.09	45.85	71.5	368.65	115.97	83.45	60.39	441.64	120.94
CXCL10	7.57	2573.36	1519.15	35.5	909.17	429.54	5292.48	19.39	1583.71	61.25	7.57	693.58	1745.2	301.33	82.29	1936.53	248.0	11035.54	87.03	125.24	2090.03	3443.31	154.42	1832.01	1369.04	38.12	25354.3	228.13	5441.3	429.54	6699.25	447.82	90.77	262.2	231.32	142.01	400.71	68.55	450.94	490.14
CXCL11	0.53	890.44	327.56	1.95	182.55	57.49	1167.14	3.14	361.04	16.03	0.53	85.22	486.75	17.51	12.64	389.72	41.52	2032.85	20.41	13.32	339.14	1030.12	19.25	194.36	132.44	17.64	5479.15	37.05	1119.56	102.97	941.27	57.08	17.13	22.26	46.18	0.0	12.64	30.78	107.38	9.2
DDX58	128.79	1208.34	1066.48	110.43	698.41	854.13	1159.07	92.05	660.68	197.09	128.79	500.46	2895.31	208.38	262.2	1023.0	297.17	1216.75	206.94	190.34	1111.82	2875.3	532.74	435.55	450.94	258.57	4704.07	205.5	624.99	1151.06	3235.01	674.59	273.37	723.08	466.88	277.2	279.14	409.15	1757.34	234.57
