	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.KL.8341.01A.11R.2315.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.T5JC.1526.SM.4DM68	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.12696.0926.SM.5FQTV	GTEX.13RTJ.2226.SM.5S2Q1	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.B0.5703.11A.01R.1541.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8367.01A.11R.2343.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.FP.7998.01A.11R.2203.13	TCGA.BR.8380.01A.11R.2343.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BK.A13B.01A.51R.A22K.07
ANGEL1	75.11	122.64	96.01	426.57	47.17	743.43	244.57	236.21	183.82	242.88	226.54	198.47	351.14	202.66	373.81	346.29	334.46	291.04	301.33	218.79	198.47	269.6	242.88	262.2	220.32	279.14	356.05	232.94	273.37	208.38	353.59	267.73	231.32	228.13	122.64	127.0	271.48	239.52	255.0	283.05	71.0	109.66	529.06	435.55	417.77	591.22	525.39	490.14	450.94	457.25	172.65
BAZ2A	187.71	212.78	314.17	1331.57	164.42	708.18	420.68	497.0	269.6	511.0	332.14	267.73	743.43	444.72	571.05	688.78	708.18	395.18	693.58	503.95	49.21	432.53	532.74	651.58	384.34	684.02	587.13	381.68	842.36	379.04	656.11	454.09	441.64	400.71	195.72	197.09	723.08	583.07	688.78	511.0	234.57	103.69	1572.76	941.27	1331.57	1369.04	1359.57	954.43	1617.0	1295.13	269.6
BOD1L1	122.64	92.7	143.01	733.19	134.3	518.15	305.55	351.14	130.6	329.84	323.03	366.09	409.15	283.05	312.0	291.04	379.04	395.18	555.41	236.21	102.97	253.23	346.29	339.14	199.85	420.68	389.72	228.13	420.68	414.87	389.72	303.44	297.17	303.44	132.44	201.25	423.61	329.84	376.41	346.29	118.43	57.08	780.44	599.49	547.75	607.87	603.67	587.13	738.29	785.88	120.94
C12orf66	74.58	35.5	95.34	132.44	36.79	197.09	79.45	86.43	134.3	129.69	101.54	81.71	118.43	106.63	77.25	120.1	115.97	80.57	116.78	72.52	77.79	78.89	105.15	98.04	93.35	91.41	125.24	79.45	127.89	77.79	108.9	94.67	94.67	89.51	72.01	98.04	113.56	121.79	115.16	81.71	90.14	88.26	148.09	118.43	101.54	181.28	159.9	140.04	133.36	111.99	49.91
CCNT1	55.49	65.26	73.54	414.87	98.04	262.2	149.12	195.72	122.64	180.02	139.07	128.79	237.86	127.0	146.03	241.19	320.8	165.57	211.31	169.07	43.94	159.9	191.67	239.52	170.25	223.41	229.72	190.34	248.0	163.28	242.88	214.27	143.01	141.02	59.97	117.6	212.78	177.53	201.25	226.54	63.45	63.45	327.56	332.14	339.14	291.04	381.68	318.57	366.09	363.56	103.69
CLPX	463.65	255.0	287.01	708.18	320.8	1508.65	802.41	575.03	529.06	660.68	563.18	536.45	802.41	438.59	503.95	698.41	595.34	532.74	733.19	567.1	137.14	532.74	748.61	842.36	718.08	759.08	802.41	500.46	830.75	579.04	684.02	486.75	555.41	511.0	312.0	536.45	567.1	656.11	591.22	571.05	223.41	177.53	836.53	902.89	791.35	928.3	872.1	941.27	830.75	884.29	358.54
DENND4C	98.73	148.09	99.43	713.11	73.54	688.78	332.14	289.02	201.25	336.79	256.78	246.28	559.28	269.6	339.14	438.59	435.55	336.79	379.04	287.01	145.02	318.57	363.56	435.55	368.65	403.5	454.09	236.21	518.15	269.6	400.71	307.69	277.2	255.0	138.1	201.25	325.29	325.29	327.56	277.2	138.1	93.35	688.78	909.17	591.22	540.19	536.45	587.13	785.88	753.83	140.04
DPP8	183.82	71.0	87.03	450.94	72.01	651.58	299.25	258.57	204.07	295.11	241.19	273.37	373.81	295.11	218.79	332.14	351.14	269.6	483.38	205.5	101.54	332.14	279.14	368.65	346.29	339.14	466.88	237.86	371.22	224.97	305.55	356.05	273.37	205.5	87.03	198.47	329.84	341.51	293.07	258.57	108.9	69.03	463.65	518.15	426.57	329.84	368.65	473.41	555.41	547.75	124.37
DYNC1LI2	579.04	208.38	406.31	2061.24	507.46	1286.18	884.29	860.08	629.35	934.76	769.69	854.13	1313.23	791.35	974.5	1242.34	1175.27	1225.22	1447.15	718.08	59.55	860.08	967.76	1175.27	941.27	1104.13	1096.5	813.63	1167.14	1008.9	1259.69	1096.5	954.43	665.29	432.53	616.37	1015.93	981.29	967.76	974.5	267.73	234.57	2720.15	2335.28	2935.74	2193.99	1936.53	3303.0	3515.68	3847.29	642.59
ERCC4	79.45	29.06	29.91	164.42	16.39	163.28	52.08	52.45	64.34	53.19	55.49	52.45	91.41	53.19	65.26	74.06	90.14	61.68	105.15	73.54	29.27	86.43	81.14	123.5	105.89	97.36	85.22	52.45	102.25	62.12	118.43	74.06	66.65	53.95	67.12	47.5	81.14	75.64	76.17	72.01	28.86	38.4	78.89	82.87	93.35	138.1	142.01	106.63	120.94	127.89	24.63
