	TCGA.DM.A28G.01A.11R.A16W.07	TCGA.KN.8419.01A.11R.2315.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A9DE.01A.11R.A37K.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A94U.01A.12R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.14AS3.0226.SM.5Q5B6	GTEX.PWOO.0926.SM.2I3EC	GTEX.V1D1.0926.SM.4JBHQ
AC019294.1	6.94	0.0	0.0	0.47	0.51	0.0	2.48	5.28	0.84	2.41	0.0	0.39	2.51	0.0	0.0	0.0	1.0	1.23	0.0	2.43	1.77	2.05	0.0	0.43	0.0	6.73	0.0	0.0	2.32	0.0	0.44	1.2	2.61	1.13	1.39	2.32	1.75	0.0	0.0	0.0	0.91	2.1	5.02	0.83	0.33	10.47	5.32	0.0	5.87	0.0	9.85	1.16	8.92	2.36	5.19	4.43	7.46	3.66	0.0	6.31	2.36	1.2	3.26	6.26	14.67	16.88	3.08	2.27	7.06	3.2	5.02	2.36	8.45
AC021860.1	16.51	1.3	1.41	1.41	0.54	0.79	3.35	1.97	4.62	6.78	0.0	0.79	3.38	1.71	1.23	1.36	6.01	0.87	1.11	2.07	14.67	11.73	1.58	1.71	1.1	30.34	7.69	0.0	0.0	2.05	0.46	2.81	6.52	0.79	0.97	6.62	3.11	2.51	4.24	4.82	18.16	4.66	11.47	25.17	6.57	24.46	3.47	3.03	26.47	7.69	43.94	9.7	25.91	4.21	17.0	21.32	17.51	23.42	8.06	19.39	2.73	0.0	7.69	28.86	57.49	33.78	4.35	2.29	6.31	42.71	127.89	13.42	63.45
ACIN1	2915.45	872.1	1119.56	633.73	896.64	1561.89	1417.35	1037.29	1359.57	1340.84	1183.45	1088.92	1350.18	1044.52	1008.9	769.69	1594.73	587.13	607.87	1015.93	1529.73	1498.22	1313.23	703.28	1167.14	3419.52	981.29	954.43	1008.9	1037.29	981.29	1073.91	1119.56	1127.35	1023.0	1096.5	1073.91	1051.79	1883.54	1519.15	2835.7	2163.77	3280.18	2609.3	1015.93	3146.52	1639.59	1487.87	2609.3	2075.59	3794.3	1844.76	3081.75	1508.65	2417.67	2976.74	2777.33	3491.39	2075.59	2451.44	1781.89	1175.27	2193.99	4123.49	5006.93	4066.71	2061.24	1551.09	2664.15	2997.45	3742.05	3716.2	3847.29
ADAMTS10	107.38	27.64	31.9	23.42	12.74	36.53	21.63	83.45	74.06	73.03	38.67	39.79	18.43	74.06	28.86	9.34	114.36	19.39	71.5	63.45	265.87	149.12	51.71	15.91	36.79	693.58	51.71	52.08	59.97	56.68	47.17	102.97	91.41	14.35	55.89	30.56	99.43	190.34	1001.93	126.12	587.13	287.01	131.51	463.65	107.38	297.17	209.84	97.36	237.86	120.94	426.57	214.27	612.11	206.94	307.69	651.58	277.2	624.99	444.72	301.33	214.27	137.14	289.02	241.19	669.92	426.57	140.04	279.14	135.24	277.2	353.59	236.21	301.33
AGER	191.67	13.72	22.1	7.63	21.78	53.57	14.14	45.85	66.18	42.71	30.12	33.06	49.56	31.9	13.93	11.3	75.11	30.34	24.63	56.28	140.04	135.24	70.01	11.73	45.85	312.0	88.26	71.5	31.45	42.11	40.64	25.35	24.99	21.63	30.78	57.89	38.4	82.87	195.72	131.51	323.03	105.89	323.03	189.02	38.12	241.19	85.82	220.32	1066.48	63.45	483.38	226.54	285.03	148.09	236.21	583.07	813.63	2384.37	591.22	693.58	100.83	70.51	115.16	1030.12	4836.35	1794.29	194.36	101.54	346.29	1175.27	1340.84	2520.38	941.27
AHSA2	2061.24	255.0	144.01	185.11	220.32	297.17	260.38	237.86	486.75	301.33	166.73	199.85	169.07	224.97	177.53	96.68	529.06	258.57	234.57	400.71	1991.0	836.53	412.0	231.32	775.05	3018.3	381.68	167.9	131.51	457.25	400.71	363.56	441.64	193.01	117.6	363.56	373.81	409.15	1059.11	616.37	1819.35	813.63	2664.15	1572.76	281.09	1407.55	518.15	447.82	1477.58	896.64	2209.26	791.35	2004.85	638.15	728.11	1819.35	1066.48	2417.67	567.1	1066.48	480.04	633.73	490.14	2400.97	4607.24	1909.85	470.14	346.29	1127.35	1369.04	2915.45	1769.57	1977.24
AK9	109.66	96.68	37.32	123.5	65.26	115.97	60.82	27.64	77.79	87.03	41.52	116.78	38.12	126.12	72.01	99.43	90.77	121.79	85.22	87.65	114.36	100.13	59.97	53.19	74.58	131.51	61.68	62.12	44.57	80.01	35.25	72.01	43.63	50.63	60.39	78.89	103.69	96.68	88.88	182.55	125.24	120.94	166.73	189.02	107.38	152.28	128.79	91.41	180.02	77.25	158.79	175.07	123.5	107.38	108.9	129.69	138.1	120.1	130.6	142.01	88.88	127.0	90.14	107.38	164.42	139.07	148.09	83.45	94.01	163.28	236.21	103.69	157.68
AKAP17A	412.0	164.42	137.14	115.16	152.28	237.86	162.14	265.87	281.09	148.09	134.3	164.42	244.57	158.79	134.3	129.69	236.21	84.63	90.77	81.71	159.9	204.07	133.36	104.42	88.26	283.05	58.71	61.68	77.25	117.6	130.6	80.01	94.67	69.52	110.43	118.43	155.5	110.43	325.29	248.0	381.68	353.59	320.8	307.69	275.28	409.15	234.57	173.85	320.8	423.61	500.46	316.37	490.14	253.23	297.17	470.14	307.69	435.55	178.77	287.01	351.14	376.41	575.03	563.18	693.58	591.22	273.37	209.84	376.41	698.41	693.58	470.14	713.11
ALS2CL	599.49	575.03	444.72	444.72	476.71	34.02	579.04	547.75	723.08	500.46	738.29	120.94	764.36	89.51	154.42	181.28	1183.45	148.09	20.71	119.26	703.28	1225.22	197.09	61.68	34.51	1001.93	68.55	65.72	111.21	173.85	50.98	146.03	220.32	100.13	45.85	187.71	205.5	287.01	346.29	376.41	363.56	642.59	99.43	642.59	80.57	1023.0	381.68	473.41	1397.83	384.34	1857.6	674.59	1175.27	583.07	656.11	1561.89	1015.93	2895.31	728.11	1088.92	486.75	579.04	490.14	2193.99	4937.99	2133.97	638.15	547.75	988.12	718.08	915.51	1487.87	1745.2
AMY2B	450.94	208.38	68.55	65.72	92.05	253.23	133.36	98.73	166.73	423.61	92.05	145.02	237.86	149.12	96.68	43.94	279.14	96.01	43.94	126.12	409.15	346.29	173.85	43.02	145.02	791.35	62.12	74.06	23.93	150.17	197.09	85.22	155.5	61.25	44.25	120.1	249.73	111.99	314.17	113.56	591.22	171.45	1225.22	703.28	102.97	417.77	460.44	158.79	884.29	603.67	1369.04	441.64	738.29	236.21	301.33	830.75	660.68	1407.55	221.86	974.5	221.86	723.08	387.02	1304.15	2384.37	1662.49	231.32	301.33	339.14	791.35	1467.37	1175.27	1259.69
