	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.133LE.1726.SM.5K7VQ	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.14753.1626.SM.5NQ9L
ABCC10	295.11	376.41	156.59	209.84	202.66	348.71	392.44	265.87	181.28	223.41	178.77	348.71	195.72	251.48	307.69	175.07	195.72	143.01	327.56	178.77	403.5	260.38	392.44	187.71	318.57	137.14	137.14	139.07	234.57	301.33	260.38	332.14	244.57	265.87	100.83	87.65	102.97	110.43	58.3	90.77	96.01	48.87	37.59
ABCE1	1159.07	860.08	353.59	878.17	532.74	878.17	988.12	769.69	612.11	708.18	599.49	1104.13	791.35	651.58	921.88	633.73	612.11	743.43	624.99	947.83	842.36	928.3	1199.98	305.55	551.56	1191.69	575.03	529.06	995.0	1088.92	796.86	819.3	575.03	679.29	371.22	277.2	154.42	299.25	423.61	323.03	336.79	264.03	154.42
ABI2	878.17	802.41	217.27	289.02	173.85	733.19	842.36	463.65	348.71	547.75	205.5	836.53	438.59	420.68	780.44	346.29	183.82	384.34	536.45	221.86	674.59	713.11	679.29	273.37	426.57	303.44	260.38	269.6	412.0	567.1	571.05	514.56	269.6	164.42	104.42	143.01	78.89	149.12	173.85	108.9	124.37	99.43	54.72
AC010536.1	6.84	4.78	2.58	1.64	1.64	6.26	3.99	2.41	2.23	4.5	1.68	7.06	0.93	2.78	5.54	2.63	1.27	2.39	5.82	1.85	9.85	4.31	6.31	2.03	1.68	7.51	1.27	1.11	8.38	5.82	10.79	8.65	1.66	3.0	0.92	2.78	0.85	1.58	0.88	1.57	1.64	0.95	0.55
ACPL2	490.14	275.28	68.07	197.09	128.79	323.03	373.81	218.79	204.07	165.57	146.03	432.53	178.77	198.47	334.46	144.01	80.57	164.42	305.55	122.64	323.03	293.07	242.88	73.03	167.9	78.34	85.82	75.64	198.47	217.27	309.83	234.57	108.14	80.57	49.21	49.91	48.87	62.12	76.71	59.55	31.45	43.32	21.63
AGAP6	249.73	255.0	96.68	152.28	103.69	220.32	223.41	189.02	131.51	129.69	115.16	267.73	101.54	134.3	221.86	148.09	96.68	67.59	163.28	103.69	113.56	134.3	145.02	64.8	130.6	129.69	87.03	100.13	267.73	260.38	146.03	177.53	115.97	109.66	99.43	59.55	8.32	46.5	69.52	34.51	27.44	82.87	19.82
ARHGEF33	29.7	35.25	10.24	9.34	15.34	14.78	24.81	7.63	10.63	16.39	17.64	18.43	17.13	18.56	20.41	14.78	8.25	13.12	24.63	9.93	22.43	27.84	4.46	6.11	22.1	1.81	6.26	1.93	6.11	21.94	24.99	22.43	8.13	6.52	0.93	8.71	4.94	0.93	0.89	2.18	2.32	6.57	2.34
ATAT1	295.11	295.11	88.88	148.09	116.78	256.78	348.71	161.02	130.6	144.01	88.88	423.61	138.1	156.59	234.57	132.44	85.82	152.28	186.4	115.16	293.07	198.47	190.34	116.78	258.57	113.56	70.51	115.16	132.44	191.67	159.9	275.28	165.57	127.0	73.54	72.52	43.32	58.71	74.06	61.68	45.53	73.03	43.63
BOD1	1359.57	1191.69	1216.75	1044.52	1183.45	1304.15	1350.18	1208.34	1167.14	1175.27	1159.07	1477.58	1119.56	1322.37	1191.69	1096.5	1167.14	785.88	1350.18	848.22	1096.5	1167.14	848.22	669.92	1081.39	854.13	551.56	1745.2	1143.1	1806.78	1304.15	1268.46	612.11	612.11	463.65	423.61	429.54	466.88	575.03	368.65	412.0	384.34	314.17
BRPF1	285.03	339.14	170.25	142.01	138.1	339.14	351.14	260.38	157.68	226.54	176.29	301.33	149.12	205.5	314.17	137.14	208.38	187.71	262.2	258.57	251.48	242.88	265.87	156.59	195.72	275.28	171.45	246.28	289.02	264.03	293.07	387.02	269.6	234.57	69.52	68.07	54.72	73.54	107.38	65.26	61.25	54.72	24.28
C19orf55	387.02	303.44	47.17	140.04	90.14	351.14	368.65	136.19	115.16	194.36	77.79	299.25	116.78	103.69	314.17	134.3	85.22	231.32	123.5	75.64	229.72	157.68	181.28	86.43	113.56	159.9	68.07	125.24	138.1	271.48	215.77	283.05	171.45	134.3	36.79	30.12	29.7	27.64	55.1	42.41	24.63	31.22	18.84
CASP2	525.39	432.53	154.42	256.78	159.9	547.75	503.95	325.29	248.0	303.44	201.25	571.05	248.0	305.55	409.15	211.31	140.04	301.33	351.14	193.01	525.39	389.72	447.82	150.17	253.23	167.9	182.55	202.66	267.73	327.56	412.0	435.55	299.25	228.13	75.11	46.84	57.49	47.17	65.72	52.82	44.89	64.8	10.47
CCDC113	115.97	87.65	51.71	46.84	55.89	79.45	104.42	80.57	65.72	59.13	72.01	125.24	60.82	66.18	88.88	58.71	49.56	85.22	55.1	36.27	73.03	108.9	55.1	32.82	42.71	29.06	52.45	58.71	33.54	27.44	92.7	96.01	38.95	37.85	12.93	10.88	20.86	6.57	12.27	11.73	11.91	22.92	22.26
CCDC14	1167.14	733.19	153.34	409.15	197.09	733.19	1008.9	414.87	363.56	575.03	303.44	1350.18	438.59	543.96	769.69	400.71	164.42	406.31	414.87	237.86	928.3	819.3	808.0	182.55	454.09	183.82	159.9	275.28	318.57	532.74	518.15	660.68	348.71	325.29	114.36	114.36	48.52	98.73	127.89	80.57	114.36	145.02	59.55
CCDC142	111.99	96.68	48.87	84.04	56.68	127.0	141.02	91.41	70.51	76.71	59.97	114.36	89.51	73.03	109.66	90.77	73.03	59.97	173.85	82.87	100.13	79.45	69.03	76.71	125.24	153.34	76.71	83.45	87.65	83.45	132.44	129.69	81.14	84.63	45.53	46.5	40.93	71.0	51.35	80.01	61.25	53.19	12.55
CCDC149	325.29	307.69	159.9	171.45	185.11	441.64	441.64	343.89	215.77	237.86	201.25	412.0	189.02	273.37	356.05	143.01	150.17	215.77	289.02	140.04	277.2	343.89	166.73	61.25	159.9	185.11	76.17	170.25	221.86	264.03	327.56	273.37	162.14	156.59	90.14	85.82	81.71	92.05	84.04	106.63	88.88	66.18	57.08
CDK17	567.1	400.71	267.73	426.57	253.23	775.05	563.18	480.04	358.54	395.18	366.09	612.11	423.61	403.5	518.15	420.68	295.11	249.73	470.14	381.68	447.82	525.39	376.41	215.77	234.57	423.61	242.88	403.5	412.0	669.92	647.07	283.05	285.03	190.34	150.17	102.25	90.77	105.89	156.59	88.88	98.04	137.14	101.54
CEP164	429.54	373.81	147.06	204.07	159.9	470.14	500.46	241.19	166.73	212.78	185.11	457.25	182.55	269.6	373.81	175.07	147.06	162.14	190.34	112.77	341.51	241.19	262.2	119.26	217.27	149.12	89.51	139.07	237.86	297.17	307.69	312.0	202.66	215.77	82.29	65.72	60.82	80.01	56.68	90.14	63.0	99.43	32.36
CLHC1	198.47	119.26	16.03	90.14	36.53	133.36	148.09	58.3	37.32	97.36	79.45	153.34	53.95	57.08	144.01	57.89	80.57	167.9	74.58	45.53	191.67	150.17	105.15	44.89	53.57	28.24	45.53	38.67	73.03	85.82	153.34	131.51	60.82	75.11	25.91	22.92	3.99	26.67	24.63	25.54	13.93	12.93	9.85
CNOT6	376.41	303.44	92.7	234.57	132.44	403.5	387.02	217.27	201.25	228.13	164.42	480.04	228.13	206.94	309.83	161.02	113.56	177.53	255.0	148.09	476.71	267.73	273.37	130.6	262.2	215.77	126.12	146.03	246.28	423.61	267.73	212.78	187.71	138.1	72.52	35.5	25.17	49.21	66.65	48.87	50.27	29.7	9.48
DHX15	2209.26	2018.8	775.05	1508.65	872.1	2163.77	2193.99	1467.37	1313.23	1427.22	1119.56	2645.74	1447.15	1447.15	1963.57	1388.16	1096.5	1457.23	1216.75	1119.56	1923.14	1651.0	1745.2	941.27	1151.06	1397.83	928.3	1844.76	1259.69	1757.34	2047.0	1508.65	1781.89	1561.89	575.03	599.49	406.31	559.28	642.59	503.95	476.71	457.25	265.87
DHX33	232.94	215.77	67.59	133.36	96.68	234.57	239.52	161.02	123.5	154.42	118.43	287.01	137.14	135.24	217.27	140.04	90.77	137.14	153.34	159.9	224.97	199.85	264.03	75.64	113.56	215.77	90.77	84.63	265.87	221.86	223.41	262.2	120.1	143.01	83.45	67.12	60.82	61.25	80.01	80.01	85.22	47.84	39.5
DIS3L2	341.51	511.0	226.54	249.73	231.32	356.05	438.59	318.57	232.94	273.37	239.52	483.38	223.41	260.38	379.04	264.03	201.25	237.86	202.66	187.71	332.14	334.46	246.28	195.72	239.52	202.66	190.34	186.4	267.73	303.44	320.8	351.14	251.48	277.2	206.94	180.02	195.72	134.3	125.24	181.28	138.1	146.03	221.86
DKC1	934.76	1159.07	389.72	389.72	454.09	934.76	1001.93	718.08	547.75	567.1	444.72	1259.69	470.14	603.67	967.76	387.02	476.71	555.41	607.87	412.0	961.07	1001.93	967.76	275.28	559.28	915.51	387.02	275.28	842.36	1023.0	1030.12	1322.37	536.45	703.28	348.71	256.78	236.21	283.05	316.37	289.02	293.07	186.4	140.04
DNAJC2	543.96	532.74	255.0	353.59	412.0	547.75	463.65	460.44	341.51	368.65	307.69	688.78	353.59	403.5	620.67	351.14	325.29	414.87	251.48	273.37	555.41	511.0	423.61	228.13	366.09	490.14	181.28	400.71	323.03	607.87	647.07	616.37	316.37	403.5	295.11	305.55	55.1	229.72	297.17	205.5	198.47	226.54	164.42
DNM1L	1225.22	842.36	356.05	928.3	713.11	1059.11	1030.12	764.36	796.86	780.44	738.29	974.5	759.08	825.0	1030.12	830.75	563.18	764.36	599.49	629.35	1030.12	708.18	591.22	684.02	764.36	753.83	599.49	921.88	684.02	1059.11	1175.27	620.67	688.78	633.73	234.57	155.5	81.14	140.04	249.73	158.79	180.02	226.54	55.49
EDC3	473.41	426.57	273.37	392.44	327.56	529.06	476.71	387.02	332.14	403.5	343.89	536.45	351.14	339.14	551.56	412.0	307.69	406.31	371.22	371.22	521.76	395.18	555.41	368.65	400.71	466.88	486.75	575.03	559.28	480.04	500.46	728.11	400.71	366.09	187.71	161.02	185.11	173.85	161.02	164.42	201.25	191.67	114.36
