	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.WQUQ.1926.SM.4OOSA	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.WHSB.0326.SM.5FQSD	GTEX.13NYS.1626.SM.5J2MU	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.ZYY3.0926.SM.5E454	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.13O3P.1026.SM.5N9E7	GTEX.11EI6.0826.SM.5985V	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.N7MT.0126.SM.2D7VT	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.1477Z.0626.SM.5NQB7	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.146FH.1226.SM.5NQB6	GTEX.11DZ1.0426.SM.5H11A	GTEX.NPJ8.0326.SM.2D7VV	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q
A2M	63742.91	76330.98	125731.67	76330.98	145432.49	135693.24	134755.94	120609.84	119776.72	38697.77	103551.29	79022.82	120609.84	61571.56	97965.44	85283.74	164758.26	275175.93	107203.06	226632.25	209994.66	107203.06	130165.62	197294.7	111755.56	93325.55	53973.86	355624.68	236256.4	130165.62	115696.65	133825.1	74760.09	242898.5	100719.65	234624.45	176583.6	190574.09	207103.59	122293.5	125731.67	146444.06	146444.06	148488.36	141455.6	116501.39	126606.21	119776.72	267651.2	233003.78	128373.58	139508.13	125731.67	161367.56	277089.94	242898.5	47642.77	87075.75	118127.7	85283.74	211455.3	129266.49	101420.22	282912.21	102836.01	92680.9	190574.09	201440.3	111755.56	152662.96	126606.21	97965.44	138544.47	170568.48	114897.47	155870.75	417089.23	127486.83	135693.24	150561.19	148488.36	124863.17	214407.12	229795.93	156954.93	114103.8	125731.67	137587.47	208544.12	149521.18
AKAP11	59.55	50.98	76.17	67.12	98.04	70.51	157.68	103.69	69.52	38.67	81.71	71.0	132.44	58.71	118.43	82.87	206.94	142.01	69.03	113.56	158.79	46.5	134.3	153.34	98.04	38.67	102.25	63.89	46.84	56.68	194.36	147.06	75.64	124.37	72.01	140.04	102.25	64.34	48.18	87.65	98.73	64.34	53.95	305.55	228.13	181.28	525.39	185.11	172.65	346.29	275.28	185.11	224.97	332.14	273.37	191.67	647.07	507.46	249.73	551.56	595.34	208.38	329.84	551.56	514.56	466.88	392.44	224.97	316.37	236.21	320.8	346.29	137.14	299.25	253.23	325.29	178.77	275.28	244.57	185.11	255.0	162.14	371.22	223.41	253.23	293.07	275.28	170.25	466.88	239.52
AMOTL1	81.71	112.77	129.69	73.03	72.52	275.28	15.34	78.89	66.65	76.71	78.89	66.65	195.72	84.04	100.13	181.28	239.52	49.21	136.19	281.09	688.78	201.25	104.42	279.14	41.52	236.21	133.36	242.88	17.64	157.68	165.57	53.57	132.44	67.59	6.16	81.71	34.75	351.14	115.16	127.0	152.28	316.37	48.18	728.11	684.02	157.68	753.83	1457.23	1721.16	429.54	253.23	872.1	1572.76	353.59	255.0	432.53	1151.06	967.76	497.0	878.17	571.05	289.02	693.58	291.04	493.56	674.59	651.58	1794.29	1167.14	656.11	708.18	684.02	587.13	511.0	1277.29	543.96	249.73	743.43	759.08	1322.37	1233.75	251.48	368.65	289.02	293.07	325.29	470.14	412.0	356.05	796.86
ANKRD40	204.07	232.94	251.48	241.19	373.81	255.0	309.83	273.37	316.37	164.42	251.48	211.31	269.6	205.5	275.28	156.59	170.25	387.02	253.23	285.03	204.07	285.03	351.14	285.03	212.78	260.38	144.01	239.52	307.69	256.78	318.57	279.14	195.72	265.87	191.67	325.29	389.72	232.94	316.37	279.14	191.67	314.17	236.21	708.18	503.95	412.0	723.08	521.76	890.44	1250.98	866.07	660.68	642.59	934.76	555.41	466.88	1059.11	759.08	633.73	1104.13	921.88	579.04	708.18	813.63	738.29	866.07	703.28	397.93	511.0	769.69	915.51	819.3	353.59	1059.11	759.08	775.05	713.11	543.96	1242.34	642.59	928.3	620.67	842.36	420.68	591.22	934.76	540.19	559.28	860.08	518.15
ARHGAP31	12.64	46.5	32.82	46.84	30.78	81.71	20.11	20.11	11.21	17.9	20.26	15.34	46.18	20.56	50.27	27.05	11.91	55.1	38.95	51.35	43.63	42.41	58.3	53.95	11.91	22.75	5.77	36.27	52.82	31.9	33.06	23.76	26.47	53.95	17.51	69.03	6.06	50.63	27.25	52.82	24.81	30.56	33.06	1359.57	214.27	44.57	346.29	220.32	514.56	366.09	473.41	318.57	429.54	518.15	236.21	224.97	848.22	486.75	387.02	854.13	376.41	486.75	660.68	748.61	343.89	607.87	457.25	211.31	293.07	426.57	507.46	848.22	297.17	220.32	928.3	1143.1	223.41	417.77	1167.14	258.57	1008.9	182.55	295.11	146.03	124.37	748.61	295.11	351.14	507.46	271.48
ARHGAP32	32.36	12.45	8.32	36.53	64.8	34.51	95.34	29.48	31.45	30.78	47.84	49.91	55.89	21.94	71.5	36.27	42.71	24.81	42.41	44.25	48.87	50.63	28.04	70.01	55.89	23.93	25.72	21.63	15.56	100.83	44.89	54.33	36.53	32.59	58.71	36.01	26.28	56.28	51.71	36.01	51.71	60.82	31.9	226.54	127.89	115.16	113.56	129.69	94.01	201.25	120.94	92.05	169.07	67.12	107.38	147.06	204.07	205.5	178.77	167.9	211.31	87.03	123.5	165.57	195.72	60.39	110.43	236.21	423.61	41.52	63.89	178.77	123.5	59.97	202.66	145.02	42.41	173.85	70.01	312.0	98.73	43.32	271.48	80.01	208.38	70.01	102.97	51.71	115.16	167.9
ASAP2	10.0	15.56	51.35	45.53	40.93	80.01	185.11	11.82	10.71	10.39	15.68	14.45	21.63	12.36	37.05	17.9	6.01	15.91	31.45	17.25	42.41	57.08	88.88	81.71	24.99	16.88	8.19	9.41	7.63	16.39	52.08	10.79	34.02	67.12	11.73	75.11	16.75	16.39	40.64	17.77	23.08	34.51	27.64	343.89	1008.9	102.25	358.54	119.26	169.07	403.5	201.25	90.14	214.27	214.27	239.52	94.01	723.08	221.86	226.54	493.56	961.07	90.14	371.22	466.88	316.37	529.06	285.03	285.03	759.08	177.53	220.32	473.41	121.79	199.85	633.73	368.65	74.06	665.29	373.81	237.86	400.71	63.45	444.72	429.54	107.38	258.57	285.03	195.72	403.5	109.66
ATP7A	14.89	18.84	15.8	28.24	59.13	40.64	32.13	31.67	28.04	13.62	23.25	18.7	27.05	12.55	29.91	16.51	20.11	17.77	19.25	14.67	27.84	16.88	64.8	31.67	19.97	12.09	12.18	9.2	11.04	6.94	27.44	26.86	26.67	35.25	20.86	32.36	19.39	23.93	13.22	23.42	14.45	10.79	16.39	113.56	135.24	76.17	215.77	81.71	64.34	103.69	106.63	72.01	120.94	126.12	102.25	102.25	269.6	123.5	100.13	189.02	177.53	101.54	140.04	231.32	309.83	170.25	162.14	124.37	120.1	92.7	167.9	143.01	87.03	96.68	131.51	132.44	51.35	205.5	101.54	102.97	148.09	76.71	126.12	119.26	82.87	111.99	128.79	48.18	256.78	119.26
ATXN1L	81.71	78.89	88.88	108.9	105.89	175.07	231.32	85.82	84.04	72.52	94.67	89.51	149.12	48.87	128.79	96.68	82.87	186.4	137.14	133.36	172.65	143.01	198.47	194.36	47.84	93.35	66.65	110.43	90.77	110.43	217.27	98.04	67.59	54.33	53.57	198.47	95.34	139.07	85.82	138.1	49.21	149.12	74.06	423.61	348.71	269.6	217.27	208.38	234.57	351.14	307.69	155.5	265.87	281.09	267.73	253.23	429.54	241.19	525.39	368.65	571.05	325.29	281.09	323.03	253.23	289.02	341.51	146.03	269.6	271.48	361.04	316.37	175.07	332.14	258.57	493.56	190.34	231.32	470.14	149.12	258.57	231.32	309.83	173.85	170.25	237.86	339.14	206.94	251.48	175.07
B3GALNT1	9.7	33.78	12.83	30.56	22.59	51.35	7.75	13.83	5.77	2.71	20.41	13.93	15.91	12.0	31.22	14.45	1.28	31.22	13.62	10.0	26.86	4.31	44.57	41.52	26.1	0.0	2.73	3.14	14.24	13.83	13.32	15.0	13.52	40.93	10.39	30.12	16.63	4.94	16.75	23.08	18.84	5.87	10.31	363.56	231.32	65.26	718.08	60.39	305.55	400.71	1008.9	540.19	540.19	255.0	392.44	183.82	1519.15	1225.22	293.07	1529.73	688.78	579.04	490.14	412.0	497.0	1508.65	429.54	264.03	339.14	507.46	669.92	511.0	209.84	224.97	339.14	1242.34	269.6	178.77	1051.79	115.16	283.05	220.32	1051.79	183.82	376.41	1331.57	379.04	85.22	988.12	713.11
