	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.G4.6309.01A.21R.1839.07	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.PWOO.1326.SM.48TCJ	GTEX.11TT1.1026.SM.5PNW7	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.S4UY.0826.SM.4AD4Z	GTEX.XMK1.1726.SM.4B64Z	GTEX.11DXZ.1726.SM.5H12M	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZTS.1426.SM.5EQMM	GTEX.PX3G.0826.SM.48TZS	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.Q2AI.0826.SM.48TZO
ALYREF	2777.33	3491.39	1733.13	3212.66	2032.85	1617.0	1286.18	2384.37	2287.2	3303.0	878.17	2240.11	2417.67	2555.58	2935.74	3146.52	1617.0	1883.54	1697.45	1857.6	1167.14	1757.34	1572.76	1088.92	967.76	1151.06	2796.65	1477.58	2303.12	2351.53	2090.03	2956.17	1331.57	915.51	1883.54	348.71	1015.93	503.95	532.74	406.31	1081.39	497.0	674.59	981.29	854.13	595.34	591.22	669.92	392.44	420.68	457.25	1216.75
ANKRD22	1417.35	961.07	764.36	679.29	688.78	536.45	466.88	915.51	599.49	890.44	403.5	629.35	842.36	2485.67	1909.85	1651.0	967.76	543.96	954.43	490.14	543.96	954.43	591.22	373.81	316.37	595.34	1268.46	312.0	1250.98	1159.07	656.11	813.63	703.28	4.54	4.35	11.04	13.52	1.36	0.0	6.94	17.64	0.0	12.09	7.17	47.84	1.48	17.13	5.23	13.62	0.0	4.24	1081.39
ATAD3A	961.07	1457.23	629.35	780.44	713.11	642.59	271.48	825.0	785.88	1088.92	236.21	723.08	825.0	974.5	974.5	1081.39	547.75	607.87	423.61	543.96	397.93	457.25	529.06	371.22	373.81	392.44	819.3	490.14	890.44	728.11	547.75	961.07	579.04	221.86	470.14	205.5	343.89	395.18	205.5	358.54	435.55	218.79	185.11	353.59	738.29	373.81	351.14	232.94	336.79	303.44	277.2	595.34
ATAD3B	813.63	1127.35	406.31	473.41	463.65	395.18	273.37	624.99	363.56	262.2	277.2	511.0	497.0	764.36	215.77	665.29	346.29	297.17	285.03	480.04	209.84	429.54	379.04	256.78	199.85	264.03	514.56	457.25	532.74	547.75	320.8	490.14	392.44	126.12	90.14	116.78	100.83	135.24	87.03	126.12	178.77	98.73	69.52	170.25	80.01	193.01	141.02	129.69	156.59	54.33	131.51	187.71
C16orf91	532.74	624.99	493.56	656.11	540.19	381.68	463.65	571.05	555.41	674.59	256.78	551.56	698.41	587.13	540.19	633.73	373.81	423.61	426.57	620.67	444.72	476.71	450.94	414.87	387.02	403.5	507.46	400.71	638.15	848.22	698.41	642.59	483.38	251.48	309.83	226.54	376.41	293.07	289.02	206.94	232.94	291.04	214.27	327.56	316.37	221.86	277.2	248.0	159.9	96.01	221.86	336.79
CCDC86	1183.45	1529.73	373.81	358.54	457.25	307.69	214.27	497.0	429.54	595.34	78.89	532.74	429.54	693.58	633.73	842.36	262.2	343.89	295.11	201.25	224.97	281.09	246.28	190.34	273.37	237.86	373.81	189.02	470.14	368.65	249.73	860.08	285.03	178.77	246.28	163.28	176.29	218.79	157.68	234.57	265.87	218.79	159.9	339.14	256.78	163.28	205.5	124.37	164.42	109.66	211.31	457.25
CCT2	4123.49	3325.99	2796.65	2627.46	2645.74	2090.03	2104.58	3639.7	2367.9	3820.7	808.0	3589.58	3124.78	4095.0	3257.52	4239.45	2119.22	2287.2	2148.82	1781.89	1340.84	2417.67	1819.35	1183.45	1709.26	1617.0	2502.97	1781.89	3690.52	2816.11	2645.74	3690.52	2119.22	1295.13	2075.59	665.29	974.5	872.1	728.11	1216.75	1709.26	860.08	902.89	1572.76	941.27	785.88	848.22	988.12	1059.11	551.56	941.27	1397.83
CCT6A	3716.2	6037.61	2335.28	3124.78	2303.12	1870.53	2645.74	2956.17	1936.53	3395.89	1242.34	3060.45	2335.28	3372.43	2997.45	3955.48	1844.76	1963.57	2133.97	1519.15	1295.13	2701.35	1583.71	1151.06	1304.15	1457.23	2468.49	1583.71	3540.14	2875.3	2004.85	3018.3	1950.0	1051.79	1991.0	813.63	928.3	1259.69	934.76	1498.22	1369.04	785.88	961.07	1806.78	1159.07	1159.07	785.88	1111.82	1088.92	409.15	1199.98	1605.83
CDC123	2004.85	2075.59	1304.15	1617.0	1322.37	1233.75	1250.98	1733.13	1628.26	1819.35	703.28	1628.26	1844.76	1639.59	1963.57	2573.36	1350.18	1467.37	1487.87	1135.2	1199.98	1304.15	1096.5	909.17	1127.35	1096.5	1540.37	1159.07	1583.71	1674.06	1594.73	1697.45	1143.1	571.05	1870.53	587.13	866.07	775.05	728.11	674.59	947.83	708.18	902.89	684.02	629.35	599.49	612.11	791.35	579.04	633.73	785.88	1051.79
CDC25A	114.36	208.38	111.21	153.34	208.38	121.79	94.67	199.85	156.59	224.97	37.05	199.85	269.6	135.24	231.32	171.45	108.14	136.19	114.36	137.14	90.77	130.6	108.14	82.87	63.89	82.87	195.72	87.03	191.67	211.31	113.56	163.28	75.64	2.92	97.36	2.43	16.63	1.85	1.36	4.21	49.91	5.36	6.89	34.51	3.29	2.46	4.35	7.88	5.23	2.73	14.67	34.51
