	TCGA.E5.A2PC.01A.11R.A206.07	TCGA.A8.A09I.01A.22R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.RU1J.1326.SM.46MUL	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.11EQ9.1526.SM.5PNY7	GTEX.13VXT.2426.SM.5LU46	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	GTEX.V1D1.1226.SM.4JBI5	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.13111.1126.SM.5GCMZ	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7704.11A.01R.2055.13	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.S7SF.0626.SM.4AD4V
AADACL2	0.0	0.0	2.66	209.84	0.0	0.0	0.0	0.0	0.0	100.83	6.21	25.35	5.92	7.34	10.31	0.35	1.58	0.83	0.3	0.0	0.0	1.77	2.05	13.12	4.86	1.68	3.56	18.16	0.0	0.0	0.0	0.24	0.0	0.0	0.16	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.16	0.0	70.01	6.52	11.82	2.66	3.72	4.43	2.84
ADAM33	0.96	10.71	4.03	305.55	2555.58	31.0	8.45	8.78	152.28	1844.76	463.65	426.57	884.29	1277.29	579.04	277.2	63.0	71.0	173.85	65.26	17.9	193.01	148.09	2417.67	2335.28	2485.67	5292.48	4704.07	0.0	0.84	22.1	5.54	31.9	55.1	9.13	7.63	3.63	20.86	420.68	13.03	10.96	90.77	6.16	4.31	1651.0	1066.48	1407.55	131.51	153.34	75.64	607.87
ATP1A2	0.32	2.43	0.55	32.13	438.59	1.53	1.45	1.58	23.93	6516.03	698.41	759.08	264.03	819.3	656.11	126.12	17.38	20.26	20.11	6.52	8.58	39.5	17.51	1674.06	2193.99	1388.16	1572.76	2104.58	0.0	0.29	7.94	5.63	8.99	17.77	2.03	0.41	0.0	5.45	241.19	5.19	4.46	5.92	1.11	1.53	1359.57	836.53	1561.89	25.72	51.71	34.26	759.08
BOC	9.48	77.79	76.17	223.41	187.71	115.16	43.94	6.94	283.05	2835.7	450.94	483.38	743.43	759.08	563.18	612.11	208.38	99.43	199.85	136.19	87.03	281.09	356.05	1304.15	947.83	2384.37	2935.74	1991.0	0.0	0.48	55.1	13.62	54.33	595.34	33.3	52.82	12.93	93.35	1340.84	30.78	23.76	120.1	19.39	13.93	1225.22	1331.57	1378.57	186.4	223.41	159.9	1037.29
C15orf52	13.22	37.85	409.15	197.09	92.7	303.44	127.0	96.68	241.19	3257.52	954.43	941.27	665.29	759.08	872.1	665.29	1044.52	543.96	660.68	830.75	389.72	457.25	457.25	2701.35	1529.73	1551.09	1457.23	1674.06	163.28	303.44	87.65	145.02	82.29	201.25	223.41	24.11	94.67	57.49	915.51	20.41	23.42	343.89	438.59	177.53	1757.34	988.12	2193.99	102.97	159.9	201.25	2148.82
CACNA1H	13.72	16.63	0.52	14.35	258.57	36.53	10.39	35.25	514.56	13492.72	1111.82	1037.29	1008.9	1662.49	974.5	660.68	125.24	275.28	221.86	110.43	100.13	381.68	417.77	3325.99	2451.44	4671.57	4239.45	3901.01	0.0	0.95	107.38	81.14	71.5	105.15	54.33	40.64	75.11	139.07	1199.98	113.56	135.24	289.02	92.05	95.34	3280.18	2895.31	4543.8	209.84	161.02	161.02	2163.77
CALCOCO1	279.14	620.67	1685.71	1794.29	3325.99	679.29	1268.46	1304.15	3982.99	7180.15	3018.3	3081.75	1757.34	2090.03	2075.59	5872.48	2451.44	1709.26	1844.76	1295.13	2434.5	2777.33	1540.37	5041.77	6516.03	7280.4	4239.45	4388.98	0.0	0.45	1295.13	854.13	1417.35	1529.73	490.14	842.36	624.99	974.5	3491.39	1628.26	507.46	1059.11	743.43	595.34	5672.41	5995.9	6121.9	748.61	1437.15	2835.7	5633.22
CCDC69	79.45	132.44	158.79	265.87	373.81	133.36	171.45	138.1	587.13	14262.1	1832.01	2664.15	2018.8	1977.24	1991.0	909.17	607.87	248.0	473.41	193.01	713.11	934.76	703.28	3820.7	2976.74	2627.46	2895.31	3847.29	0.0	0.69	130.6	248.0	447.82	287.01	63.0	189.02	80.57	293.07	1037.29	253.23	48.52	297.17	150.17	110.43	3467.27	1733.13	4123.49	684.02	718.08	1023.0	4268.94
FAM13C	4.54	18.29	42.41	44.57	260.38	21.63	11.13	4.31	34.26	497.0	201.25	151.22	71.5	215.77	190.34	126.12	61.25	22.92	57.08	38.12	47.5	38.4	209.84	642.59	164.42	1259.69	414.87	616.37	0.0	0.0	42.71	10.39	25.17	112.77	19.11	27.44	47.17	59.97	141.02	42.11	24.99	35.25	6.57	17.0	361.04	166.73	318.57	57.89	77.79	26.86	629.35
FAM65C	6.46	27.64	6.89	62.56	220.32	60.39	14.89	11.13	74.06	142.01	126.12	157.68	82.29	231.32	132.44	148.09	414.87	178.77	353.59	118.43	211.31	115.97	293.07	426.57	373.81	144.01	860.08	718.08	0.0	0.83	52.45	64.8	87.65	18.97	22.92	25.72	28.24	73.03	89.51	57.49	43.02	44.57	25.91	21.94	208.38	183.82	201.25	114.36	193.01	97.36	114.36
