	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A8.A09Z.01A.11R.A00Z.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.11GSP.0626.SM.5986T	GTEX.145MF.0826.SM.5QGQA	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	TCGA.EJ.7315.11A.01R.2118.07	GTEX.11OF3.0626.SM.5BC4Y
AP2B1	1896.65	6887.62	2895.31	780.44	363.56	389.72	607.87	454.09	511.0	318.57	392.44	591.22	395.18	334.46	346.29	392.44	2555.58	2664.15	1322.37	1685.71	1674.06
APOA1	4.1	206.94	2.48	160252.91	531605.79	517068.97	386469.83	2.009035788E7	1.228163998E7	6056277.0	8928583.23	8330662.65	4.21783688E7	1.491230465E7	6269851.18	1.307221145E7	4.98	25.17	44.89	5.11	183.82
ARFIP1	819.3	486.75	909.17	361.04	183.82	186.4	281.09	384.34	155.5	163.28	356.05	171.45	279.14	180.02	138.1	248.0	587.13	842.36	902.89	759.08	624.99
ARID2	283.05	373.81	329.84	149.12	55.1	53.95	90.77	173.85	47.84	58.3	85.22	86.43	84.63	70.51	97.36	100.13	221.86	279.14	191.67	279.14	258.57
ATG13	1277.29	1991.0	1167.14	954.43	514.56	669.92	713.11	595.34	503.95	403.5	595.34	547.75	486.75	612.11	698.41	567.1	1467.37	813.63	1151.06	1023.0	1073.91
ATG5	417.77	503.95	559.28	258.57	287.01	267.73	301.33	351.14	185.11	267.73	249.73	244.57	285.03	277.2	211.31	251.48	543.96	954.43	679.29	567.1	642.59
ATP1A3	25.72	275.28	8.85	6.62	0.0	2.2	5.15	10.79	0.0	2.97	18.56	8.19	5.63	0.88	8.32	11.82	95.34	32.13	21.16	11.91	5.28
C11orf45	35.25	185.11	43.32	16.39	6.46	2.32	7.22	1.89	0.0	1.73	2.51	5.19	0.74	1.69	35.0	1.55	84.04	115.16	90.14	49.91	33.06
CCDC174	351.14	373.81	368.65	361.04	267.73	169.07	291.04	438.59	173.85	217.27	285.03	258.57	236.21	273.37	251.48	299.25	412.0	417.77	536.45	366.09	454.09
CDV3	2537.92	2148.82	4298.64	1583.71	1457.23	1322.37	1322.37	842.36	995.0	1127.35	819.3	896.64	830.75	1104.13	928.3	915.51	1583.71	1883.54	1508.65	1605.83	5076.84
COL12A1	1268.46	514.56	4607.24	441.64	61.25	20.11	108.14	236.21	72.52	30.56	156.59	89.51	100.83	50.63	166.73	120.94	473.41	3257.52	1806.78	353.59	341.51
COL6A3	5913.33	1044.52	9540.5	1313.23	125.24	77.79	341.51	1051.79	78.34	144.01	387.02	144.01	224.97	206.94	273.37	305.55	3146.52	1447.15	1806.78	2664.15	460.44
CTD-3193O13.9	95.34	64.34	130.6	18.29	4.31	1.75	3.26	37.85	2.63	8.65	8.25	4.9	2.43	13.83	2.66	9.13	81.14	27.84	80.57	44.89	11.3
DBNDD2	1685.71	3564.78	1159.07	595.34	145.02	107.38	246.28	209.84	59.97	59.97	190.34	134.3	67.59	86.43	77.79	182.55	587.13	1572.76	1259.69	1313.23	567.1
DCP2	307.69	616.37	423.61	119.26	77.79	82.87	135.24	68.55	51.71	55.49	106.63	72.01	66.18	49.56	56.28	87.03	273.37	264.03	287.01	260.38	241.19
DNAJB6	2956.17	4937.99	3146.52	1143.1	743.43	595.34	988.12	896.64	599.49	559.28	836.53	651.58	780.44	785.88	1008.9	698.41	1745.2	2645.74	3018.3	2018.8	2224.63
E2F5	129.69	277.2	316.37	92.05	30.34	23.08	50.98	98.73	20.56	34.75	18.7	30.56	34.51	41.81	26.67	28.86	476.71	119.26	150.17	117.6	215.77
ELMSAN1	796.86	1277.29	703.28	314.17	102.25	127.89	312.0	490.14	94.67	133.36	269.6	111.21	119.26	177.53	384.34	137.14	723.08	791.35	1268.46	688.78	808.0
ENAH	1923.14	1617.0	2591.27	547.75	138.1	121.79	234.57	242.88	96.68	98.04	57.89	152.28	125.24	180.02	132.44	138.1	1044.52	1051.79	1286.18	1991.0	808.0
FAP	836.53	163.28	1617.0	193.01	3.08	0.0	57.08	7.28	2.43	0.0	10.24	6.26	3.63	5.68	6.16	4.98	305.55	155.5	186.4	169.07	283.05
FNIP1	299.25	1135.2	392.44	217.27	102.25	100.83	153.34	130.6	69.03	94.67	119.26	110.43	87.03	103.69	111.99	155.5	171.45	260.38	175.07	334.46	253.23
GALNT10	1081.39	1487.87	2090.03	221.86	59.13	55.89	117.6	88.88	46.84	46.18	55.1	29.7	78.34	38.95	60.82	35.25	808.0	314.17	260.38	718.08	1044.52
GNG10	967.76	4123.49	1259.69	1030.12	563.18	555.41	743.43	532.74	607.87	733.19	638.15	500.46	629.35	633.73	476.71	713.11	1199.98	1757.34	947.83	1417.35	1159.07
GRN	5255.91	11035.54	4972.34	6471.02	3081.75	3235.01	3928.15	2682.69	3103.19	2271.4	4419.52	3820.7	4419.52	4210.15	3419.52	2682.69	14971.21	14361.31	9474.59	5292.48	4704.07
GULP1	228.13	665.29	223.41	84.04	12.09	6.31	14.24	41.52	5.82	2.18	17.64	23.76	18.84	18.84	30.56	35.5	1037.29	1950.0	1359.57	967.76	1277.29
GYG1	1051.79	1674.06	1191.69	529.06	180.02	169.07	343.89	273.37	167.9	170.25	187.71	161.02	133.36	177.53	220.32	221.86	934.76	830.75	567.1	1572.76	547.75
HERC4	529.06	575.03	612.11	351.14	211.31	193.01	316.37	463.65	201.25	198.47	246.28	208.38	312.0	253.23	220.32	348.71	660.68	532.74	620.67	497.0	466.88
KAT6B	769.69	660.68	341.51	115.16	64.34	47.84	84.04	126.12	33.54	64.34	102.25	88.26	35.76	81.14	77.79	82.29	351.14	397.93	412.0	341.51	358.54
KDM3A	642.59	878.17	679.29	334.46	232.94	147.06	231.32	334.46	145.02	101.54	332.14	195.72	159.9	214.27	241.19	189.02	698.41	1175.27	825.0	607.87	995.0
KIAA0319L	1233.75	2133.97	1233.75	698.41	540.19	647.07	660.68	559.28	629.35	457.25	476.71	629.35	473.41	518.15	447.82	551.56	1594.73	1697.45	1233.75	995.0	967.76
LASP1	2701.35	6745.86	2090.03	1977.24	902.89	1111.82	1572.76	921.88	941.27	1225.22	947.83	698.41	1135.2	842.36	860.08	769.69	2287.2	1697.45	2796.65	1477.58	1286.18
LHFPL2	728.11	1457.23	733.19	145.02	28.45	27.64	60.82	88.88	9.63	14.89	98.04	54.33	41.52	46.5	31.22	60.82	483.38	466.88	291.04	426.57	267.73
LRFN5	39.22	0.69	23.76	1.3	0.0	0.0	0.0	0.36	0.0	0.0	38.95	0.0	1.57	0.74	0.68	0.26	20.26	72.01	63.45	94.67	49.56
MACROD2	66.18	37.32	78.34	50.63	31.0	30.12	28.45	115.16	8.19	31.0	62.56	29.48	24.11	48.18	43.94	88.88	265.87	285.03	129.69	137.14	126.12
MAN2B2	698.41	1191.69	547.75	460.44	426.57	473.41	438.59	435.55	414.87	397.93	603.67	638.15	688.78	529.06	373.81	463.65	1242.34	785.88	1437.15	638.15	775.05
MANBA	381.68	1135.2	547.75	265.87	239.52	204.07	295.11	249.73	218.79	158.79	166.73	228.13	187.71	169.07	151.22	137.14	616.37	866.07	583.07	435.55	733.19
MAP3K1	1088.92	718.08	775.05	209.84	104.42	71.0	185.11	211.31	57.89	69.52	157.68	96.68	96.68	111.99	85.22	124.37	486.75	503.95	412.0	450.94	457.25
MMP2	6840.04	595.34	15285.81	1685.71	135.24	55.89	587.13	429.54	134.3	90.14	175.07	291.04	450.94	373.81	59.13	414.87	3212.66	5255.91	4769.75	5006.93	921.88
