	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.44.6778.01A.11R.1858.07	TCGA.85.7710.11A.01R.2125.07	TCGA.HU.A4GY.01A.21R.A24K.31
ABCA1	47.17	206.94	12.45	271.48	128.79	144.01	37.59	96.68	12.27	130.6	182.55	41.52	228.13	149.12	199.85	181.28	921.88	476.71	595.34	218.79	341.51
AIM2	6.84	129.69	0.69	74.58	12.36	34.26	5.06	6.26	2.94	15.11	8.65	4.86	82.29	67.12	67.12	6.16	88.26	131.51	237.86	406.31	301.33
ARHGAP30	56.28	414.87	43.94	309.83	161.02	82.29	58.71	105.15	55.49	110.43	125.24	66.18	325.29	279.14	395.18	113.56	656.11	674.59	830.75	1628.26	819.3
ARRDC5	0.0	2.29	0.0	5.41	1.04	0.69	0.39	1.33	1.16	2.01	2.58	0.0	1.71	1.57	3.17	0.38	4.98	26.28	15.34	29.06	90.77
BACH1	143.01	376.41	92.05	387.02	341.51	138.1	127.0	285.03	48.18	175.07	140.04	154.42	289.02	170.25	420.68	156.59	791.35	603.67	435.55	444.72	305.55
BLOC1S6	305.55	796.86	571.05	785.88	753.83	536.45	389.72	607.87	297.17	591.22	665.29	454.09	836.53	518.15	780.44	599.49	813.63	1044.52	698.41	791.35	713.11
CARD8	299.25	660.68	336.79	802.41	559.28	351.14	379.04	379.04	180.02	547.75	447.82	463.65	669.92	563.18	547.75	287.01	1104.13	981.29	1001.93	1721.16	1277.29
CD83	108.9	500.46	81.14	351.14	167.9	78.89	56.28	121.79	62.56	182.55	128.79	79.45	186.4	187.71	212.78	113.56	353.59	299.25	1111.82	1350.18	470.14
CTD-2370N5.3	1.04	77.79	0.0	68.55	43.32	9.06	8.78	15.0	0.0	30.34	30.34	16.15	40.07	12.27	71.5	22.43	52.82	178.77	88.26	249.73	111.99
DKFZP779L1853	0.0	4.31	0.37	5.92	3.5	1.41	2.58	2.05	0.35	1.75	3.96	0.0	5.87	1.64	4.1	0.4	3.53	9.7	7.75	10.71	11.73
DLEU7	4.94	23.59	5.15	80.01	18.43	10.31	6.67	13.83	5.87	12.55	6.36	3.2	12.64	26.28	57.89	12.45	22.75	44.89	34.75	16.03	20.41
DNAJC24	90.77	318.57	165.57	251.48	228.13	204.07	191.67	141.02	102.97	209.84	172.65	119.26	244.57	153.34	193.01	144.01	208.38	224.97	262.2	229.72	244.57
