	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.NPJ8.2026.SM.3TW91	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.12WSG.0826.SM.5EQ5A	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZW.0926.SM.5LZUD	GTEX.12WSA.1026.SM.5EGHN	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.FY.A40M.01A.11R.A23N.07	TCGA.BJ.A191.01A.11R.A13Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.11EI6.0726.SM.59866	GTEX.11DZ1.2726.SM.5A5KH	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
ABHD10	447.82	543.96	202.66	239.52	214.27	974.5	1096.5	954.43	2240.11	928.3	1066.48	1407.55	2224.63	890.44	642.59	3039.3	1806.78	1437.15	967.76	819.3	698.41	854.13	301.33	1757.34	1467.37	1119.56	1059.11	1135.2	1378.57	1037.29	1498.22	1594.73	1709.26	1447.15	1551.09	1806.78	1709.26	1662.49	1477.58	1605.83	1088.92	1233.75	1794.29	1397.83	1651.0	1286.18	825.0	1369.04	1119.56	490.14	289.02	1250.98	1286.18	1044.52	1225.22	1250.98	1183.45	842.36	884.29	1167.14	1467.37	1498.22	1030.12	884.29	1167.14	1304.15	503.95	189.02	438.59	262.2	567.1	387.02	460.44	796.86	836.53	353.59	417.77	764.36	775.05	738.29	607.87	738.29	555.41	432.53	872.1	656.11	532.74	1008.9	470.14	775.05	616.37	665.29	629.35	693.58	571.05	842.36	476.71	563.18	669.92
ACADM	450.94	307.69	279.14	432.53	591.22	4543.8	4736.79	3124.78	12943.04	4704.07	4937.99	6652.97	14971.21	4095.0	2555.58	14765.09	7695.57	5076.84	3901.01	1909.85	2133.97	1286.18	500.46	9409.14	6840.04	5479.15	3491.39	3589.58	4769.75	4066.71	4543.8	6337.83	8078.22	5672.41	9876.98	10440.2	9151.82	5441.3	4836.35	6699.25	6337.83	6652.97	9215.48	4607.24	4038.61	9025.81	3257.52	5913.33	5219.6	583.07	825.0	5441.3	6037.61	4328.55	6079.61	3874.05	4802.93	3515.68	4388.98	6250.56	7331.05	5711.87	6745.86	3491.39	5517.27	4769.75	1304.15	438.59	808.0	595.34	483.38	599.49	647.07	890.44	1286.18	785.88	813.63	1037.29	1008.9	1143.1	1250.98	1561.89	947.83	665.29	1388.16	1277.29	909.17	1242.34	1151.06	1066.48	848.22	1268.46	830.75	1023.0	708.18	1529.73	595.34	1159.07	1487.87
ACADSB	234.57	199.85	128.79	138.1	153.34	1477.58	1583.71	1073.91	2104.58	1135.2	1313.23	1685.71	5954.47	860.08	1225.22	3491.39	2468.49	1844.76	1651.0	316.37	454.09	460.44	242.88	2609.3	3349.13	2224.63	1417.35	1896.65	1551.09	1044.52	2739.08	2935.74	2555.58	1388.16	2627.46	2627.46	3168.41	2400.97	2090.03	1896.65	1651.0	1794.29	2537.92	2061.24	1457.23	1832.01	915.51	1857.6	1583.71	155.5	123.5	1059.11	1909.85	1519.15	2875.3	1529.73	1991.0	1030.12	1674.06	2451.44	2004.85	3467.27	1950.0	2047.0	1832.01	2537.92	518.15	312.0	297.17	373.81	153.34	98.04	121.79	236.21	197.09	157.68	457.25	371.22	543.96	303.44	244.57	316.37	260.38	220.32	316.37	341.51	223.41	368.65	289.02	379.04	198.47	234.57	221.86	289.02	314.17	267.73	248.0	273.37	285.03
ACBD5	224.97	199.85	123.5	156.59	144.01	988.12	860.08	830.75	733.19	819.3	693.58	684.02	1963.57	620.67	507.46	1561.89	1023.0	961.07	1096.5	460.44	493.56	738.29	228.13	988.12	1119.56	896.64	708.18	915.51	878.17	954.43	1030.12	915.51	947.83	718.08	1008.9	775.05	1051.79	1023.0	748.61	878.17	872.1	854.13	1135.2	884.29	775.05	1096.5	718.08	928.3	866.07	229.72	136.19	733.19	669.92	890.44	981.29	656.11	808.0	595.34	733.19	860.08	954.43	934.76	713.11	780.44	708.18	753.83	358.54	309.83	420.68	457.25	307.69	255.0	348.71	389.72	463.65	314.17	325.29	457.25	612.11	543.96	466.88	473.41	567.1	423.61	454.09	723.08	420.68	708.18	476.71	511.0	397.93	559.28	454.09	551.56	395.18	599.49	318.57	358.54	540.19
AP1AR	409.15	275.28	106.63	143.01	244.57	403.5	316.37	341.51	361.04	371.22	299.25	314.17	698.41	224.97	366.09	514.56	497.0	384.34	813.63	273.37	246.28	341.51	102.97	547.75	559.28	454.09	371.22	551.56	400.71	507.46	503.95	457.25	450.94	389.72	480.04	497.0	599.49	466.88	426.57	444.72	387.02	414.87	500.46	397.93	563.18	447.82	325.29	507.46	397.93	211.31	79.45	368.65	287.01	384.34	447.82	299.25	384.34	297.17	320.8	435.55	423.61	463.65	334.46	334.46	392.44	414.87	137.14	139.07	220.32	138.1	140.04	275.28	220.32	180.02	206.94	197.09	256.78	226.54	218.79	267.73	189.02	301.33	167.9	208.38	239.52	195.72	260.38	241.19	212.78	237.86	169.07	246.28	226.54	180.02	226.54	260.38	253.23	223.41	220.32
ARL5A	162.14	199.85	197.09	339.14	551.56	748.61	651.58	723.08	854.13	728.11	713.11	819.3	2434.5	291.04	503.95	1819.35	1081.39	599.49	819.3	312.0	473.41	947.83	287.01	1001.93	872.1	836.53	802.41	743.43	890.44	854.13	878.17	902.89	759.08	713.11	872.1	981.29	947.83	896.64	981.29	836.53	854.13	769.69	902.89	769.69	1350.18	759.08	674.59	934.76	808.0	275.28	145.02	575.03	616.37	728.11	743.43	656.11	679.29	638.15	529.06	651.58	698.41	808.0	620.67	669.92	638.15	723.08	348.71	341.51	463.65	444.72	318.57	320.8	476.71	575.03	813.63	463.65	555.41	525.39	587.13	633.73	579.04	872.1	819.3	954.43	703.28	802.41	400.71	708.18	698.41	412.0	503.95	397.93	454.09	587.13	316.37	825.0	599.49	483.38	567.1
AUH	291.04	295.11	164.42	341.51	406.31	1447.15	1832.01	1417.35	2451.44	1498.22	1487.87	2061.24	5112.16	1143.1	1135.2	4450.27	2645.74	1313.23	1551.09	785.88	1268.46	379.04	307.69	1794.29	1977.24	1605.83	1417.35	1617.0	1540.37	1322.37	1487.87	1844.76	1794.29	1447.15	1819.35	2224.63	1757.34	1709.26	1639.59	1769.57	1407.55	1639.59	2148.82	1487.87	1313.23	1870.53	1208.34	1457.23	1457.23	514.56	339.14	2018.8	1540.37	1191.69	1923.14	1350.18	1551.09	1242.34	1135.2	1794.29	1757.34	1733.13	1388.16	1023.0	1359.57	1745.2	185.11	343.89	551.56	426.57	447.82	426.57	708.18	559.28	429.54	665.29	708.18	723.08	1001.93	647.07	633.73	591.22	612.11	567.1	708.18	785.88	743.43	764.36	808.0	896.64	389.72	674.59	603.67	607.87	848.22	693.58	791.35	547.75	902.89
BCKDHB	291.04	226.54	171.45	139.07	208.38	612.11	624.99	540.19	813.63	540.19	620.67	769.69	1794.29	555.41	297.17	1832.01	1015.93	493.56	438.59	318.57	314.17	329.84	62.12	759.08	764.36	583.07	490.14	703.28	476.71	511.0	769.69	713.11	780.44	656.11	796.86	896.64	866.07	830.75	728.11	698.41	616.37	679.29	902.89	728.11	629.35	698.41	500.46	620.67	660.68	248.0	454.09	669.92	571.05	651.58	819.3	595.34	723.08	493.56	490.14	785.88	708.18	842.36	540.19	521.76	514.56	633.73	373.81	152.28	281.09	277.2	193.01	143.01	177.53	305.55	264.03	253.23	316.37	346.29	432.53	320.8	309.83	346.29	363.56	318.57	406.31	356.05	307.69	389.72	275.28	400.71	231.32	353.59	379.04	334.46	329.84	309.83	229.72	429.54	457.25
C11orf54	915.51	193.01	150.17	255.0	518.15	7230.1	8078.22	4543.8	22225.61	8305.36	8078.22	13586.57	21768.19	8191.0	3212.66	15285.81	11035.54	8363.13	3467.27	5076.84	2417.67	5329.3	780.44	18950.18	12160.22	8479.89	6652.97	6652.97	7537.18	9344.14	10585.95	10808.41	12415.75	9088.59	13033.07	16960.78	12943.04	10225.32	10154.69	8305.36	9876.98	11345.82	16383.0	9215.48	9808.75	9409.14	4736.79	8479.89	10084.54	825.0	934.76	6381.92	6652.97	7695.57	13306.94	6652.97	9876.98	5594.3	4769.75	8718.32	13586.57	11189.6	8191.0	7589.61	8963.45	11035.54	1088.92	579.04	624.99	703.28	332.14	490.14	728.11	563.18	713.11	312.0	866.07	791.35	733.19	785.88	660.68	703.28	559.28	660.68	728.11	718.08	764.36	902.89	638.15	884.29	460.44	660.68	503.95	785.88	981.29	866.07	684.02	708.18	995.0
C18orf32	1923.14	1651.0	1001.93	967.76	1104.13	2451.44	2664.15	2627.46	4388.98	2591.27	2468.49	3639.7	5594.3	2104.58	2163.77	4836.35	3982.99	3103.19	3325.99	3372.43	2720.15	3124.78	2004.85	3325.99	2720.15	2701.35	2935.74	2645.74	2645.74	2537.92	2956.17	2758.13	2682.69	2682.69	2739.08	4095.0	2664.15	2400.97	2835.7	2502.97	2384.37	2720.15	4181.07	2303.12	4038.61	3039.3	2451.44	3540.14	2303.12	1605.83	733.19	2976.74	2400.97	2061.24	2875.3	2367.9	2335.28	1963.57	2148.82	2148.82	2555.58	2303.12	2047.0	2061.24	1896.65	2400.97	4010.71	1135.2	1709.26	1870.53	2018.8	1950.0	1540.37	2133.97	2303.12	1963.57	1457.23	1467.37	1806.78	1733.13	2075.59	1936.53	2018.8	1572.76	1883.54	1721.16	2090.03	1883.54	2075.59	1991.0	1477.58	2193.99	1572.76	1674.06	1733.13	2133.97	1167.14	1883.54	2468.49
