	TCGA.FD.A62N.01A.11R.A30C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7410.01A.21R.2081.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7065.01A.11R.2081.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
ABI3	1225.22	103.69	536.45	46.5	53.95	78.34	384.34	67.12	20.56	109.66	46.5	215.77	198.47	44.89	237.86	72.01	51.35	113.56	52.45	206.94	346.29	231.32	140.04	104.42	55.49	414.87	82.87	49.56	466.88	107.38	82.29	387.02	41.52	12.55	217.27	291.04	94.67	117.6	397.93	35.5	34.51	728.11	127.0	444.72	169.07	135.24	31.67	80.57	339.14	339.14	59.13	237.86	271.48
AD000671.6	138.1	6.78	56.28	4.1	7.63	4.7	45.85	1.68	0.0	21.32	7.17	21.16	18.16	1.95	54.72	1.91	4.9	6.94	20.11	28.65	27.05	27.64	8.51	10.16	9.34	34.75	14.67	1.46	40.36	18.29	3.96	20.86	1.3	0.0	31.0	43.02	10.0	4.17	28.04	0.0	2.14	68.55	9.41	40.07	13.62	12.64	2.94	8.38	38.4	41.81	5.63	23.59	12.93
AKAP5	15.56	1.71	31.67	2.61	2.61	8.0	28.24	2.07	3.23	8.92	3.38	21.63	8.45	2.89	10.31	3.47	6.21	14.35	2.86	15.22	21.63	22.92	5.87	8.25	3.17	43.32	7.11	5.82	28.86	7.11	6.94	24.81	2.29	2.86	17.77	24.46	4.39	6.11	25.72	1.68	3.53	28.86	5.92	13.03	7.51	11.82	3.23	4.66	51.35	12.83	8.58	17.77	9.41
AKNA	669.92	85.22	1030.12	33.78	29.48	108.14	361.04	63.89	32.13	161.02	65.26	248.0	118.43	107.38	159.9	74.06	76.71	102.97	130.6	236.21	356.05	346.29	134.3	132.44	61.25	575.03	129.69	85.82	291.04	87.65	57.08	291.04	163.28	46.5	163.28	656.11	114.36	166.73	242.88	69.52	112.77	620.67	111.21	260.38	134.3	120.94	35.5	102.25	414.87	228.13	85.22	389.72	189.02
AMICA1	872.1	135.24	497.0	17.13	123.5	92.7	297.17	54.33	23.59	236.21	44.57	283.05	115.16	12.18	162.14	90.77	42.41	147.06	66.65	137.14	303.44	463.65	141.02	167.9	16.15	769.69	137.14	82.87	237.86	39.79	79.45	444.72	14.45	11.04	204.07	688.78	92.7	108.9	295.11	25.54	28.45	616.37	89.51	660.68	102.97	108.14	33.54	113.56	842.36	195.72	44.57	366.09	332.14
APBB1IP	395.18	52.08	511.0	7.75	31.45	32.82	139.07	12.0	5.87	57.08	14.56	81.71	65.26	11.73	105.89	22.59	19.68	43.32	20.11	59.13	173.85	120.1	63.0	29.7	11.82	267.73	55.49	15.22	153.34	19.68	20.41	157.68	10.39	1.97	104.42	275.28	36.79	30.34	154.42	6.06	9.85	376.41	44.25	85.82	47.84	52.82	16.51	34.51	175.07	149.12	20.41	157.68	97.36
APOBEC3H	164.42	30.34	37.05	5.19	4.5	24.46	32.59	1.06	0.78	16.03	6.41	20.41	11.3	3.44	26.1	5.36	4.24	23.25	22.59	18.16	27.05	22.1	13.12	7.4	5.02	51.35	20.41	1.73	38.95	6.62	9.56	36.27	2.56	1.43	13.22	44.89	3.17	8.45	31.22	1.58	0.0	154.42	19.68	22.75	16.88	6.78	22.43	10.88	114.36	42.41	5.32	27.64	18.16
APOBR	314.17	43.63	173.85	7.34	19.82	46.5	215.77	14.89	8.51	60.82	28.24	88.26	145.02	28.65	118.43	31.67	21.32	70.01	17.77	84.04	221.86	132.44	29.27	60.39	45.85	237.86	55.49	35.25	223.41	47.17	45.85	190.34	22.59	4.9	193.01	248.0	46.84	34.75	152.28	14.89	15.22	289.02	57.89	229.72	85.82	82.87	27.84	33.06	172.65	162.14	29.91	128.79	101.54
ARHGAP4	2367.9	62.12	1457.23	50.63	94.01	224.97	392.44	42.41	40.36	316.37	90.14	159.9	260.38	54.72	480.04	371.22	131.51	432.53	158.79	255.0	341.51	587.13	193.01	161.02	98.04	329.84	242.88	169.07	389.72	136.19	78.89	483.38	47.84	16.75	325.29	579.04	176.29	84.04	309.83	73.54	54.33	708.18	121.79	813.63	146.03	128.79	120.94	96.01	775.05	303.44	118.43	258.57	309.83
ARHGAP9	1508.65	98.04	1540.37	26.67	120.1	289.02	500.46	22.92	30.12	241.19	47.5	318.57	287.01	45.85	285.03	101.54	73.54	346.29	115.97	209.84	476.71	341.51	151.22	201.25	53.95	551.56	218.79	170.25	397.93	96.68	86.43	559.28	35.76	12.74	371.22	642.59	166.73	74.06	361.04	14.56	62.12	693.58	118.43	629.35	172.65	224.97	59.13	67.59	1233.75	312.0	92.05	299.25	312.0
