	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.1211K.1026.SM.5EQ4B	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1399S.0526.SM.5IJG8	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
CTD-2014B16.3	0.0	1.95	0.0	8.85	27.64	15.22	26.67	1.48	9.27	9.78	18.84	13.42	13.83	14.45	8.71	15.11	10.0	9.56	9.78	6.31	8.58	11.47	24.46	24.46	20.56	11.21	16.15	15.0	18.7	18.16	13.32	12.36	8.19	12.36	17.13	0.0	0.72	0.0	2.25	4.7	12.27	0.0	0.0	3.26	0.0	0.0	2.92	3.29	2.97	2.46	0.0	4.78	4.58	0.0	0.0	6.62
CTXN3	1.66	0.0	0.74	769.69	2816.11	1023.0	7331.05	122.64	1561.89	1950.0	1259.69	1081.39	1447.15	1008.9	1605.83	1709.26	3280.18	1183.45	1963.57	3103.19	2061.24	769.69	1407.55	1051.79	878.17	1806.78	2835.7	1127.35	1832.01	1397.83	1844.76	1088.92	314.17	2163.77	2104.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31
CUBN	7.51	10.79	11.91	3820.7	2468.49	3280.18	5872.48	112.77	4903.87	4239.45	995.0	1119.56	1359.57	2468.49	7230.1	4010.71	3589.58	8247.98	4268.94	4268.94	2367.9	3146.52	4152.18	5041.77	2287.2	3955.48	4937.99	5791.62	7857.29	6699.25	7803.01	2935.74	4639.29	5594.3	6516.03	0.37	68.07	49.56	73.54	106.63	59.13	73.03	120.1	102.25	90.14	87.03	44.57	92.7	54.33	45.85	61.68	78.34	77.25	84.04	98.04	65.72
DACH1	12.18	10.0	19.82	262.2	171.45	264.03	262.2	83.45	255.0	348.71	450.94	417.77	395.18	242.88	172.65	307.69	287.01	283.05	329.84	185.11	314.17	291.04	351.14	275.28	343.89	246.28	264.03	214.27	220.32	211.31	273.37	195.72	189.02	305.55	205.5	29.91	1.53	2.14	2.94	0.73	4.13	2.16	0.72	1.64	1.81	3.0	0.99	2.84	2.18	4.03	0.96	3.53	0.8	3.17	1.53	1.68
DDC	0.0	0.0	6.36	6164.49	17927.91	7537.18	47313.67	1037.29	14361.31	14065.74	6983.79	7749.1	8022.41	7230.1	11035.54	11745.96	16157.44	10225.32	9945.68	11345.82	7857.29	5366.37	9025.81	10585.95	7642.41	8479.89	15607.02	10154.69	11424.74	16045.82	13399.51	7433.4	7331.05	14461.21	13033.07	36.53	0.54	31.9	9.13	0.0	0.0	4.39	0.0	10.96	8.32	10.24	1.73	3.23	1.77	27.64	4.03	3.5	4.46	4.98	4.39	0.0
DHDH	8.45	0.0	4.9	595.34	2935.74	563.18	5555.65	26.67	1519.15	1437.15	633.73	414.87	435.55	371.22	819.3	1088.92	1733.13	848.22	909.17	1685.71	397.93	215.77	660.68	476.71	1594.73	536.45	547.75	1651.0	1350.18	1023.0	1781.89	1250.98	624.99	954.43	909.17	43.32	4.21	5.11	2.56	1.51	21.01	2.94	12.55	14.56	7.69	3.32	3.86	4.35	0.0	8.65	4.28	3.38	16.15	0.0	3.14	2.46
DHTKD1	195.72	267.73	217.27	896.64	813.63	878.17	1819.35	406.31	1104.13	1407.55	669.92	813.63	629.35	785.88	1191.69	1250.98	1030.12	1769.57	1199.98	941.27	703.28	503.95	941.27	1081.39	813.63	1037.29	1233.75	1322.37	1447.15	1417.35	1721.16	947.83	860.08	1250.98	1407.55	486.75	163.28	239.52	293.07	293.07	301.33	417.77	119.26	397.93	511.0	255.0	229.72	223.41	336.79	325.29	279.14	301.33	211.31	303.44	171.45	497.0
DPEP1	0.0	0.0	4.03	14561.8	14867.79	11112.3	6037.61	1407.55	22850.48	11745.96	8305.36	7642.41	11827.67	10883.59	18431.96	19082.0	18178.19	13306.94	8778.97	12244.81	12676.65	7331.05	9474.59	18178.19	14163.58	11909.94	27553.49	13399.51	33224.42	18052.61	16960.78	23492.92	18431.96	19618.49	16611.71	38.4	6.46	25.91	12.93	4.17	2.39	14.35	7.34	26.28	43.02	3.5	18.29	1.77	22.43	0.0	8.58	153.34	6.84	3.79	3.66	10.31
EAF2	69.52	24.28	45.85	371.22	1857.6	713.11	1561.89	265.87	1331.57	728.11	571.05	473.41	629.35	483.38	718.08	748.61	1457.23	660.68	693.58	1407.55	708.18	376.41	693.58	624.99	620.67	567.1	854.13	511.0	674.59	884.29	808.0	493.56	358.54	651.58	830.75	80.01	37.32	153.34	146.03	20.41	80.01	68.07	42.71	49.21	69.52	118.43	53.57	59.55	34.75	127.89	59.55	62.12	55.49	157.68	41.22	25.54
EHHADH	79.45	112.77	90.77	2645.74	3820.7	2303.12	5555.65	743.43	5403.7	6164.49	2032.85	2287.2	2319.15	3081.75	4671.57	4639.29	3955.48	5517.27	4123.49	3716.2	4210.15	1883.54	3018.3	3847.29	2720.15	2777.33	4239.45	4328.55	4268.94	4903.87	4972.34	2739.08	2895.31	3928.15	4181.07	2047.0	87.65	134.3	212.78	125.24	125.24	98.04	92.7	133.36	133.36	162.14	112.77	109.66	153.34	190.34	105.15	142.01	103.69	138.1	106.63	107.38
ELMOD1	16.39	25.54	23.08	54.72	40.93	31.67	92.05	10.79	34.75	82.87	48.87	41.81	48.18	19.39	70.01	18.03	76.71	61.25	63.45	84.04	53.95	27.84	23.59	30.12	50.63	39.5	114.36	74.58	66.65	94.01	58.71	46.5	22.26	73.54	111.99	3.23	0.27	0.33	10.0	0.0	4.9	4.82	2.1	0.0	3.86	2.48	0.73	0.0	1.1	0.69	0.0	0.73	0.0	7.51	1.36	1.46
ESRRG	12.36	13.83	16.15	543.96	387.02	420.68	2004.85	218.79	532.74	1073.91	954.43	785.88	748.61	620.67	559.28	738.29	603.67	866.07	866.07	629.35	698.41	429.54	559.28	575.03	559.28	438.59	536.45	656.11	529.06	599.49	674.59	483.38	420.68	521.76	521.76	11.04	42.11	61.68	121.79	84.04	76.71	149.12	21.63	82.29	119.26	144.01	70.01	67.12	56.68	100.13	59.97	39.79	34.02	133.36	88.26	31.67
FAM151A	0.0	2.23	3.89	6887.62	15715.58	5954.47	4607.24	223.41	14262.1	6699.25	6037.61	5147.73	5711.87	3901.01	10154.69	9025.81	11267.44	8479.89	5255.91	10883.59	10440.2	7485.11	5633.22	10808.41	13123.73	7642.41	16611.71	7911.95	17927.91	14065.74	14163.58	10659.59	3325.99	13968.57	19214.73	5.11	2.53	11.91	6.46	2.61	2.73	1.39	0.0	3.47	5.54	0.0	0.96	3.08	3.14	1.31	2.61	8.0	1.43	4.7	0.0	2.66
FAM45A	389.72	348.71	332.14	1015.93	1066.48	1030.12	2209.26	791.35	1208.34	1127.35	915.51	988.12	1104.13	995.0	1242.34	1151.06	1030.12	1268.46	1151.06	1304.15	1111.82	1015.93	1127.35	1015.93	890.44	1030.12	1059.11	941.27	890.44	1015.93	1066.48	974.5	928.3	954.43	1143.1	511.0	575.03	679.29	728.11	713.11	785.88	941.27	555.41	769.69	733.19	1051.79	579.04	759.08	890.44	884.29	638.15	802.41	748.61	728.11	555.41	688.78
FBXL5	1498.22	1498.22	1295.13	3103.19	4836.35	3325.99	8718.32	2417.67	3901.01	4481.23	2997.45	3235.01	3690.52	3081.75	4639.29	3639.7	4836.35	5441.3	3690.52	5112.16	3742.05	2835.7	4639.29	3928.15	3081.75	3325.99	5292.48	3419.52	4328.55	4239.45	4512.4	3303.0	3303.0	3820.7	3768.09	642.59	1447.15	2004.85	3081.75	1104.13	2400.97	2133.97	872.1	1674.06	2485.67	2255.7	1721.16	1498.22	2319.15	2240.11	2520.38	2018.8	1923.14	2351.53	1199.98	2075.59
FBXO3	591.22	607.87	595.34	954.43	1183.45	872.1	1250.98	1059.11	1096.5	1208.34	947.83	974.5	1081.39	1051.79	1250.98	1225.22	1242.34	1268.46	1216.75	1457.23	961.07	928.3	1268.46	1104.13	941.27	947.83	1135.2	1023.0	954.43	1066.48	1225.22	813.63	884.29	1001.93	1143.1	305.55	500.46	728.11	738.29	753.83	808.0	743.43	693.58	769.69	866.07	624.99	785.88	463.65	808.0	854.13	759.08	764.36	743.43	902.89	529.06	775.05
