	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.1211K.1026.SM.5EQ4B	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1399S.0526.SM.5IJG8	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
CDH9	0.0	0.0	0.97	114.36	129.69	82.29	84.63	14.89	127.0	87.65	46.5	74.58	57.08	80.57	218.79	87.65	190.34	277.2	114.36	182.55	87.03	104.42	121.79	148.09	110.43	70.51	182.55	117.6	120.1	132.44	211.31	84.04	100.13	52.82	114.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK14	136.19	100.83	131.51	473.41	669.92	518.15	1721.16	323.03	759.08	947.83	629.35	575.03	521.76	616.37	669.92	679.29	698.41	813.63	753.83	703.28	532.74	426.57	583.07	733.19	463.65	450.94	612.11	559.28	674.59	738.29	698.41	507.46	473.41	599.49	638.15	108.9	100.83	323.03	256.78	275.28	336.79	285.03	185.11	258.57	239.52	371.22	224.97	334.46	159.9	206.94	176.29	260.38	187.71	403.5	346.29	273.37
CDKL1	120.1	173.85	141.02	842.36	591.22	620.67	2178.83	708.18	769.69	1313.23	381.68	703.28	708.18	651.58	733.19	1216.75	878.17	1127.35	813.63	1350.18	575.03	607.87	559.28	967.76	633.73	902.89	738.29	896.64	1175.27	728.11	1023.0	684.02	733.19	693.58	974.5	34.26	99.43	195.72	149.12	295.11	269.6	688.78	279.14	387.02	208.38	83.45	339.14	120.1	303.44	228.13	409.15	287.01	295.11	441.64	190.34	258.57
CISD1	2271.4	1572.76	2956.17	1617.0	2895.31	1896.65	4736.79	1044.52	2335.28	2119.22	2032.85	1991.0	2367.9	2133.97	2240.11	2335.28	2997.45	2018.8	2555.58	2627.46	2193.99	1857.6	2502.97	2104.58	2163.77	1781.89	2319.15	1806.78	2018.8	2224.63	2004.85	1950.0	1685.71	1745.2	1923.14	1628.26	559.28	941.27	860.08	287.01	718.08	403.5	444.72	599.49	633.73	660.68	575.03	785.88	447.82	642.59	559.28	620.67	412.0	884.29	583.07	435.55
CLCN5	53.19	22.26	37.85	902.89	703.28	638.15	343.89	265.87	1008.9	1295.13	656.11	769.69	866.07	660.68	1233.75	1183.45	780.44	1651.0	1304.15	1051.79	928.3	529.06	759.08	1199.98	1030.12	718.08	1051.79	1268.46	1268.46	921.88	1427.22	775.05	988.12	1001.93	1151.06	66.18	43.63	38.67	63.0	52.45	37.32	69.03	44.57	55.1	93.35	43.02	41.52	27.05	82.87	50.63	66.65	62.12	69.03	65.72	49.21	53.19
COBLL1	318.57	343.89	224.97	1769.57	842.36	1143.1	1977.24	1322.37	1030.12	2018.8	2451.44	1991.0	1950.0	1233.75	1388.16	1857.6	1135.2	2434.5	2271.4	1388.16	2047.0	1350.18	1519.15	2104.58	1286.18	1467.37	1111.82	1757.34	1322.37	1286.18	1519.15	1781.89	1304.15	1540.37	1639.59	316.37	158.79	287.01	412.0	295.11	332.14	379.04	205.5	346.29	348.71	206.94	395.18	156.59	387.02	358.54	400.71	341.51	309.83	256.78	307.69	162.14
COMMD10	493.56	358.54	463.65	713.11	1388.16	748.61	2133.97	406.31	1183.45	743.43	866.07	848.22	775.05	791.35	825.0	954.43	1340.84	866.07	830.75	1340.84	860.08	836.53	1008.9	748.61	629.35	579.04	902.89	579.04	656.11	728.11	748.61	624.99	571.05	563.18	660.68	275.28	511.0	693.58	616.37	603.67	587.13	599.49	420.68	373.81	642.59	629.35	497.0	543.96	567.1	559.28	507.46	633.73	490.14	647.07	624.99	575.03
COQ5	387.02	395.18	336.79	941.27	1923.14	785.88	1844.76	842.36	1313.23	1340.84	934.76	954.43	941.27	967.76	1151.06	1277.29	1437.15	1127.35	1250.98	1617.0	1119.56	896.64	1119.56	1023.0	941.27	866.07	1096.5	974.5	890.44	1081.39	1088.92	954.43	808.0	896.64	1044.52	638.15	769.69	808.0	909.17	559.28	842.36	616.37	400.71	728.11	656.11	764.36	738.29	665.29	780.44	854.13	536.45	759.08	503.95	902.89	457.25	759.08
COX18	120.94	111.21	147.06	371.22	466.88	301.33	466.88	215.77	426.57	314.17	303.44	275.28	297.17	258.57	371.22	358.54	397.93	403.5	334.46	703.28	297.17	215.77	287.01	329.84	309.83	351.14	414.87	371.22	423.61	353.59	429.54	309.83	299.25	343.89	373.81	158.79	143.01	153.34	201.25	177.53	162.14	187.71	150.17	182.55	169.07	105.89	125.24	102.97	146.03	185.11	136.19	162.14	138.1	157.68	166.73	126.12
CRB2	1.28	0.0	1.13	189.02	73.03	281.09	239.52	43.02	158.79	231.32	348.71	373.81	420.68	202.66	73.03	248.0	165.57	171.45	297.17	68.55	199.85	551.56	185.11	356.05	281.09	224.97	228.13	226.54	346.29	171.45	214.27	248.0	165.57	343.89	209.84	0.0	1.07	7.82	7.94	0.64	3.47	1.97	2.76	1.46	4.7	2.81	2.41	0.65	5.54	3.69	1.04	4.35	1.57	4.21	10.79	2.89
