	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.T5JC.1526.SM.4DM68	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3387.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.5R.AAAM.01A.12R.A41C.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ADAL	358.54	242.88	242.88	457.25	265.87	218.79	423.61	269.6	262.2	414.87	208.38	381.68	194.36	332.14	361.04	267.73	291.04	249.73	262.2	193.01	244.57	211.31	224.97	251.48	123.5	109.66	75.11	117.6	194.36	54.72	0.0	0.19
AK3	4181.07	2351.53	2875.3	3491.39	2119.22	2573.36	3742.05	2319.15	2720.15	4937.99	1950.0	2193.99	2018.8	3212.66	4181.07	2645.74	3212.66	2061.24	2417.67	1806.78	2018.8	2061.24	1628.26	2224.63	1950.0	974.5	1594.73	1662.49	1508.65	441.64	0.0	0.56
BBIP1	896.64	738.29	796.86	1008.9	728.11	764.36	928.3	511.0	723.08	842.36	718.08	836.53	575.03	802.41	909.17	1159.07	902.89	665.29	791.35	624.99	679.29	540.19	503.95	529.06	371.22	267.73	373.81	406.31	275.28	511.0	0.0	0.66
BDKRB1	121.79	54.72	74.06	124.37	122.64	74.58	358.54	111.99	100.13	111.99	21.63	44.25	24.46	78.89	45.21	73.03	63.89	72.01	57.89	42.71	72.52	39.5	42.11	56.28	3.38	6.89	6.94	49.56	6.46	11.38	0.0	0.0
BMP6	1304.15	1015.93	503.95	2875.3	1359.57	77.79	1832.01	1037.29	463.65	2133.97	52.45	547.75	281.09	941.27	896.64	995.0	1457.23	511.0	258.57	106.63	285.03	301.33	81.71	775.05	52.08	12.36	3.66	13.22	1.17	2.2	0.0	0.34
BVES	101.54	36.01	38.95	191.67	68.55	10.63	199.85	65.72	21.94	293.07	11.91	72.52	18.16	73.03	39.79	94.67	104.42	28.65	19.11	8.45	20.26	23.08	12.74	63.45	2.86	10.88	1.38	4.1	1.01	2.58	0.0	0.4
C15orf56	116.78	45.53	36.53	191.67	96.68	8.13	137.14	65.26	24.63	108.9	6.36	31.9	17.77	65.26	58.71	66.18	67.12	47.17	32.36	17.51	40.36	36.27	14.56	41.52	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2orf15	1572.76	525.39	693.58	1388.16	551.56	463.65	1286.18	620.67	493.56	2224.63	536.45	854.13	426.57	884.29	796.86	708.18	638.15	651.58	599.49	368.65	500.46	567.1	447.82	693.58	299.25	92.7	146.03	221.86	131.51	206.94	0.0	0.45
CAMKMT	463.65	265.87	228.13	444.72	297.17	150.17	457.25	275.28	209.84	447.82	150.17	248.0	167.9	256.78	267.73	363.56	277.2	239.52	239.52	157.68	185.11	167.9	134.3	242.88	63.89	90.77	53.19	73.54	111.21	78.89	0.0	0.42
CAPN6	1191.69	435.55	275.28	2895.31	2193.99	32.59	4038.61	791.35	218.79	4607.24	45.21	684.02	54.72	684.02	802.41	665.29	753.83	334.46	120.1	26.28	162.14	157.68	77.79	529.06	1.16	14.35	10.63	0.0	1.1	4.62	0.0	0.0
CASP12	23.93	3.96	12.36	97.36	18.16	8.65	140.04	10.71	0.91	87.65	11.73	15.56	6.26	12.18	28.65	17.25	12.74	5.96	15.22	5.02	4.13	5.82	5.54	7.0	1.07	4.7	4.1	2.53	1.48	5.45	0.0	0.08
CCNDBP1	1757.34	1111.82	1242.34	1963.57	1628.26	764.36	2075.59	1119.56	1359.57	1819.35	1066.48	1477.58	1044.52	1350.18	1583.71	1467.37	1561.89	1135.2	1295.13	1233.75	1322.37	1104.13	921.88	1199.98	688.78	718.08	563.18	525.39	435.55	567.1	0.0	0.75
CCNJL	242.88	143.01	69.52	934.76	246.28	27.84	607.87	206.94	229.72	273.37	39.79	185.11	51.35	178.77	162.14	159.9	165.57	116.78	66.65	52.82	65.72	110.43	29.48	151.22	10.24	8.0	3.89	10.08	1.77	2.51	0.0	0.48
CPVL	5913.33	4181.07	5183.54	20737.16	7537.18	1617.0	13215.02	5006.93	4419.52	10512.82	1427.22	5441.3	2816.11	7331.05	5292.48	8022.41	7032.37	4038.61	4181.07	2133.97	3018.3	2682.69	1529.73	5403.7	480.04	83.45	195.72	63.89	19.82	74.06	0.0	0.25
DLG3	928.3	665.29	579.04	974.5	780.44	295.11	1167.14	629.35	571.05	1119.56	242.88	808.0	395.18	819.3	1015.93	583.07	1008.9	698.41	351.14	414.87	575.03	514.56	289.02	796.86	27.05	14.45	11.73	28.04	3.41	8.92	0.0	0.53
DNAH7	100.13	84.63	77.79	346.29	88.88	10.16	384.34	73.54	35.76	253.23	21.94	95.34	50.98	105.89	76.17	141.02	80.57	114.36	66.18	28.65	67.12	43.63	32.59	75.11	4.98	33.78	1.35	5.77	2.68	0.0	0.0	0.0
ESAM	4671.57	2997.45	1896.65	10808.41	4481.23	1685.71	16269.83	4066.71	4239.45	8022.41	775.05	2895.31	1487.87	2915.45	2895.31	4181.07	4328.55	2777.33	2485.67	1268.46	2178.83	1757.34	1044.52	3257.52	579.04	813.63	403.5	603.67	156.59	205.5	0.0	0.83
FAXC	198.47	125.24	129.69	1806.78	56.68	35.0	599.49	28.04	387.02	1277.29	54.72	166.73	59.55	141.02	106.63	150.17	133.36	138.1	80.57	58.71	125.24	65.72	44.25	95.34	1.43	0.0	0.0	4.24	0.0	1.99	0.0	0.39
FBXO25	848.22	647.07	525.39	1388.16	759.08	703.28	1477.58	728.11	532.74	1277.29	543.96	1008.9	583.07	808.0	836.53	830.75	684.02	854.13	753.83	599.49	674.59	483.38	500.46	642.59	500.46	521.76	665.29	486.75	503.95	346.29	0.0	0.47
FUNDC1	693.58	567.1	642.59	1081.39	698.41	318.57	769.69	599.49	543.96	954.43	368.65	718.08	473.41	713.11	708.18	802.41	607.87	791.35	633.73	417.77	476.71	470.14	318.57	454.09	173.85	242.88	142.01	105.89	156.59	205.5	0.0	0.16
GBAS	3716.2	1923.14	1781.89	4298.64	2224.63	2451.44	3325.99	2133.97	2255.7	6337.83	1572.76	2701.35	1477.58	2520.38	2895.31	2367.9	2520.38	1794.29	1674.06	1477.58	1551.09	1313.23	1066.48	1457.23	316.37	211.31	265.87	150.17	237.86	223.41	0.0	0.62
GLTP	6079.61	2209.26	1437.15	7485.11	2609.3	1397.83	7695.57	1857.6	2178.83	5366.37	1001.93	2645.74	1250.98	3325.99	2739.08	4095.0	3847.29	1883.54	1540.37	1407.55	1806.78	1487.87	1001.93	2451.44	343.89	417.77	470.14	339.14	283.05	295.11	802.41	2758.13
