	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.P4QT.0626.SM.3NMCP	GTEX.11XUK.0826.SM.5GU6P	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.CG.5720.11A.01R.1602.13	GTEX.Y8E4.1526.SM.4WWDI	GTEX.Y9LG.1026.SM.5IFJN
ADAM28	33.54	17.51	82.87	6.57	19.68	6.31	36.01	26.1	334.46	303.44	17.51	26.28	2163.77	283.05	166.73	13.22	6.89	26.28	76.17	723.08	44.89	28.24	7.82	1909.85	563.18	884.29	3491.39	1331.57	4607.24	4066.71	2720.15	3690.52	1909.85	2032.85	1331.57	346.29	981.29
AGR3	0.0	6.67	40.64	0.0	0.0	0.0	21.78	2.03	63.0	19.97	0.68	0.28	13681.08	928.3	0.0	31.45	2.97	2.89	35.76	75.11	2.27	10.96	8.99	4038.61	279.14	1487.87	1457.23	7695.57	3690.52	10659.59	698.41	8538.88	6294.04	1594.73	2956.17	363.56	2287.2
ANO7	1.04	2.63	13.93	4.06	3.26	0.67	14.14	4.1	108.14	95.34	2.92	1.5	320.8	46.5	0.0	2.78	0.13	4.31	5.54	10.31	3.86	6.46	2.34	599.49	220.32	323.03	567.1	153.34	295.11	2384.37	159.9	221.86	166.73	299.25	656.11	140.04	536.45
ANXA10	0.0	0.4	23.59	0.0	0.0	0.0	5.59	0.0	102.25	82.87	0.36	0.0	25354.3	15.22	0.0	12.27	0.0	0.0	3.29	0.89	1.25	3.14	5.06	13033.07	651.58	2720.15	13776.25	3491.39	17437.64	32092.64	6079.61	7749.1	2682.69	4268.94	12502.12	1216.75	2627.46
AQP2	4.58	0.24	3.32	0.0	0.0	0.0	7.22	0.0	6.11	1.69	0.0	0.0	24.63	0.0	0.0	0.27	0.0	0.0	0.89	5.11	0.13	1.28	0.24	2.03	5.63	4.82	1.27	22.43	5.82	35.5	7.28	3.66	5.68	12.45	3.0	6.21	7.94
ARHGDIG	0.0	14.03	11.21	0.72	4.21	3.26	6.89	0.0	43.94	141.02	2.29	6.26	368.65	58.3	0.0	24.99	31.9	1.03	2.01	17.0	2.53	4.17	15.22	361.04	221.86	72.01	139.07	202.66	343.89	145.02	3.92	46.18	79.45	165.57	583.07	208.38	460.44
ARHGEF38	29.7	1.38	8.78	0.64	0.1	0.47	10.08	2.25	19.82	13.52	0.21	0.0	470.14	29.48	0.0	0.52	0.0	0.2	8.25	10.39	0.13	2.12	0.68	183.82	89.51	131.51	21.47	265.87	204.07	246.28	325.29	529.06	106.63	555.41	66.65	29.27	46.18
BCL2L14	255.0	3.08	18.29	0.0	0.52	0.96	9.34	0.79	30.56	16.51	0.0	0.48	620.67	43.63	0.0	8.06	0.0	0.71	17.64	91.41	1.57	3.66	1.51	974.5	329.84	271.48	305.55	571.05	529.06	1208.34	353.59	902.89	177.53	775.05	1104.13	129.69	291.04
BTBD17	0.46	0.0	2.01	0.0	0.17	0.0	0.0	0.0	1.19	1.99	0.0	0.11	10.08	2.78	0.0	0.22	0.3	1.14	0.62	0.0	0.29	0.0	0.0	1.68	2.34	4.06	4.86	2.73	5.5	3.53	1.85	4.5	2.39	4.17	5.28	1.19	2.43
C4orf19	4.82	17.38	56.28	3.5	8.25	5.77	22.43	32.82	109.66	63.89	7.46	8.78	463.65	106.63	0.0	11.3	0.0	1.89	53.57	56.68	18.29	33.78	9.78	432.53	295.11	293.07	221.86	567.1	660.68	860.08	616.37	1023.0	543.96	854.13	785.88	172.65	423.61
