	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.117YW.0526.SM.5H11C	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.Q2AG.1026.SM.33HBW	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM
ACO2	1051.79	842.36	928.3	1487.87	848.22	1674.06	974.5	1963.57	1561.89	1508.65	1044.52	2682.69	1806.78	2209.26	1896.65	2875.3	2701.35	2520.38	1674.06	1369.04	2855.44	1378.57	1331.57	2178.83	1295.13	2739.08	2777.33	2609.3	1617.0	5329.3	1104.13	2400.97	2104.58	1551.09	1769.57	1359.57	1268.46	1794.29	2075.59	1909.85	2645.74	1551.09	2417.67	1757.34	3928.15	2004.85	2451.44	2047.0	3589.58	1304.15	1662.49	2032.85	2240.11	1721.16	2537.92	2739.08	3018.3	1769.57	2758.13	3212.66	1073.91	2758.13	1175.27	1088.92	1662.49	2796.65	2417.67	2573.36	1437.15	1437.15	2417.67	1529.73
ALYREF	679.29	607.87	921.88	723.08	587.13	1037.29	395.18	769.69	1023.0	684.02	1073.91	1427.22	1208.34	1151.06	1225.22	1437.15	1322.37	1498.22	934.76	1191.69	1073.91	1119.56	1127.35	1498.22	1008.9	1250.98	1331.57	1508.65	1023.0	1561.89	967.76	1135.2	1407.55	1008.9	1233.75	1044.52	1208.34	1216.75	1407.55	1628.26	1073.91	1388.16	1662.49	1378.57	1268.46	1331.57	2090.03	1369.04	1427.22	1135.2	1277.29	1259.69	1508.65	1208.34	1950.0	1397.83	1119.56	1304.15	1233.75	1447.15	1073.91	1407.55	1119.56	674.59	1250.98	1313.23	1216.75	1304.15	947.83	1322.37	1340.84	1001.93
ANAPC11	2032.85	1551.09	1447.15	1936.53	1769.57	1242.34	1073.91	2255.7	1991.0	2209.26	1963.57	3419.52	2682.69	2240.11	2855.44	3146.52	3325.99	3515.68	2255.7	3325.99	2209.26	1745.2	2777.33	3639.7	2148.82	3168.41	4010.71	3212.66	1561.89	4481.23	1340.84	3874.05	3901.01	2796.65	2997.45	2627.46	3515.68	3540.14	3257.52	4239.45	3589.58	2935.74	4869.99	1950.0	5329.3	2796.65	4010.71	5403.7	3928.15	2777.33	3124.78	2645.74	6337.83	2485.67	4802.93	2271.4	2935.74	6699.25	4038.61	4607.24	1617.0	4481.23	2400.97	1883.54	3039.3	3395.89	2956.17	3901.01	2335.28	2956.17	3372.43	2178.83
APOA1BP	1143.1	432.53	679.29	738.29	775.05	1175.27	665.29	1674.06	1594.73	1794.29	1313.23	3419.52	2400.97	1572.76	2367.9	3325.99	2400.97	2468.49	1594.73	2555.58	1733.13	1447.15	1883.54	1883.54	1594.73	2434.5	2720.15	2956.17	1457.23	3794.3	1208.34	2627.46	2400.97	2591.27	1991.0	1605.83	2400.97	2303.12	2104.58	3443.31	2591.27	1844.76	3349.13	1350.18	3955.48	2468.49	3395.89	3874.05	3124.78	1781.89	2178.83	2090.03	3716.2	2032.85	3690.52	2502.97	2835.7	4298.64	2555.58	3190.46	1208.34	3235.01	1594.73	1617.0	2061.24	2758.13	2271.4	3103.19	1896.65	2287.2	2485.67	1407.55
APOO	172.65	129.69	101.54	190.34	112.77	151.22	165.57	379.04	249.73	341.51	334.46	866.07	860.08	493.56	819.3	836.53	638.15	647.07	753.83	647.07	536.45	353.59	316.37	529.06	432.53	490.14	961.07	698.41	348.71	1183.45	397.93	947.83	718.08	457.25	450.94	314.17	579.04	532.74	775.05	928.3	629.35	543.96	967.76	339.14	1359.57	796.86	660.68	1135.2	1304.15	620.67	587.13	514.56	748.61	629.35	1427.22	633.73	825.0	967.76	769.69	1388.16	262.2	1059.11	441.64	332.14	665.29	1216.75	703.28	665.29	591.22	1030.12	819.3	363.56
ASNA1	769.69	454.09	612.11	748.61	575.03	660.68	718.08	1519.15	1322.37	1794.29	1477.58	2417.67	2104.58	1233.75	2032.85	2075.59	2148.82	2701.35	1388.16	2224.63	1583.71	1191.69	1457.23	2303.12	1437.15	2018.8	2209.26	2796.65	1151.06	2758.13	842.36	2303.12	2271.4	2335.28	2193.99	1508.65	2224.63	2178.83	2255.7	2271.4	2434.5	1923.14	2451.44	1417.35	2287.2	2119.22	2468.49	2591.27	2335.28	1819.35	2335.28	2004.85	2682.69	1844.76	2303.12	1870.53	2075.59	2573.36	2520.38	2240.11	1427.22	2915.45	1378.57	1594.73	2104.58	2287.2	1936.53	2255.7	1857.6	1923.14	2468.49	909.17
ATOX1	1697.45	1697.45	1844.76	2502.97	1781.89	1268.46	1030.12	3540.14	2335.28	3742.05	3665.02	8134.41	6699.25	3372.43	4903.87	5517.27	4481.23	5995.9	3768.09	6652.97	3665.02	4450.27	3349.13	5292.48	3491.39	4836.35	5913.33	4239.45	3820.7	6381.92	2255.7	5255.91	5913.33	4543.8	5594.3	3280.18	6121.9	5479.15	5041.77	6887.62	6516.03	4358.66	5329.3	3443.31	6840.04	4903.87	5112.16	7485.11	6079.61	4388.98	5517.27	3614.55	7230.1	4123.49	7749.1	3794.3	4450.27	8479.89	5076.84	7280.4	2976.74	8022.41	3955.48	3955.48	5183.54	5219.6	4607.24	6607.01	4512.4	4769.75	6037.61	2895.31
ATP5F1	2591.27	1540.37	1628.26	2351.53	1721.16	1870.53	3018.3	4543.8	3639.7	4123.49	5183.54	7230.1	6426.31	3467.27	6294.04	6745.86	6207.38	6983.79	3874.05	6381.92	3982.99	3982.99	3742.05	5831.91	4181.07	4903.87	6887.62	5791.62	3742.05	8598.28	2609.3	5872.48	6381.92	4802.93	4639.29	3303.0	4903.87	5555.65	5995.9	6887.62	6426.31	4836.35	7642.41	4298.64	6887.62	5366.37	6337.83	7280.4	8305.36	4181.07	5219.6	5555.65	6652.97	4481.23	8078.22	6652.97	6381.92	7331.05	6164.49	7642.41	3589.58	7537.18	4038.61	4736.79	5255.91	6792.79	5292.48	6471.02	5183.54	5076.84	6561.36	3491.39
ATP5G1	1477.58	713.11	1697.45	2119.22	1359.57	1721.16	934.76	3665.02	2758.13	3039.3	4095.0	10154.69	6471.02	3372.43	4937.99	7749.1	6516.03	7642.41	3467.27	6037.61	3039.3	2319.15	2935.74	4388.98	2935.74	4298.64	9540.5	6250.56	3257.52	13399.51	2417.67	6471.02	7642.41	3847.29	5076.84	3982.99	5219.6	5112.16	5366.37	9876.98	6037.61	5479.15	10014.87	3168.41	15392.14	6037.61	8134.41	10084.54	15180.22	4639.29	5183.54	4671.57	8778.97	5147.73	13872.08	6250.56	6426.31	8718.32	5366.37	16157.44	2400.97	7537.18	2720.15	2875.3	4769.75	10084.54	6164.49	7803.01	3982.99	5791.62	6561.36	3190.46
ATP5G3	2956.17	1923.14	2224.63	2609.3	2485.67	2061.24	2537.92	3515.68	3540.14	3820.7	4450.27	7331.05	5751.61	4671.57	5594.3	9876.98	8247.98	7032.37	3742.05	5366.37	4388.98	3060.45	3018.3	6207.38	3665.02	4736.79	7537.18	6294.04	4639.29	13492.72	2367.9	6121.9	6887.62	3467.27	4450.27	3303.0	4512.4	5183.54	4802.93	7230.1	6121.9	5517.27	9344.14	3847.29	11909.94	6337.83	6164.49	9540.5	14262.1	4419.52	5479.15	5183.54	7485.11	4268.94	9215.48	6250.56	6840.04	7589.61	7803.01	10808.41	3103.19	7695.57	4298.64	3768.09	5995.9	10808.41	5913.33	7857.29	4802.93	4704.07	5751.61	3515.68
