	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.BH.A0B9.01A.11R.A056.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.B6.A0X0.01A.21R.A115.07	TCGA.BH.A0E0.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.AA.3675.01A.02R.0905.07	TCGA.AZ.6606.01A.11R.1839.07	TCGA.ZR.A9CJ.01B.11R.A38D.31	TCGA.D6.6827.01A.11R.1915.07	TCGA.2Z.A9JI.01A.11R.A42S.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.86.8076.01A.31R.2241.07	TCGA.78.7162.01A.21R.2066.07	TCGA.55.6983.01A.11R.1949.07	TCGA.78.7158.01A.11R.2039.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.E6.A2P9.01A.11R.A19W.07	TCGA.A5.AB3J.01A.11R.A40A.07
ARF1	18304.63	10225.32	17558.94	29943.43	11664.82	14867.79	13399.51	11992.79	10154.69	8963.45	14561.8	13399.51	12415.75	9025.81	10659.59	6561.36	13215.02	9151.82	6792.79	7966.99	5076.84	6983.79	7695.57	4639.29	7230.1	5147.73	6207.38	4937.99	11664.82	7803.01	7803.01	6381.92	5751.61	6745.86	6426.31	8778.97	8134.41	8191.0	5329.3	6337.83	4358.66	8901.53	7032.37	6840.04	7230.1	5255.91	7803.01	6887.62	5366.37	14461.21	13033.07	14867.79	15934.98	11584.24	9876.98	15180.22	14663.09
ARID4B	400.71	376.41	490.14	591.22	320.8	802.41	525.39	211.31	351.14	299.25	320.8	392.44	303.44	583.07	239.52	224.97	161.02	135.24	108.9	262.2	75.11	205.5	156.59	185.11	108.14	122.64	78.34	133.36	212.78	96.68	107.38	75.64	189.02	134.3	152.28	146.03	108.9	136.19	178.77	102.97	152.28	94.01	183.82	57.89	167.9	98.73	75.11	220.32	65.26	567.1	285.03	435.55	591.22	397.93	295.11	708.18	493.56
C1orf74	142.01	80.01	205.5	205.5	153.34	141.02	171.45	75.64	81.14	92.7	145.02	115.16	46.5	435.55	100.13	35.5	44.57	35.0	55.1	97.36	37.85	56.28	52.82	65.26	37.32	52.45	35.0	67.12	23.93	23.08	67.59	44.57	25.35	44.89	50.63	43.32	27.05	23.25	30.34	42.71	68.07	69.03	34.75	44.25	31.9	30.78	57.08	18.29	30.12	98.04	78.89	108.9	137.14	108.9	72.52	126.12	89.51
CASP2	387.02	332.14	490.14	2193.99	543.96	507.46	651.58	738.29	332.14	341.51	248.0	376.41	353.59	808.0	373.81	199.85	145.02	65.26	73.03	90.14	89.51	93.35	100.13	105.15	66.18	106.63	40.93	89.51	145.02	49.56	107.38	103.69	74.58	127.89	90.14	92.05	122.64	17.25	46.5	72.52	105.15	44.25	44.57	10.47	68.07	78.34	86.43	37.85	66.65	376.41	381.68	444.72	457.25	450.94	373.81	470.14	470.14
CDC73	432.53	291.04	624.99	267.73	414.87	503.95	432.53	642.59	318.57	279.14	543.96	420.68	587.13	463.65	223.41	132.44	151.22	115.97	91.41	158.79	132.44	316.37	153.34	162.14	137.14	130.6	100.13	190.34	129.69	149.12	108.9	80.01	152.28	155.5	135.24	120.94	153.34	189.02	119.26	133.36	108.14	127.89	124.37	111.21	108.9	133.36	141.02	145.02	145.02	454.09	341.51	503.95	493.56	397.93	336.79	651.58	486.75
CDK5	486.75	389.72	426.57	409.15	698.41	423.61	429.54	438.59	420.68	417.77	414.87	343.89	343.89	928.3	633.73	285.03	180.02	205.5	297.17	231.32	343.89	185.11	206.94	281.09	318.57	271.48	237.86	264.03	115.16	329.84	157.68	309.83	223.41	400.71	242.88	343.89	204.07	177.53	221.86	275.28	190.34	220.32	237.86	221.86	395.18	197.09	279.14	291.04	346.29	432.53	389.72	420.68	291.04	460.44	417.77	447.82	563.18
COG2	638.15	483.38	1159.07	450.94	651.58	1037.29	1159.07	237.86	279.14	381.68	988.12	713.11	309.83	599.49	543.96	186.4	166.73	82.29	121.79	135.24	113.56	193.01	138.1	204.07	114.36	166.73	236.21	123.5	95.34	140.04	153.34	170.25	116.78	273.37	228.13	176.29	144.01	100.83	220.32	96.68	132.44	135.24	102.25	37.59	138.1	194.36	237.86	132.44	124.37	642.59	607.87	563.18	638.15	718.08	417.77	1066.48	563.18
COPG2	1388.16	961.07	1437.15	3081.75	759.08	1359.57	1936.53	1781.89	890.44	1044.52	679.29	669.92	264.03	1561.89	1378.57	423.61	373.81	275.28	293.07	264.03	320.8	454.09	189.02	343.89	287.01	384.34	56.28	381.68	146.03	265.87	234.57	193.01	323.03	438.59	291.04	237.86	307.69	258.57	134.3	325.29	366.09	373.81	231.32	214.27	312.0	202.66	277.2	156.59	346.29	928.3	934.76	1051.79	1001.93	1216.75	753.83	1059.11	928.3
EEF1G	51417.5	42937.97	90146.51	69271.73	125731.67	72715.74	154794.07	95949.32	36106.23	48643.87	68318.04	40062.48	33922.56	163620.18	40621.74	29736.59	34158.52	25354.3	33455.53	15285.81	22692.63	16269.83	16496.96	16045.82	21617.82	21320.18	19618.49	20451.65	23009.42	25354.3	20170.07	25005.23	17804.06	29327.18	28328.16	31432.17	17681.08	8658.09	27745.15	23009.42	20737.16	26800.01	19618.49	21617.82	26986.43	13872.08	29124.6	26248.46	27553.49	75280.1	38430.46	59887.86	88291.3	35363.15	44145.15	81809.59	63302.6
EPRS	2434.5	1697.45	3982.99	5791.62	3690.52	3928.15	3614.55	3372.43	1268.46	1963.57	3614.55	3190.46	1674.06	2303.12	1674.06	723.08	2119.22	928.3	599.49	785.88	620.67	1350.18	884.29	583.07	775.05	532.74	1233.75	575.03	1037.29	1628.26	934.76	934.76	575.03	718.08	1111.82	693.58	830.75	836.53	921.88	693.58	587.13	1250.98	1322.37	423.61	571.05	954.43	1073.91	830.75	748.61	3060.45	1685.71	2796.65	3168.41	1819.35	1769.57	2956.17	2573.36
