	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.11P81.1426.SM.5P9JN	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.YECK.2826.SM.5IFHF	GTEX.13O21.2426.SM.5MR4A	GTEX.147JS.2626.SM.5S2UX	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.1399U.2226.SM.5KLZI	GTEX.11EMC.1426.SM.5N9E4	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.132NY.2726.SM.5PNY2	GTEX.ZPCL.1626.SM.57WGC	GTEX.12WSJ.0826.SM.5PNWV	GTEX.YJ8O.0326.SM.5RQJW	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.WZTO.1526.SM.4PQYQ	TCGA.AK.3447.01A.01R.1766.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	GTEX.13CF2.2426.SM.5LZYL	GTEX.QXCU.1926.SM.48FE4	GTEX.R55G.1626.SM.48FF4
AAAS	1030.12	1745.2	1769.57	1519.15	1313.23	1088.92	988.12	808.0	1572.76	988.12	796.86	1388.16	836.53	1059.11	1781.89	1199.98	981.29	915.51	1651.0	1605.83	878.17	1551.09	718.08	934.76	860.08	1498.22	1313.23	1407.55	1639.59	1340.84	921.88	921.88	1508.65	1529.73	884.29	1350.18	775.05	1051.79	2004.85	3103.19	2739.08	3639.7	1397.83	3325.99	3212.66	2720.15	2133.97	2468.49	2758.13	2451.44	466.88	909.17	941.27	595.34	915.51	559.28	796.86
AGAP2	41.81	130.6	93.35	89.51	24.46	22.59	21.32	12.93	63.0	22.92	49.21	50.27	14.67	47.17	78.89	28.86	57.89	24.63	63.89	88.26	6.78	93.35	42.11	64.34	13.22	120.94	61.68	62.56	142.01	24.46	16.51	19.25	74.06	43.32	21.32	71.0	13.52	21.32	289.02	248.0	208.38	191.67	217.27	215.77	248.0	258.57	144.01	156.59	199.85	159.9	1.97	8.13	14.89	52.08	223.41	14.89	62.12
ANKRD6	141.02	159.9	181.28	172.65	171.45	80.01	76.17	28.04	206.94	95.34	73.03	206.94	106.63	127.0	198.47	70.01	93.35	124.37	103.69	208.38	6.73	176.29	84.04	156.59	91.41	134.3	115.16	162.14	226.54	115.97	96.68	97.36	171.45	178.77	71.5	163.28	85.82	52.82	215.77	231.32	285.03	253.23	426.57	417.77	291.04	202.66	281.09	269.6	387.02	444.72	14.89	144.01	111.99	123.5	114.36	80.01	63.45
ARHGEF10L	1015.93	825.0	1467.37	872.1	708.18	684.02	575.03	1388.16	743.43	555.41	532.74	941.27	371.22	693.58	1151.06	842.36	579.04	679.29	947.83	860.08	2303.12	961.07	547.75	616.37	412.0	1617.0	974.5	1073.91	1023.0	872.1	429.54	571.05	1096.5	1340.84	1199.98	1030.12	500.46	616.37	1781.89	2384.37	1617.0	2609.3	1896.65	3060.45	2104.58	1268.46	1781.89	1819.35	2193.99	2148.82	63.0	363.56	334.46	368.65	902.89	441.64	267.73
ARHGEF39	153.34	155.5	277.2	89.51	146.03	133.36	126.12	74.06	197.09	99.43	114.36	143.01	68.55	169.07	182.55	135.24	73.03	102.25	307.69	63.0	244.57	221.86	91.41	90.14	68.55	223.41	142.01	204.07	341.51	251.48	110.43	171.45	224.97	229.72	66.65	144.01	71.5	63.45	241.19	414.87	796.86	441.64	480.04	575.03	249.73	426.57	299.25	312.0	273.37	295.11	18.56	10.96	19.11	40.93	14.45	108.9	23.42
ARID3B	70.01	105.89	146.03	125.24	89.51	121.79	70.51	195.72	120.1	72.52	83.45	85.82	76.17	118.43	128.79	115.97	77.79	105.15	130.6	123.5	181.28	88.88	59.97	76.71	65.72	138.1	111.99	93.35	131.51	59.97	72.01	69.52	189.02	128.79	56.28	99.43	63.0	28.24	146.03	205.5	129.69	165.57	129.69	178.77	134.3	142.01	115.97	157.68	155.5	132.44	5.54	99.43	116.78	107.38	39.22	169.07	18.56
ATG4B	848.22	1794.29	1819.35	1519.15	1322.37	860.08	941.27	1457.23	1540.37	830.75	967.76	1359.57	836.53	1119.56	1259.69	954.43	872.1	825.0	1721.16	1551.09	1467.37	1745.2	974.5	866.07	941.27	1883.54	1447.15	1183.45	1781.89	1870.53	738.29	1051.79	1388.16	1199.98	902.89	1369.04	872.1	995.0	2434.5	2367.9	2816.11	2417.67	2682.69	2520.38	2502.97	2451.44	2796.65	2163.77	2537.92	2875.3	457.25	1457.23	1259.69	1340.84	669.92	890.44	612.11
BPTF	674.59	921.88	567.1	708.18	748.61	748.61	435.55	555.41	780.44	684.02	791.35	988.12	571.05	688.78	981.29	575.03	591.22	775.05	607.87	1030.12	599.49	860.08	503.95	748.61	332.14	480.04	769.69	633.73	642.59	518.15	547.75	842.36	651.58	679.29	379.04	607.87	629.35	223.41	684.02	1008.9	808.0	866.07	961.07	791.35	954.43	703.28	915.51	567.1	934.76	1151.06	54.72	583.07	669.92	575.03	500.46	854.13	366.09
C2CD2L	262.2	346.29	438.59	406.31	289.02	275.28	316.37	860.08	334.46	239.52	323.03	366.09	218.79	287.01	397.93	293.07	262.2	267.73	299.25	316.37	507.46	414.87	186.4	339.14	218.79	460.44	379.04	336.79	356.05	343.89	289.02	267.73	417.77	403.5	341.51	371.22	273.37	104.42	277.2	457.25	264.03	423.61	363.56	320.8	323.03	376.41	397.93	361.04	307.69	379.04	47.84	193.01	147.06	183.82	205.5	153.34	102.97
CC2D1A	974.5	1088.92	1340.84	1066.48	941.27	808.0	796.86	1757.34	1259.69	688.78	703.28	1143.1	684.02	884.29	1388.16	819.3	791.35	733.19	1081.39	1175.27	2303.12	1135.2	579.04	738.29	684.02	1208.34	928.3	1151.06	1268.46	1088.92	748.61	743.43	1322.37	1023.0	738.29	981.29	872.1	483.38	1159.07	1286.18	1407.55	1498.22	1397.83	1639.59	1167.14	1143.1	1159.07	1159.07	1286.18	1167.14	220.32	915.51	607.87	1044.52	603.67	896.64	348.71
