	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11LCK.2026.SM.5A5MA	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.O5YT.1426.SM.3MJHC	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.144GN.1126.SM.5LU33	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	TCGA.CC.A9FW.01A.11R.A37K.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZTS.1426.SM.5EQMM	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.RU72.1426.SM.46MUF	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.UPIC.0926.SM.4IHLV	GTEX.13VXU.0926.SM.5IFFH	GTEX.VUSG.0126.SM.4KL1X	GTEX.Q2AI.0826.SM.48TZO
ABI3	27.64	51.35	353.59	379.04	525.39	384.34	463.65	463.65	214.27	173.85	267.73	307.69	466.88	283.05	249.73	244.57	206.94	297.17	170.25	127.0	291.04	500.46	438.59	177.53	163.28	281.09	224.97	603.67	149.12	599.49	571.05	183.82	403.5	144.01	293.07	209.84	358.54	262.2	169.07	134.3	320.8	444.72	208.38	96.01	423.61	423.61	483.38	305.55	309.83	325.29	366.09	170.25	343.89	397.93	100.83	387.02	638.15	173.85	575.03	269.6	316.37	293.07	679.29	157.68	356.05	353.59	206.94	237.86	486.75	127.89	281.09	285.03	511.0	262.2	791.35	412.0	197.09	896.64	255.0	32.13	28.24	33.54	125.24	50.98	36.01	381.68	234.57	191.67	60.82	206.94	56.28	41.81	46.18	81.14	58.3	99.43	146.03	143.01	46.18	35.25	177.53	170.25	35.5	89.51	79.45	208.38	69.52	24.11	194.36	28.65	132.44	173.85
ADAP2	23.93	41.52	138.1	497.0	267.73	110.43	97.36	146.03	82.29	98.73	155.5	193.01	138.1	373.81	197.09	124.37	154.42	154.42	107.38	94.01	176.29	237.86	183.82	80.57	121.79	149.12	166.73	265.87	181.28	297.17	176.29	136.19	283.05	85.22	336.79	285.03	262.2	183.82	82.87	57.49	320.8	194.36	125.24	43.63	121.79	251.48	275.28	130.6	197.09	201.25	193.01	71.0	253.23	226.54	84.63	217.27	246.28	90.77	312.0	112.77	109.66	104.42	358.54	44.89	244.57	142.01	149.12	64.8	273.37	83.45	110.43	149.12	251.48	133.36	291.04	144.01	86.43	267.73	102.97	145.02	42.41	15.8	103.69	52.82	23.76	267.73	134.3	99.43	57.89	205.5	58.71	62.12	59.13	77.79	63.45	61.25	157.68	116.78	27.05	45.85	149.12	64.8	78.89	125.24	92.05	59.55	54.33	25.17	323.03	37.59	159.9	125.24
AIF1	161.02	249.73	1259.69	2303.12	1977.24	1407.55	1697.45	1685.71	483.38	860.08	1037.29	1427.22	1991.0	2875.3	1662.49	974.5	866.07	1295.13	728.11	231.32	1331.57	1909.85	1936.53	780.44	466.88	1378.57	1322.37	3103.19	974.5	3103.19	1991.0	796.86	1594.73	490.14	1923.14	1127.35	1844.76	1551.09	651.58	759.08	2451.44	1529.73	718.08	432.53	1143.1	1794.29	2240.11	890.44	1437.15	1427.22	1350.18	444.72	2240.11	1832.01	607.87	1572.76	1757.34	466.88	3716.2	718.08	1051.79	1159.07	3794.3	332.14	1819.35	1991.0	981.29	866.07	2417.67	473.41	1175.27	1096.5	1457.23	1044.52	4010.71	1733.13	669.92	3372.43	743.43	332.14	262.2	96.68	947.83	384.34	258.57	3540.14	1286.18	1572.76	366.09	2367.9	540.19	194.36	376.41	329.84	287.01	902.89	1216.75	1051.79	358.54	244.57	2609.3	651.58	246.28	988.12	878.17	733.19	483.38	348.71	1991.0	229.72	808.0	166.73
ARHGAP30	42.11	30.56	389.72	400.71	444.72	224.97	395.18	281.09	220.32	178.77	163.28	476.71	426.57	297.17	312.0	256.78	190.34	133.36	107.38	55.49	273.37	921.88	642.59	241.19	220.32	329.84	255.0	521.76	187.71	460.44	441.64	145.02	373.81	156.59	454.09	346.29	612.11	353.59	120.1	127.89	325.29	457.25	104.42	69.03	159.9	753.83	624.99	395.18	260.38	511.0	366.09	114.36	567.1	273.37	99.43	403.5	483.38	169.07	656.11	135.24	258.57	256.78	551.56	178.77	466.88	420.68	521.76	312.0	483.38	163.28	185.11	255.0	579.04	119.26	703.28	239.52	125.24	802.41	256.78	59.13	18.43	9.48	57.49	26.47	28.45	353.59	66.65	75.64	39.79	301.33	68.55	48.18	53.19	82.29	42.11	85.82	100.13	162.14	42.11	11.55	49.21	72.52	27.64	64.34	163.28	37.05	42.71	67.12	149.12	36.27	84.04	67.59
ARL11	3.0	1.28	30.78	62.56	164.42	36.01	56.28	27.64	26.86	44.57	36.79	41.22	84.04	35.5	59.55	44.89	39.5	36.53	42.71	7.34	116.78	100.13	57.08	96.68	27.64	40.64	12.55	45.85	18.29	84.04	51.35	45.85	111.99	36.27	70.01	72.52	45.21	61.68	41.22	79.45	73.54	34.26	51.35	30.34	35.5	81.71	61.25	39.5	63.0	44.57	51.71	36.27	140.04	50.27	20.11	44.25	40.93	39.79	67.59	109.66	33.3	88.88	54.33	17.13	37.32	60.82	41.52	15.68	45.85	25.91	27.64	49.21	42.41	53.57	51.71	50.63	39.79	96.01	20.41	3.53	2.86	1.36	5.96	2.36	1.99	29.06	6.57	8.71	1.66	11.38	2.53	3.44	2.61	0.0	2.46	8.45	9.48	9.7	1.68	3.56	6.84	3.69	4.62	6.52	3.38	3.29	1.75	3.38	13.03	2.58	8.58	5.5
ATP6V0D2	1.68	0.0	111.21	119.26	138.1	60.82	85.22	139.07	14.24	44.25	111.21	178.77	189.02	118.43	193.01	80.01	24.99	78.89	75.11	0.0	41.22	157.68	94.67	45.53	105.15	124.37	153.34	113.56	22.43	155.5	82.87	111.99	122.64	45.85	142.01	95.34	92.05	94.01	44.25	24.46	264.03	73.54	41.52	53.57	28.24	144.01	162.14	86.43	97.36	40.07	129.69	40.36	137.14	138.1	53.95	148.09	127.0	52.08	206.94	84.63	60.82	101.54	88.88	21.94	204.07	204.07	68.07	31.0	44.25	72.01	66.18	98.04	236.21	113.56	145.02	171.45	49.56	264.03	94.01	7.94	10.39	4.46	16.63	0.97	0.4	47.5	1.48	0.0	0.0	0.0	3.44	0.0	0.0	0.0	3.29	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	1.53
CD163L1	34.02	13.83	435.55	1950.0	1051.79	866.07	1721.16	2209.26	81.14	163.28	567.1	567.1	1628.26	896.64	780.44	1151.06	277.2	633.73	339.14	114.36	361.04	1896.65	708.18	291.04	384.34	684.02	775.05	435.55	181.28	2627.46	813.63	896.64	902.89	348.71	1111.82	708.18	1651.0	579.04	190.34	187.71	1519.15	620.67	251.48	193.01	470.14	718.08	733.19	346.29	1081.39	251.48	1059.11	181.28	1081.39	299.25	201.25	988.12	974.5	334.46	1617.0	457.25	409.15	595.34	1674.06	208.38	1447.15	769.69	303.44	332.14	665.29	279.14	152.28	518.15	1199.98	780.44	1183.45	1359.57	151.22	1733.13	684.02	197.09	14.78	19.68	80.57	24.63	13.12	33.06	50.98	17.25	32.82	273.37	29.27	4.74	20.41	5.63	21.01	76.71	45.85	53.95	39.22	66.65	83.45	46.5	37.32	99.43	23.08	75.64	18.56	27.25	201.25	35.0	30.78	74.58
CD180	3.17	4.82	83.45	232.94	127.0	93.35	159.9	101.54	69.52	63.0	43.32	111.99	135.24	209.84	120.94	206.94	72.01	63.0	53.57	11.91	78.34	532.74	205.5	114.36	223.41	90.14	106.63	108.14	54.72	150.17	297.17	99.43	166.73	43.94	175.07	486.75	209.84	104.42	47.17	55.1	169.07	137.14	51.35	21.16	45.85	305.55	312.0	102.97	260.38	231.32	153.34	15.91	187.71	92.05	45.21	114.36	198.47	96.01	267.73	27.25	32.13	79.45	346.29	38.67	153.34	126.12	120.1	80.57	171.45	57.49	78.34	126.12	171.45	103.69	127.0	208.38	37.05	447.82	50.27	10.16	3.99	1.91	21.47	6.46	2.81	104.42	23.25	38.4	13.42	77.25	12.93	3.2	13.52	12.0	10.31	21.63	41.81	22.43	4.62	12.18	21.01	29.7	8.51	5.87	19.53	18.97	6.26	6.78	35.0	0.0	36.01	37.32
CD209	8.65	6.46	106.63	1081.39	361.04	102.25	366.09	363.56	75.11	98.73	138.1	231.32	397.93	1008.9	339.14	273.37	208.38	220.32	171.45	10.47	166.73	583.07	293.07	95.34	511.0	244.57	264.03	241.19	116.78	2434.5	769.69	341.51	412.0	115.97	414.87	928.3	511.0	325.29	105.15	167.9	902.89	297.17	105.15	50.63	616.37	376.41	518.15	293.07	563.18	103.69	285.03	63.0	466.88	241.19	106.63	363.56	414.87	157.68	1119.56	108.9	149.12	215.77	688.78	48.18	698.41	325.29	157.68	90.14	480.04	52.82	104.42	269.6	392.44	150.17	389.72	629.35	72.52	819.3	161.02	15.11	22.75	2.92	21.01	8.78	7.06	69.03	24.11	58.71	25.91	37.05	7.88	3.66	6.01	9.13	11.64	31.9	85.82	55.49	13.83	12.45	30.78	14.24	18.97	20.71	11.73	22.75	3.99	18.56	153.34	7.0	23.76	75.11
CD300LF	17.0	6.62	78.34	171.45	211.31	169.07	142.01	158.79	37.05	53.19	125.24	165.57	171.45	157.68	151.22	83.45	91.41	63.0	115.16	38.4	119.26	140.04	139.07	87.03	71.0	120.1	197.09	115.16	57.08	232.94	118.43	85.82	166.73	62.56	204.07	194.36	90.77	152.28	73.03	58.3	193.01	137.14	43.02	102.25	43.32	164.42	218.79	112.77	89.51	95.34	206.94	45.53	204.07	195.72	59.55	134.3	165.57	115.16	229.72	94.67	120.1	57.89	204.07	72.52	155.5	157.68	127.0	102.25	283.05	64.34	113.56	55.1	198.47	110.43	199.85	94.67	39.5	314.17	82.87	12.83	10.16	5.36	38.95	7.57	4.13	63.0	19.53	25.54	10.79	37.05	8.32	13.42	7.51	7.94	18.29	31.0	33.06	78.89	4.03	6.26	28.24	24.28	5.73	16.39	16.51	14.45	20.26	12.27	52.08	7.34	8.06	24.63
