	TCGA.78.8648.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.55.8621.01A.11R.2403.07	TCGA.34.7107.11A.01R.1949.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.Q2AI.0326.SM.2I3EK	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.11DXX.0226.SM.5P9HL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
ACSL5	830.75	1674.06	1088.92	974.5	698.41	612.11	525.39	295.11	518.15	603.67	336.79	76.71	86.43	215.77	33.3	110.43	189.02	106.63	114.36	193.01	260.38	120.94	119.26	156.59	81.14	303.44	80.01	173.85	93.35	57.89	63.89	47.17	30.12	75.11	122.64	85.22
AGAP2-AS1	346.29	231.32	206.94	299.25	96.68	136.19	161.02	105.89	163.28	126.12	206.94	27.64	38.4	73.54	17.51	51.35	48.52	66.18	36.27	67.59	29.91	67.12	66.18	41.81	31.45	86.43	25.91	56.28	32.36	35.5	19.82	29.06	24.46	27.44	51.35	43.02
AP003774.4	3.56	6.36	5.06	4.9	6.57	5.36	3.89	2.89	4.06	4.13	4.7	0.0	0.89	3.14	0.83	0.0	0.0	2.32	0.92	1.99	0.0	1.27	0.0	1.73	0.0	1.25	0.0	0.0	0.0	1.99	0.0	0.0	0.0	1.6	0.91	0.0
APOL1	1721.16	2520.38	2627.46	2591.27	2875.3	1151.06	1369.04	819.3	1781.89	1286.18	1167.14	371.22	323.03	656.11	31.67	323.03	420.68	684.02	221.86	1378.57	269.6	669.92	239.52	277.2	256.78	483.38	155.5	285.03	287.01	334.46	127.0	136.19	166.73	215.77	185.11	155.5
ARHGAP23	417.77	389.72	450.94	819.3	363.56	698.41	587.13	438.59	587.13	587.13	819.3	129.69	199.85	463.65	32.82	145.02	190.34	165.57	193.01	289.02	105.89	129.69	99.43	144.01	129.69	409.15	55.1	127.89	244.57	157.68	88.88	72.52	76.71	148.09	325.29	85.22
ARPC2	7280.4	7749.1	7857.29	7537.18	5555.65	5219.6	5555.65	3982.99	5076.84	6935.54	10512.82	4152.18	3901.01	4210.15	3235.01	2720.15	4010.71	3589.58	3443.31	3716.2	3443.31	3190.46	3419.52	3982.99	2956.17	4210.15	3325.99	3901.01	3190.46	3190.46	2739.08	3928.15	3081.75	2739.08	3491.39	3212.66
ARRB1	518.15	674.59	1059.11	1044.52	518.15	325.29	299.25	255.0	457.25	473.41	379.04	167.9	220.32	242.88	59.13	211.31	155.5	244.57	205.5	279.14	96.01	293.07	178.77	206.94	149.12	237.86	117.6	155.5	150.17	55.49	78.34	99.43	115.97	178.77	195.72	81.71
ARSB	251.48	191.67	194.36	299.25	144.01	112.77	122.64	158.79	136.19	197.09	214.27	85.22	62.56	99.43	49.91	83.45	95.34	100.13	68.55	115.16	69.03	100.83	66.18	92.7	78.89	93.35	85.22	82.29	67.59	90.14	61.68	55.1	87.03	67.12	100.13	60.82
ATP2B4	1096.5	1088.92	1304.15	1477.58	1119.56	1066.48	753.83	830.75	961.07	1023.0	1639.59	450.94	575.03	738.29	320.8	476.71	503.95	665.29	457.25	836.53	406.31	642.59	647.07	620.67	466.88	808.0	412.0	486.75	403.5	536.45	444.72	343.89	371.22	341.51	412.0	432.53
CALHM2	866.07	1066.48	764.36	884.29	954.43	981.29	1143.1	563.18	961.07	647.07	738.29	361.04	417.77	624.99	42.11	559.28	397.93	493.56	363.56	543.96	264.03	314.17	275.28	309.83	267.73	769.69	249.73	241.19	186.4	217.27	127.0	190.34	166.73	277.2	348.71	158.79
