	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	GTEX.WRHK.0426.SM.4MVOG	GTEX.13QBU.0926.SM.5K7WQ	TCGA.97.8174.01A.11R.2287.07	GTEX.111YS.0626.SM.5GZXV	GTEX.13113.0426.SM.5GCOD	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.6452.01A.12R.1802.13	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GN.11A.12R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	TCGA.AX.A0IZ.11A.11R.A27V.07
ABCF3	830.75	813.63	571.05	559.28	563.18	878.17	961.07	791.35	1008.9	753.83	1096.5	693.58	1242.34	708.18	915.51	1015.93	974.5	967.76	878.17	1304.15	1397.83	1286.18	1286.18	1250.98	1066.48	1378.57	934.76	1088.92	954.43	1143.1	447.82	995.0	438.59	1143.1	1051.79	872.1	540.19	563.18	1191.69	860.08	642.59
ALDH18A1	341.51	211.31	175.07	232.94	279.14	223.41	785.88	212.78	277.2	206.94	297.17	371.22	2224.63	1135.2	902.89	995.0	1583.71	1572.76	1167.14	1388.16	1225.22	1427.22	1096.5	2555.58	1769.57	1794.29	1350.18	1167.14	1295.13	1662.49	373.81	2004.85	551.56	780.44	1037.29	890.44	974.5	353.59	791.35	642.59	395.18
ARHGAP11A	15.45	43.02	27.05	17.13	20.86	21.63	83.45	23.42	52.45	37.32	40.64	22.26	334.46	575.03	133.36	109.66	305.55	189.02	167.9	277.2	358.54	154.42	150.17	291.04	267.73	293.07	111.99	126.12	80.57	88.26	11.38	84.63	9.78	59.97	65.26	94.67	41.22	12.0	126.12	87.03	11.73
ARID3C	0.0	0.0	0.0	0.0	0.0	0.82	1.25	0.41	0.73	0.41	0.0	0.84	2.94	0.92	1.33	2.94	2.16	0.97	1.64	1.19	0.93	0.96	1.46	1.3	0.0	0.95	1.66	2.2	1.11	0.95	0.41	0.79	0.0	0.4	0.0	1.87	0.0	0.84	0.0	0.39	0.0
ARMC6	316.37	295.11	231.32	320.8	299.25	212.78	406.31	395.18	466.88	348.71	507.46	318.57	441.64	438.59	325.29	723.08	684.02	379.04	432.53	486.75	414.87	291.04	379.04	435.55	490.14	447.82	503.95	460.44	447.82	356.05	189.02	384.34	205.5	392.44	356.05	591.22	432.53	224.97	281.09	417.77	256.78
ATAD3A	291.04	371.22	346.29	277.2	249.73	228.13	457.25	161.02	271.48	260.38	205.5	96.01	723.08	988.12	392.44	583.07	1119.56	698.41	1037.29	1104.13	813.63	208.38	1159.07	941.27	718.08	1051.79	493.56	620.67	493.56	221.86	218.79	368.65	220.32	417.77	432.53	547.75	206.94	199.85	406.31	368.65	206.94
ATAD3B	366.09	325.29	309.83	295.11	204.07	420.68	444.72	63.45	85.82	114.36	189.02	34.26	551.56	813.63	341.51	332.14	1001.93	463.65	866.07	1023.0	878.17	100.83	500.46	748.61	536.45	753.83	262.2	423.61	158.79	101.54	175.07	148.09	144.01	381.68	108.9	473.41	44.25	236.21	182.55	291.04	73.54
BOP1	309.83	366.09	285.03	281.09	361.04	323.03	476.71	161.02	260.38	172.65	228.13	57.89	1397.83	1733.13	532.74	708.18	3372.43	947.83	1508.65	1183.45	1909.85	915.51	961.07	1437.15	872.1	1909.85	607.87	698.41	651.58	397.93	312.0	500.46	353.59	540.19	423.61	642.59	194.36	363.56	432.53	450.94	312.0
C1orf159	262.2	249.73	178.77	185.11	309.83	231.32	232.94	115.16	209.84	115.16	211.31	70.01	356.05	450.94	236.21	220.32	500.46	406.31	426.57	376.41	473.41	131.51	217.27	441.64	346.29	476.71	293.07	323.03	236.21	228.13	136.19	180.02	161.02	309.83	312.0	406.31	180.02	145.02	281.09	273.37	75.64
CAPN15	500.46	514.56	426.57	320.8	473.41	417.77	748.61	297.17	420.68	334.46	334.46	156.59	1088.92	1617.0	796.86	1313.23	2061.24	1844.76	2537.92	2209.26	1819.35	688.78	1191.69	1331.57	1477.58	2319.15	1183.45	1769.57	1350.18	1340.84	265.87	1359.57	412.0	796.86	1066.48	896.64	267.73	303.44	872.1	607.87	226.54
