	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.14C5O.2626.SM.5RQI5	GTEX.X4EO.2726.SM.4E3HS	GTEX.ZVT4.2626.SM.5N9GJ	GTEX.1192X.1826.SM.5GIE2	GTEX.113JC.1026.SM.5H117	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.12ZZZ.2026.SM.5LZWJ	GTEX.11ZUS.2126.SM.5N9E6	GTEX.146FQ.1726.SM.5QGPX	GTEX.14ABY.0726.SM.5Q5DF
ACAT2	4481.23	1844.76	255.0	503.95	256.78	159.9	146.03	100.13	118.43	575.03	529.06	1127.35	1159.07
ACTR3C	376.41	171.45	15.0	57.08	33.78	18.84	14.78	21.16	28.65	64.8	83.45	95.34	70.01
AGA	616.37	854.13	135.24	336.79	348.71	154.42	121.79	129.69	89.51	587.13	490.14	703.28	514.56
AGRN	4639.29	802.41	301.33	497.0	842.36	890.44	802.41	412.0	312.0	842.36	1233.75	1023.0	890.44
AIM1	39785.74	22535.88	202.66	202.66	151.22	57.49	48.18	22.26	27.84	432.53	497.0	1023.0	571.05
ALAD	2240.11	1044.52	529.06	743.43	665.29	607.87	353.59	327.56	395.18	1066.48	1096.5	2209.26	1208.34
ALDH9A1	3146.52	4152.18	656.11	1059.11	785.88	679.29	480.04	525.39	607.87	2555.58	1685.71	3257.52	2148.82
AP1S3	329.84	171.45	7.94	11.55	35.25	13.12	32.82	8.45	9.27	105.15	103.69	187.71	228.13
ARHGEF35	4450.27	7857.29	8.51	82.87	90.14	46.84	38.95	111.21	2.97	224.97	297.17	438.59	264.03
ATP6V1A	1175.27	703.28	258.57	387.02	320.8	226.54	148.09	154.42	173.85	525.39	470.14	759.08	629.35
BLNK	3146.52	3443.31	69.52	63.45	40.07	87.65	13.72	27.44	18.7	239.52	275.28	483.38	339.14
C1orf53	125.24	191.67	40.93	52.82	45.85	24.81	18.43	23.42	29.91	91.41	135.24	133.36	167.9
CANT1	2468.49	791.35	796.86	738.29	1167.14	454.09	450.94	314.17	567.1	2468.49	2664.15	4575.41	2451.44
CBR1	10296.45	6935.54	890.44	1350.18	1081.39	1059.11	412.0	332.14	748.61	1639.59	1896.65	2976.74	2090.03
CDK5	293.07	283.05	137.14	121.79	144.01	154.42	80.01	18.43	75.64	287.01	387.02	353.59	361.04
CLCA2	3.801327429E7	3.15251512E7	1.85	5.28	3.0	2.39	2.23	0.38	0.72	228.13	117.6	34.26	30.12
CROT	3820.7	3039.3	88.26	218.79	176.29	132.44	217.27	155.5	198.47	981.29	688.78	988.12	848.22
CTD-2267D19.3	323.03	414.87	54.33	100.83	60.82	54.72	25.17	58.71	26.47	275.28	267.73	165.57	228.13
DCLRE1A	131.51	108.14	30.56	90.14	70.01	52.08	23.25	37.85	82.87	167.9	148.09	170.25	170.25
DEPDC4	29.7	13.93	17.77	20.41	18.03	13.03	15.45	0.0	9.2	23.42	21.94	46.84	43.63
DHTKD1	447.82	169.07	87.03	211.31	120.1	183.82	93.35	77.79	211.31	305.55	303.44	454.09	293.07
DNAL4	674.59	1104.13	314.17	376.41	339.14	258.57	100.83	126.12	264.03	836.53	718.08	872.1	669.92
EDAR	3716.2	1674.06	0.0	4.39	2.23	0.0	0.0	0.0	0.0	97.36	38.4	47.17	26.47
EDARADD	1250.98	642.59	2.29	9.48	9.2	18.29	0.88	5.28	5.06	256.78	214.27	287.01	320.8
EFCAB11	384.34	175.07	78.34	96.68	89.51	90.77	49.21	40.64	93.35	202.66	251.48	269.6	320.8
EML2	4328.55	3372.43	514.56	738.29	493.56	607.87	283.05	301.33	293.07	934.76	1096.5	1359.57	1066.48
EPHB3	7433.4	2895.31	58.71	172.65	108.14	149.12	69.03	18.56	43.32	476.71	454.09	361.04	327.56
ERBB2	22535.88	15075.35	1167.14	1242.34	1407.55	961.07	624.99	397.93	836.53	2163.77	2133.97	2104.58	1529.73
FAM117B	145.02	356.05	53.95	78.34	127.0	67.59	21.32	17.25	18.97	131.51	140.04	204.07	197.09
FBXO27	3124.78	5006.93	36.53	135.24	65.72	80.01	18.7	9.48	28.45	353.59	356.05	638.15	571.05
GMNN	884.29	603.67	371.22	283.05	563.18	239.52	169.07	85.82	139.07	1340.84	703.28	1870.53	1159.07
GSR	4802.93	2855.44	1015.93	629.35	595.34	389.72	309.83	275.28	575.03	1417.35	1331.57	2520.38	1697.45
HSD17B8	1709.26	1936.53	295.11	476.71	293.07	199.85	199.85	180.02	180.02	603.67	791.35	1073.91	848.22
ITM2B	76330.98	89523.81	8901.53	16611.71	20310.37	13306.94	9740.98	8538.88	4869.99	23009.42	25887.07	14461.21	16727.26
KLHDC7A	417.77	543.96	0.0	2.92	0.0	1.73	0.0	0.0	1.19	8.92	28.86	14.67	4.9
LIN7B	819.3	441.64	190.34	183.82	190.34	320.8	205.5	134.3	145.02	417.77	703.28	603.67	470.14
LYPLA2	2664.15	1806.78	1242.34	1030.12	1447.15	909.17	954.43	802.41	764.36	1508.65	1350.18	1733.13	1369.04
MANEAL	642.59	473.41	33.78	111.21	74.06	43.02	14.35	10.31	27.05	175.07	205.5	314.17	169.07
MGME1	921.88	1225.22	134.3	199.85	229.72	147.06	122.64	143.01	137.14	246.28	264.03	214.27	231.32
MOSPD1	1073.91	563.18	145.02	195.72	150.17	120.94	135.24	118.43	127.89	185.11	204.07	264.03	307.69
MREG	1304.15	825.0	35.0	24.81	51.71	12.55	9.13	24.99	10.55	94.01	64.34	100.13	94.67
MVK	1709.26	1216.75	287.01	285.03	253.23	231.32	170.25	164.42	215.77	414.87	460.44	521.76	476.71
MYCL	2133.97	2090.03	28.86	78.89	57.49	12.45	28.45	8.92	21.94	215.77	198.47	262.2	178.77
OXR1	1498.22	684.02	327.56	497.0	470.14	429.54	429.54	329.84	460.44	748.61	460.44	543.96	571.05
PAK4	2104.58	1208.34	665.29	753.83	842.36	624.99	591.22	376.41	336.79	1870.53	1806.78	2537.92	1806.78
PAPSS1	2303.12	2133.97	275.28	733.19	454.09	316.37	273.37	214.27	231.32	1143.1	1191.69	1359.57	1277.29
PC	591.22	363.56	212.78	242.88	195.72	169.07	88.26	47.84	74.06	490.14	525.39	909.17	490.14
PDE6B	356.05	253.23	13.12	29.27	23.42	41.81	4.03	22.1	51.71	107.38	264.03	253.23	242.88
PDGFD	476.71	2555.58	96.01	165.57	99.43	111.99	124.37	116.78	18.56	145.02	486.75	289.02	486.75
PIGM	133.36	81.71	36.53	63.89	69.03	68.55	27.44	45.53	52.08	119.26	158.79	279.14	146.03
PLA2G12A	1015.93	1008.9	780.44	486.75	493.56	463.65	248.0	152.28	693.58	728.11	1127.35	1151.06	1096.5
PTER	262.2	260.38	54.33	164.42	125.24	85.22	32.82	35.0	48.18	297.17	244.57	353.59	248.0
PTPLAD1	785.88	703.28	287.01	647.07	483.38	470.14	157.68	218.79	221.86	2061.24	1127.35	1369.04	1066.48
RHNO1	791.35	1104.13	163.28	392.44	169.07	166.73	100.13	131.51	104.42	718.08	764.36	848.22	759.08
RNF208	2400.97	1369.04	157.68	271.48	175.07	363.56	217.27	158.79	191.67	371.22	665.29	480.04	316.37
ROBO2	1457.23	536.45	13.22	41.22	39.79	2.18	6.06	1.25	6.57	194.36	91.41	66.18	111.99
SAMD10	629.35	708.18	33.06	76.17	41.81	108.14	48.52	76.17	55.49	154.42	214.27	193.01	183.82
SAR1B	1832.01	743.43	532.74	624.99	769.69	429.54	409.15	536.45	559.28	995.0	974.5	1216.75	890.44
SEC22A	373.81	642.59	180.02	236.21	277.2	214.27	201.25	201.25	142.01	356.05	476.71	316.37	400.71
SLC37A4	1127.35	514.56	346.29	389.72	507.46	329.84	141.02	59.97	237.86	941.27	796.86	1594.73	723.08
SLC39A9	775.05	813.63	480.04	638.15	551.56	395.18	209.84	303.44	358.54	1135.2	896.64	1233.75	1044.52
SMIM14	1662.49	3467.27	974.5	819.3	981.29	624.99	379.04	429.54	309.83	1437.15	1208.34	2485.67	2018.8
THEM6	2758.13	830.75	127.0	312.0	176.29	172.65	127.89	104.42	87.03	514.56	583.07	567.1	384.34
TIPIN	307.69	100.83	80.57	105.15	97.36	78.34	56.28	38.95	50.27	224.97	237.86	111.99	204.07
TMEM117	1051.79	1127.35	64.8	244.57	118.43	82.29	98.04	98.04	49.56	301.33	190.34	129.69	152.28
TMEM40	391864.76	115696.65	6.26	10.96	0.0	4.39	5.06	10.88	1.14	400.71	279.14	124.37	189.02
TNFSF15	244.57	87.03	49.91	85.82	70.01	3.44	1.31	0.84	0.82	224.97	170.25	108.14	164.42
TOB1	3257.52	2090.03	866.07	728.11	1295.13	595.34	848.22	182.55	507.46	2485.67	2555.58	3018.3	2591.27
TRIM6	214.27	39.5	14.03	81.71	40.07	28.45	21.78	36.01	7.75	45.53	110.43	135.24	108.9
VANGL2	830.75	1066.48	24.28	248.0	314.17	88.88	76.71	165.57	32.59	441.64	540.19	285.03	373.81
WDR82	1397.83	1378.57	764.36	896.64	967.76	808.0	684.02	684.02	954.43	1407.55	1340.84	1059.11	1175.27
WNT16	105.89	884.29	3.89	14.14	13.42	7.88	17.77	16.15	2.01	47.5	37.59	8.38	20.11
ZNF296	258.57	120.94	38.95	34.02	31.22	18.03	9.06	16.03	17.9	50.27	73.03	53.19	48.87
ZNF468	148.09	397.93	98.73	98.73	108.14	85.22	53.57	53.95	63.89	167.9	182.55	256.78	295.11
ZNF726	287.01	229.72	6.06	10.39	25.35	17.9	4.39	13.22	7.63	38.12	63.0	49.91	52.45
ZNF860	256.78	39.5	3.32	24.11	5.54	8.32	1.6	1.62	4.43	23.25	61.68	90.14	76.71
