	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	GTEX.ZDXO.1326.SM.57WBS	GTEX.ZYW4.1526.SM.5SIBA	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.12WSB.0726.SM.5N9GD
ABHD12	0.0	0.53	403.5	616.37	1143.1	463.65	748.61	1350.18	2758.13	2720.15	2855.44	2627.46	3124.78	3419.52	2976.74	2777.33	2520.38	1697.45
ABTB2	0.0	0.52	98.73	90.77	48.18	412.0	60.82	105.15	463.65	269.6	507.46	371.22	305.55	414.87	890.44	373.81	423.61	73.54
ACTBL2	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.96	17.9	27.05	16.39	19.39	15.34	39.79	40.93	17.64	26.1	3.26
ACVR1	0.0	0.54	591.22	299.25	567.1	273.37	629.35	239.52	1427.22	1167.14	1639.59	1135.2	1757.34	1583.71	2047.0	1111.82	1457.23	665.29
ADORA1	0.0	0.17	21.01	64.8	48.87	22.75	232.94	14.03	376.41	463.65	693.58	733.19	723.08	450.94	208.38	532.74	669.92	80.57
AIG1	0.0	0.59	808.0	1159.07	669.92	981.29	1340.84	791.35	1135.2	1378.57	775.05	1268.46	1183.45	1369.04	981.29	813.63	1059.11	941.27
AL354993.1	0.0	0.14	19.39	22.43	38.4	22.1	38.4	1.51	37.85	63.45	27.64	54.72	19.53	7.22	19.11	55.49	14.14	145.02
AL360004.1	0.0	0.01	0.49	0.0	0.0	0.46	0.49	0.52	1.5	1.91	3.59	1.16	4.35	1.22	2.05	1.53	0.97	1.83
ANAPC13	0.0	0.52	733.19	884.29	1286.18	361.04	860.08	559.28	1350.18	1628.26	1175.27	1096.5	1857.6	1417.35	981.29	1183.45	1508.65	1963.57
ANXA9	0.0	0.23	3.69	21.78	23.42	2.63	31.0	14.03	234.57	211.31	182.55	224.97	299.25	285.03	214.27	133.36	248.0	182.55
APLP2	5517.27	363.56	14561.8	10959.3	7382.04	8963.45	14663.09	24321.43	25179.16	17437.64	20881.4	19214.73	21617.82	25530.66	30785.28	13968.57	21617.82	6381.92
APMAP	0.0	1.01	796.86	728.11	1143.1	4543.8	1143.1	2148.82	3614.55	3901.01	3280.18	3325.99	3419.52	4239.45	3540.14	3081.75	3901.01	2645.74
ARG2	0.0	0.37	120.94	115.97	38.67	96.01	165.57	98.73	426.57	483.38	242.88	435.55	423.61	426.57	928.3	295.11	497.0	497.0
ATP13A4	0.0	0.45	169.07	307.69	26.28	108.14	808.0	63.45	2400.97	1073.91	1936.53	1709.26	2573.36	1781.89	1832.01	1508.65	2004.85	511.0
ATP6V1D	0.0	0.18	791.35	665.29	1175.27	884.29	836.53	909.17	2451.44	2520.38	2855.44	2417.67	3168.41	2720.15	2777.33	1757.34	2701.35	1651.0
B3GAT1	0.0	0.41	10.31	1.1	4.74	173.85	8.0	76.71	351.14	343.89	454.09	283.05	595.34	351.14	450.94	334.46	423.61	162.14
B3GNT3	0.0	0.0	2.2	6.41	13.03	9.78	16.75	21.78	884.29	981.29	825.0	579.04	802.41	1340.84	1225.22	854.13	753.83	138.1
BAHD1	0.0	0.58	409.15	624.99	327.56	490.14	507.46	277.2	791.35	547.75	878.17	748.61	708.18	607.87	769.69	764.36	759.08	417.77
BBOX1	0.0	0.04	0.75	3.17	1.85	5.15	60.39	7.57	283.05	387.02	190.34	172.65	249.73	242.88	256.78	43.94	202.66	117.6
BSPRY	0.0	0.35	101.54	71.0	22.26	366.09	82.87	51.35	1104.13	753.83	915.51	836.53	651.58	1331.57	1135.2	591.22	769.69	511.0
C12orf49	0.0	0.01	830.75	848.22	536.45	909.17	679.29	728.11	1477.58	1923.14	2061.24	1059.11	2133.97	1757.34	2720.15	1551.09	1923.14	1066.48
C18orf56	0.0	0.0	4.1	3.29	6.46	10.24	3.0	3.44	30.56	57.08	30.78	50.98	53.57	35.0	43.94	57.49	23.93	7.94
C6orf211	0.0	0.0	206.94	190.34	361.04	103.69	262.2	187.71	366.09	409.15	450.94	387.02	579.04	536.45	341.51	264.03	529.06	361.04
CCDC158	0.0	0.15	4.46	3.44	10.96	3.29	9.7	8.99	14.24	3.96	17.77	14.14	28.45	18.56	43.02	16.15	21.94	30.34
CCDC74A	0.0	0.0	77.79	122.64	103.69	56.68	624.99	136.19	366.09	603.67	444.72	417.77	371.22	769.69	511.0	295.11	258.57	514.56
CCND1	693.58	890.44	1001.93	1417.35	1135.2	1340.84	1044.52	890.44	3540.14	3395.89	5517.27	3124.78	5791.62	3794.3	3190.46	3303.0	4512.4	651.58
