	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.D7.A4YV.01A.11R.A251.31
ABL2	72.52	92.7	51.35	49.56	114.36	25.91	29.27	24.99	16.63	19.39	48.18	271.48	209.84	113.56	267.73	145.02	217.27
AC007919.2	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	7.4	5.68	4.39	14.03	3.99	2.29
AC010336.1	0.0	3.26	1.91	2.86	6.57	1.41	0.0	0.0	7.0	2.63	1.27	11.13	12.74	5.68	9.41	22.43	15.45
AC016745.1	0.0	0.0	0.0	0.0	1.19	0.0	3.47	0.0	0.0	0.0	0.0	13.83	20.56	2.01	20.86	15.22	5.11
AC126614.1	3.11	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	14.24	8.19	5.73	16.27	17.64	15.45
AC140061.12	0.0	0.0	0.0	0.0	4.39	0.0	0.0	0.0	0.0	0.0	0.0	9.2	7.94	12.74	16.75	10.63	16.63
ACAP2	289.02	536.45	120.1	125.24	339.14	75.11	84.63	72.01	48.87	84.04	149.12	518.15	660.68	417.77	620.67	514.56	713.11
ADRBK2	105.89	119.26	38.12	21.63	40.36	12.93	16.51	15.91	15.0	19.11	56.28	110.43	83.45	61.68	251.48	137.14	74.06
AL031666.2	3.03	0.8	2.05	1.16	4.9	1.69	0.51	0.0	0.0	0.52	2.56	13.42	27.84	4.31	26.47	26.67	16.88
AL353608.1	0.0	0.0	0.0	0.0	1.19	0.0	3.47	0.0	0.0	0.0	0.0	13.83	20.56	2.01	20.86	15.22	5.11
AL590452.1	2.78	2.23	0.79	1.62	8.0	0.0	0.0	0.0	0.0	0.0	0.0	20.11	14.35	12.45	33.06	18.29	15.0
AL627171.2	4.1	6.46	1.39	0.0	3.63	0.0	0.75	1.33	0.0	1.45	2.03	8.25	5.19	9.48	10.47	11.21	9.27
