	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.LT.A5Z6.01A.11R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.147F4.2626.SM.5Q5CS	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.RWSA.1426.SM.47JXA	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.11TTK.0826.SM.5N9EG	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
AIDA	629.35	507.46	269.6	571.05	679.29	497.0	567.1	500.46	540.19	381.68	928.3	708.18	603.67	928.3	802.41	713.11	1639.59	395.18	896.64	764.36	1023.0	703.28	988.12	1819.35	921.88	947.83	1457.23	669.92	1651.0	713.11	934.76	1191.69	1081.39	941.27	1015.93	1073.91	1059.11	1104.13	1037.29	928.3	830.75	909.17	860.08	836.53	915.51	988.12	947.83	995.0	842.36	909.17	2502.97	934.76	902.89	775.05	848.22	723.08	1651.0	974.5	1111.82	1175.27	1030.12	921.88	656.11	332.14	769.69	620.67	808.0	819.3	642.59	785.88	808.0	684.02	753.83	759.08	728.11	743.43	860.08	669.92	842.36	684.02	1457.23	616.37	748.61	896.64	473.41	723.08	303.44	785.88	242.88	624.99	796.86	796.86	848.22	718.08	954.43	540.19	854.13	493.56
AKAP11	285.03	86.43	92.7	141.02	78.89	54.72	80.57	69.52	153.34	40.64	287.01	211.31	142.01	229.72	194.36	147.06	267.73	166.73	178.77	212.78	348.71	309.83	656.11	633.73	366.09	353.59	127.89	142.01	435.55	305.55	361.04	389.72	376.41	329.84	441.64	376.41	341.51	366.09	336.79	303.44	435.55	295.11	260.38	373.81	255.0	457.25	314.17	327.56	305.55	384.34	785.88	361.04	283.05	283.05	412.0	356.05	387.02	325.29	297.17	366.09	309.83	368.65	173.85	38.4	155.5	208.38	297.17	262.2	223.41	285.03	229.72	271.48	249.73	277.2	339.14	224.97	325.29	269.6	251.48	34.26	34.75	44.89	29.06	34.51	71.0	53.57	38.67	85.22	98.73	108.14	384.34	309.83	285.03	358.54	147.06	251.48	376.41	258.57
AP3B1	551.56	813.63	860.08	909.17	791.35	438.59	595.34	733.19	743.43	409.15	988.12	836.53	665.29	981.29	854.13	764.36	1008.9	1407.55	775.05	1437.15	921.88	1199.98	947.83	1096.5	902.89	974.5	1378.57	890.44	872.1	785.88	1051.79	1233.75	1015.93	1295.13	1175.27	1191.69	1175.27	1350.18	1088.92	981.29	1104.13	1151.06	1044.52	1191.69	915.51	1233.75	1081.39	1151.06	961.07	1167.14	1340.84	1119.56	1066.48	780.44	1111.82	1051.79	1127.35	1111.82	1096.5	1259.69	1457.23	1059.11	896.64	303.44	947.83	854.13	915.51	1030.12	1023.0	884.29	884.29	1001.93	902.89	995.0	1030.12	860.08	988.12	769.69	1015.93	376.41	599.49	486.75	638.15	599.49	497.0	802.41	162.14	447.82	234.57	307.69	679.29	808.0	934.76	902.89	878.17	693.58	1023.0	769.69
API5	432.53	429.54	529.06	363.56	620.67	559.28	819.3	669.92	961.07	463.65	1304.15	1175.27	1044.52	1135.2	1175.27	1135.2	1794.29	769.69	713.11	974.5	1167.14	1030.12	1519.15	1733.13	1651.0	1340.84	660.68	775.05	954.43	1135.2	1437.15	1447.15	1397.83	1359.57	1487.87	1295.13	1286.18	1331.57	1388.16	1175.27	1498.22	1304.15	1233.75	1467.37	1225.22	1551.09	1295.13	1427.22	1378.57	1388.16	2303.12	1250.98	1259.69	1242.34	1378.57	1286.18	1519.15	1250.98	1259.69	1477.58	1447.15	1277.29	651.58	262.2	921.88	1023.0	1111.82	1096.5	1030.12	1167.14	1008.9	974.5	1030.12	1066.48	1199.98	1030.12	1191.69	1037.29	1135.2	647.07	457.25	547.75	503.95	412.0	656.11	438.59	543.96	612.11	486.75	563.18	967.76	1066.48	1059.11	1066.48	638.15	974.5	1295.13	1096.5
APPL1	173.85	107.38	220.32	187.71	157.68	202.66	165.57	209.84	267.73	138.1	432.53	336.79	206.94	332.14	334.46	279.14	329.84	199.85	312.0	283.05	336.79	353.59	703.28	718.08	563.18	423.61	156.59	255.0	258.57	339.14	493.56	460.44	483.38	423.61	532.74	457.25	412.0	470.14	466.88	373.81	529.06	381.68	379.04	503.95	320.8	532.74	480.04	483.38	457.25	470.14	848.22	444.72	412.0	332.14	555.41	463.65	483.38	403.5	400.71	457.25	497.0	460.44	267.73	58.3	285.03	312.0	373.81	318.57	318.57	397.93	323.03	329.84	316.37	336.79	361.04	327.56	423.61	305.55	348.71	156.59	169.07	100.83	89.51	125.24	139.07	94.67	44.25	166.73	105.89	127.0	432.53	435.55	536.45	348.71	273.37	341.51	412.0	389.72
ARHGAP5	400.71	307.69	309.83	379.04	358.54	307.69	248.0	368.65	583.07	84.63	909.17	738.29	423.61	775.05	693.58	480.04	921.88	339.14	688.78	429.54	1023.0	866.07	1487.87	1685.71	1225.22	651.58	197.09	376.41	291.04	775.05	1233.75	1277.29	1233.75	1051.79	1322.37	1233.75	1008.9	1199.98	1191.69	808.0	1331.57	967.76	954.43	1242.34	743.43	1304.15	1143.1	1250.98	1151.06	1199.98	2915.45	1304.15	954.43	738.29	1322.37	1183.45	1151.06	995.0	878.17	1242.34	1540.37	1088.92	249.73	98.73	571.05	684.02	819.3	748.61	723.08	934.76	819.3	866.07	718.08	848.22	819.3	656.11	974.5	738.29	825.0	226.54	231.32	130.6	104.42	155.5	221.86	127.89	96.01	234.57	134.3	255.0	890.44	759.08	981.29	842.36	825.0	633.73	1037.29	934.76
ARSK	36.53	29.27	60.39	56.28	26.67	53.95	38.95	30.56	87.03	50.27	166.73	165.57	128.79	123.5	123.5	158.79	99.43	119.26	94.67	127.89	143.01	140.04	241.19	199.85	140.04	114.36	132.44	97.36	96.01	122.64	157.68	148.09	140.04	142.01	167.9	151.22	115.16	147.06	155.5	127.0	155.5	149.12	143.01	194.36	134.3	163.28	136.19	133.36	148.09	150.17	228.13	137.14	120.94	141.02	198.47	135.24	167.9	158.79	154.42	171.45	186.4	130.6	57.89	43.63	140.04	121.79	115.97	118.43	129.69	130.6	118.43	121.79	108.9	104.42	120.94	114.36	104.42	113.56	128.79	41.22	97.36	34.75	24.99	86.43	37.05	56.68	24.46	46.18	21.32	40.36	61.25	125.24	137.14	139.07	87.65	82.29	183.82	85.22
ATAD1	525.39	339.14	275.28	559.28	277.2	305.55	368.65	316.37	244.57	187.71	785.88	674.59	612.11	638.15	642.59	733.19	571.05	651.58	551.56	647.07	620.67	728.11	1183.45	1233.75	836.53	1159.07	387.02	684.02	684.02	616.37	791.35	890.44	848.22	796.86	967.76	836.53	743.43	934.76	941.27	791.35	915.51	785.88	769.69	934.76	583.07	921.88	813.63	791.35	808.0	884.29	1417.35	796.86	769.69	638.15	1037.29	830.75	848.22	825.0	860.08	884.29	902.89	759.08	476.71	273.37	540.19	656.11	571.05	607.87	688.78	674.59	599.49	616.37	599.49	603.67	633.73	599.49	728.11	591.22	620.67	115.97	387.02	323.03	234.57	366.09	316.37	346.29	297.17	314.17	224.97	293.07	759.08	536.45	665.29	551.56	500.46	753.83	813.63	660.68
ATRX	201.25	94.67	111.99	152.28	114.36	214.27	143.01	229.72	149.12	63.0	327.56	262.2	140.04	293.07	260.38	161.02	248.0	176.29	271.48	262.2	368.65	312.0	902.89	559.28	412.0	325.29	148.09	173.85	353.59	264.03	412.0	470.14	463.65	417.77	567.1	438.59	318.57	395.18	397.93	320.8	493.56	336.79	299.25	483.38	279.14	438.59	392.44	395.18	376.41	444.72	866.07	447.82	368.65	242.88	563.18	381.68	297.17	366.09	387.02	381.68	406.31	450.94	127.89	25.35	185.11	264.03	376.41	279.14	305.55	316.37	366.09	309.83	269.6	279.14	348.71	241.19	309.83	289.02	316.37	86.43	87.65	70.51	45.85	33.54	89.51	53.95	27.25	60.82	157.68	116.78	507.46	412.0	339.14	297.17	269.6	381.68	470.14	332.14
BBX	133.36	121.79	96.01	114.36	49.91	152.28	111.99	133.36	264.03	94.67	674.59	400.71	307.69	500.46	454.09	389.72	551.56	242.88	403.5	466.88	583.07	514.56	1781.89	1159.07	1051.79	698.41	212.78	211.31	483.38	525.39	896.64	802.41	842.36	612.11	1044.52	748.61	660.68	703.28	633.73	567.1	743.43	624.99	473.41	785.88	466.88	785.88	748.61	738.29	647.07	791.35	1467.37	693.58	629.35	551.56	743.43	718.08	616.37	587.13	616.37	723.08	748.61	764.36	299.25	46.5	242.88	447.82	567.1	420.68	435.55	571.05	521.76	490.14	575.03	521.76	660.68	493.56	656.11	525.39	536.45	66.65	60.82	54.72	61.25	34.75	112.77	89.51	25.17	53.19	18.43	111.21	629.35	483.38	575.03	571.05	414.87	381.68	559.28	447.82
