	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11GSP.0626.SM.5986T	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.6980.11A.01R.1949.07	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.U3ZH.0526.SM.3DB75	TCGA.77.7142.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.HC.7079.01A.11R.1965.07
AKAP5	23.42	9.06	4.9	4.35	12.83	13.72	13.32	8.99	5.06	9.48	18.97	0.0	0.05	31.22	72.01	143.01	78.89	105.15	136.19	71.0	55.89	35.5
ANKRD50	152.28	49.91	84.63	18.7	30.56	29.91	46.18	57.89	58.71	43.63	60.39	0.0	0.38	156.59	327.56	1044.52	483.38	642.59	361.04	303.44	246.28	226.54
APOA1	160252.91	7353500.77	2.009035788E7	1.228163998E7	5199709.96	6056277.0	8330662.65	4.21783688E7	1.491230465E7	6269851.18	1.307221145E7	0.0	0.12	54.33	35.25	7.4	25.17	44.89	22.92	21.78	20.86	2.58
AREL1	205.5	120.94	109.66	130.6	71.0	96.68	63.0	84.63	79.45	84.63	91.41	0.0	0.74	307.69	423.61	819.3	255.0	450.94	291.04	358.54	376.41	420.68
ARHGAP5	409.15	343.89	248.0	334.46	212.78	329.84	406.31	255.0	248.0	194.36	275.28	490.14	82.29	532.74	819.3	1359.57	1340.84	769.69	698.41	1066.48	802.41	743.43
ATG14	181.28	108.14	88.26	88.26	74.06	67.12	94.67	98.73	87.03	81.14	108.9	0.0	0.18	221.86	156.59	178.77	289.02	182.55	320.8	215.77	206.94	246.28
ATP6V1D	928.3	642.59	529.06	830.75	607.87	603.67	934.76	703.28	808.0	688.78	748.61	0.0	0.18	1322.37	1268.46	1651.0	1199.98	1617.0	1487.87	1709.26	1583.71	1191.69
BBS2	381.68	297.17	447.82	301.33	186.4	246.28	153.34	303.44	295.11	265.87	237.86	0.0	0.18	493.56	665.29	733.19	1259.69	1081.39	1359.57	769.69	693.58	753.83
C14orf28	111.21	98.04	105.89	102.97	83.45	65.72	72.01	38.12	87.03	94.67	85.22	0.0	0.06	142.01	111.99	128.79	234.57	187.71	202.66	124.37	111.21	123.5
CCDC62	1.0	0.64	0.51	0.08	1.51	1.41	1.06	2.89	0.43	0.69	3.08	0.0	0.1	3.69	2.81	3.66	4.58	11.3	6.67	1.73	2.12	3.23
CCSAP	54.33	26.28	33.06	11.3	19.97	37.05	46.5	21.01	30.12	30.56	26.47	0.0	0.18	76.17	87.65	156.59	133.36	120.94	201.25	118.43	109.66	137.14
CNOT4	220.32	144.01	153.34	106.63	121.79	116.78	144.01	119.26	146.03	116.78	176.29	0.0	0.44	246.28	327.56	348.71	356.05	353.59	339.14	305.55	279.14	271.48
CNTRL	152.28	87.03	120.1	46.84	55.1	82.87	92.05	59.97	84.63	42.41	127.89	0.0	0.59	293.07	318.57	447.82	441.64	403.5	521.76	269.6	249.73	358.54
DEGS1	460.44	267.73	366.09	190.34	371.22	346.29	379.04	297.17	435.55	376.41	295.11	0.0	0.74	1199.98	1605.83	3018.3	1313.23	802.41	1066.48	1819.35	1977.24	1519.15
DHX29	297.17	165.57	229.72	154.42	169.07	146.03	128.79	149.12	181.28	202.66	189.02	0.0	0.69	293.07	406.31	358.54	543.96	262.2	432.53	409.15	387.02	303.44
DNAL1	72.01	26.1	57.89	24.99	20.26	16.03	25.54	55.49	44.89	41.22	61.68	0.0	0.11	169.07	212.78	177.53	194.36	211.31	251.48	211.31	162.14	107.38
ELMSAN1	314.17	170.25	490.14	94.67	194.36	133.36	111.21	119.26	177.53	384.34	137.14	145.02	444.72	638.15	2400.97	1233.75	791.35	1268.46	633.73	764.36	460.44	575.03
EXD2	217.27	143.01	108.14	98.73	115.97	130.6	181.28	122.64	119.26	96.01	182.55	0.0	0.13	346.29	420.68	703.28	563.18	684.02	591.22	417.77	403.5	343.89
FAM189A2	69.03	12.27	18.29	2.48	2.73	4.5	12.09	11.13	9.13	8.38	17.0	0.0	0.26	1457.23	5041.77	6207.38	8598.28	13776.25	3443.31	1819.35	1259.69	518.15
FCF1	460.44	384.34	165.57	387.02	226.54	334.46	339.14	228.13	234.57	187.71	202.66	0.0	0.21	728.11	780.44	1044.52	1242.34	860.08	934.76	825.0	780.44	693.58
