	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC
AARS2	21.32	265.87	135.24	387.02	269.6	279.14	329.84	262.2	149.12	395.18	651.58	161.02	271.48	361.04	211.31	161.02	201.25	172.65	221.86	177.53	246.28	80.01	287.01	133.36	194.36	198.47	211.31	248.0	226.54	325.29	215.77	181.28	503.95	312.0	72.01	112.77	101.54	91.41	72.01	156.59	123.5	105.15	58.3	127.89	40.93	147.06
ABCF1	54.72	1519.15	884.29	1605.83	1225.22	1529.73	1519.15	2032.85	1066.48	1561.89	2032.85	753.83	1508.65	1529.73	941.27	928.3	1081.39	974.5	848.22	896.64	1745.2	575.03	1628.26	1088.92	1487.87	1417.35	703.28	1242.34	1605.83	1628.26	665.29	1119.56	1508.65	2047.0	679.29	642.59	902.89	1104.13	954.43	825.0	500.46	551.56	764.36	995.0	559.28	878.17
ABT1	214.27	571.05	412.0	884.29	607.87	1143.1	708.18	808.0	536.45	884.29	1151.06	371.22	1143.1	728.11	379.04	381.68	463.65	507.46	397.93	376.41	567.1	139.07	743.43	363.56	813.63	460.44	497.0	441.64	674.59	988.12	395.18	543.96	974.5	848.22	346.29	343.89	497.0	234.57	450.94	708.18	346.29	271.48	265.87	249.73	175.07	318.57
ATF6B	258.57	1721.16	1044.52	2591.27	2018.8	3349.13	2104.58	1662.49	941.27	2502.97	2163.77	1457.23	1709.26	2133.97	1119.56	1030.12	1369.04	1151.06	1199.98	1225.22	2004.85	507.46	2193.99	1369.04	1322.37	1498.22	909.17	1745.2	2271.4	2400.97	890.44	1628.26	2335.28	2796.65	728.11	878.17	728.11	624.99	457.25	974.5	583.07	583.07	620.67	1216.75	426.57	947.83
BLOC1S5	59.97	307.69	126.12	514.56	258.57	325.29	275.28	241.19	127.89	368.65	476.71	190.34	309.83	341.51	172.65	118.43	181.28	244.57	212.78	242.88	251.48	56.68	420.68	166.73	312.0	144.01	255.0	256.78	305.55	483.38	186.4	277.2	307.69	547.75	121.79	98.04	159.9	264.03	77.25	132.44	141.02	155.5	119.26	204.07	128.79	237.86
BRPF3	22.26	651.58	287.01	1350.18	514.56	1059.11	1030.12	521.76	221.86	967.76	1844.76	336.79	679.29	511.0	343.89	403.5	511.0	525.39	325.29	414.87	583.07	204.07	854.13	395.18	536.45	514.56	395.18	463.65	669.92	848.22	251.48	507.46	1167.14	1151.06	194.36	208.38	220.32	346.29	152.28	301.33	121.79	271.48	409.15	348.71	162.14	595.34
BTBD9	15.0	72.01	38.12	82.87	55.1	82.29	126.12	85.82	30.56	94.01	105.15	39.5	49.91	127.0	34.26	40.93	47.84	29.91	42.41	48.52	46.5	29.7	78.89	35.5	57.89	83.45	48.18	55.1	107.38	85.22	53.57	58.71	91.41	101.54	29.48	35.0	20.71	45.21	14.24	23.42	34.51	28.04	40.64	57.08	22.26	34.26
C6ORF50	0.0	22.59	8.85	13.22	23.93	17.9	14.35	16.88	11.13	20.26	39.22	9.34	14.35	12.36	4.7	3.23	7.17	9.93	7.94	21.32	12.27	14.03	34.75	18.03	28.45	15.11	7.0	10.71	35.76	19.82	12.45	20.41	26.67	21.63	3.26	0.0	7.06	1.77	4.31	10.55	10.47	13.52	1.77	2.46	0.0	1.13
C6orf106	255.0	3614.55	1628.26	4512.4	2682.69	4388.98	1806.78	4328.55	1963.57	4639.29	4736.79	1883.54	3103.19	3690.52	1977.24	2384.37	1331.57	1651.0	1519.15	2384.37	2976.74	1378.57	4671.57	1359.57	2835.7	2915.45	1183.45	3874.05	3540.14	3639.7	2224.63	2400.97	3982.99	3235.01	1015.93	1733.13	1159.07	1183.45	1350.18	902.89	2075.59	2319.15	1477.58	1883.54	2090.03	2682.69
C6orf62	470.14	2367.9	1059.11	3395.89	2193.99	3018.3	2956.17	2520.38	981.29	3303.0	4543.8	1277.29	2758.13	1721.16	1350.18	1651.0	1331.57	1639.59	1044.52	1572.76	2335.28	583.07	2997.45	1359.57	1896.65	2163.77	1378.57	1870.53	3081.75	3124.78	1015.93	1781.89	2777.33	3168.41	688.78	507.46	1508.65	1605.83	420.68	866.07	802.41	961.07	785.88	1104.13	314.17	802.41
