	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.2655.11A.01R.1758.07	TCGA.44.6146.11A.01R.1858.07	TCGA.91.6828.11A.01R.1858.07	TCGA.50.5932.11A.01R.1755.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	TCGA.51.4079.11A.01R.1758.07
ACMSD	2.61	1.53	1008.9	2835.7	1447.15	1963.57	2004.85	2935.74	1437.15	0.0	0.15	1.95	1.64	3.72	1.62	0.78	0.0	6.41
ALDH1A1	28328.16	6337.83	11992.79	4298.64	16496.96	16157.44	9740.98	18178.19	14561.8	0.0	0.78	3768.09	3395.89	4152.18	3039.3	1369.04	718.08	1605.83
ALDOB	5.06	3.11	8718.32	17437.64	35609.13	23656.34	25708.25	53230.77	23330.64	0.0	0.24	18.56	11.04	2.78	4.03	13.32	42.71	15.68
ASS1	3665.02	2537.92	6079.61	13215.02	14867.79	22225.61	13968.57	38697.77	6471.02	0.0	0.99	1832.01	1369.04	1417.35	1605.83	2777.33	1950.0	1721.16
ATP5B	7230.1	9025.81	8305.36	12764.83	13586.57	10440.2	13872.08	19754.96	11267.44	0.0	1.43	9025.81	7857.29	8191.0	8363.13	7911.95	6652.97	7857.29
ATP5G1	2701.35	2319.15	4575.41	7081.29	7695.57	6607.01	6164.49	16157.44	12676.65	0.0	0.57	2520.38	2119.22	2502.97	2271.4	1477.58	713.11	2209.26
ATP5G3	4388.98	5183.54	5913.33	7230.1	7382.04	6471.02	8479.89	18431.96	8901.53	5292.48	642.59	3847.29	3349.13	3690.52	3467.27	2739.08	1923.14	3325.99
ATP5H	6607.01	6652.97	6652.97	18950.18	8479.89	10368.08	8901.53	13776.25	12502.12	8778.97	224.97	5147.73	4481.23	5403.7	5183.54	3794.3	2796.65	4671.57
ATP5I	11112.3	8778.97	9876.98	18560.17	17681.08	15715.58	19082.0	22380.2	19482.97	0.0	1.13	7966.99	6337.83	8421.31	7857.29	4639.29	5255.91	6516.03
ATP5J	4802.93	4450.27	5672.41	8479.89	7081.29	7695.57	11664.82	10225.32	5479.15	0.0	0.99	3491.39	2777.33	3257.52	2976.74	1896.65	1529.73	2537.92
ATP5L	6471.02	7485.11	9279.58	9088.59	7331.05	13215.02	7433.4	13123.73	7966.99	0.0	0.99	6561.36	5594.3	6887.62	6164.49	4328.55	3349.13	5517.27
ATP5O	5913.33	5995.9	3768.09	7230.1	3690.52	5329.3	5112.16	9215.48	3564.78	0.0	0.95	4152.18	3742.05	3847.29	4298.64	2875.3	1359.57	3325.99
BLOC1S1	5292.48	3589.58	4972.34	8963.45	7433.4	8901.53	7180.15	10014.87	11664.82	3928.15	915.51	3820.7	2915.45	3690.52	3257.52	1417.35	2520.38	3103.19
BOLA3	518.15	466.88	890.44	934.76	723.08	1030.12	915.51	2209.26	1340.84	0.0	0.28	603.67	567.1	624.99	567.1	327.56	139.07	457.25
C19orf60	1721.16	1295.13	1191.69	2240.11	2555.58	2133.97	2018.8	4038.61	2739.08	0.0	0.73	974.5	688.78	759.08	674.59	226.54	665.29	921.88
C9orf114	1208.34	791.35	624.99	995.0	1350.18	1143.1	902.89	830.75	1844.76	0.0	0.2	830.75	595.34	563.18	718.08	135.24	417.77	684.02
CCDC159	1242.34	1769.57	1605.83	2384.37	1757.34	1369.04	842.36	2224.63	1806.78	0.0	0.88	679.29	769.69	679.29	808.0	748.61	1844.76	743.43
COPZ2	796.86	620.67	540.19	915.51	988.12	1175.27	1051.79	1151.06	1143.1	0.0	0.77	775.05	595.34	412.0	638.15	669.92	318.57	551.56
COQ3	165.57	142.01	198.47	309.83	202.66	94.01	206.94	170.25	229.72	0.0	0.13	120.1	87.03	68.07	108.14	18.97	38.4	90.77
COX5B	5255.91	3874.05	4419.52	10154.69	7280.4	7537.18	9540.5	14262.1	10733.74	0.0	1.07	3280.18	2384.37	3564.78	3060.45	1551.09	1015.93	3419.52
COX6A1	11584.24	9606.86	13681.08	11035.54	19892.37	21468.49	18560.17	35118.87	27174.14	0.0	1.27	8778.97	7230.1	8305.36	7589.61	4123.49	3303.0	8134.41
COX6B1	10368.08	8022.41	6516.03	15285.81	10014.87	11035.54	14065.74	17078.76	17078.76	0.0	1.14	5479.15	4010.71	4937.99	4937.99	1709.26	1407.55	4639.29
