	GTEX.11ZTT.2326.SM.5EQLG	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.DZ.6131.11A.01R.1965.07	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.12WSG.0626.SM.5FQTQ	TCGA.38.4625.01A.01R.1206.07	TCGA.83.5908.01A.21R.2287.07	TCGA.44.2659.01A.01R.0946.07	TCGA.BR.8590.01A.11R.2402.13	TCGA.HU.A4GP.01A.11R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8484.01A.11R.2402.13	TCGA.CD.8528.01A.11R.2343.13
AJAP1	0.05	66.18	25.72	115.16	114.36	173.85	43.32	603.67	88.88	96.01	37.05	61.68	74.58	111.99	86.43	40.07	29.91	0.0	0.62	1.62	0.0	2.89	2.66	8.92	2.14	27.84	2.36	1.51
AK8	10.55	66.18	115.16	206.94	226.54	231.32	119.26	84.04	110.43	75.64	88.88	124.37	105.15	135.24	112.77	108.9	117.6	25.35	1.22	21.16	0.0	13.32	17.77	12.0	4.98	30.56	15.91	2.58
ARHGAP24	283.05	2287.2	2178.83	4268.94	3820.7	4802.93	3280.18	2303.12	4358.66	2032.85	2682.69	2777.33	3665.02	3018.3	3540.14	2664.15	3303.0	101.54	12.64	61.25	0.0	136.19	384.34	400.71	115.16	348.71	339.14	43.63
C17orf59	193.01	249.73	267.73	271.48	214.27	356.05	332.14	211.31	180.02	190.34	182.55	246.28	246.28	205.5	199.85	358.54	269.6	108.14	76.71	162.14	0.0	102.97	136.19	206.94	66.65	242.88	202.66	143.01
C1QTNF3	32.82	518.15	170.25	2434.5	764.36	1378.57	329.84	164.42	854.13	98.04	206.94	536.45	312.0	825.0	703.28	295.11	236.21	68.07	69.52	14.24	0.0	204.07	185.11	224.97	21.47	193.01	94.01	46.18
C21orf2	289.02	791.35	1001.93	1388.16	638.15	1819.35	532.74	525.39	808.0	450.94	309.83	656.11	435.55	713.11	518.15	842.36	1073.91	265.87	444.72	157.68	0.0	164.42	318.57	332.14	169.07	441.64	273.37	152.28
CCDC8	27.25	521.76	583.07	1757.34	1519.15	2417.67	1143.1	518.15	1119.56	332.14	543.96	836.53	733.19	642.59	723.08	974.5	819.3	5.32	1.93	29.27	0.0	40.07	103.69	102.97	9.7	161.02	35.25	43.63
CDK20	31.9	256.78	279.14	295.11	417.77	511.0	358.54	258.57	301.33	215.77	220.32	301.33	205.5	264.03	234.57	281.09	285.03	28.65	65.26	75.64	0.0	78.89	165.57	88.88	66.65	204.07	105.15	61.68
CHN2	90.14	264.03	346.29	1030.12	368.65	1135.2	417.77	267.73	866.07	224.97	371.22	454.09	289.02	432.53	466.88	223.41	307.69	246.28	162.14	116.78	0.0	209.84	147.06	187.71	197.09	246.28	218.79	68.55
DCAKD	457.25	896.64	819.3	1313.23	1030.12	1268.46	1111.82	775.05	1143.1	780.44	836.53	854.13	1151.06	988.12	928.3	884.29	1233.75	193.01	153.34	307.69	283.05	368.65	301.33	384.34	183.82	848.22	343.89	173.85
ENDOV	116.78	473.41	591.22	406.31	312.0	551.56	423.61	320.8	493.56	420.68	325.29	447.82	423.61	438.59	414.87	441.64	470.14	125.24	151.22	348.71	0.0	175.07	283.05	197.09	148.09	301.33	141.02	111.21
EVPLL	7.11	13.72	28.45	64.34	40.07	63.45	36.53	17.64	38.4	9.06	19.68	24.28	37.85	29.91	22.1	22.75	22.43	5.59	3.53	0.56	0.0	10.79	6.62	9.06	0.0	5.63	5.68	1.79
FGFR2	75.11	796.86	819.3	1977.24	1135.2	2224.63	2104.58	684.02	1313.23	624.99	775.05	1233.75	934.76	981.29	1709.26	878.17	1407.55	551.56	13.22	96.01	0.0	105.89	228.13	575.03	191.67	409.15	493.56	50.63
GDF3	0.0	50.27	23.59	336.79	28.24	429.54	108.9	17.64	248.0	199.85	98.73	162.14	61.68	189.02	253.23	106.63	100.83	0.0	0.0	3.32	0.0	0.79	1.31	5.36	0.23	13.52	1.45	0.74
HDAC11	332.14	791.35	759.08	1819.35	1088.92	1605.83	1388.16	620.67	1467.37	563.18	698.41	866.07	921.88	780.44	890.44	1081.39	1088.92	65.72	53.95	164.42	0.0	166.73	234.57	376.41	167.9	423.61	253.23	177.53
HSPA2	150.17	4066.71	4869.99	9945.68	6250.56	14663.09	3690.52	1923.14	12244.81	1111.82	3690.52	7230.1	4152.18	8901.53	6294.04	4268.94	7642.41	39.22	32.13	53.19	0.0	151.22	107.38	217.27	123.5	860.08	61.25	33.78
HTRA2	599.49	743.43	928.3	1008.9	769.69	1073.91	769.69	642.59	698.41	723.08	713.11	802.41	684.02	713.11	703.28	967.76	808.0	454.09	490.14	532.74	0.0	620.67	579.04	503.95	343.89	547.75	435.55	450.94
IP6K1	381.68	775.05	587.13	651.58	791.35	1191.69	802.41	660.68	808.0	684.02	669.92	785.88	836.53	660.68	890.44	656.11	890.44	161.02	376.41	368.65	0.0	406.31	583.07	587.13	559.28	684.02	493.56	575.03
KCNJ12	28.04	100.13	82.29	371.22	105.15	237.86	135.24	40.64	199.85	35.76	121.79	202.66	87.03	72.01	126.12	145.02	136.19	3.5	0.38	4.28	0.0	5.73	10.0	16.03	4.24	36.79	14.56	6.21
KCNJ9	0.0	3.56	3.2	5.5	5.82	10.31	2.36	4.62	6.16	2.03	7.06	8.38	4.17	7.28	6.73	5.06	9.7	0.21	0.22	0.1	0.0	0.0	0.0	1.35	1.36	2.07	0.0	0.49
LZTFL1	262.2	669.92	583.07	536.45	802.41	775.05	529.06	713.11	775.05	493.56	607.87	693.58	764.36	612.11	703.28	543.96	559.28	178.77	214.27	115.97	414.87	229.72	346.29	470.14	186.4	397.93	368.65	363.56
NLK	76.71	500.46	414.87	575.03	397.93	607.87	426.57	713.11	759.08	483.38	540.19	503.95	656.11	567.1	521.76	387.02	429.54	148.09	198.47	229.72	147.06	190.34	279.14	208.38	162.14	256.78	291.04	107.38
PDE1A	37.85	2720.15	2609.3	21320.18	4210.15	13586.57	3039.3	2895.31	15607.02	1175.27	2664.15	3018.3	3443.31	2555.58	3794.3	2555.58	2682.69	15.45	13.32	52.08	0.0	32.13	180.02	246.28	35.76	228.13	101.54	19.25
PFKL	1977.24	3820.7	5219.6	6381.92	3901.01	6792.79	5479.15	2682.69	4903.87	3146.52	2573.36	3395.89	3768.09	3280.18	3589.58	4123.49	4869.99	1427.22	1259.69	1733.13	0.0	2178.83	1819.35	2701.35	2104.58	2537.92	2209.26	1757.34
PRKCQ	1.53	395.18	318.57	1605.83	669.92	1457.23	607.87	353.59	934.76	98.04	392.44	529.06	454.09	514.56	674.59	400.71	688.78	23.25	10.71	30.78	0.0	46.18	35.76	41.52	7.4	48.52	42.41	7.63
PRSS35	8.51	80.01	107.38	830.75	529.06	1073.91	151.22	198.47	718.08	44.57	214.27	220.32	150.17	271.48	191.67	273.37	246.28	1.66	0.53	0.4	0.0	2.2	18.03	5.82	2.01	31.22	5.87	1.1
RANGRF	395.18	995.0	1066.48	1697.45	854.13	1191.69	1388.16	753.83	607.87	728.11	921.88	836.53	854.13	1051.79	785.88	1104.13	915.51	353.59	373.81	148.09	0.0	429.54	438.59	612.11	312.0	723.08	397.93	447.82
SHISA9	0.61	93.35	36.27	158.79	212.78	161.02	88.88	68.55	106.63	44.25	62.12	66.65	90.14	59.13	265.87	57.08	112.77	0.22	0.0	0.68	0.0	0.72	0.48	16.03	2.84	38.4	2.66	0.26
