	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
AAMP	2816.11	3589.58	4419.52	3325.99	2240.11	4038.61	3614.55	3690.52	3639.7	3395.89	2915.45	3982.99	3589.58	3124.78	2468.49	2367.9	2591.27	4038.61	3820.7	2855.44	3467.27	2956.17	4512.4	3060.45	3768.09	2520.38	5292.48	4704.07	4123.49	3146.52	2895.31	2520.38	2417.67	3742.05	4239.45	3564.78	2682.69	3540.14	3325.99	3847.29	4210.15	3690.52	3982.99	3212.66	2335.28	2956.17	2739.08	2855.44	3742.05	1322.37	1540.37	1594.73	1551.09	1769.57
ANAPC11	3235.01	4210.15	6792.79	4419.52	2573.36	5006.93	6337.83	5041.77	5913.33	4512.4	3491.39	5672.41	4736.79	4937.99	2777.33	2956.17	3928.15	4512.4	5672.41	3639.7	4210.15	3639.7	8538.88	4481.23	7911.95	2835.7	9540.5	5292.48	6121.9	5112.16	3018.3	3235.01	3103.19	5292.48	7857.29	5006.93	2935.74	4802.93	4903.87	5594.3	5329.3	6840.04	4639.29	4419.52	2609.3	5006.93	4123.49	3372.43	6792.79	2303.12	1697.45	1540.37	2224.63	2032.85
ARF1	14163.58	13681.08	13215.02	14765.09	10808.41	14163.58	16045.82	13492.72	18560.17	12502.12	12160.22	14361.31	14163.58	15075.35	9945.68	11504.21	9474.59	16960.78	14163.58	9808.75	15285.81	12076.21	12502.12	13492.72	13872.08	9808.75	18431.96	9088.59	16045.82	13872.08	13215.02	10368.08	10883.59	12160.22	15180.22	13033.07	10154.69	15715.58	15824.9	16383.0	9540.5	15392.14	13399.51	13586.57	9344.14	11112.3	11745.96	9945.68	15180.22	6652.97	7382.04	7537.18	7911.95	7032.37
AURKAIP1	2255.7	2855.44	4607.24	2796.65	1651.0	3540.14	3614.55	3168.41	3874.05	3168.41	2303.12	4010.71	3212.66	3794.3	1883.54	1709.26	2367.9	3349.13	4358.66	2148.82	3235.01	2555.58	5995.9	3039.3	4903.87	1896.65	4704.07	3212.66	4095.0	3768.09	2061.24	1844.76	2032.85	3280.18	5403.7	3467.27	2032.85	4038.61	2976.74	4010.71	3081.75	4543.8	3901.01	2367.9	1819.35	2875.3	2303.12	2384.37	4181.07	1769.57	1561.89	1487.87	2018.8	1662.49
BCAP31	5403.7	5872.48	10014.87	7433.4	4836.35	5403.7	8840.04	6840.04	8247.98	5594.3	5517.27	8134.41	5112.16	8901.53	5329.3	3467.27	3901.01	6935.54	6294.04	4769.75	6207.38	6607.01	8305.36	7032.37	7695.57	4419.52	8901.53	5954.47	6561.36	7032.37	4268.94	6079.61	5329.3	5403.7	11112.3	6745.86	5292.48	6792.79	6887.62	5791.62	6887.62	7433.4	6516.03	6561.36	4450.27	7803.01	6426.31	5219.6	9876.98	2032.85	2018.8	2255.7	3325.99	3039.3
BSCL2	2061.24	2875.3	5872.48	3491.39	1331.57	3395.89	4575.41	3257.52	4010.71	2178.83	2178.83	4298.64	3280.18	5219.6	1674.06	1639.59	1977.24	3467.27	1870.53	1883.54	2835.7	2720.15	3639.7	2591.27	4671.57	1477.58	4869.99	2591.27	3349.13	2816.11	1529.73	2400.97	2133.97	3303.0	6381.92	3103.19	2133.97	2956.17	3190.46	4123.49	4481.23	3742.05	3060.45	2976.74	1388.16	2935.74	2303.12	1617.0	4972.34	470.14	429.54	567.1	872.1	665.29
BSG	13968.57	15607.02	19618.49	15499.21	8247.98	19618.49	16496.96	14163.58	16383.0	13306.94	15934.98	19348.38	14361.31	16157.44	8078.22	6164.49	11827.67	18560.17	18304.63	6840.04	12853.63	16269.83	17804.06	11584.24	18950.18	10296.45	15285.81	14262.1	13033.07	17558.94	8840.04	8134.41	8840.04	10512.82	19482.97	16383.0	11827.67	17558.94	14361.31	15934.98	16960.78	16960.78	17927.91	13033.07	9215.48	12160.22	11909.94	10296.45	17804.06	7695.57	8421.31	10154.69	5791.62	5555.65
C16orf58	2271.4	2319.15	2956.17	2271.4	1909.85	2645.74	2520.38	2434.5	2434.5	2148.82	2209.26	3124.78	3874.05	3212.66	1806.78	2287.2	1359.57	2816.11	2555.58	2163.77	2609.3	2133.97	2004.85	2664.15	2520.38	1709.26	3419.52	2485.67	1991.0	2303.12	2075.59	1909.85	2434.5	3018.3	2720.15	2739.08	1963.57	2664.15	2796.65	2816.11	3018.3	2400.97	2520.38	2609.3	1685.71	2627.46	2319.15	1870.53	2796.65	967.76	1175.27	1250.98	967.76	1167.14
C16orf71	28.24	27.84	53.95	38.4	12.55	52.82	34.26	43.63	15.11	25.17	18.03	45.53	48.18	40.93	14.67	17.38	7.88	36.79	46.84	15.45	42.11	30.78	17.51	26.86	48.87	23.25	43.63	41.52	47.84	39.79	28.86	34.75	15.91	56.68	42.41	38.67	33.54	17.0	26.86	42.41	37.05	40.64	40.36	52.45	24.28	35.76	10.55	41.52	27.25	11.73	10.63	8.45	13.32	6.01
C17orf59	218.79	169.07	221.86	220.32	102.97	190.34	226.54	251.48	251.48	199.85	122.64	221.86	193.01	258.57	111.99	133.36	159.9	198.47	251.48	221.86	209.84	202.66	348.71	248.0	197.09	112.77	403.5	244.57	289.02	267.73	202.66	120.94	142.01	209.84	318.57	186.4	128.79	205.5	153.34	279.14	214.27	351.14	242.88	234.57	198.47	224.97	248.0	218.79	285.03	111.99	191.67	157.68	202.66	246.28
