	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A09W.01A.11R.A00Z.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0AU.11A.11R.A12P.07	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.RU72.0626.SM.46MUI	GTEX.T6MO.1426.SM.4DM73	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC006116.20	78.34	17.51	18.43	3.89	1.13	5.63	7.94	3.29	14.45	8.13	5.68	1.69	10.55	3.79	4.94	0.0	0.0	5.02	81.71	45.85	113.56	80.01	29.48	36.27	57.08	0.0	0.37
AC024257.1	2.63	0.99	6.26	0.67	0.39	0.35	1.38	1.01	0.37	0.0	0.34	0.35	0.83	0.0	2.76	0.41	0.0	0.0	4.28	1.1	2.18	7.57	2.14	1.46	3.17	0.0	0.0
AC135178.1	72.01	70.01	33.54	13.83	13.32	10.16	32.82	15.68	18.97	31.9	17.51	19.68	34.02	17.9	68.07	18.29	22.59	14.03	80.01	50.63	124.37	72.01	98.04	97.36	72.01	0.0	0.4
ACADVL	14867.79	12502.12	3349.13	2163.77	2664.15	4607.24	3742.05	2047.0	3614.55	6121.9	3716.2	4388.98	5594.3	2047.0	13123.73	5711.87	3768.09	1909.85	10014.87	10959.3	11267.44	7230.1	13033.07	12764.83	12853.63	5594.3	785.88
ACCS	796.86	825.0	249.73	105.89	144.01	23.42	150.17	111.99	138.1	239.52	309.83	389.72	373.81	51.35	208.38	199.85	61.68	103.69	723.08	490.14	1030.12	848.22	743.43	500.46	713.11	0.0	0.75
ACSBG2	15.8	0.96	5.68	0.97	2.56	1.33	2.01	4.94	2.12	4.62	0.32	3.99	0.0	0.0	1.14	0.39	3.99	0.0	4.54	7.94	19.11	13.62	16.88	21.32	2.23	0.0	0.0
ADHFE1	361.04	194.36	113.56	59.13	23.08	74.06	108.14	32.13	77.25	232.94	312.0	28.24	25.72	50.27	277.2	73.03	64.34	70.51	409.15	204.07	309.83	647.07	400.71	289.02	748.61	0.0	0.46
AGAP4	172.65	42.41	120.94	70.01	44.89	33.78	125.24	55.49	82.29	75.64	83.45	96.68	59.97	76.71	85.22	49.21	56.68	45.85	131.51	123.5	111.21	170.25	139.07	134.3	94.67	0.0	1.0
AGAP9	171.45	90.14	50.27	24.46	15.91	14.14	4.43	40.64	41.81	31.0	105.15	46.5	21.01	57.49	60.82	23.93	27.44	26.47	74.06	114.36	115.16	108.9	74.58	125.24	29.7	0.0	0.77
AL162407.1	279.14	214.27	236.21	102.97	68.55	31.22	115.16	66.18	71.5	98.04	177.53	95.34	80.01	55.49	239.52	102.25	34.51	92.7	228.13	181.28	189.02	258.57	197.09	143.01	389.72	0.0	0.55
