	TCGA.E7.A7PW.01A.11R.A352.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CC.A9FW.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.CC.A8HU.01A.11R.A36F.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WV.01A.11R.A37L.07
ABHD11	1857.6	140.04	312.0	514.56	759.08	301.33	483.38	457.25	688.78	1617.0	878.17	599.49	500.46	366.09	346.29	343.89	1111.82	389.72	808.0	339.14	381.68	293.07	194.36	327.56	305.55	289.02	260.38	277.2	180.02	101.54	146.03	75.64	273.37	199.85	343.89	246.28	157.68	163.28	329.84	279.14	318.57	267.73	0.0	0.47	3039.3
AGAP3	4268.94	616.37	708.18	1008.9	1477.58	1225.22	836.53	1250.98	2209.26	1359.57	1477.58	1277.29	1350.18	1199.98	1242.34	656.11	2400.97	1015.93	1066.48	1159.07	1605.83	836.53	656.11	890.44	808.0	866.07	753.83	638.15	457.25	305.55	555.41	368.65	703.28	665.29	988.12	723.08	536.45	599.49	708.18	457.25	785.88	878.17	0.0	1.06	2271.4
ALKBH4	351.14	113.56	78.34	314.17	239.52	195.72	260.38	208.38	339.14	237.86	371.22	201.25	231.32	162.14	193.01	155.5	281.09	150.17	265.87	215.77	204.07	138.1	118.43	98.04	144.01	155.5	81.71	129.69	123.5	75.64	81.71	132.44	163.28	101.54	137.14	146.03	197.09	118.43	118.43	109.66	117.6	164.42	0.0	0.0	507.46
ALKBH6	1498.22	167.9	329.84	748.61	540.19	429.54	753.83	269.6	507.46	642.59	842.36	543.96	674.59	688.78	563.18	559.28	1104.13	480.04	1037.29	454.09	624.99	325.29	208.38	239.52	301.33	303.44	162.14	262.2	149.12	139.07	154.42	194.36	301.33	150.17	234.57	198.47	151.22	256.78	234.57	149.12	204.07	412.0	0.0	0.73	529.06
AP1S1	2400.97	497.0	915.51	2133.97	2163.77	1662.49	1378.57	1769.57	1572.76	2090.03	2609.3	2209.26	2502.97	1628.26	1583.71	954.43	2303.12	1388.16	1477.58	1313.23	1639.59	896.64	753.83	947.83	896.64	921.88	651.58	825.0	884.29	599.49	629.35	669.92	595.34	529.06	1216.75	579.04	780.44	785.88	629.35	848.22	981.29	866.07	0.0	0.28	1991.0
APOA1BP	4869.99	1066.48	2047.0	4869.99	4543.8	3325.99	1685.71	2133.97	4038.61	7382.04	4388.98	6037.61	5183.54	4038.61	4450.27	1605.83	5711.87	4358.66	6840.04	1508.65	3794.3	1697.45	1832.01	1417.35	1628.26	2224.63	1519.15	1745.2	1529.73	1151.06	1359.57	1857.6	2796.65	1498.22	2032.85	1896.65	1870.53	1561.89	1781.89	1617.0	1883.54	2609.3	0.0	0.67	2468.49
ARF5	10440.2	1883.54	2835.7	4328.55	4736.79	2956.17	2895.31	4328.55	5479.15	5292.48	6471.02	4543.8	4210.15	3820.7	3212.66	3257.52	5594.3	3515.68	3515.68	3901.01	3589.58	2609.3	2240.11	2758.13	3103.19	3018.3	2319.15	2875.3	2335.28	1639.59	2018.8	2032.85	2303.12	2895.31	2777.33	1844.76	2335.28	1936.53	3081.75	2591.27	1286.18	2555.58	0.0	1.23	9279.58
ARFRP1	1151.06	255.0	483.38	1963.57	1081.39	1066.48	854.13	507.46	825.0	1407.55	1508.65	1397.83	1059.11	2075.59	974.5	603.67	1923.14	1059.11	1088.92	915.51	1104.13	748.61	438.59	454.09	420.68	607.87	343.89	470.14	307.69	295.11	267.73	289.02	529.06	305.55	503.95	665.29	587.13	607.87	521.76	320.8	587.13	521.76	866.07	769.69	1331.57
ARIH2OS	40.36	13.72	15.68	23.59	19.53	11.91	25.54	14.45	34.51	41.81	43.32	17.51	35.76	29.06	21.94	15.8	46.18	20.26	43.94	31.67	29.06	21.16	10.96	15.91	11.73	12.0	6.52	10.47	7.46	11.64	15.45	12.27	17.13	5.87	11.73	15.0	10.79	12.27	11.64	8.99	15.8	16.15	0.0	0.0	100.83
ARL16	1870.53	1059.11	334.46	967.76	733.19	547.75	796.86	389.72	1199.98	607.87	1407.55	603.67	759.08	651.58	301.33	450.94	2319.15	521.76	1037.29	713.11	591.22	343.89	172.65	441.64	228.13	381.68	202.66	307.69	217.27	253.23	144.01	258.57	339.14	249.73	384.34	291.04	371.22	72.01	376.41	229.72	251.48	423.61	0.0	0.71	1233.75
