	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.RU1J.0126.SM.2TF6Y	GTEX.13FTZ.0526.SM.5IJCW	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.XYKS.0526.SM.4BRW2	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.X585.1026.SM.46MW6	GTEX.QDVJ.0926.SM.2I5FU	GTEX.11I78.0126.SM.5HL6F	GTEX.RVPV.1726.SM.5SI8C	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.RN64.1226.SM.2TC6E	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.PX3G.0526.SM.2I3EM	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.ZTPG.0926.SM.5O99H	GTEX.13OW6.0826.SM.5L3GA	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.S7SF.0426.SM.3K2B7	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK
AGER	0.28	56265.94	459592.86	502929.67	267651.2	93325.55	29531.18	355624.68	163620.18	31432.17	122293.5	119776.72	181548.07	370726.6	29327.18	23492.92	25530.66	394590.4	313910.86	57051.4	242898.5	577714.63	37379.55	220434.95	286861.53	279017.26	290865.98	25530.66	253213.41	4419.52	383800.28	363097.14	9025.81	22850.48	373305.21	273275.14	482442.34	496005.67	170568.48	419990.32
AGPAT3	77.79	1529.73	1286.18	1407.55	785.88	1594.73	303.44	819.3	435.55	896.64	265.87	620.67	1250.98	1088.92	1844.76	791.35	356.05	743.43	651.58	327.56	532.74	909.17	967.76	450.94	813.63	1540.37	1119.56	551.56	1066.48	921.88	587.13	665.29	1277.29	348.71	769.69	759.08	791.35	575.03	647.07	848.22
AP1B1	0.54	1551.09	791.35	1350.18	967.76	1757.34	497.0	921.88	583.07	1769.57	363.56	476.71	1832.01	890.44	1936.53	1662.49	441.64	830.75	718.08	500.46	708.18	633.73	2335.28	587.13	1191.69	1216.75	1259.69	463.65	1605.83	1896.65	866.07	825.0	2485.67	669.92	688.78	1322.37	1191.69	684.02	547.75	813.63
AP5B1	0.09	265.87	139.07	316.37	211.31	392.44	62.12	170.25	106.63	226.54	100.13	115.97	403.5	163.28	376.41	316.37	94.01	115.16	115.97	98.73	121.79	91.41	193.01	143.01	215.77	297.17	366.09	80.57	406.31	206.94	140.04	241.19	476.71	105.89	78.89	305.55	217.27	100.83	131.51	199.85
ASB1	0.71	587.13	457.25	329.84	244.57	454.09	234.57	361.04	182.55	521.76	753.83	232.94	521.76	307.69	412.0	540.19	214.27	358.54	457.25	253.23	229.72	363.56	785.88	343.89	612.11	320.8	320.8	241.19	339.14	738.29	551.56	269.6	389.72	283.05	246.28	457.25	785.88	169.07	142.01	329.84
BOLA2	0.29	559.28	180.02	153.34	140.04	353.59	130.6	169.07	48.87	460.44	115.16	75.64	307.69	185.11	460.44	403.5	47.5	137.14	105.15	80.57	136.19	131.51	447.82	171.45	256.78	295.11	158.79	82.87	366.09	612.11	170.25	169.07	688.78	82.87	96.01	275.28	269.6	110.43	147.06	193.01
CBX6	629.35	1295.13	293.07	688.78	387.02	1066.48	229.72	239.52	173.85	1225.22	73.03	185.11	1259.69	343.89	1001.93	466.88	59.55	197.09	318.57	301.33	217.27	387.02	2796.65	241.19	703.28	470.14	540.19	165.57	403.5	1277.29	231.32	301.33	1081.39	120.1	457.25	954.43	1135.2	177.53	209.84	400.71
CEP85	0.6	123.5	117.6	104.42	124.37	220.32	56.68	77.25	78.89	253.23	68.55	25.35	133.36	89.51	232.94	231.32	42.11	62.12	81.14	103.69	88.26	111.99	381.68	57.89	64.34	124.37	106.63	32.82	181.28	151.22	99.43	153.34	224.97	73.54	105.15	117.6	71.5	70.01	79.45	100.83
CHPF2	0.4	848.22	325.29	551.56	327.56	825.0	175.07	371.22	236.21	1088.92	111.21	299.25	866.07	389.72	1127.35	947.83	181.28	255.0	212.78	158.79	409.15	346.29	813.63	348.71	961.07	511.0	808.0	173.85	579.04	1225.22	256.78	529.06	1199.98	248.0	265.87	529.06	438.59	228.13	232.94	463.65
CNP	988.12	947.83	633.73	954.43	753.83	1242.34	698.41	603.67	674.59	866.07	571.05	420.68	1199.98	921.88	1096.5	1001.93	397.93	693.58	688.78	836.53	688.78	842.36	1745.2	785.88	638.15	780.44	748.61	363.56	759.08	1561.89	836.53	624.99	1119.56	444.72	595.34	896.64	723.08	486.75	400.71	607.87
COASY	0.71	1662.49	842.36	866.07	713.11	1242.34	376.41	733.19	480.04	2739.08	234.57	607.87	1561.89	769.69	1662.49	2468.49	228.13	536.45	656.11	346.29	1151.06	842.36	1175.27	759.08	1378.57	1051.79	1477.58	309.83	1015.93	2018.8	878.17	1277.29	2451.44	460.44	551.56	1304.15	1417.35	417.77	775.05	1216.75
DESI1	0.6	1175.27	420.68	674.59	607.87	587.13	195.72	638.15	373.81	808.0	161.02	329.84	642.59	312.0	854.13	1135.2	231.32	327.56	249.73	312.0	265.87	309.83	397.93	363.56	1268.46	669.92	1208.34	297.17	638.15	1447.15	454.09	651.58	995.0	249.73	246.28	603.67	480.04	567.1	251.48	454.09
DPM2	0.51	1662.49	723.08	1199.98	819.3	1216.75	638.15	647.07	490.14	1991.0	466.88	426.57	1208.34	688.78	1561.89	2133.97	403.5	543.96	688.78	587.13	525.39	603.67	1936.53	775.05	1427.22	1639.59	915.51	518.15	1540.37	2178.83	974.5	1832.01	2133.97	507.46	507.46	1304.15	1066.48	454.09	395.18	743.43
ESRRA	0.79	1111.82	521.76	688.78	463.65	1151.06	307.69	532.74	279.14	1583.71	215.77	417.77	967.76	511.0	1051.79	1498.22	228.13	242.88	412.0	229.72	514.56	607.87	1088.92	647.07	941.27	599.49	878.17	334.46	878.17	1407.55	486.75	791.35	1175.27	224.97	339.14	967.76	567.1	341.51	457.25	543.96
