	GTEX.14C38.2626.SM.5RQI4	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.50.5066.01A.01R.1628.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.132QS.0726.SM.5IJE9	GTEX.13O3Q.0526.SM.5KM18	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.N7MS.0926.SM.2HMIZ	GTEX.SIU8.0926.SM.5SI87	GTEX.S7SF.0426.SM.3K2B7	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
AARSD1	320.8	866.07	1250.98	1477.58	884.29	921.88	1119.56	909.17	616.37	915.51	988.12	1001.93	620.67	1477.58	1175.27	934.76	1066.48	1030.12	1143.1	1304.15	995.0	1674.06	947.83	4210.15	1331.57	1397.83	1407.55	1225.22	961.07	890.44	1359.57	616.37	595.34	780.44	500.46	947.83	583.07	616.37	941.27	791.35	2319.15	708.18	693.58	620.67	642.59	1127.35	571.05	802.41	1417.35	693.58	348.71	373.81	265.87	412.0	426.57	503.95	753.83	412.0	836.53	780.44	591.22	473.41	872.1	532.74	759.08	373.81	616.37	511.0	447.82	379.04	802.41	698.41
ADSL	264.03	753.83	915.51	848.22	909.17	961.07	1096.5	988.12	872.1	780.44	1250.98	1199.98	808.0	2451.44	1268.46	1015.93	1242.34	728.11	1628.26	1051.79	753.83	1508.65	698.41	1268.46	1639.59	733.19	2047.0	796.86	693.58	559.28	1561.89	647.07	395.18	638.15	587.13	444.72	529.06	1487.87	748.61	1388.16	1540.37	2193.99	1096.5	1001.93	934.76	928.3	896.64	769.69	1143.1	836.53	241.19	224.97	256.78	325.29	325.29	420.68	1001.93	255.0	1159.07	511.0	309.83	371.22	1467.37	1015.93	967.76	361.04	836.53	587.13	409.15	228.13	3589.58	1225.22
ALG8	111.21	813.63	902.89	759.08	830.75	780.44	748.61	928.3	669.92	1015.93	1498.22	1583.71	1037.29	2075.59	2047.0	1191.69	1519.15	915.51	1896.65	1745.2	1794.29	1508.65	1023.0	2255.7	1794.29	1662.49	2075.59	1199.98	1127.35	629.35	1030.12	1331.57	1757.34	909.17	796.86	665.29	1175.27	764.36	665.29	1037.29	2061.24	693.58	507.46	540.19	620.67	669.92	503.95	698.41	915.51	529.06	343.89	246.28	153.34	323.03	417.77	444.72	483.38	246.28	791.35	406.31	392.44	379.04	1066.48	723.08	642.59	346.29	312.0	351.14	236.21	185.11	1159.07	551.56
ANAPC11	2133.97	3168.41	4298.64	4736.79	5831.91	3103.19	4239.45	2956.17	2956.17	4704.07	5329.3	5479.15	6983.79	10084.54	8247.98	7230.1	5995.9	6294.04	4328.55	6381.92	5913.33	10154.69	7749.1	20737.16	10368.08	8247.98	8078.22	6652.97	4736.79	3124.78	5831.91	7966.99	4972.34	4937.99	3212.66	3690.52	4903.87	13123.73	2997.45	9025.81	9025.81	11584.24	4543.8	5041.77	4575.41	4038.61	3491.39	2335.28	6887.62	4836.35	1540.37	1963.57	2664.15	1870.53	1605.83	2609.3	3103.19	1769.57	6426.31	2287.2	1242.34	1508.65	7382.04	3564.78	3540.14	1819.35	1950.0	2032.85	1870.53	1397.83	11424.74	4095.0
APEX1	2193.99	2224.63	2895.31	2133.97	3257.52	2209.26	2976.74	2627.46	2816.11	3349.13	2163.77	3081.75	2485.67	3564.78	2915.45	2627.46	2758.13	2434.5	3564.78	2645.74	2537.92	5076.84	2835.7	2468.49	3103.19	4575.41	2682.69	3639.7	1950.0	1977.24	2895.31	1651.0	1388.16	2303.12	2047.0	2133.97	2090.03	10808.41	2468.49	3060.45	3847.29	6935.54	3168.41	2758.13	2855.44	3235.01	2956.17	1498.22	4010.71	3146.52	1487.87	723.08	1119.56	1628.26	1378.57	1651.0	3928.15	909.17	3564.78	2701.35	1233.75	1794.29	5076.84	3901.01	3303.0	1015.93	2816.11	2351.53	1551.09	1208.34	8840.04	3103.19
APOPT1	825.0	842.36	1191.69	1066.48	1030.12	1304.15	1066.48	934.76	1119.56	1350.18	698.41	796.86	679.29	1467.37	866.07	1183.45	1551.09	854.13	718.08	540.19	1437.15	1059.11	878.17	1313.23	1477.58	961.07	866.07	890.44	934.76	780.44	1242.34	688.78	884.29	607.87	591.22	511.0	842.36	4671.57	967.76	1487.87	1781.89	2209.26	1151.06	909.17	988.12	1225.22	842.36	1313.23	1561.89	1044.52	224.97	555.41	473.41	713.11	199.85	708.18	808.0	575.03	878.17	376.41	441.64	563.18	1781.89	1216.75	1001.93	536.45	819.3	563.18	376.41	583.07	2178.83	1037.29
ATIC	490.14	1477.58	1909.85	2701.35	2417.67	2520.38	2240.11	2573.36	1896.65	1769.57	2895.31	3467.27	2163.77	8363.13	2520.38	1963.57	2855.44	1844.76	5555.65	2224.63	2004.85	4450.27	2119.22	1733.13	4450.27	2468.49	3847.29	2319.15	1991.0	1883.54	4972.34	1388.16	1487.87	1519.15	884.29	723.08	1242.34	2739.08	1519.15	3303.0	3690.52	2090.03	1437.15	1208.34	1617.0	1923.14	1044.52	1477.58	2664.15	1519.15	785.88	447.82	339.14	909.17	769.69	1359.57	1561.89	753.83	2591.27	1208.34	684.02	890.44	2895.31	1819.35	1508.65	575.03	1191.69	1030.12	759.08	624.99	4298.64	1674.06
BOLA2	273.37	295.11	587.13	571.05	480.04	371.22	486.75	412.0	293.07	444.72	389.72	848.22	532.74	1417.35	555.41	660.68	429.54	312.0	642.59	361.04	466.88	656.11	8.92	555.41	1143.1	830.75	915.51	518.15	162.14	71.5	1111.82	148.09	173.85	201.25	121.79	81.71	142.01	921.88	262.2	80.01	409.15	802.41	309.83	406.31	309.83	551.56	169.07	281.09	595.34	285.03	83.45	152.28	136.19	126.12	0.0	409.15	332.14	73.03	450.94	234.57	98.04	158.79	612.11	217.27	314.17	93.35	211.31	145.02	202.66	85.22	341.51	423.61
BOLA2B	1268.46	1896.65	2935.74	2255.7	3060.45	2976.74	3018.3	2271.4	1674.06	2701.35	3443.31	5006.93	2875.3	8479.89	2875.3	3874.05	2400.97	1794.29	3665.02	2502.97	1639.59	3190.46	2935.74	4769.75	5995.9	3690.52	6935.54	2739.08	1183.45	336.79	5555.65	1498.22	1119.56	878.17	791.35	665.29	802.41	9409.14	1159.07	7230.1	3874.05	7382.04	1870.53	2351.53	1950.0	2758.13	1191.69	1111.82	3768.09	1594.73	559.28	551.56	638.15	599.49	878.17	808.0	1628.26	417.77	1950.0	1008.9	267.73	1304.15	4066.71	1540.37	1259.69	802.41	1111.82	928.3	647.07	830.75	3955.48	2485.67
BOLA3	493.56	759.08	1104.13	995.0	1721.16	1143.1	934.76	679.29	848.22	961.07	3768.09	1051.79	988.12	2997.45	1487.87	1175.27	1051.79	738.29	1519.15	928.3	1651.0	1883.54	1561.89	3257.52	1286.18	1572.76	2758.13	1322.37	521.76	587.13	2664.15	915.51	708.18	780.44	698.41	361.04	961.07	3639.7	647.07	813.63	2163.77	2468.49	1088.92	909.17	1183.45	1167.14	669.92	1051.79	1529.73	624.99	400.71	189.02	217.27	348.71	406.31	379.04	743.43	169.07	718.08	351.14	262.2	403.5	1369.04	1051.79	547.75	279.14	414.87	312.0	358.54	211.31	2061.24	1015.93
BUD31	5441.3	1745.2	2537.92	2627.46	2178.83	1322.37	1350.18	1369.04	2047.0	2287.2	2816.11	2537.92	1674.06	5594.3	2018.8	3303.0	2739.08	1617.0	1745.2	1407.55	2645.74	2816.11	2032.85	2193.99	3515.68	1498.22	1551.09	3690.52	1594.73	1286.18	3103.19	1819.35	1508.65	1151.06	1051.79	1167.14	1233.75	10585.95	1870.53	8963.45	3690.52	9409.14	2255.7	2434.5	2520.38	2400.97	1950.0	1427.22	4038.61	1639.59	1407.55	1015.93	1896.65	848.22	1081.39	878.17	1685.71	947.83	1977.24	1023.0	1378.57	915.51	4358.66	1923.14	1397.83	802.41	1304.15	934.76	703.28	2119.22	3419.52	2739.08
C11orf48	1963.57	1388.16	2240.11	2193.99	1936.53	1540.37	1417.35	1417.35	1757.34	2032.85	3103.19	2796.65	2209.26	4607.24	2468.49	2956.17	1991.0	2335.28	2758.13	2400.97	2485.67	3419.52	1594.73	2935.74	4575.41	2367.9	3190.46	2163.77	2004.85	1081.39	3168.41	1167.14	1551.09	1685.71	1417.35	1572.76	1397.83	3060.45	2224.63	4239.45	4481.23	5219.6	2193.99	2104.58	1991.0	2997.45	2004.85	1662.49	3589.58	2240.11	902.89	780.44	1191.69	1208.34	633.73	1151.06	1662.49	728.11	3081.75	780.44	1143.1	1104.13	4066.71	2271.4	1819.35	718.08	1295.13	872.1	723.08	1322.37	2119.22	2485.67
C17orf89	366.09	1259.69	2468.49	2400.97	2816.11	1529.73	3419.52	1561.89	1119.56	1697.45	1832.01	1617.0	2032.85	3901.01	2335.28	2956.17	2047.0	1896.65	1313.23	2319.15	1313.23	3146.52	2047.0	10014.87	2935.74	2209.26	2335.28	1487.87	1745.2	1359.57	2976.74	2287.2	1583.71	3716.2	2777.33	2664.15	1397.83	3794.3	1191.69	1066.48	5292.48	1781.89	1151.06	1044.52	1407.55	3901.01	1008.9	1233.75	3325.99	915.51	536.45	571.05	543.96	571.05	389.72	1199.98	780.44	1030.12	2271.4	620.67	748.61	698.41	2555.58	1001.93	1268.46	1030.12	967.76	470.14	567.1	503.95	2468.49	1277.29
CCT3	1639.59	3018.3	3257.52	3257.52	3639.7	4450.27	4095.0	4481.23	3168.41	7966.99	8247.98	11827.67	4769.75	10014.87	9808.75	11424.74	9344.14	3794.3	8247.98	7130.55	5872.48	9215.48	8421.31	8134.41	12676.65	12502.12	11584.24	7180.15	4210.15	2351.53	5791.62	2367.9	2956.17	4903.87	3395.89	1674.06	4937.99	6935.54	2502.97	5112.16	6840.04	5791.62	2739.08	2224.63	2682.69	4575.41	2104.58	2485.67	2777.33	1936.53	1250.98	1477.58	1508.65	1397.83	1313.23	1651.0	2434.5	1143.1	4639.29	1487.87	1359.57	1023.0	5791.62	1697.45	2335.28	1216.75	1857.6	1407.55	1662.49	1359.57	8718.32	2701.35
CHAC2	119.26	25.35	29.06	46.18	41.22	32.82	10.55	18.97	33.3	65.72	239.52	62.56	75.11	76.17	48.18	50.27	53.95	68.55	35.5	39.79	44.25	57.89	150.17	105.89	48.87	36.79	191.67	92.7	63.89	88.26	167.9	45.85	57.08	48.18	68.07	29.06	72.52	175.07	55.89	110.43	130.6	444.72	92.05	75.64	98.04	101.54	90.14	34.26	107.38	75.11	16.03	12.27	11.91	24.11	9.85	24.81	66.65	18.03	58.71	15.68	14.56	17.13	161.02	87.65	48.18	10.96	34.51	15.45	10.39	21.78	616.37	127.0
CINP	591.22	500.46	748.61	743.43	1044.52	674.59	813.63	738.29	591.22	974.5	651.58	698.41	743.43	1369.04	1551.09	1199.98	1191.69	1119.56	551.56	651.58	1277.29	1487.87	532.74	1216.75	1015.93	1044.52	497.0	723.08	848.22	583.07	988.12	878.17	642.59	921.88	848.22	698.41	571.05	1832.01	718.08	642.59	1388.16	1447.15	775.05	785.88	995.0	1030.12	642.59	647.07	1216.75	842.36	327.56	217.27	277.2	438.59	497.0	624.99	854.13	283.05	854.13	563.18	318.57	368.65	1594.73	981.29	738.29	277.2	583.07	638.15	403.5	351.14	1757.34	854.13
CISD2	473.41	450.94	836.53	616.37	769.69	775.05	616.37	718.08	780.44	1104.13	909.17	902.89	665.29	454.09	503.95	890.44	1378.57	1216.75	1023.0	353.59	571.05	563.18	525.39	890.44	743.43	688.78	1268.46	878.17	1191.69	836.53	1015.93	1088.92	1498.22	1081.39	961.07	325.29	1350.18	1583.71	656.11	1628.26	1127.35	1340.84	1081.39	796.86	612.11	780.44	361.04	633.73	660.68	486.75	176.29	297.17	397.93	249.73	305.55	275.28	521.76	246.28	559.28	339.14	249.73	295.11	1111.82	642.59	450.94	241.19	348.71	371.22	258.57	209.84	1923.14	743.43
CNPY2	532.74	3303.0	3874.05	3280.18	3540.14	2591.27	3467.27	2627.46	3395.89	7642.41	4869.99	3768.09	8247.98	7130.55	7537.18	7537.18	2915.45	4607.24	5076.84	5672.41	3955.48	4937.99	5791.62	6607.01	3491.39	4512.4	5479.15	5751.61	4972.34	3081.75	6294.04	5112.16	4388.98	4095.0	4123.49	2351.53	3491.39	6471.02	2739.08	6037.61	2627.46	5594.3	3443.31	2502.97	3515.68	5041.77	2976.74	1769.57	4010.71	2520.38	974.5	878.17	1044.52	1081.39	1167.14	2384.37	1883.54	915.51	3982.99	1639.59	1191.69	1498.22	5292.48	3665.02	3235.01	961.07	2520.38	1991.0	1519.15	624.99	3820.7	3235.01
COA4	540.19	1159.07	1457.23	1487.87	1457.23	1268.46	1628.26	1369.04	1487.87	2224.63	3639.7	3280.18	3419.52	4066.71	2997.45	3060.45	2061.24	2468.49	3467.27	2224.63	2915.45	2816.11	2133.97	3820.7	6164.49	3146.52	4239.45	2915.45	2287.2	1551.09	2796.65	2434.5	1950.0	2485.67	1936.53	1781.89	2485.67	2004.85	1111.82	2520.38	4736.79	2627.46	1378.57	1498.22	1331.57	1498.22	1216.75	866.07	2351.53	1127.35	518.15	376.41	426.57	591.22	490.14	819.3	1277.29	454.09	1313.23	651.58	525.39	473.41	2855.44	1313.23	1127.35	518.15	728.11	529.06	518.15	866.07	2451.44	1498.22
COA6	400.71	507.46	791.35	759.08	1073.91	616.37	441.64	480.04	693.58	1721.16	2895.31	2004.85	878.17	2915.45	3847.29	2701.35	2104.58	1143.1	1832.01	1923.14	1617.0	2209.26	3325.99	2758.13	1870.53	4210.15	4010.71	2400.97	346.29	438.59	1844.76	988.12	934.76	764.36	866.07	591.22	1183.45	2209.26	688.78	2485.67	1322.37	3081.75	1322.37	1088.92	866.07	1059.11	780.44	728.11	1437.15	1104.13	147.06	361.04	291.04	190.34	155.5	441.64	414.87	251.48	698.41	197.09	159.9	265.87	2133.97	878.17	563.18	316.37	346.29	454.09	293.07	412.0	6250.56	872.1
COPS5	279.14	684.02	842.36	1030.12	1023.0	854.13	426.57	633.73	769.69	3235.01	2384.37	2609.3	2018.8	1407.55	2682.69	2032.85	1594.73	1183.45	1437.15	1857.6	1407.55	813.63	1561.89	1832.01	4607.24	1832.01	2520.38	1806.78	1037.29	759.08	2271.4	1051.79	1183.45	1447.15	1268.46	808.0	1427.22	3614.55	1066.48	1844.76	995.0	2976.74	1304.15	1250.98	1437.15	1583.71	1051.79	1191.69	1498.22	1001.93	412.0	397.93	438.59	624.99	392.44	660.68	1066.48	406.31	921.88	651.58	521.76	583.07	1794.29	1340.84	1216.75	688.78	884.29	587.13	587.13	444.72	1832.01	1447.15
COX16	299.25	775.05	1208.34	1286.18	1151.06	1199.98	1259.69	902.89	1037.29	1819.35	860.08	1151.06	934.76	1923.14	1508.65	1487.87	1639.59	1322.37	819.3	1208.34	1407.55	1832.01	1216.75	2287.2	1233.75	1088.92	1073.91	1208.34	884.29	825.0	1662.49	2061.24	1733.13	1388.16	1477.58	753.83	1369.04	5183.54	1216.75	2104.58	1685.71	1977.24	1781.89	1208.34	1313.23	1769.57	1023.0	1183.45	2367.9	1119.56	665.29	420.68	543.96	540.19	327.56	819.3	813.63	647.07	1127.35	579.04	583.07	679.29	2255.7	1167.14	860.08	500.46	624.99	599.49	426.57	599.49	2701.35	1369.04
DAP3	3060.45	1991.0	2047.0	1963.57	2193.99	1909.85	1250.98	2319.15	2061.24	4239.45	4972.34	5329.3	2609.3	4481.23	3847.29	5329.3	4543.8	2555.58	4704.07	3146.52	4450.27	4298.64	2895.31	4836.35	4575.41	5555.65	4095.0	4066.71	2351.53	2468.49	4481.23	1870.53	2047.0	2664.15	1977.24	1322.37	2485.67	3982.99	2018.8	3212.66	3168.41	5479.15	2451.44	1769.57	1757.34	3349.13	1388.16	1857.6	3039.3	1819.35	896.64	1059.11	848.22	1151.06	693.58	1175.27	2004.85	1467.37	2777.33	1167.14	1199.98	1304.15	4704.07	2367.9	1594.73	1073.91	1781.89	1477.58	1151.06	1977.24	4328.55	2319.15
DCAF13	476.71	320.8	305.55	325.29	346.29	397.93	198.47	395.18	269.6	1242.34	1191.69	1088.92	860.08	1477.58	669.92	1175.27	854.13	208.38	1909.85	376.41	400.71	733.19	1023.0	1191.69	1551.09	884.29	1923.14	540.19	267.73	320.8	866.07	224.97	183.82	329.84	264.03	140.04	341.51	1950.0	305.55	1183.45	848.22	1467.37	555.41	358.54	480.04	583.07	281.09	291.04	447.82	255.0	295.11	108.14	177.53	138.1	226.54	164.42	400.71	127.89	395.18	205.5	167.9	161.02	684.02	503.95	332.14	181.28	267.73	119.26	265.87	248.0	1111.82	497.0
DRG1	555.41	764.36	947.83	1001.93	819.3	947.83	921.88	796.86	866.07	1081.39	1781.89	1519.15	1023.0	2777.33	1304.15	1277.29	1628.26	1159.07	1806.78	1250.98	941.27	1605.83	842.36	1832.01	2163.77	1051.79	2178.83	1540.37	1088.92	890.44	1407.55	830.75	748.61	934.76	728.11	647.07	775.05	2133.97	928.3	2018.8	1628.26	2956.17	1268.46	1030.12	1111.82	1781.89	842.36	1151.06	1191.69	1151.06	392.44	217.27	381.68	373.81	366.09	414.87	1388.16	373.81	1551.09	497.0	599.49	384.34	2178.83	1066.48	1073.91	336.79	884.29	583.07	376.41	432.53	2287.2	1242.34
ECE2	42.11	62.12	98.04	98.04	100.83	82.87	153.34	86.43	54.72	267.73	316.37	403.5	669.92	753.83	289.02	392.44	532.74	218.79	728.11	154.42	307.69	547.75	236.21	309.83	651.58	206.94	244.57	507.46	299.25	208.38	343.89	191.67	186.4	293.07	208.38	120.94	234.57	1350.18	89.51	674.59	651.58	397.93	122.64	78.34	106.63	182.55	81.14	57.08	149.12	90.14	10.96	14.35	20.56	29.48	15.8	38.67	151.22	18.16	204.07	14.24	17.9	19.97	273.37	102.97	69.52	7.88	50.27	21.94	16.88	59.55	1551.09	147.06
