	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.TMMY.0726.SM.33HBE	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.11P82.1126.SM.5BC5K	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
ACAP2	567.1	713.11	674.59	154.42	82.87	395.18	120.94	397.93	223.41	77.25	356.05	183.82	186.4	158.79	62.56	88.88	387.02	148.09	146.03	242.88	351.14	307.69	170.25	151.22	117.6	108.14	395.18	186.4	102.97	171.45	226.54	141.02	124.37	334.46	232.94	236.21	148.09	320.8	166.73	267.73	176.29	248.0	191.67	318.57	287.01	256.78	211.31	285.03	132.44	228.13	269.6	166.73	129.69	231.32
AEBP2	769.69	759.08	909.17	329.84	146.03	688.78	281.09	540.19	397.93	132.44	525.39	339.14	312.0	318.57	117.6	182.55	384.34	303.44	260.38	384.34	463.65	493.56	361.04	242.88	253.23	167.9	547.75	353.59	182.55	312.0	384.34	223.41	260.38	651.58	423.61	273.37	303.44	438.59	363.56	454.09	490.14	511.0	348.71	463.65	624.99	595.34	420.68	525.39	277.2	329.84	466.88	264.03	281.09	412.0
AFF4	995.0	1819.35	967.76	395.18	195.72	967.76	366.09	1081.39	483.38	167.9	884.29	507.46	547.75	371.22	172.65	205.5	884.29	356.05	285.03	503.95	842.36	842.36	381.68	348.71	271.48	234.57	909.17	409.15	265.87	420.68	466.88	329.84	361.04	759.08	486.75	297.17	363.56	521.76	500.46	638.15	514.56	616.37	463.65	743.43	791.35	848.22	728.11	599.49	293.07	507.46	708.18	353.59	246.28	728.11
AKAP11	599.49	400.71	567.1	140.04	38.4	373.81	122.64	316.37	208.38	56.68	341.51	164.42	153.34	135.24	43.94	68.55	361.04	126.12	108.14	169.07	305.55	248.0	141.02	97.36	82.29	85.22	376.41	165.57	73.03	145.02	198.47	95.34	118.43	327.56	214.27	146.03	154.42	208.38	197.09	248.0	181.28	242.88	171.45	323.03	348.71	277.2	187.71	285.03	102.97	199.85	237.86	137.14	121.79	147.06
ANKIB1	660.68	703.28	743.43	198.47	101.54	389.72	191.67	395.18	258.57	110.43	414.87	251.48	244.57	176.29	103.69	104.42	447.82	154.42	177.53	287.01	327.56	309.83	208.38	166.73	124.37	127.89	384.34	197.09	178.77	165.57	218.79	153.34	176.29	343.89	279.14	187.71	177.53	305.55	195.72	256.78	262.2	323.03	208.38	267.73	389.72	249.73	297.17	285.03	154.42	251.48	285.03	206.94	158.79	242.88
APC	303.44	339.14	353.59	93.35	42.11	223.41	93.35	217.27	105.89	28.45	244.57	107.38	111.99	83.45	29.06	40.64	221.86	101.54	60.82	111.21	170.25	167.9	88.88	72.52	58.71	56.28	190.34	90.77	55.49	105.89	112.77	63.0	94.67	217.27	139.07	74.06	98.73	140.04	100.13	150.17	130.6	169.07	115.16	180.02	202.66	279.14	193.01	90.77	77.25	134.3	106.63	89.51	72.52	185.11
ARMC8	728.11	555.41	848.22	414.87	195.72	595.34	323.03	551.56	420.68	265.87	514.56	435.55	417.77	373.81	260.38	271.48	529.06	332.14	305.55	420.68	521.76	466.88	351.14	301.33	332.14	307.69	599.49	395.18	307.69	400.71	460.44	325.29	361.04	525.39	438.59	521.76	356.05	559.28	387.02	514.56	460.44	551.56	500.46	507.46	529.06	518.15	497.0	457.25	387.02	389.72	486.75	356.05	312.0	429.54
ATE1	503.95	543.96	674.59	248.0	151.22	529.06	248.0	665.29	341.51	148.09	521.76	279.14	323.03	236.21	88.26	167.9	559.28	256.78	175.07	307.69	473.41	397.93	318.57	175.07	178.77	142.01	507.46	283.05	169.07	277.2	312.0	195.72	239.52	470.14	384.34	412.0	273.37	450.94	316.37	444.72	336.79	305.55	397.93	525.39	460.44	563.18	379.04	435.55	361.04	285.03	356.05	329.84	185.11	329.84
BAG5	825.0	728.11	842.36	379.04	244.57	466.88	312.0	633.73	351.14	232.94	521.76	303.44	325.29	348.71	228.13	205.5	460.44	332.14	318.57	341.51	486.75	486.75	343.89	289.02	277.2	228.13	607.87	303.44	246.28	301.33	341.51	348.71	260.38	500.46	387.02	277.2	327.56	406.31	353.59	423.61	332.14	432.53	343.89	429.54	540.19	514.56	483.38	417.77	301.33	392.44	387.02	356.05	228.13	237.86
BBS7	277.2	291.04	392.44	156.59	98.73	215.77	128.79	258.57	166.73	124.37	237.86	175.07	187.71	130.6	54.33	87.03	226.54	111.99	116.78	178.77	183.82	214.27	139.07	107.38	102.25	74.06	218.79	135.24	105.89	125.24	154.42	105.15	132.44	231.32	190.34	189.02	107.38	194.36	149.12	190.34	166.73	197.09	143.01	204.07	212.78	164.42	154.42	171.45	112.77	175.07	145.02	141.02	99.43	146.03
