	TCGA.44.2657.11A.01R.1758.07	TCGA.49.4512.11A.01R.1858.07	TCGA.55.6983.11A.01R.1949.07	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.11NSD.0326.SM.5A5LS	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.ZT9X.0326.SM.51MTE	GTEX.X585.1026.SM.46MW6	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.145MO.1326.SM.5Q5EF	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU	TCGA.77.7337.11A.01R.2045.07	TCGA.56.8309.11A.01R.2296.07
ACBD6	616.37	688.78	480.04	327.56	497.0	612.11	228.13	348.71	381.68	860.08	607.87	607.87	703.28	343.89	327.56	769.69	587.13	450.94	708.18	503.95	323.03	620.67	146.03	384.34	769.69	420.68	151.22	521.76	1015.93	684.02	341.51	423.61	178.77	583.07	507.46	688.78	620.67	587.13	743.43	320.8	642.59	612.11	497.0	713.11	518.15	743.43	543.96	693.58	848.22	651.58	299.25	356.05	125.24	563.18	336.79	320.8	237.86	633.73	368.65	579.04	555.41
ADCK2	591.22	647.07	444.72	154.42	547.75	476.71	127.0	511.0	583.07	638.15	559.28	616.37	480.04	172.65	414.87	571.05	684.02	351.14	463.65	753.83	205.5	237.86	285.03	178.77	587.13	420.68	305.55	309.83	733.19	555.41	194.36	450.94	205.5	612.11	518.15	301.33	329.84	293.07	733.19	343.89	769.69	551.56	521.76	587.13	947.83	629.35	902.89	624.99	629.35	660.68	371.22	251.48	128.79	406.31	361.04	267.73	320.8	629.35	334.46	432.53	466.88
AHCY	1963.57	2502.97	1529.73	579.04	1674.06	988.12	651.58	1397.83	842.36	2485.67	2090.03	1340.84	1127.35	656.11	947.83	3639.7	1088.92	1322.37	1417.35	1651.0	454.09	616.37	665.29	775.05	1250.98	819.3	684.02	1340.84	3280.18	2520.38	521.76	988.12	532.74	1896.65	981.29	1594.73	1151.06	1417.35	1457.23	674.59	2591.27	796.86	1233.75	3235.01	1709.26	2835.7	1639.59	896.64	1583.71	2240.11	591.22	624.99	723.08	1561.89	813.63	825.0	1008.9	3690.52	660.68	1199.98	1259.69
AKR7A2	1268.46	1583.71	1001.93	591.22	1313.23	1119.56	429.54	848.22	1044.52	1896.65	1806.78	1313.23	1350.18	392.44	890.44	1594.73	1191.69	860.08	1721.16	1407.55	769.69	470.14	759.08	718.08	988.12	1096.5	466.88	748.61	2178.83	1073.91	693.58	753.83	426.57	1359.57	1322.37	567.1	1183.45	748.61	1208.34	928.3	1991.0	1359.57	1268.46	1529.73	1508.65	1191.69	1233.75	1167.14	995.0	1540.37	759.08	656.11	289.02	775.05	638.15	836.53	314.17	1936.53	909.17	830.75	1208.34
AP1S1	988.12	1605.83	878.17	373.81	941.27	830.75	242.88	791.35	791.35	2193.99	1015.93	878.17	703.28	255.0	507.46	2664.15	836.53	1127.35	1322.37	1008.9	543.96	255.0	435.55	559.28	785.88	713.11	406.31	708.18	2018.8	1340.84	376.41	915.51	307.69	1467.37	974.5	703.28	775.05	480.04	1605.83	830.75	1551.09	848.22	967.76	1427.22	1498.22	1331.57	1167.14	698.41	1167.14	954.43	563.18	559.28	191.67	830.75	624.99	688.78	412.0	1674.06	525.39	629.35	961.07
APEX1	2915.45	2956.17	2319.15	1208.34	3665.02	2502.97	1378.57	1870.53	1487.87	3794.3	3081.75	2224.63	2468.49	1378.57	1127.35	4298.64	1721.16	2777.33	3103.19	2367.9	1487.87	2319.15	723.08	1651.0	4095.0	1457.23	1119.56	1572.76	4181.07	3768.09	1378.57	1909.85	961.07	3564.78	2701.35	2537.92	1977.24	2319.15	3419.52	1794.29	4607.24	2255.7	1639.59	3768.09	2739.08	3901.01	4802.93	1923.14	2816.11	3303.0	1015.93	1135.2	808.0	2351.53	1605.83	1551.09	1208.34	4123.49	1561.89	2032.85	2400.97
ARPC4	6840.04	6983.79	5076.84	2816.11	6652.97	4704.07	2520.38	5255.91	5555.65	6652.97	6207.38	4869.99	4512.4	2367.9	2855.44	10084.54	5255.91	7130.55	7857.29	6079.61	3639.7	4512.4	2193.99	5219.6	6250.56	3257.52	2163.77	3665.02	9088.59	6935.54	3928.15	2956.17	2485.67	5147.73	4769.75	3515.68	3794.3	5711.87	7803.01	4181.07	5555.65	5076.84	5672.41	6652.97	4972.34	6426.31	10084.54	4704.07	4671.57	4123.49	3349.13	3742.05	2047.0	3540.14	3768.09	3564.78	2119.22	7803.01	2875.3	5219.6	4972.34
ASNA1	1950.0	2119.22	1529.73	825.0	3039.3	1651.0	796.86	1340.84	1551.09	2682.69	1950.0	1950.0	1427.22	616.37	769.69	3325.99	1498.22	1583.71	2384.37	2485.67	759.08	954.43	587.13	1369.04	1896.65	915.51	995.0	1059.11	3018.3	2384.37	1081.39	1127.35	454.09	2400.97	1447.15	1477.58	1286.18	1378.57	1794.29	941.27	2609.3	1991.0	1651.0	2816.11	2209.26	2720.15	2451.44	1745.2	2255.7	2451.44	791.35	988.12	656.11	1159.07	988.12	1104.13	607.87	2319.15	890.44	1417.35	1769.57
BANF1	4512.4	4972.34	3372.43	2224.63	4836.35	2720.15	1551.09	4769.75	4769.75	4802.93	3515.68	4575.41	4268.94	1487.87	2335.28	6652.97	3639.7	3955.48	5403.7	5147.73	1832.01	2417.67	2573.36	3794.3	2537.92	2193.99	1909.85	3039.3	5517.27	4123.49	2255.7	1936.53	1963.57	3325.99	2875.3	2400.97	3716.2	3235.01	3325.99	1977.24	6207.38	5112.16	5006.93	4481.23	2997.45	3665.02	7966.99	5751.61	5183.54	2997.45	2664.15	2739.08	1819.35	1175.27	2855.44	2240.11	1199.98	4802.93	2119.22	3280.18	4268.94
BUD31	2193.99	3018.3	2090.03	1498.22	2591.27	2895.31	2104.58	2287.2	1651.0	2047.0	3039.3	1721.16	1832.01	1662.49	1096.5	3716.2	1242.34	2104.58	2303.12	2335.28	1407.55	3190.46	1015.93	2240.11	1950.0	1674.06	1896.65	1417.35	2240.11	1662.49	1081.39	1127.35	1350.18	1950.0	1023.0	1250.98	2451.44	2335.28	2976.74	915.51	4066.71	3103.19	2163.77	3060.45	1605.83	1923.14	4328.55	2796.65	1857.6	1397.83	802.41	1540.37	3103.19	934.76	1498.22	703.28	2119.22	2573.36	1331.57	2075.59	2367.9
CDK4	3443.31	3614.55	2148.82	1151.06	3303.0	1540.37	1088.92	1583.71	1242.34	3443.31	2148.82	2591.27	1674.06	1963.57	1225.22	5672.41	1769.57	2591.27	2384.37	2520.38	878.17	1529.73	769.69	1806.78	2956.17	1832.01	1508.65	1757.34	5672.41	3443.31	866.07	1073.91	1183.45	1733.13	1594.73	2148.82	1159.07	1936.53	2090.03	890.44	3349.13	1781.89	1870.53	3325.99	1977.24	2997.45	4736.79	1447.15	3564.78	2777.33	854.13	1088.92	1119.56	1259.69	1286.18	1066.48	1183.45	3901.01	884.29	2209.26	1651.0
