	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.YB5E.0926.SM.4WWDQ	GTEX.UJMC.0926.SM.4IHLK	GTEX.11XUK.0826.SM.5GU6P	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.ZVP2.0626.SM.51MSO	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.11NUK.1226.SM.5P9GM	GTEX.14E1K.0326.SM.5S2PE	GTEX.11ZVC.0726.SM.5FQT9	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACTB	88905.42	52135.28	191899.64	520665.48	280957.98	143430.26	163620.18	236256.4	189257.69	74243.68	83528.61	65990.84	51062.33	39510.91	51062.33	54349.29	54349.29	56657.31	39785.74	64186.29	69753.56	38164.99	36357.37	25887.07	30572.63	76861.91	163620.18	69271.73	140478.49	162489.97	136637.07	81244.48	136637.07	108699.57	110983.6
AP2S1	8479.89	2777.33	6079.61	16383.0	10512.82	6652.97	7180.15	6607.01	8078.22	4671.57	5006.93	3103.19	3257.52	3303.0	2434.5	2384.37	2895.31	2720.15	3325.99	2485.67	3540.14	1794.29	2997.45	2178.83	1896.65	2400.97	8479.89	3146.52	7130.55	5147.73	3639.7	3372.43	7331.05	6426.31	8078.22
APEX2	693.58	232.94	426.57	493.56	780.44	400.71	387.02	813.63	460.44	356.05	417.77	435.55	199.85	189.02	239.52	211.31	185.11	242.88	171.45	143.01	218.79	217.27	122.64	223.41	145.02	389.72	656.11	339.14	660.68	693.58	567.1	470.14	587.13	595.34	507.46
ARHGDIA	10368.08	5633.22	9279.58	18950.18	12415.75	7081.29	8718.32	9606.86	7857.29	6840.04	7130.55	8538.88	6471.02	5995.9	6652.97	6294.04	5555.65	7180.15	5329.3	6699.25	7589.61	3039.3	5954.47	3639.7	5913.33	7857.29	11112.3	8598.28	11504.21	7589.61	8305.36	6164.49	11035.54	9474.59	9945.68
CAPG	24490.61	575.03	9808.75	15824.9	15180.22	6983.79	9215.48	10368.08	20737.16	7382.04	6471.02	4010.71	68.55	260.38	111.21	915.51	244.57	332.14	87.03	100.83	624.99	75.11	285.03	45.53	117.6	6652.97	13968.57	3190.46	14971.21	10883.59	10440.2	5913.33	14065.74	10659.59	11504.21
CAPZB	7433.4	2573.36	9151.82	8078.22	8840.04	8191.0	8901.53	7749.1	9215.48	4736.79	4671.57	4481.23	2502.97	2816.11	2502.97	2627.46	2502.97	2627.46	2319.15	1977.24	3742.05	1733.13	1806.78	2537.92	1583.71	5292.48	10512.82	4972.34	10014.87	7642.41	7331.05	5791.62	9088.59	7642.41	8363.13
CENPB	1001.93	842.36	1378.57	2875.3	1295.13	1313.23	791.35	1794.29	1015.93	836.53	981.29	1030.12	620.67	674.59	775.05	713.11	656.11	878.17	708.18	567.1	679.29	483.38	409.15	587.13	647.07	921.88	1369.04	902.89	1250.98	1561.89	1250.98	884.29	1721.16	1819.35	1498.22
CFL1	19892.37	9025.81	25708.25	48982.22	36106.23	31870.96	20881.4	32315.87	19348.38	15180.22	15715.58	15285.81	10368.08	9474.59	9540.5	8538.88	9279.58	10296.45	7911.95	7081.29	13586.57	6699.25	5913.33	8538.88	6250.56	13586.57	39237.98	17804.06	35609.13	31870.96	24660.96	18304.63	25530.66	27553.49	27745.15
CNP	3928.15	854.13	2468.49	1304.15	1794.29	1870.53	2384.37	2209.26	2240.11	1359.57	1199.98	1369.04	698.41	796.86	769.69	921.88	915.51	896.64	708.18	665.29	1104.13	665.29	830.75	1001.93	1059.11	1508.65	1551.09	902.89	2018.8	1081.39	1709.26	1088.92	2777.33	1909.85	1745.2
CSNK2B	5076.84	4038.61	6250.56	9606.86	8421.31	5633.22	6381.92	6471.02	5751.61	4802.93	5555.65	4268.94	3103.19	3901.01	3491.39	4575.41	4704.07	3901.01	3768.09	2956.17	3874.05	2303.12	4512.4	3168.41	3491.39	4671.57	7230.1	3982.99	8658.09	5112.16	4639.29	5633.22	7081.29	5517.27	8134.41
