	TCGA.AC.A3BB.01A.21R.A19W.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.BH.A0W7.01A.11R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.VS.A9UV.01A.11R.A42T.07	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.22.1016.01A.01R.0692.07
AC112715.2	20.11	5.32	3.99	11.73	7.75	7.69	0.0	0.0	0.0	4.1	0.0	0.0	0.0	4.39
AEBP1	16843.62	11345.82	5633.22	15075.35	12676.65	14663.09	412.0	2148.82	2319.15	928.3	551.56	0.0	1.17	4268.94
ARMC9	264.03	698.41	209.84	447.82	470.14	281.09	47.84	63.89	95.34	75.64	72.01	0.0	0.0	214.27
ARRB1	698.41	764.36	860.08	444.72	571.05	490.14	74.06	186.4	305.55	35.5	68.07	0.0	0.52	403.5
ATG16L1	607.87	638.15	775.05	555.41	603.67	559.28	277.2	503.95	463.65	228.13	348.71	392.44	151.22	358.54
BBS5	197.09	258.57	170.25	145.02	165.57	147.06	46.18	89.51	150.17	34.02	35.25	0.0	0.43	161.02
C10orf85	9.85	18.7	2.23	21.63	15.0	8.99	0.0	0.0	1.79	0.99	0.37	0.0	0.0	1.11
C6ORF165	14.24	293.07	4.7	66.18	142.01	31.45	0.85	1.93	4.5	0.93	2.76	0.0	0.0	14.45
CA12	2591.27	2520.38	1857.6	5076.84	1350.18	4769.75	688.78	1963.57	1143.1	890.44	2451.44	226.54	53.95	81.14
CCDC125	218.79	497.0	417.77	348.71	476.71	460.44	147.06	134.3	145.02	31.67	110.43	0.0	0.26	111.21
CCDC170	121.79	397.93	191.67	336.79	195.72	59.55	1.14	7.63	3.66	0.91	3.0	0.0	0.0	17.0
CDH11	1313.23	4210.15	1397.83	2485.67	2573.36	3212.66	43.94	121.79	56.68	194.36	320.8	301.33	131.51	1304.15
COL5A2	3081.75	5403.7	1923.14	3955.48	3395.89	5366.37	123.5	343.89	651.58	381.68	329.84	0.0	0.96	1896.65
COL8A2	860.08	941.27	529.06	1242.34	909.17	669.92	145.02	37.85	69.52	60.82	329.84	0.0	0.39	96.68
CPEB2	234.57	332.14	295.11	285.03	197.09	309.83	34.51	205.5	241.19	145.02	110.43	0.0	0.51	185.11
CPN2	1.95	9.63	2.56	3.35	4.35	2.46	0.0	2.97	0.48	0.0	0.0	0.0	0.01	1.33
CSRP2BP	220.32	361.04	309.83	246.28	295.11	246.28	141.02	178.77	229.72	111.21	177.53	0.0	0.0	183.82
CTHRC1	4903.87	5292.48	1651.0	4450.27	5183.54	3443.31	90.77	70.51	92.7	555.41	514.56	0.0	0.15	1350.18
CTSK	9088.59	7589.61	4671.57	8538.88	6426.31	6840.04	215.77	1044.52	679.29	555.41	507.46	0.0	0.45	915.51
DALRD3	1594.73	1119.56	1044.52	1447.15	1832.01	1583.71	334.46	854.13	988.12	269.6	244.57	0.0	0.15	629.35
DKFZP761J1410	638.15	555.41	476.71	480.04	651.58	708.18	327.56	363.56	591.22	363.56	204.07	0.0	0.96	591.22
DOPEY2	503.95	575.03	698.41	258.57	356.05	693.58	96.01	450.94	353.59	21.01	78.89	0.0	0.37	153.34
EFTUD1	320.8	353.59	336.79	336.79	289.02	409.15	135.24	214.27	209.84	191.67	217.27	0.0	0.13	293.07
ENOX1	53.57	104.42	68.55	94.67	59.55	37.85	2.41	2.92	4.62	2.97	5.19	0.0	0.25	33.78
FAM184B	4.9	59.55	7.82	205.5	18.97	28.04	0.0	1.68	1.07	0.0	1.36	0.0	0.06	1.03
FAM198B	1151.06	2193.99	1519.15	1529.73	1447.15	1561.89	32.82	133.36	114.36	33.54	119.26	0.0	0.38	260.38
FAM229B	438.59	1111.82	358.54	571.05	802.41	460.44	77.25	153.34	253.23	95.34	84.63	0.0	0.28	291.04
FAP	1662.49	1697.45	836.53	1832.01	1551.09	1529.73	35.5	46.5	41.81	813.63	65.26	0.0	0.16	591.22
FBN1	1896.65	3018.3	1819.35	2485.67	2271.4	3742.05	71.0	371.22	389.72	115.97	262.2	0.0	0.89	967.76
FGF16	17.64	28.24	3.76	26.67	6.01	9.27	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.72
FGF18	49.56	41.52	35.0	40.36	96.01	32.13	1.14	5.19	8.78	0.68	3.2	0.0	0.17	29.06
FIBIN	373.81	679.29	336.79	693.58	303.44	395.18	12.64	118.43	198.47	4.21	4.98	0.0	0.07	108.14
FKBP7	466.88	543.96	480.04	497.0	669.92	483.38	148.09	91.41	116.78	67.59	55.49	0.0	0.48	441.64
FTCDNL1	92.7	60.82	40.07	64.34	55.49	96.68	7.57	12.83	13.32	1.58	0.0	0.0	0.0	31.22
GLT8D2	547.75	738.29	511.0	728.11	555.41	607.87	27.25	113.56	162.14	54.33	54.33	0.0	0.28	186.4
GLYATL2	12.93	31.45	84.63	52.45	32.82	37.05	0.0	2.29	8.25	0.0	5.23	0.0	0.0	1.81
GRP	536.45	493.56	76.17	571.05	480.04	373.81	5.32	2.07	0.0	23.76	0.0	0.0	0.05	29.48
HCFC1R1	4802.93	3491.39	2335.28	5672.41	5041.77	2555.58	1685.71	921.88	1498.22	1674.06	921.88	0.0	0.51	1844.76
HHAT	205.5	314.17	143.01	256.78	229.72	242.88	32.36	69.52	75.11	21.16	42.41	0.0	0.18	102.25
HTRA1	16496.96	11035.54	7230.1	11992.79	16157.44	7749.1	518.15	1104.13	1127.35	1617.0	1001.93	0.0	0.69	1883.54
IDH2	6607.01	3395.89	3257.52	3018.3	4123.49	5041.77	2417.67	1417.35	3564.78	1963.57	2004.85	1427.22	463.65	2645.74
IQUB	10.0	199.85	6.21	28.24	21.63	23.76	2.18	1.08	3.76	1.08	2.05	0.0	0.0	3.11
ITGA11	500.46	1175.27	194.36	647.07	563.18	738.29	14.89	25.35	68.55	19.11	24.81	0.0	0.49	73.54
KCNH1	8.13	38.4	4.43	7.75	6.16	85.82	0.29	2.01	8.65	0.0	1.19	0.0	0.1	0.44
KERA	29.91	39.5	15.68	48.87	50.98	26.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69
LCMT2	189.02	255.0	262.2	223.41	244.57	234.57	87.65	165.57	134.3	92.05	149.12	0.0	0.0	181.28
