	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.12C56.1226.SM.5FQSU	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.X3Y1.1326.SM.4PQZB	GTEX.13OVI.2626.SM.5KM4T	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.U3ZM.0526.SM.4DXTB	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.QV44.1126.SM.4R1KO	GTEX.14AS3.0626.SM.5QGQD	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.7089.01A.11R.2016.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.7423.11A.01R.2081.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.35.4122.01A.01R.1107.07	TCGA.38.4629.01A.02R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZT9W.2126.SM.51MSF
ABCA5	48.87	435.55	106.63	373.81	368.65	159.9	473.41	158.79	414.87	389.72	503.95	279.14	351.14	156.59	426.57	102.25	629.35	830.75	813.63	551.56	764.36	497.0	723.08	490.14	511.0	575.03	753.83	629.35	163.28	98.04	23.42	141.02	49.91	426.57	262.2	186.4	309.83	215.77	0.0	0.73	27.44	49.21	55.1	194.36	253.23	155.5	120.94	229.72
ABCA7	33.54	460.44	486.75	1008.9	665.29	255.0	409.15	587.13	688.78	454.09	753.83	698.41	728.11	236.21	830.75	139.07	420.68	1081.39	438.59	547.75	325.29	201.25	441.64	361.04	368.65	470.14	249.73	575.03	141.02	65.72	176.29	256.78	81.14	376.41	271.48	277.2	143.01	127.0	0.0	0.82	76.71	226.54	29.27	172.65	353.59	1104.13	202.66	267.73
ABR	163.28	1427.22	490.14	1963.57	3060.45	860.08	2451.44	2075.59	1950.0	2240.11	3589.58	2645.74	1685.71	1242.34	3060.45	780.44	2777.33	3168.41	2193.99	4066.71	2915.45	2209.26	3060.45	2400.97	2591.27	2367.9	2417.67	1697.45	555.41	307.69	547.75	1286.18	361.04	1733.13	656.11	1242.34	1757.34	743.43	0.0	1.03	603.67	1225.22	297.17	269.6	2796.65	802.41	2855.44	1313.23
AC132872.2	0.0	5.59	5.82	15.91	12.64	5.77	22.92	8.85	23.93	14.35	17.25	28.24	13.93	18.16	9.93	5.06	29.91	43.94	13.42	20.71	36.53	16.63	22.26	28.65	9.56	19.25	28.65	19.25	2.2	3.44	1.81	1.03	2.61	10.24	3.44	0.0	4.86	4.03	0.0	0.58	4.1	11.91	1.06	0.0	4.24	4.82	4.62	0.31
ADAT3	13.52	476.71	36.01	332.14	325.29	202.66	133.36	389.72	101.54	125.24	199.85	281.09	101.54	108.9	283.05	90.77	199.85	251.48	209.84	253.23	217.27	234.57	279.14	212.78	145.02	189.02	181.28	191.67	17.51	41.52	129.69	123.5	3.06	48.18	53.57	102.25	119.26	53.57	0.0	0.54	15.91	31.22	4.74	59.55	50.27	37.32	111.99	159.9
AF131215.5	0.0	0.55	0.0	1.51	1.48	0.0	2.68	0.16	1.97	0.37	0.95	1.69	0.54	0.29	2.43	0.0	2.73	8.32	6.62	0.0	4.7	3.44	3.35	5.15	3.38	6.46	3.63	11.73	0.0	0.0	0.0	0.0	0.46	0.65	0.0	0.59	1.1	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.44	0.42	0.0
AL118506.1	0.0	18.7	1.81	37.05	38.4	5.82	92.05	15.11	59.97	23.76	67.12	43.94	14.14	24.99	40.64	5.87	67.12	72.52	77.79	87.65	61.68	86.43	58.71	50.27	26.1	88.88	52.45	65.72	5.02	1.53	3.47	14.78	6.84	25.91	5.32	2.36	5.5	12.27	0.0	0.09	0.0	1.46	0.0	6.67	24.46	12.0	11.13	6.11
ANKHD1	603.67	1819.35	603.67	1359.57	1529.73	1183.45	2148.82	1081.39	1685.71	1388.16	1498.22	1417.35	1359.57	1159.07	1529.73	384.34	2090.03	2018.8	2075.59	2119.22	2061.24	1639.59	2104.58	1781.89	2090.03	2240.11	1896.65	1896.65	371.22	214.27	579.04	928.3	277.2	1594.73	921.88	896.64	1073.91	559.28	0.0	1.07	351.14	454.09	323.03	656.11	1369.04	1096.5	1467.37	961.07
ANKRD11	206.94	954.43	376.41	1023.0	1030.12	1044.52	1088.92	995.0	1066.48	1135.2	1008.9	974.5	1030.12	981.29	1066.48	688.78	1417.35	1199.98	1313.23	2047.0	1359.57	1388.16	1350.18	1250.98	1119.56	1757.34	1051.79	1096.5	204.07	314.17	507.46	967.76	358.54	974.5	679.29	780.44	733.19	511.0	0.0	0.93	221.86	397.93	161.02	281.09	1096.5	669.92	1467.37	819.3
ANKRD12	35.5	312.0	44.89	194.36	146.03	84.04	253.23	88.26	212.78	189.02	161.02	164.42	212.78	61.25	189.02	120.1	376.41	346.29	507.46	376.41	409.15	343.89	329.84	271.48	387.02	438.59	368.65	293.07	110.43	26.1	66.18	102.25	57.08	307.69	212.78	152.28	191.67	119.26	0.0	0.49	44.57	55.49	22.43	75.64	320.8	132.44	155.5	147.06
ANKRD20A2	0.0	19.97	1.06	35.25	13.52	0.0	0.0	0.0	19.53	16.51	31.9	6.67	8.71	0.52	10.96	0.35	16.51	17.38	29.91	35.76	27.44	33.78	7.17	37.59	12.74	25.72	55.49	17.38	0.0	0.38	0.0	10.79	0.0	17.64	2.03	1.31	12.09	29.48	0.0	0.0	1.51	0.0	0.0	3.76	12.36	2.18	5.36	2.39
ANKRD28	153.34	226.54	133.36	211.31	309.83	177.53	381.68	176.29	297.17	221.86	237.86	242.88	316.37	244.57	264.03	94.67	503.95	395.18	483.38	579.04	429.54	406.31	423.61	432.53	389.72	660.68	371.22	265.87	85.22	98.04	163.28	197.09	109.66	417.77	389.72	214.27	373.81	153.34	0.0	0.42	150.17	251.48	49.21	78.34	291.04	289.02	183.82	271.48
ANKRD9	60.39	830.75	305.55	312.0	387.02	748.61	353.59	532.74	231.32	190.34	343.89	466.88	217.27	473.41	595.34	368.65	371.22	473.41	417.77	409.15	551.56	529.06	511.0	500.46	287.01	395.18	327.56	444.72	138.1	71.5	98.73	147.06	124.37	85.22	363.56	94.01	246.28	64.8	0.0	0.52	52.45	183.82	36.01	205.5	78.34	172.65	85.82	102.97
ANXA1	25354.3	1970321.01	23169.48	447025.24	721179.07	573724.06	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	365622.68	1364554.84	5147.73	174152.51	168220.2	244588.0	152662.96	194578.47	269512.87	211455.3	205673.01	239554.43	141455.6	279017.26	294926.33	167058.21	12244.81	22692.63	174152.51	30572.63	324980.94	197294.7	139508.13	215898.44	437825.58	12076.21	400.71	39510.91	6840.04	55107.99	26614.89	958220.73	834179.46	863596.77	789181.81
ARID4A	34.51	234.57	56.28	189.02	123.5	79.45	215.77	111.99	183.82	157.68	120.94	130.6	183.82	91.41	152.28	61.68	412.0	301.33	323.03	237.86	332.14	318.57	249.73	289.02	229.72	343.89	447.82	316.37	70.01	30.78	24.99	73.03	48.18	135.24	85.22	80.01	106.63	84.63	0.0	0.35	39.79	53.57	49.56	75.11	84.63	63.0	67.12	134.3
BAZ2B	34.51	151.22	61.68	420.68	334.46	130.6	511.0	237.86	435.55	325.29	444.72	376.41	397.93	264.03	444.72	119.26	679.29	718.08	813.63	624.99	563.18	698.41	738.29	540.19	656.11	665.29	866.07	688.78	140.04	86.43	34.02	177.53	72.52	395.18	198.47	199.85	269.6	279.14	0.0	0.49	74.58	71.5	40.07	101.54	327.56	147.06	169.07	120.94
BPTF	185.11	521.76	312.0	769.69	802.41	559.28	1081.39	612.11	830.75	915.51	934.76	764.36	708.18	819.3	791.35	223.41	1167.14	974.5	915.51	1111.82	988.12	802.41	1073.91	878.17	1135.2	974.5	1119.56	890.44	182.55	183.82	297.17	536.45	112.77	791.35	384.34	470.14	454.09	234.57	0.0	0.73	139.07	389.72	78.89	251.48	579.04	291.04	435.55	454.09
C10orf118	31.45	325.29	57.49	204.07	120.1	87.03	267.73	63.89	183.82	141.02	161.02	138.1	204.07	104.42	166.73	64.8	521.76	403.5	500.46	371.22	409.15	397.93	429.54	441.64	400.71	547.75	470.14	414.87	163.28	62.12	76.71	170.25	73.03	356.05	171.45	131.51	220.32	348.71	0.0	0.32	122.64	68.55	106.63	132.44	444.72	241.19	301.33	248.0
C1orf210	0.0	2796.65	28.86	132.44	64.34	21.47	32.59	71.5	40.64	20.86	113.56	195.72	156.59	13.22	91.41	0.0	567.1	521.76	591.22	595.34	511.0	483.38	447.82	447.82	591.22	497.0	511.0	674.59	182.55	137.14	47.84	258.57	138.1	356.05	221.86	293.07	301.33	674.59	0.0	0.0	281.09	127.0	15.8	373.81	466.88	392.44	260.38	277.2
CARD14	1.87	6935.54	7.46	1081.39	2193.99	260.38	1991.0	738.29	1044.52	620.67	2271.4	5831.91	603.67	82.29	9673.69	4.21	346.29	612.11	371.22	483.38	651.58	381.68	343.89	480.04	368.65	444.72	395.18	438.59	90.77	26.86	4.43	260.38	31.67	358.54	85.82	224.97	267.73	260.38	0.0	0.73	20.71	44.89	66.65	53.57	1437.15	283.05	1883.54	656.11
CASZ1	8.71	1066.48	100.13	371.22	417.77	291.04	470.14	373.81	368.65	392.44	444.72	536.45	389.72	260.38	507.46	214.27	612.11	819.3	698.41	780.44	954.43	579.04	764.36	1001.93	688.78	743.43	733.19	836.53	115.16	22.59	111.99	334.46	40.93	466.88	429.54	438.59	438.59	193.01	0.0	0.58	24.63	39.22	38.95	62.12	547.75	356.05	444.72	307.69
CCDC120	50.27	1104.13	81.71	1030.12	2573.36	279.14	2004.85	1059.11	1259.69	1183.45	2777.33	2935.74	1369.04	163.28	3349.13	47.5	961.07	1127.35	967.76	1008.9	1397.83	934.76	1119.56	1286.18	775.05	1183.45	909.17	1001.93	86.43	19.39	185.11	476.71	58.71	688.78	363.56	563.18	503.95	329.84	0.0	0.58	45.21	52.08	38.67	63.89	2018.8	961.07	1572.76	1369.04
CCDC64	10.55	1583.71	39.5	438.59	1151.06	267.73	753.83	507.46	476.71	70.51	713.11	1199.98	309.83	16.39	2351.53	40.64	674.59	1233.75	1350.18	1277.29	909.17	830.75	1304.15	688.78	1081.39	1295.13	723.08	988.12	79.45	51.35	64.34	255.0	24.46	551.56	129.69	205.5	379.04	267.73	0.0	0.57	124.37	40.07	35.76	204.07	941.27	660.68	633.73	1268.46
CD164L2	8.19	5292.48	10.24	341.51	2816.11	299.25	70.51	325.29	620.67	1199.98	2835.7	435.55	171.45	26.86	780.44	0.0	583.07	529.06	301.33	571.05	543.96	273.37	314.17	182.55	262.2	217.27	206.94	144.01	140.04	62.56	16.27	175.07	46.5	242.88	45.21	183.82	94.01	121.79	0.0	0.0	26.86	68.55	28.24	25.35	1628.26	371.22	511.0	1628.26
