	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4434.01A.01R.1206.07	TCGA.55.8621.01A.11R.2403.07	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.YJ8O.1826.SM.5HL82	GTEX.11ZTT.0626.SM.5EQLM	TCGA.56.8623.01A.11R.A28V.07	TCGA.21.5784.01A.01R.1635.07	TCGA.34.5234.01A.01R.1635.07	TCGA.43.7658.11A.01R.2125.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AC079354.1	0.0	0.0	0.27	1.38	0.0	0.0	0.0	0.0	0.29	0.0	20.11	99.43	193.01	96.68	72.52	220.32	251.48	102.25	249.73	105.89	27.05	22.92	78.34	1.66	1.6	0.0	0.0
AGER	74.06	112.77	120.94	176.29	96.01	109.66	169.07	177.53	156.59	0.0	155.5	16496.96	14461.21	69271.73	41763.8	56657.31	152662.96	21768.19	74243.68	21919.61	1277.29	466.88	80683.28	41.81	33.06	10.24	18.84
AGTR2	0.0	4.28	0.75	0.41	0.0	0.0	0.0	0.0	0.0	0.0	2.61	27.84	66.65	13.03	262.2	218.79	30.12	82.87	470.14	109.66	21.78	47.84	97.36	0.0	0.0	0.0	0.0
ARMC3	0.0	0.0	0.78	1.93	0.0	0.0	0.87	3.17	0.85	0.0	62.56	237.86	638.15	660.68	616.37	1331.57	1143.1	454.09	1119.56	363.56	141.02	76.71	283.05	1.11	0.0	0.59	0.25
ARMC4	2.36	0.07	8.99	2.92	0.0	2.1	0.0	0.95	3.69	0.0	29.91	150.17	514.56	466.88	642.59	1277.29	1037.29	325.29	909.17	260.38	75.64	56.68	223.41	17.0	2.63	11.64	1.51
ART4	2.48	6.89	1.23	9.7	0.0	0.0	1.08	4.1	1.91	0.0	18.84	26.67	67.12	43.02	111.21	129.69	33.06	85.82	329.84	24.99	27.05	25.54	42.41	32.36	8.38	6.94	3.56
C10orf10	642.59	514.56	295.11	1044.52	133.36	232.94	181.28	329.84	379.04	0.0	1628.26	2209.26	2502.97	17681.08	3443.31	4575.41	3303.0	11992.79	5255.91	12676.65	7749.1	2895.31	3372.43	293.07	607.87	392.44	825.0
C10orf107	1.51	18.7	4.82	1.83	14.56	0.09	0.18	0.09	0.4	0.0	48.18	141.02	848.22	511.0	454.09	995.0	1583.71	493.56	941.27	204.07	117.6	115.97	244.57	3.23	2.12	1.46	0.0
C15orf26	17.77	0.0	2.41	1.79	0.19	0.92	0.0	1.25	0.28	0.0	16.15	69.52	186.4	88.26	246.28	299.25	195.72	70.51	264.03	106.63	55.89	41.22	118.43	1.69	5.92	0.0	2.94
C16orf71	3.72	18.03	24.63	4.82	4.1	0.95	7.06	4.94	8.06	0.0	41.81	112.77	633.73	171.45	226.54	647.07	379.04	180.02	406.31	246.28	83.45	59.97	204.07	3.5	2.86	12.93	19.11
C1orf141	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.1	0.0	0.0	13.52	64.34	119.26	68.07	123.5	106.63	152.28	21.94	214.27	74.06	27.44	79.45	26.28	0.0	0.0	0.0	0.0
C1orf173	6.46	16.51	0.31	0.0	0.0	0.34	0.0	0.0	0.46	0.0	24.63	262.2	555.41	543.96	547.75	896.64	915.51	285.03	872.1	339.14	48.18	27.44	269.6	1.97	0.32	2.53	5.02
C1orf189	0.0	127.89	3.44	2.32	3.69	2.51	0.0	0.0	0.0	0.0	28.04	159.9	802.41	366.09	368.65	1651.0	981.29	460.44	1051.79	271.48	244.57	291.04	187.71	0.0	13.12	0.0	0.0
C22orf15	9.13	46.18	0.79	9.93	0.42	0.14	2.03	7.11	3.82	0.0	54.72	277.2	723.08	684.02	420.68	1388.16	1175.27	389.72	733.19	435.55	201.25	204.07	289.02	8.78	0.0	0.0	0.0
C2orf40	16.03	14.24	114.36	205.5	0.0	3.53	140.04	17.13	728.11	0.0	191.67	507.46	5403.7	1183.45	3742.05	4736.79	4481.23	16960.78	5633.22	860.08	500.46	447.82	974.5	49.91	62.56	4.13	5.77
C2orf73	18.97	21.94	2.25	0.52	0.0	0.0	2.32	1.43	0.0	0.0	11.64	39.5	110.43	94.01	183.82	237.86	320.8	92.05	241.19	86.43	61.68	39.5	82.29	0.0	1.03	6.62	0.0
C6ORF165	10.0	7.4	7.94	3.69	1.41	1.93	4.31	3.03	1.97	0.0	36.79	173.85	583.07	149.12	387.02	1001.93	518.15	208.38	802.41	232.94	122.64	144.01	204.07	1.91	0.75	2.73	2.36
C7	10.16	4.39	105.89	684.02	8.45	11.64	118.43	10.24	728.11	0.0	1030.12	1936.53	2384.37	3060.45	3190.46	6607.01	3467.27	3395.89	8479.89	1794.29	1081.39	1199.98	1583.71	32.13	32.13	16.03	25.72
C9orf116	165.57	438.59	62.12	38.4	21.16	19.53	45.21	38.12	29.06	0.0	289.02	743.43	2178.83	1331.57	1350.18	3103.19	2835.7	854.13	1844.76	1277.29	780.44	785.88	1183.45	23.42	45.85	53.95	39.22
C9orf117	8.58	15.0	29.7	28.04	35.0	17.9	14.35	31.0	12.36	0.0	163.28	1340.84	902.89	921.88	651.58	1437.15	1594.73	540.19	928.3	3589.58	122.64	86.43	500.46	6.21	4.66	10.31	3.06
C9orf171	0.0	41.81	0.0	0.0	0.38	0.0	1.38	0.95	0.0	0.0	40.36	185.11	591.22	460.44	629.35	848.22	854.13	334.46	529.06	228.13	141.02	46.5	211.31	0.0	3.2	8.32	0.0
CACNA1D	17.51	20.11	7.75	9.7	1.16	1.57	5.77	20.71	7.22	0.0	53.19	69.52	173.85	109.66	148.09	269.6	108.14	251.48	579.04	90.14	30.56	10.08	87.03	2.18	1.51	0.99	1.48
CASC1	3.26	19.53	7.46	0.77	0.0	0.44	0.83	1.81	5.96	0.0	26.47	115.16	305.55	301.33	249.73	518.15	575.03	152.28	483.38	151.22	57.89	57.08	141.02	2.1	9.34	2.58	0.04
CATSPERD	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	64.34	237.86	1551.09	1059.11	1088.92	2303.12	1733.13	555.41	1447.15	412.0	198.47	1350.18	348.71	0.0	15.68	0.0	1.85
CCDC135	0.0	0.0	4.86	2.81	0.0	0.0	0.0	0.0	0.0	0.0	24.81	143.01	403.5	341.51	327.56	679.29	607.87	151.22	483.38	239.52	69.52	23.25	229.72	1.23	0.0	0.54	1.17
CCDC17	22.59	48.52	42.41	24.46	20.56	19.11	23.08	41.81	15.68	0.0	144.01	780.44	1674.06	1457.23	848.22	2400.97	3443.31	808.0	1151.06	1487.87	241.19	149.12	703.28	16.27	3.79	2.18	4.24
CCDC170	14.67	21.63	3.06	3.59	0.64	1.85	1.11	9.48	1.06	0.0	43.63	189.02	830.75	325.29	656.11	1350.18	1111.82	460.44	1745.2	239.52	85.22	81.14	265.87	1.58	3.56	2.58	0.91
CCDC173	4.35	1.48	1.55	0.75	0.34	0.0	0.18	0.67	0.0	0.0	13.22	74.58	314.17	329.84	438.59	607.87	532.74	211.31	599.49	153.34	30.56	14.24	150.17	1.79	1.04	0.06	3.5
CCDC181	1.81	15.8	3.76	3.69	1.46	0.0	1.46	1.97	0.73	0.0	17.13	100.83	379.04	361.04	379.04	579.04	500.46	150.17	587.13	133.36	62.56	34.26	127.0	3.89	0.42	0.27	1.14
CCDC42B	20.11	92.7	7.4	5.06	1.17	2.78	2.43	12.93	3.89	0.0	48.18	256.78	1313.23	1001.93	780.44	1628.26	2104.58	435.55	1088.92	733.19	201.25	151.22	409.15	2.97	1.75	12.36	4.24
CCDC65	80.57	6.57	13.22	13.52	6.01	4.03	7.46	6.01	10.71	0.0	75.64	190.34	728.11	373.81	518.15	896.64	775.05	373.81	830.75	299.25	119.26	121.79	332.14	17.38	5.87	2.86	9.27
CCDC78	37.05	27.84	24.28	31.0	20.26	101.54	19.39	34.75	18.56	0.0	376.41	1313.23	2384.37	2271.4	1369.04	4066.71	4736.79	1104.13	2240.11	2032.85	591.22	698.41	1175.27	1.0	0.57	2.81	1.16
CCL15-CCL14	5.82	1844.76	142.01	532.74	13.22	7.28	36.53	371.22	45.85	0.0	161.02	473.41	3901.01	6607.01	967.76	2287.2	1233.75	612.11	2609.3	397.93	785.88	301.33	441.64	17.51	15.91	27.64	314.17
CDHR3	84.04	98.04	4.5	7.69	5.11	2.66	1.14	13.03	1.55	0.0	102.97	780.44	2915.45	3081.75	1561.89	3716.2	4419.52	1540.37	3372.43	1111.82	205.5	199.85	974.5	39.22	12.74	11.04	11.73
CDHR4	4.13	4.9	7.88	11.38	1.87	3.59	3.26	12.0	7.94	0.0	100.83	395.18	1191.69	1331.57	896.64	2417.67	2400.97	669.92	1268.46	802.41	237.86	86.43	339.14	34.02	3.08	0.0	1.2
CHST9	3.03	20.26	28.24	11.55	0.0	0.0	2.58	3.76	11.21	0.0	31.0	211.31	1015.93	890.44	1259.69	3039.3	2434.5	884.29	2935.74	237.86	287.01	121.79	316.37	1.69	2.56	21.63	0.36
CNGA4	6.36	14.89	5.5	2.71	0.72	1.89	1.53	1.33	0.0	0.0	21.63	87.03	366.09	119.26	205.5	363.56	339.14	135.24	351.14	144.01	46.84	15.34	125.24	1.14	1.1	2.39	1.07
DNAH12	23.25	9.63	2.92	3.38	0.89	3.92	2.23	4.46	0.0	0.0	42.71	249.73	563.18	890.44	507.46	1447.15	1709.26	366.09	723.08	466.88	65.26	49.21	341.51	0.17	0.0	5.23	1.16
DNAH6	1.93	0.0	1.95	2.73	0.0	0.39	0.04	3.26	0.82	0.0	14.45	81.71	206.94	332.14	265.87	368.65	490.14	166.73	346.29	132.44	25.91	48.52	98.73	9.13	5.36	0.64	2.81
DNAI2	5.15	19.82	0.53	0.0	0.52	1.03	1.2	1.03	0.0	0.0	60.39	312.0	738.29	521.76	529.06	1073.91	1551.09	361.04	842.36	579.04	120.94	52.08	363.56	0.0	1.04	0.0	1.93
DRC1	0.0	0.0	3.99	0.84	0.73	0.79	2.68	35.76	0.0	0.0	56.68	217.27	872.1	457.25	718.08	1159.07	1081.39	299.25	954.43	376.41	126.12	45.53	351.14	7.06	0.72	2.58	2.05
DYDC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51	41.81	80.57	73.03	120.1	264.03	124.37	40.93	178.77	78.89	22.92	22.59	71.0	7.28	0.0	0.0	3.86
DYDC2	77.79	57.08	21.94	4.9	1.38	0.0	10.24	17.9	0.0	0.0	66.65	665.29	1498.22	532.74	813.63	1794.29	2351.53	612.11	1059.11	753.83	339.14	713.11	703.28	9.27	27.44	27.84	6.52
ECT2L	1.19	2.81	4.5	2.14	0.88	2.41	1.16	0.97	1.11	0.0	22.59	156.59	543.96	127.89	303.44	497.0	356.05	161.02	470.14	140.04	76.71	64.8	101.54	2.53	2.41	0.65	0.74
EFCAB10	13.22	22.1	27.84	6.21	5.63	4.86	14.35	7.11	7.06	0.0	50.27	147.06	612.11	351.14	403.5	934.76	884.29	299.25	866.07	236.21	105.15	173.85	236.21	2.89	11.47	1.89	0.0
