	TCGA.A6.5667.11A.01R.1723.07	GTEX.S7SF.1926.SM.4AT5B	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.WFG7.1526.SM.4LVMG	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.SE5C.1526.SM.4BRWU	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.145LT.0926.SM.5LU9C	GTEX.YEC3.2426.SM.5IFJR	GTEX.R55C.1126.SM.48FCJ	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.PX3G.1426.SM.48U1J	GTEX.11VI4.1526.SM.5EQKC	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NB.01A.12R.A266.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH
AAMP	2664.15	2997.45	3419.52	3039.3	3124.78	3190.46	2351.53	3146.52	2855.44	3103.19	2915.45	3018.3	3212.66	2816.11	2895.31	2976.74	2004.85	2032.85	1322.37	1594.73	1639.59	1617.0	1870.53	1572.76	1551.09	2720.15	1313.23	1857.6	2255.7	2451.44	1628.26	2468.49	1896.65	1572.76	2417.67	1487.87	2193.99	1697.45	1437.15	1781.89	2133.97
ACVRL1	1733.13	3235.01	2104.58	3280.18	1977.24	2816.11	2119.22	2224.63	2133.97	2032.85	1313.23	1781.89	1561.89	1923.14	2047.0	2209.26	287.01	351.14	37.85	65.72	59.55	18.7	33.78	29.27	111.99	56.68	35.0	60.39	105.89	100.83	62.56	120.1	32.36	48.52	84.04	49.21	62.12	48.52	66.18	20.41	28.86
ADD3	1832.01	1628.26	1605.83	1467.37	2148.82	1498.22	1540.37	2384.37	1519.15	1832.01	1304.15	1388.16	1617.0	1427.22	1628.26	2468.49	642.59	547.75	198.47	384.34	138.1	129.69	211.31	50.27	329.84	348.71	209.84	113.56	186.4	412.0	57.49	211.31	275.28	145.02	490.14	208.38	426.57	825.0	435.55	33.3	406.31
APOC3	0.0	7.51	0.0	2.12	2.53	15.56	3.96	65.72	1.64	12.93	12.93	36.79	4.86	17.25	21.32	13.52	151608.43	80125.95	9243449.07	7719092.49	5420519.65	5809569.18	4621724.04	4107985.47	7202167.89	8928583.23	2216726.5	7612821.45	3091765.64	3178687.03	5163792.94	1.24530853E7	5611673.89	3968052.37	3178687.03	3968052.37	1.032758687E7	1691649.38	7152418.87	1.09164457E7	4023444.33
ARHGAP44	713.11	1030.12	1417.35	1081.39	1127.35	981.29	915.51	1467.37	890.44	1233.75	620.67	896.64	1151.06	1167.14	738.29	1066.48	74.58	42.71	8.25	69.03	15.22	14.67	11.3	9.13	53.19	41.22	3.69	21.78	20.56	31.9	3.76	39.79	30.12	23.59	27.25	30.34	23.25	44.57	26.47	6.46	78.34
BTF3	14262.1	13123.73	12943.04	10808.41	14663.09	12853.63	13123.73	15180.22	10440.2	15075.35	14163.58	15075.35	17317.18	13968.57	13586.57	16727.26	11424.74	8658.09	10659.59	7537.18	5517.27	4481.23	6745.86	6652.97	7433.4	10084.54	5366.37	9945.68	7433.4	8479.89	5403.7	10296.45	8538.88	5329.3	8840.04	8901.53	7130.55	10808.41	6935.54	7749.1	9344.14
C1orf95	93.35	34.02	18.03	22.1	19.39	37.85	131.51	12.83	33.54	18.43	52.08	37.32	39.22	8.0	91.41	35.25	16.03	23.25	0.1	3.66	1.43	4.21	2.84	2.81	3.0	1.77	0.0	0.13	3.11	10.79	0.99	0.55	0.21	0.13	0.67	0.14	3.03	2.73	1.48	0.0	0.64
CACNA1F	9.63	11.3	24.11	32.59	13.22	23.42	17.13	12.93	26.86	20.41	14.14	8.45	9.78	10.39	5.63	15.56	4.21	1.5	0.45	2.43	3.17	6.52	0.0	0.0	0.13	0.0	1.39	0.09	1.46	3.89	0.0	0.47	0.13	0.89	0.13	0.49	0.36	0.0	0.46	2.63	0.0
CCDC134	63.45	94.67	51.71	80.01	90.14	68.55	94.01	89.51	65.26	123.5	92.7	96.68	55.1	92.7	107.38	82.87	38.67	66.18	43.94	18.56	19.11	26.47	18.16	24.28	24.99	40.07	31.45	29.7	47.84	42.71	46.5	47.5	33.06	38.95	41.81	32.82	75.64	27.25	21.63	31.0	10.55
CCT8	1870.53	2178.83	2209.26	2384.37	2956.17	1977.24	2119.22	2018.8	2303.12	2935.74	2417.67	2061.24	2417.67	2209.26	2468.49	2739.08	1963.57	1806.78	1216.75	1487.87	1030.12	1104.13	1175.27	1233.75	1030.12	974.5	1081.39	1295.13	1268.46	1427.22	1508.65	1437.15	1037.29	1322.37	1111.82	1167.14	1561.89	1322.37	1709.26	1059.11	1199.98
