	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2715.01A.01R.0851.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.DO.A1JZ.01A.11R.A13Y.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A3ZS.01A.12R.A23N.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.FY.A4B3.01A.11R.A23W.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.ET.A3BV.01A.11R.A19O.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.A5.A1OH.01A.21R.A22K.07
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.72	1.79	0.0	21.16	0.0	2.86	1.81	4.21	0.83	0.0	0.8	0.82	4.17	1.62	0.0	0.79	0.8	0.0	3.08	29.7
ABCC1	15.11	44.57	16.39	20.11	19.39	6.21	53.19	22.59	52.08	125.24	27.25	34.75	186.4	27.05	83.45	10.88	43.63	46.18	13.12	34.75	24.81	19.82	14.56	63.89	39.22	28.24	8.78	0.0	0.99	1151.06	540.19	500.46	723.08	1359.57	525.39	684.02	866.07	583.07	961.07	575.03	366.09	540.19	559.28	703.28	587.13	620.67	571.05	791.35	718.08	463.65
AC007956.1	1.71	0.0	0.0	15.45	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.38	0.0	5.19	8.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	7.75	0.0	0.0	0.0	0.0	0.0	5.73	8.19	0.0	13.42	18.56	12.09	0.0	0.0	3.66	0.0	1.79	0.0	9.34	0.0	32.36	0.0	7.22	12.74	12.18	0.0	10.63
AC112721.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	5.19	0.0	3.35	4.54	0.0	1.19	2.25	0.91	2.48	1.14	1.16	1.16	1.1	0.0	0.0	1.14	2.46	1.51	0.0
ADCK1	77.25	123.5	65.72	75.64	90.77	78.89	89.51	214.27	67.59	118.43	108.14	72.01	107.38	105.15	65.72	111.21	80.57	153.34	58.3	55.89	65.26	136.19	50.98	104.42	154.42	131.51	88.88	0.0	0.19	211.31	172.65	271.48	170.25	251.48	209.84	112.77	191.67	202.66	587.13	214.27	183.82	228.13	209.84	262.2	209.84	277.2	237.86	152.28	224.97	226.54
ADCYAP1R1	14.24	5.28	3.44	9.13	9.41	2.29	5.96	4.17	8.58	0.27	5.11	5.5	0.32	7.06	7.0	0.61	6.52	0.73	2.01	4.98	5.11	1.01	0.0	0.0	0.67	1.08	0.93	0.0	0.01	18.29	6.84	136.19	12.09	830.75	20.11	285.03	4.9	170.25	363.56	15.0	42.71	26.47	12.64	256.78	11.47	8.92	11.55	13.32	15.91	46.18
ALPP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.11	13.72	77.79	55.1	6.46	86.43	0.0	0.75	7.22	0.0	38.67	1.06	13.52	0.0	1.07	6.89	3.66	3.38	0.74	7.51	3.96	2.63
ALPPL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	164.42	7.11	0.3	9.85	0.29	0.0	0.3	0.0	3.76	0.29	3.17	0.0	0.0	1.03	0.82	0.55	0.0	0.62	0.6	4.86
ALS2CR11	0.0	0.12	0.59	0.15	1.99	0.0	2.39	0.85	0.64	0.0	0.0	2.41	2.07	1.6	0.21	0.0	0.04	0.0	2.23	0.62	0.0	0.88	0.0	0.55	0.92	3.96	1.22	0.0	0.23	6.21	24.46	11.04	7.69	71.0	5.06	21.94	19.97	7.0	28.65	3.53	5.45	10.63	6.11	8.51	3.2	31.45	3.23	12.0	5.28	28.04
ARHGAP28	1.79	3.23	6.31	8.19	1.66	1.07	6.46	1.58	14.45	12.74	0.51	1.19	8.85	1.13	2.03	6.01	0.46	0.0	0.51	14.24	10.79	2.23	5.02	1.11	10.88	8.85	9.2	0.0	0.31	218.79	115.97	54.72	37.05	202.66	68.07	33.3	76.71	22.1	162.14	35.5	11.3	34.75	74.58	71.5	43.32	20.86	63.0	57.49	49.91	164.42
