	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.13YAN.2026.SM.5Q5EY	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13111.0426.SM.5DUXR	GTEX.WFG8.0926.SM.3GIKJ	GTEX.R55G.0826.SM.2TC5U	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QEG5.1126.SM.33HC2
AC110771.1	19.97	23.76	20.71	13.72	2.63	0.0	0.0	8.38	0.0	2.61	9.63	2.71	14.24	0.0	2.97	5.73	7.17	2.23	2.03	0.0	2.27	11.13	6.57
AC174470.1	108.14	112.77	139.07	214.27	180.02	0.0	0.55	17.0	12.74	15.0	19.82	10.16	48.18	16.51	38.4	17.25	29.06	18.97	23.59	12.0	21.32	10.96	18.97
ADCY4	2591.27	2895.31	1794.29	2209.26	928.3	0.0	0.82	521.76	297.17	279.14	384.34	348.71	713.11	444.72	2384.37	136.19	208.38	194.36	221.86	285.03	529.06	134.3	137.14
AGPAT4	412.0	466.88	450.94	384.34	423.61	236.21	59.13	265.87	211.31	218.79	131.51	127.89	426.57	81.71	287.01	285.03	258.57	106.63	136.19	100.83	103.69	164.42	301.33
AKAP8L	3419.52	3794.3	3395.89	4123.49	2739.08	0.0	1.06	1572.76	567.1	423.61	1242.34	728.11	1936.53	607.87	1073.91	536.45	830.75	490.14	379.04	660.68	693.58	616.37	1066.48
ANKLE2	802.41	830.75	890.44	1199.98	1073.91	0.0	0.8	587.13	624.99	571.05	432.53	708.18	967.76	647.07	808.0	450.94	551.56	400.71	733.19	718.08	595.34	563.18	718.08
ANKRD9	830.75	1023.0	733.19	518.15	246.28	0.0	0.52	171.45	53.19	130.6	205.5	65.72	283.05	100.13	142.01	102.97	205.5	75.11	58.3	108.14	111.99	169.07	100.83
AP2A2	1617.0	1709.26	1628.26	1685.71	1639.59	738.29	161.02	1023.0	1397.83	1529.73	1617.0	1313.23	2796.65	954.43	1594.73	1242.34	1388.16	1594.73	1304.15	748.61	1322.37	1208.34	1044.52
BRD1	665.29	713.11	579.04	656.11	693.58	0.0	0.83	603.67	366.09	198.47	521.76	373.81	780.44	454.09	579.04	248.0	441.64	341.51	157.68	305.55	379.04	323.03	208.38
CDHR5	24.11	33.54	23.93	2.97	5.73	0.0	0.24	0.55	1.03	0.29	0.51	0.0	6.67	2.01	3.32	0.16	5.32	1.17	0.39	2.53	1.91	1.27	1.28
CHST8	23.08	17.51	14.67	10.47	6.89	0.0	0.2	8.99	2.36	5.36	6.78	11.3	29.48	6.21	4.86	2.78	8.13	4.13	0.78	6.57	13.12	6.67	2.61
CPNE1	5672.41	5751.61	5479.15	6652.97	3168.41	0.0	1.28	2537.92	1697.45	1685.71	2133.97	2664.15	3874.05	1709.26	4095.0	1467.37	2303.12	1498.22	1175.27	2047.0	1594.73	1519.15	1909.85
CPSF4	599.49	775.05	708.18	1096.5	785.88	0.0	0.96	529.06	438.59	376.41	532.74	454.09	638.15	493.56	738.29	414.87	532.74	368.65	463.65	420.68	521.76	493.56	599.49
CWC25	769.69	769.69	698.41	1015.93	507.46	0.0	0.78	669.92	281.09	186.4	457.25	476.71	802.41	373.81	503.95	316.37	587.13	277.2	457.25	323.03	241.19	206.94	559.28
