	TCGA.FJ.A871.01A.11R.A352.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.132QS.0326.SM.5IJFN	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.12696.0326.SM.5EGL4
CCDC28A	318.57	356.05	314.17	287.01	583.07	0.0	0.18	1159.07	819.3	1498.22	1733.13	1073.91	1697.45	607.87	1225.22	1104.13	1437.15	409.15	1769.57	1697.45	759.08	1216.75	1225.22	1066.48	1477.58	603.67	1870.53	961.07	1477.58	1991.0	2255.7	1369.04	819.3
CCNDBP1	688.78	599.49	197.09	529.06	473.41	0.0	0.75	2178.83	1388.16	1769.57	1561.89	1407.55	1721.16	1313.23	1594.73	1617.0	1733.13	878.17	2104.58	1685.71	947.83	1745.2	1991.0	1709.26	1844.76	1037.29	2664.15	1467.37	1605.83	1697.45	2417.67	1457.23	1175.27
CCSER2	103.69	120.94	323.03	140.04	343.89	0.0	0.45	616.37	400.71	909.17	860.08	444.72	738.29	420.68	607.87	444.72	521.76	373.81	647.07	848.22	529.06	412.0	603.67	457.25	599.49	409.15	1037.29	463.65	486.75	1008.9	1427.22	503.95	429.54
CFL2	753.83	642.59	273.37	197.09	180.02	0.0	0.52	1322.37	785.88	1322.37	1388.16	902.89	1277.29	819.3	1044.52	902.89	884.29	669.92	1407.55	1104.13	633.73	1304.15	1073.91	1008.9	1322.37	551.56	1427.22	872.1	1159.07	1594.73	1313.23	759.08	536.45
CHMP4C	34.51	3.32	299.25	476.71	170.25	351.14	176.29	543.96	262.2	583.07	587.13	392.44	559.28	343.89	435.55	444.72	466.88	190.34	567.1	579.04	100.83	412.0	583.07	423.61	529.06	226.54	500.46	412.0	400.71	579.04	591.22	353.59	379.04
CHPT1	343.89	1225.22	507.46	713.11	1135.2	0.0	0.68	1583.71	1369.04	1277.29	2240.11	1417.35	2875.3	1250.98	1697.45	954.43	1295.13	796.86	1417.35	1295.13	1437.15	1909.85	1477.58	1561.89	1745.2	988.12	2875.3	1268.46	2739.08	2255.7	2163.77	1175.27	1508.65
CLEC1A	4.39	28.65	42.11	70.01	29.7	0.0	0.22	148.09	61.25	253.23	135.24	67.12	131.51	28.24	46.84	47.84	105.89	33.06	100.83	72.52	76.71	50.27	53.57	36.53	41.81	55.1	134.3	45.53	65.72	170.25	180.02	82.87	54.33
COPS2	819.3	1331.57	555.41	713.11	525.39	0.0	0.67	1304.15	896.64	1551.09	1427.22	764.36	1447.15	693.58	884.29	713.11	1073.91	591.22	1199.98	1159.07	669.92	753.83	825.0	629.35	854.13	651.58	2367.9	748.61	1151.06	1697.45	1857.6	884.29	728.11
DHRS3	293.07	111.21	1151.06	476.71	221.86	748.61	2935.74	6164.49	2075.59	4575.41	1030.12	7280.4	1733.13	2240.11	3820.7	2627.46	3515.68	1199.98	4481.23	3955.48	5041.77	7382.04	7749.1	11909.94	10084.54	1437.15	7803.01	3212.66	3124.78	4972.34	6745.86	2351.53	2645.74
DOCK9	102.97	575.03	206.94	376.41	314.17	0.0	0.55	3614.55	1225.22	2255.7	1572.76	1135.2	1977.24	1191.69	1151.06	1143.1	1427.22	1295.13	896.64	1286.18	1508.65	551.56	1359.57	624.99	1135.2	1225.22	2319.15	1457.23	1001.93	4543.8	2537.92	1119.56	1066.48
DTNBP1	406.31	309.83	435.55	351.14	400.71	0.0	0.62	563.18	384.34	532.74	514.56	432.53	490.14	426.57	540.19	497.0	470.14	414.87	441.64	460.44	395.18	480.04	616.37	563.18	473.41	409.15	559.28	435.55	414.87	665.29	796.86	543.96	438.59
EIF4A2	2664.15	1909.85	2777.33	4419.52	4704.07	6983.79	1781.89	13399.51	7749.1	11504.21	10368.08	6607.01	14163.58	7081.29	7180.15	8718.32	10014.87	5441.3	10225.32	8840.04	5633.22	6037.61	8078.22	4152.18	8134.41	7695.57	17197.56	7382.04	8840.04	13215.02	16045.82	8191.0	6516.03
EZH1	239.52	47.84	279.14	201.25	269.6	0.0	0.82	1081.39	483.38	1135.2	620.67	642.59	638.15	511.0	629.35	713.11	813.63	525.39	785.88	620.67	607.87	450.94	808.0	397.93	693.58	624.99	1572.76	575.03	738.29	836.53	1059.11	718.08	603.67
FAM206A	212.78	223.41	275.28	244.57	684.02	0.0	0.21	651.58	417.77	647.07	441.64	470.14	497.0	366.09	507.46	432.53	387.02	303.44	579.04	540.19	536.45	503.95	497.0	371.22	688.78	329.84	825.0	429.54	540.19	785.88	1030.12	476.71	373.81
FHL5	2.34	11.55	3.2	19.11	3.11	0.0	0.24	75.11	27.25	133.36	145.02	94.01	85.22	63.0	57.49	63.89	100.13	38.95	113.56	58.71	74.58	13.72	147.06	24.11	27.05	52.08	205.5	47.5	51.35	202.66	33.54	27.05	59.97
FOXO4	68.07	73.54	131.51	116.78	271.48	0.0	0.31	559.28	271.48	651.58	387.02	275.28	426.57	224.97	343.89	323.03	669.92	169.07	483.38	420.68	198.47	277.2	466.88	215.77	325.29	191.67	941.27	351.14	400.71	547.75	674.59	332.14	228.13
FZD1	63.0	83.45	486.75	209.84	420.68	0.0	0.37	1023.0	1295.13	1617.0	2645.74	1477.58	1322.37	915.51	1936.53	1225.22	1259.69	1277.29	902.89	1417.35	819.3	1529.73	1963.57	1685.71	2271.4	802.41	2720.15	1407.55	1175.27	830.75	1639.59	1143.1	1397.83
GALNT3	8.45	57.89	131.51	153.34	211.31	0.0	0.27	595.34	435.55	967.76	1073.91	890.44	698.41	674.59	1044.52	890.44	603.67	392.44	674.59	928.3	802.41	1208.34	981.29	1191.69	1477.58	656.11	995.0	769.69	1397.83	1467.37	928.3	616.37	575.03
GIMAP5	37.05	223.41	389.72	497.0	150.17	0.0	0.65	921.88	518.15	1096.5	1051.79	1359.57	480.04	688.78	723.08	432.53	775.05	381.68	1551.09	629.35	647.07	406.31	947.83	346.29	688.78	579.04	684.02	1605.83	226.54	1594.73	796.86	738.29	559.28
INPP1	255.0	289.02	63.89	107.38	114.36	0.0	0.74	647.07	559.28	612.11	457.25	603.67	830.75	599.49	525.39	490.14	476.71	497.0	607.87	435.55	612.11	669.92	551.56	521.76	647.07	503.95	607.87	616.37	547.75	583.07	529.06	463.65	409.15
IRAK3	22.75	15.8	27.44	22.59	5.28	0.0	0.64	82.87	37.32	63.89	35.0	55.49	46.18	52.45	23.08	74.06	40.64	37.32	54.33	42.71	39.79	24.46	44.89	25.91	34.75	29.27	76.17	72.52	65.26	101.54	54.33	25.35	41.52
