	TCGA.FJ.A871.01A.11R.A352.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.132QS.0326.SM.5IJFN	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.12696.0326.SM.5EGL4
SPRY1	32.36	155.5	170.25	518.15	351.14	0.0	0.52	4512.4	693.58	2835.7	2090.03	988.12	1467.37	1225.22	825.0	612.11	1896.65	624.99	5403.7	1487.87	547.75	305.55	1583.71	366.09	579.04	896.64	2351.53	1519.15	802.41	7642.41	2367.9	764.36	1561.89
STAU1	780.44	1304.15	1277.29	1427.22	1286.18	0.0	0.75	1769.57	1388.16	2816.11	2119.22	2485.67	2018.8	1806.78	2209.26	1909.85	1487.87	1331.57	1508.65	1923.14	1896.65	2485.67	2351.53	2163.77	2855.44	1378.57	1977.24	2193.99	2119.22	2367.9	2004.85	1674.06	1896.65
STXBP1	536.45	336.79	40.36	314.17	97.36	251.48	113.56	808.0	599.49	909.17	723.08	466.88	785.88	444.72	620.67	457.25	669.92	366.09	708.18	728.11	466.88	426.57	629.35	325.29	441.64	389.72	1216.75	429.54	647.07	785.88	2468.49	651.58	395.18
SYF2	1159.07	1242.34	1407.55	1008.9	1397.83	0.0	0.51	2303.12	1583.71	2502.97	2816.11	1991.0	2796.65	1407.55	1757.34	2004.85	2573.36	1250.98	2915.45	2468.49	1594.73	1806.78	2303.12	1844.76	2384.37	1407.55	3124.78	1697.45	2451.44	2855.44	2664.15	2224.63	1896.65
TAL1	15.22	3.69	5.41	16.15	10.79	0.0	0.47	106.63	61.25	141.02	100.83	66.65	138.1	75.64	41.81	138.1	94.67	19.11	65.72	74.06	110.43	39.79	38.12	42.71	42.41	47.17	69.52	59.97	149.12	212.78	74.58	76.71	41.81
TG	71.5	3.11	4.82	26.67	3.92	0.0	0.64	772940.66	839981.65	945028.61	2068278.89	2247670.86	2375828.71	1997825.68	1984025.69	1997825.68	1984025.69	691801.16	2986448.72	2425749.94	1943195.01	2636147.11	2111737.85	3178687.03	3886391.01	1116072.03	1155430.26	2263304.65	2672946.37	1514068.5	1567462.05	1864037.21	881742.8
TMEM245	111.21	395.18	237.86	199.85	309.83	287.01	748.61	2075.59	791.35	2682.69	1208.34	1199.98	1417.35	961.07	1127.35	1127.35	974.5	612.11	1359.57	1250.98	866.07	1369.04	1963.57	1159.07	1909.85	651.58	3419.52	1191.69	1572.76	1819.35	1225.22	1001.93	860.08
TMEM45B	37.32	7.17	1.68	3.92	2.94	0.0	0.38	397.93	128.79	387.02	271.48	107.38	305.55	88.26	665.29	262.2	532.74	253.23	379.04	460.44	201.25	486.75	651.58	490.14	587.13	63.89	638.15	175.07	486.75	532.74	543.96	99.43	105.15
TOM1L1	183.82	256.78	305.55	373.81	348.71	0.0	0.3	1378.57	902.89	1617.0	1794.29	1096.5	1923.14	890.44	1250.98	1322.37	1143.1	878.17	1159.07	1340.84	808.0	1594.73	1151.06	1340.84	1407.55	842.36	1540.37	1757.34	1519.15	1697.45	1378.57	1151.06	642.59
TSC22D1	5041.77	1757.34	1832.01	3235.01	1721.16	1674.06	536.45	6652.97	2224.63	5041.77	4802.93	4419.52	15180.22	2417.67	2664.15	3103.19	6164.49	1313.23	16611.71	10440.2	3081.75	2133.97	3257.52	1745.2	1950.0	1295.13	6935.54	3395.89	2645.74	6337.83	6887.62	3325.99	3081.75
USP12	149.12	146.03	82.87	185.11	128.79	0.0	0.17	387.02	283.05	348.71	454.09	287.01	476.71	211.31	249.73	269.6	289.02	201.25	332.14	329.84	215.77	262.2	301.33	206.94	260.38	226.54	454.09	256.78	336.79	543.96	366.09	295.11	246.28
UST	67.12	15.68	92.05	31.22	82.87	0.0	0.55	780.44	974.5	1143.1	1639.59	647.07	995.0	607.87	616.37	490.14	1159.07	583.07	1037.29	1331.57	476.71	703.28	1183.45	397.93	1359.57	521.76	1781.89	476.71	2451.44	3742.05	2335.28	947.83	629.35
