	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A7.A26J.01A.11R.A277.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.A6.2684.01A.01R.A278.07	TCGA.A6.2677.01A.01R.A278.07	TCGA.A6.5656.01A.21R.A278.07	TCGA.A6.6781.01A.22R.A278.07	TCGA.A6.6780.01A.11R.A278.07	TCGA.A6.3810.01A.01R.A278.07	TCGA.A6.6650.01A.11R.A278.07	TCGA.A6.2674.01A.02R.A278.07	TCGA.A6.5659.01A.01R.A278.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.50.5045.01A.01R.1628.07	TCGA.44.2662.01A.01R.A278.07	TCGA.44.3917.01A.01R.A278.07	TCGA.50.5055.01A.01R.1628.07	TCGA.05.5425.01A.02R.1628.07	TCGA.44.4112.01A.01R.A278.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.37.4130.01A.01R.1100.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.BK.A0CA.01A.21R.A277.07
ARID2	896.64	1233.75	995.0	748.61	607.87	400.71	283.05	212.78	392.44	346.29	620.67	348.71	253.23	432.53	293.07	66.18	60.39	88.26	53.57	35.76	68.07	32.59	116.78	182.55	289.02	136.19	127.0	323.03	60.39	59.97	140.04	140.04	202.66	116.78	563.18
BTBD8	87.03	48.87	162.14	87.65	120.94	24.99	30.56	106.63	96.01	75.64	32.13	102.97	55.89	48.18	88.26	2.43	0.0	0.67	0.0	0.72	0.74	0.0	7.34	81.71	94.01	2.43	1.62	71.5	10.08	0.67	6.06	6.06	2.63	1.81	61.25
C14orf37	29.27	373.81	72.52	96.01	154.42	28.65	71.5	62.12	19.53	312.0	142.01	60.82	18.97	114.36	42.11	4.86	2.36	1.46	1.19	10.55	3.47	10.16	36.53	25.91	17.38	53.95	18.56	115.16	14.67	3.2	7.17	7.17	9.13	22.75	177.53
C7orf63	193.01	123.5	264.03	234.57	693.58	279.14	153.34	218.79	454.09	234.57	191.67	136.19	208.38	312.0	251.48	40.36	25.17	59.13	15.45	41.52	35.0	9.85	59.13	124.37	193.01	68.55	23.59	173.85	94.01	21.01	36.01	36.01	31.9	61.25	780.44
CBX5	954.43	2417.67	1508.65	638.15	954.43	532.74	583.07	387.02	656.11	808.0	872.1	463.65	872.1	521.76	514.56	138.1	183.82	146.03	98.04	117.6	167.9	85.22	220.32	693.58	669.92	305.55	224.97	503.95	190.34	205.5	94.01	94.01	271.48	228.13	1397.83
CCP110	397.93	444.72	808.0	543.96	764.36	379.04	305.55	239.52	314.17	432.53	363.56	291.04	246.28	571.05	389.72	27.44	21.01	21.16	23.93	20.86	29.7	10.24	100.13	379.04	185.11	105.89	83.45	228.13	40.64	73.54	92.05	92.05	79.45	73.03	884.29
CENPC	780.44	384.34	738.29	460.44	476.71	414.87	279.14	348.71	497.0	463.65	412.0	409.15	316.37	381.68	389.72	54.33	40.93	55.49	43.94	43.63	71.5	16.88	123.5	267.73	312.0	157.68	104.42	403.5	45.53	42.11	63.45	63.45	172.65	110.43	429.54
CEP128	289.02	140.04	221.86	157.68	181.28	251.48	157.68	115.97	78.34	118.43	237.86	149.12	85.22	279.14	112.77	9.27	13.93	13.32	3.5	7.28	7.57	4.7	47.84	150.17	329.84	48.87	49.21	255.0	30.56	54.33	49.21	49.21	77.79	43.32	392.44
CEP135	265.87	206.94	237.86	136.19	167.9	234.57	117.6	123.5	138.1	204.07	166.73	135.24	82.29	128.79	111.21	19.25	14.67	12.93	6.67	11.64	9.7	1.58	60.82	143.01	186.4	75.64	63.0	177.53	27.25	18.16	32.13	32.13	64.34	50.27	299.25
CNOT6	780.44	684.02	769.69	486.75	607.87	420.68	460.44	287.01	417.77	490.14	417.77	438.59	447.82	325.29	293.07	96.01	63.0	50.27	43.02	77.25	56.68	25.17	127.0	384.34	275.28	148.09	182.55	414.87	100.13	120.1	93.35	93.35	109.66	142.01	748.61
CNTRL	389.72	202.66	332.14	295.11	323.03	273.37	249.73	248.0	301.33	373.81	348.71	204.07	228.13	316.37	231.32	50.98	41.52	37.05	24.63	40.36	43.32	14.45	120.94	198.47	147.06	232.94	96.68	142.01	24.28	32.36	67.12	67.12	77.79	81.71	669.92
