	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.W5X1.2326.SM.3GIL6	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.55.7815.01A.11R.2170.07	GTEX.13NYC.2626.SM.5K7VN
ABHD17A	599.49	2178.83	412.0	1662.49	1781.89	698.41	1111.82	432.53	1119.56	387.02	1870.53	507.46	1051.79	2178.83	3349.13	339.14	334.46	258.57	376.41	96.01	764.36	497.0	89.51	444.72	915.51	55.89	1191.69
AKT1S1	708.18	1378.57	624.99	1508.65	1870.53	890.44	909.17	616.37	1023.0	1143.1	1457.23	693.58	1295.13	1583.71	2303.12	525.39	547.75	575.03	406.31	277.2	902.89	638.15	271.48	511.0	947.83	212.78	1286.18
ANAPC11	2018.8	6294.04	1437.15	2468.49	7382.04	3443.31	4066.71	3794.3	4419.52	2520.38	4419.52	7589.61	3874.05	4543.8	6887.62	1369.04	860.08	866.07	1250.98	808.0	2004.85	1651.0	981.29	1457.23	4836.35	633.73	4481.23
ARRDC1	860.08	5255.91	775.05	2682.69	4268.94	1167.14	2133.97	642.59	2209.26	1417.35	2777.33	1572.76	1407.55	2451.44	2133.97	575.03	575.03	389.72	974.5	301.33	1233.75	1331.57	743.43	1467.37	1096.5	277.2	406.31
ASL	769.69	1088.92	348.71	1340.84	1167.14	775.05	941.27	417.77	954.43	587.13	1529.73	1023.0	1096.5	1059.11	1208.34	307.69	172.65	182.55	341.51	214.27	660.68	679.29	180.02	379.04	1350.18	105.89	780.44
ASPSCR1	444.72	808.0	289.02	616.37	995.0	599.49	753.83	511.0	1066.48	624.99	884.29	830.75	633.73	819.3	1208.34	232.94	163.28	149.12	226.54	60.39	514.56	693.58	178.77	432.53	642.59	105.89	547.75
AURKAIP1	1697.45	5995.9	575.03	3564.78	4671.57	2664.15	2591.27	1540.37	3081.75	1757.34	5441.3	4328.55	3060.45	3190.46	9409.14	698.41	293.07	289.02	738.29	454.09	1417.35	1662.49	738.29	1159.07	3212.66	211.31	4869.99
B4GALT7	414.87	733.19	269.6	830.75	703.28	547.75	540.19	392.44	718.08	497.0	1088.92	287.01	848.22	656.11	669.92	271.48	204.07	224.97	305.55	229.72	417.77	511.0	246.28	426.57	457.25	185.11	395.18
BOLA2	142.01	575.03	75.64	242.88	941.27	211.31	595.34	127.0	318.57	271.48	825.0	7.94	325.29	253.23	947.83	61.68	41.22	27.64	29.27	40.36	89.51	63.0	23.08	93.35	212.78	28.24	297.17
BOLA2B	1044.52	3955.48	954.43	1651.0	5594.3	1844.76	5183.54	1340.84	1870.53	2935.74	5633.22	3742.05	1896.65	2875.3	3847.29	813.63	612.11	595.34	733.19	551.56	967.76	1378.57	1477.58	947.83	2451.44	836.53	2287.2
