	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.GD.A2C5.11A.11R.A180.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.ZF29.1926.SM.5S2P1	TCGA.86.7955.01A.11R.2187.07	TCGA.05.4396.01A.21R.1858.07
ABCE1	620.67	525.39	591.22	563.18	819.3	373.81	571.05	813.63	674.59	842.36	748.61	698.41	1397.83	961.07	1037.29	830.75	1322.37	1685.71	579.04
AFF1	73.54	202.66	289.02	88.88	420.68	111.21	555.41	223.41	265.87	218.79	316.37	309.83	902.89	607.87	603.67	674.59	995.0	753.83	483.38
API5	813.63	813.63	603.67	728.11	587.13	620.67	785.88	688.78	872.1	854.13	947.83	1397.83	1991.0	1508.65	1769.57	1594.73	2537.92	1037.29	1950.0
ARID1A	262.2	392.44	476.71	813.63	713.11	277.2	473.41	603.67	647.07	669.92	480.04	432.53	995.0	1008.9	947.83	890.44	878.17	947.83	785.88
ASH1L	84.04	175.07	107.38	148.09	202.66	83.45	114.36	96.68	155.5	149.12	187.71	314.17	813.63	563.18	802.41	660.68	967.76	299.25	348.71
ATRX	118.43	159.9	143.01	118.43	190.34	114.36	146.03	205.5	199.85	262.2	351.14	325.29	796.86	633.73	703.28	551.56	684.02	289.02	301.33
CALCRL	49.56	55.89	14.35	90.14	218.79	53.57	73.54	57.89	73.54	80.01	125.24	500.46	264.03	332.14	273.37	279.14	312.0	53.57	258.57
CCDC117	136.19	169.07	87.03	241.19	237.86	202.66	211.31	228.13	232.94	138.1	236.21	423.61	624.99	480.04	555.41	607.87	884.29	291.04	325.29
CD302	26.47	137.14	35.5	13.83	69.03	29.06	44.57	34.51	53.95	18.03	197.09	312.0	866.07	591.22	629.35	748.61	1457.23	157.68	521.76
CDKL5	0.68	39.79	6.21	16.03	35.5	2.34	17.13	5.73	13.83	17.9	12.93	78.34	80.57	72.52	85.22	67.12	172.65	14.78	23.59
CELF1	450.94	665.29	540.19	529.06	559.28	303.44	555.41	384.34	483.38	733.19	642.59	796.86	1225.22	1191.69	1143.1	1167.14	1143.1	1096.5	1023.0
