	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.UY.A78L.01A.12R.A33J.07	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.IR.A3LK.01A.12R.A213.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.P3.A6T2.01A.11R.A34R.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.ED.A66Y.01A.11R.A311.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.77.8144.01A.11R.2247.07	TCGA.AJ.A3BG.01A.11R.A19W.07
AC003102.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	3.32	3.29	1.91	4.78	0.0	7.11	0.0	5.96	13.72	0.99	0.0	4.66	9.34	8.78	3.14	4.62	0.57	6.52	3.72	7.0	5.54	0.0	0.0	0.52
ADRA2B	2.03	1.6	2.03	1.91	1.11	0.65	1.36	0.74	7.88	2.39	24.11	4.03	83.45	105.89	24.63	55.89	166.73	107.38	37.85	41.81	185.11	154.42	37.32	50.98	118.43	153.34	108.9	96.01	183.82	55.89	107.38	116.78	13.52	65.72	0.0	7.22	3.69
AGTR1	0.31	13.12	3.72	0.6	2.03	1.07	1.04	0.0	693.58	563.18	312.0	493.56	3395.89	638.15	2075.59	363.56	842.36	796.86	305.55	1369.04	808.0	2047.0	351.14	753.83	1639.59	1721.16	921.88	612.11	1304.15	928.3	4543.8	1540.37	1225.22	954.43	0.0	1.64	0.56
AHSP	0.0	9.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	0.0	0.0	102.25	10.31	14.67	1.33	9.78	0.0	13.42	6.11	46.5	87.65	0.0	0.0	29.27	45.53	22.75	8.71	49.21	22.26	19.97	28.04	22.1	13.42	0.0	0.0	0.0
ALAS2	0.28	0.0	1.69	2.73	0.41	1.68	0.67	0.45	0.0	1.3	1.81	0.0	63.0	8.25	10.24	4.03	17.38	3.08	10.71	4.1	45.85	54.72	1.41	3.32	41.81	67.12	24.28	6.11	23.59	12.09	28.04	22.43	36.01	16.39	0.0	0.0	0.0
ALB	0.91	1.0	329.84	0.0	1.66	0.73	3.0	7.11	251464.33	1393227.06	1514068.5	1656835.72	1.450452687E7	2.094351026E7	5.228884881E7	3.286389077E7	7.343680617E7	3.286389077E7	9243449.07	2.372656541E7	8330662.65	1.460541384E7	2.8412057E7	1.748967224E7	1.940600651E7	1514068.5	6226542.15	2.669377385E7	2.596383117E7	1.24530853E7	7612821.45	2.8412057E7	1.076615575E7	1.069178847E7	0.0	24.63	6.57
ANGPTL6	3.96	2.53	8.19	4.5	5.54	2.36	4.78	9.7	45.85	108.14	29.48	80.01	2090.03	1529.73	163.28	599.49	1008.9	759.08	226.54	642.59	1407.55	1259.69	460.44	878.17	947.83	2178.83	1617.0	1051.79	890.44	1529.73	728.11	1467.37	438.59	718.08	0.0	4.9	5.32
ARG1	0.87	0.0	2.01	0.0	1.75	0.36	0.0	48.87	4802.93	4210.15	6037.61	253.23	131071.0	20737.16	75803.72	16496.96	126606.21	73730.83	4903.87	73730.83	65990.84	159145.95	23656.34	7280.4	49322.93	11664.82	5711.87	51417.5	26067.14	12329.98	35118.87	10659.59	113315.62	15392.14	0.0	5.19	0.0
BMP10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	42.41	32.13	37.59	29.27	32.59	13.62	10.71	20.56	21.01	53.95	21.94	17.38	83.45	215.77	62.12	16.51	34.02	35.5	61.68	21.47	33.54	22.75	0.0	0.0	0.0
CA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	3.82	271.48	6.78	35.76	1.43	29.7	1.3	12.36	2.81	98.04	285.03	1.79	0.0	32.36	50.98	41.52	15.8	59.55	15.0	24.99	15.56	26.28	15.68	0.0	0.0	0.0
CD81	6294.04	10959.3	7537.18	5366.37	7695.57	9088.59	12589.08	6792.79	3039.3	11827.67	13776.25	4268.94	78476.96	31432.17	10368.08	25708.25	27363.16	14971.21	17078.76	45701.96	48982.22	47974.16	22072.07	23986.58	39785.74	22850.48	29124.6	33224.42	22850.48	38430.46	41475.31	25354.3	67846.12	17927.91	0.0	9808.75	11584.24
CDC37L1	191.67	229.72	187.71	343.89	353.59	366.09	183.82	232.94	157.68	316.37	181.28	183.82	1191.69	624.99	1023.0	543.96	878.17	490.14	373.81	813.63	660.68	1477.58	444.72	620.67	616.37	693.58	647.07	738.29	872.1	559.28	1183.45	514.56	1104.13	620.67	0.0	130.6	279.14
CEACAM8	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	3.29	1.97	1.69	0.0	2.46	1.48	0.74	0.24	13.52	2.27	0.24	0.0	0.75	1.48	0.96	0.82	2.03	0.44	2.48	0.97	0.09	1.5	0.0	0.0	0.0
CES3	0.89	0.97	12.55	8.38	12.64	1.03	7.06	9.41	120.94	127.89	438.59	295.11	6037.61	1572.76	559.28	1857.6	1199.98	1572.76	2335.28	915.51	1111.82	1447.15	988.12	1378.57	1304.15	2400.97	1561.89	2400.97	941.27	2400.97	738.29	2224.63	1963.57	1477.58	0.0	6.31	114.36
COL25A1	0.58	0.33	0.0	2.29	0.89	0.47	0.0	1.38	0.0	2.48	0.45	3.14	38.95	18.03	11.04	6.11	13.12	22.43	11.82	3.26	36.27	13.83	11.47	16.63	22.1	71.5	12.55	11.91	35.76	12.64	61.25	15.45	6.26	20.56	0.0	3.29	2.92
COLEC10	2.27	1.57	1.14	3.23	0.0	0.0	2.63	0.0	2.58	15.45	61.25	18.84	896.64	1781.89	476.71	921.88	1242.34	974.5	253.23	633.73	2018.8	1216.75	201.25	1832.01	1540.37	2537.92	1733.13	941.27	1757.34	1295.13	1051.79	2520.38	775.05	902.89	0.0	0.36	1.45
EPB41L4B	127.0	567.1	144.01	183.82	486.75	123.5	110.43	406.31	358.54	314.17	191.67	190.34	4704.07	842.36	1781.89	1407.55	1313.23	842.36	1088.92	1757.34	1487.87	2485.67	674.59	718.08	2384.37	1183.45	1551.09	1208.34	1508.65	902.89	1697.45	1167.14	4268.94	1572.76	0.0	242.88	206.94
EPB42	1.45	2.23	3.14	4.03	3.86	4.78	1.1	3.03	3.56	4.43	5.96	1.28	42.11	11.64	9.27	9.34	11.55	9.27	12.55	4.13	35.5	29.48	4.06	8.25	24.99	12.83	23.25	8.19	30.12	9.63	7.94	16.27	11.04	10.63	0.0	0.99	0.37
FUT6	12.45	8.51	10.31	1.06	6.41	1.48	8.0	6.62	21.63	115.16	24.11	102.97	1322.37	185.11	120.1	190.34	890.44	420.68	77.79	78.34	285.03	679.29	111.21	312.0	30.34	563.18	73.03	206.94	187.71	529.06	368.65	363.56	23.08	26.86	0.0	14.24	10.96
GATA1	0.29	0.32	0.0	0.0	0.45	0.0	0.0	0.49	0.0	1.69	0.0	0.0	6.73	1.39	3.14	0.93	1.48	0.0	1.36	2.1	4.35	7.06	0.0	0.69	3.2	2.53	4.28	1.48	4.5	3.53	1.91	1.08	2.23	0.67	0.0	0.0	0.62
GPR128	2.29	0.96	0.3	1.68	0.31	0.0	0.27	0.0	5.87	31.67	13.83	9.06	1467.37	267.73	825.0	165.57	297.17	463.65	198.47	260.38	457.25	329.84	91.41	234.57	785.88	82.87	255.0	583.07	299.25	303.44	339.14	312.0	450.94	361.04	0.0	0.0	1.77
GYPA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.71	1.43	3.69	3.66	3.44	0.0	2.32	0.0	7.88	11.82	0.0	2.94	6.41	1.91	5.77	1.38	10.08	2.97	1.58	4.03	3.32	8.19	0.0	0.0	0.0
GYPB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	1.17	1.46	6.36	0.0	0.0	0.0	12.64	20.26	3.47	0.0	1.91	2.53	6.01	1.19	13.62	2.84	4.24	8.65	3.86	1.73	0.0	0.0	0.0
HBA1	78.89	55.49	267.73	211.31	119.26	180.02	21.47	21.47	363.56	387.02	420.68	0.0	18304.63	2758.13	2384.37	2796.65	2609.3	366.09	5791.62	1216.75	8305.36	9409.14	299.25	1651.0	7803.01	14561.8	10585.95	1199.98	5041.77	3768.09	6745.86	7081.29	14361.31	9025.81	0.0	30.78	65.26
HBA2	239.52	145.02	551.56	595.34	109.66	429.54	21.63	62.56	848.22	909.17	896.64	110.43	29531.18	6699.25	5479.15	9945.68	5292.48	981.29	12943.04	3690.52	13033.07	13872.08	1286.18	5995.9	16269.83	23656.34	24153.43	2591.27	157.68	9474.59	12943.04	15075.35	27745.15	18819.27	0.0	122.64	159.9
HBB	218.79	97.36	457.25	426.57	111.99	318.57	17.38	41.52	470.14	1697.45	764.36	54.33	31870.96	4802.93	5633.22	5711.87	5292.48	928.3	9088.59	2119.22	14361.31	16157.44	743.43	3419.52	17437.64	27553.49	21320.18	1977.24	7382.04	8247.98	12589.08	14867.79	28132.47	17078.76	0.0	88.26	201.25
HBD	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.11	0.0	0.0	123.5	14.56	22.43	3.29	27.25	1.77	24.28	10.47	115.16	124.37	1.13	4.03	61.25	38.4	60.39	12.0	76.17	22.92	10.0	25.35	27.84	18.56	0.0	0.0	0.0
HBG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.25	1.62	0.73	6.41	7.17	0.88	0.0	0.93	4.35	1.58	0.0	1.95	5.32	17.13	8.71	0.0	2.84	1.31	2.53	8.99	6.31	6.78	0.0	0.0	0.0
HBM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.59	2.01	5.11	3.92	8.06	0.0	12.18	4.54	24.63	34.51	0.0	1.25	14.24	8.45	16.39	2.12	25.17	13.03	7.88	6.78	12.0	7.06	0.0	0.0	0.0
HEMGN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.74	0.0	11.47	1.48	4.21	0.1	3.38	0.27	2.48	0.3	7.94	11.21	0.29	0.0	6.06	2.84	6.36	2.05	5.28	1.93	2.39	3.26	1.77	2.34	0.0	0.0	0.0
HHIP	1.14	1.91	0.58	0.17	1.3	2.16	1.77	0.57	0.0	4.28	12.18	10.08	138.1	147.06	131.51	99.43	105.15	89.51	23.42	181.28	56.68	38.67	102.25	100.13	126.12	603.67	651.58	47.17	111.21	87.65	275.28	267.73	72.52	181.28	0.0	0.0	2.34
IFIT1B	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	1.53	0.0	4.54	0.0	0.35	0.64	0.96	1.04	1.6	0.0	3.47	1.5	0.0	0.0	3.63	2.12	2.89	0.36	2.97	0.0	2.56	2.73	1.27	1.14	0.0	0.0	0.0
ITIH4	9.85	80.01	8.78	64.34	144.01	18.29	24.46	88.26	10296.45	45072.75	12853.63	8963.45	217400.14	127486.83	36357.37	99333.0	86474.27	54727.32	61999.83	56265.94	126606.21	466008.55	33922.56	61999.83	76330.98	800198.39	26614.89	131982.68	191899.64	131071.0	167058.21	52863.07	67377.47	10368.08	0.0	21.32	27.64
KCND3	2.89	4.13	41.52	3.99	6.84	46.84	5.87	24.63	1.06	43.32	26.86	1.62	1322.37	76.71	180.02	830.75	463.65	151.22	183.82	198.47	1208.34	1277.29	81.14	90.14	164.42	52.45	95.34	255.0	974.5	86.43	199.85	312.0	559.28	146.03	12.83	6.78	1.89
MASP1	20.56	0.34	1.17	1.04	64.8	9.78	6.11	6.21	500.46	902.89	486.75	1119.56	8305.36	2935.74	785.88	1806.78	2224.63	2400.97	830.75	3614.55	3372.43	5913.33	2178.83	1250.98	7180.15	17197.56	2664.15	3395.89	3103.19	4210.15	3235.01	3103.19	1819.35	1250.98	0.0	0.0	12.09
MXI1	75.64	444.72	387.02	312.0	289.02	209.84	242.88	633.73	309.83	476.71	417.77	115.97	1757.34	656.11	638.15	1135.2	1369.04	1066.48	543.96	660.68	1044.52	1467.37	665.29	733.19	684.02	1447.15	480.04	836.53	1233.75	460.44	444.72	660.68	1088.92	728.11	384.34	297.17	182.55
PCSK6	303.44	46.5	40.36	30.78	119.26	106.63	117.6	251.48	466.88	3372.43	1721.16	1639.59	11992.79	848.22	3190.46	2400.97	4769.75	2075.59	1519.15	3146.52	4388.98	11424.74	332.14	1119.56	1977.24	4066.71	3372.43	7230.1	6164.49	2271.4	3639.7	5329.3	4869.99	1313.23	0.0	158.79	48.18
PRELP	18.16	41.81	7.57	13.22	21.16	2.2	7.11	28.86	10.47	146.03	100.83	33.06	693.58	275.28	339.14	88.26	1008.9	117.6	57.89	161.02	120.94	420.68	36.27	158.79	293.07	7485.11	218.79	189.02	171.45	232.94	117.6	314.17	215.77	80.57	0.0	8.38	9.48
RHAG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	8.99	0.54	3.41	0.0	4.28	0.0	1.28	0.0	7.57	10.63	0.85	0.0	3.53	1.36	4.7	0.79	4.98	0.73	2.56	0.87	1.43	1.62	0.0	0.0	0.0
RNF125	5.15	33.06	14.78	13.03	9.63	3.76	3.0	4.62	15.34	40.36	53.19	31.45	457.25	299.25	80.57	71.5	187.71	141.02	341.51	346.29	366.09	111.99	100.13	58.71	351.14	164.42	87.65	185.11	258.57	151.22	122.64	285.03	536.45	178.77	0.0	8.85	32.59
RP11-422N16.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.74	0.35	0.0	70.01	53.57	23.25	29.27	40.36	30.78	16.39	185.11	16.63	384.34	6.67	17.13	128.79	32.36	7.94	55.89	24.28	26.67	120.94	11.38	429.54	12.0	0.0	0.0	0.28
RXFP1	6.21	1.89	1.71	0.85	1.1	2.18	0.65	0.82	1.35	7.57	0.64	4.39	55.1	14.56	8.38	6.89	15.22	13.03	4.82	6.89	10.08	12.36	2.61	7.63	27.84	106.63	21.78	5.54	10.79	18.56	22.26	14.35	24.11	21.32	0.0	3.06	4.5
SLC25A30	51.71	83.45	52.08	142.01	191.67	198.47	185.11	115.16	60.82	241.19	327.56	169.07	511.0	432.53	679.29	166.73	748.61	463.65	212.78	371.22	412.0	884.29	177.53	273.37	607.87	595.34	132.44	444.72	351.14	432.53	872.1	466.88	825.0	457.25	0.0	92.7	73.54
SLC4A1	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.86	2.29	4.78	0.53	5.59	0.0	4.1	1.91	15.91	17.51	0.0	0.37	10.55	7.69	7.57	2.97	11.55	3.79	4.78	4.54	5.15	2.56	0.0	0.0	0.0
SLC4A4	1.45	0.34	84.63	0.71	2.1	0.65	0.0	0.41	6.94	171.45	9.34	7.17	2645.74	242.88	633.73	343.89	460.44	1487.87	251.48	194.36	500.46	316.37	514.56	162.14	1066.48	323.03	293.07	339.14	171.45	299.25	271.48	414.87	186.4	974.5	0.0	1.58	5.23
SPTA1	1.14	0.96	0.0	0.71	1.11	0.0	0.0	0.0	1.81	1.2	0.69	0.0	22.59	4.03	9.7	0.0	5.63	0.54	6.62	2.03	14.14	38.12	1.06	0.0	13.83	6.31	11.13	3.5	24.81	2.73	9.93	7.0	1.64	3.44	0.0	0.0	0.0
SUSD3	39.79	21.78	60.82	84.04	12.93	15.68	139.07	18.16	69.03	329.84	151.22	299.25	1781.89	500.46	113.56	1295.13	571.05	129.69	366.09	262.2	457.25	389.72	674.59	1015.93	334.46	665.29	1135.2	339.14	665.29	198.47	187.71	236.21	3103.19	759.08	0.0	105.15	16.27
